X (RT/min),Y (Intensity)
10.17,12241.775057383109
10.18,12241.775057383109
10.19,12241.775057383109
10.2,12241.775057383109
10.21,12241.775057383109
10.22,12241.775057383109
10.24,12241.775057383109
10.25,12241.775057383109
10.26,12241.775057383109
10.27,12241.775057383109
10.28,12241.775057383109
10.29,12241.775057383109
10.3,12241.775057383109
10.31,12241.775057383109
10.33,12241.775057383109
10.34,12241.775057383109
10.35,12241.775057383109
10.36,12241.775057383109
10.37,12241.775057383109
10.38,12241.775057383109
10.39,12241.775057383109
10.4,12241.775057383109
10.42,12241.775057383109
10.43,12241.775057383109
10.44,12241.775057383109
10.45,12241.775057383109
10.46,12241.775057383109
10.47,12241.775057383109
10.48,12241.775057383109
10.49,12241.775057383109
10.51,12241.775057383109
10.52,12241.775057383109
10.53,12241.775057383109
10.54,12241.775057383109
10.55,12241.775057383109
10.56,12241.775057383109
10.65,12241.775057383109
10.66,12241.775057383109
10.67,12241.775057383109
10.71,12241.775057383109
10.72,12241.775057383109
10.73,12241.775057383109
10.74,12241.775057383109
10.75,12241.775057383109
10.76,12241.775057383109
10.77,12241.775057383109
10.79,12241.775057383109
10.8,12241.775057383109
10.81,12241.775057383109
10.82,12241.775057383109
10.83,12241.775057383109
10.84,12241.775057383109
10.85,12241.775057383109
10.86,12241.775057383109
10.88,12241.775057383109
10.89,12241.775057383109
10.9,12241.775057383109
10.91,12241.775057383109
10.92,12241.775057383109
10.93,12241.775057383109
10.94,12241.775057383109
10.95,12241.775057383109
10.97,12241.775057383109
10.98,36725.32517214933
10.99,134659.52563121598
11.0,318286.15149196616
11.01,330527.9265493493
11.02,330527.9265493493
11.03,330527.9265493493
11.04,330527.9265493493
11.05,330527.9265493493
11.07,293802.6013771999
11.08,122417.75057383286
11.09,61208.87528691732
11.1,48967.100229532436
11.11,36725.32517214933
11.12,36725.32517214933
11.13,36725.32517214933
11.14,36725.32517214933
11.16,36725.32517214933
11.17,48967.100229532436
11.18,48967.100229532436
11.19,48967.100229532436
11.2,36725.32517214933
11.21,36725.32517214933
11.22,36725.32517214933
11.23,36725.32517214933
11.25,24483.550114766218
11.26,24483.550114766218
11.27,12241.775057383109
11.28,12241.775057383109
11.3,12241.775057383109
11.31,12241.775057383109
11.32,12241.775057383109
11.34,12241.775057383109
11.35,24483.550114766218
11.36,24483.550114766218
11.37,61208.87528691732
11.38,85692.42540168353
11.39,122417.75057383286
11.4,306044.37643458304
11.41,330527.9265493493
11.43,342769.7016067324
11.44,342769.7016067324
11.45,342769.7016067324
11.46,342769.7016067324
11.47,330527.9265493493
11.48,379495.0267788835
11.49,1432287.6817138486
11.5,2827850.0382555476
11.52,4798775.822494262
11.53,6108645.753634278
11.54,7859219.586840092
11.55,7895944.912012242
11.56,7908186.687069625
11.57,7908186.687069625
11.58,7908186.687069625
11.59,7908186.687069625
11.6,7895944.912012242
11.62,7871461.361897476
11.63,4456006.120887528
11.64,967100.2295332815
11.65,269319.0512624337
11.66,159143.07574598395
11.67,122417.75057383286
11.68,97934.20045906665
11.69,85692.42540168353
11.71,73450.65034430043
11.72,73450.65034430043
11.73,61208.87528691732
11.74,61208.87528691732
11.75,61208.87528691732
11.76,61208.87528691732
11.77,61208.87528691732
11.78,73450.65034430043
11.8,85692.42540168353
11.81,110175.97551644975
11.82,342769.7016067324
11.83,501912.7773527163
11.84,526396.3274674825
11.85,526396.3274674825
11.86,538638.1025248657
11.87,538638.1025248657
11.89,538638.1025248657
11.9,526396.3274674825
11.91,501912.7773527163
11.92,330527.9265493493
11.93,232593.7260902826
11.94,195868.4009181333
11.95,171384.85080336707
11.96,183626.62586075018
11.98,171384.85080336707
11.99,134659.52563121598
12.0,97934.20045906665
12.01,73450.65034430043
12.02,73450.65034430043
12.03,85692.42540168353
12.04,97934.20045906665
12.05,159143.07574598395
12.07,269319.0512624337
12.08,905891.3542463661
12.09,2938026.0137719978
12.1,4553940.321346595
12.11,6500382.555470543
12.12,6524866.105585311
12.13,6537107.8806426935
12.14,6537107.8806426935
12.15,6537107.8806426935
12.17,6524866.105585311
12.18,6524866.105585311
12.19,6451415.4552410105
12.2,4664116.296863045
12.21,3158377.964804897
12.22,844682.4789594488
12.23,195868.4009181333
12.24,85692.42540168353
12.26,61208.87528691732
12.27,36725.32517214933
12.28,36725.32517214933
12.29,36725.32517214933
12.3,36725.32517214933
12.31,36725.32517214933
12.32,36725.32517214933
12.33,36725.32517214933
12.35,36725.32517214933
12.36,48967.100229532436
12.37,48967.100229532436
12.38,48967.100229532436
12.39,48967.100229532436
12.4,48967.100229532436
12.41,48967.100229532436
12.42,36725.32517214933
12.44,36725.32517214933
12.45,24483.550114766218
12.46,24483.550114766218
12.47,36725.32517214933
12.48,36725.32517214933
12.49,48967.100229532436
12.5,48967.100229532436
12.51,48967.100229532436
12.53,48967.100229532436
12.54,48967.100229532436
12.55,36725.32517214933
12.56,24483.550114766218
12.57,24483.550114766218
12.58,24483.550114766218
12.59,24483.550114766218
12.6,24483.550114766218
12.62,36725.32517214933
12.63,24483.550114766218
12.64,24483.550114766218
12.65,24483.550114766218
12.66,36725.32517214933
12.67,73450.65034430043
12.68,134659.52563121598
12.69,134659.52563121598
12.7,134659.52563121598
12.72,134659.52563121598
12.73,122417.75057383286
12.74,97934.20045906665
12.75,85692.42540168353
12.76,61208.87528691732
12.77,36725.32517214933
12.78,24483.550114766218
12.79,24483.550114766218
12.81,24483.550114766218
12.82,36725.32517214933
12.83,36725.32517214933
12.84,36725.32517214933
12.85,36725.32517214933
12.86,36725.32517214933
12.87,36725.32517214933
12.88,36725.32517214933
12.9,36725.32517214933
12.91,36725.32517214933
12.92,24483.550114766218
12.93,24483.550114766218
12.94,24483.550114766218
12.95,36725.32517214933
12.96,73450.65034430043
12.97,110175.97551644975
12.99,452945.6771231821
13.0,550879.8775822488
13.01,563121.6526396319
13.02,575363.4276970167
13.03,575363.4276970167
13.04,575363.4276970167
13.05,575363.4276970167
13.06,563121.6526396319
13.08,550879.8775822488
13.09,514154.5524100994
13.1,318286.15149196616
13.11,122417.75057383286
13.12,73450.65034430043
13.13,61208.87528691732
13.14,36725.32517214933
13.15,48967.100229532436
13.16,48967.100229532436
13.18,48967.100229532436
13.19,36725.32517214933
13.2,24483.550114766218
13.21,24483.550114766218
13.22,24483.550114766218
13.23,24483.550114766218
13.24,36725.32517214933
13.25,48967.100229532436
13.27,61208.87528691732
13.28,85692.42540168353
13.29,85692.42540168353
13.3,85692.42540168353
13.31,85692.42540168353
13.32,85692.42540168353
13.33,85692.42540168353
13.34,61208.87528691732
13.36,36725.32517214933
13.37,24483.550114766218
13.38,24483.550114766218
13.39,24483.550114766218
13.4,36725.32517214933
13.41,24483.550114766218
13.42,24483.550114766218
13.43,24483.550114766218
13.45,36725.32517214933
13.46,36725.32517214933
13.47,36725.32517214933
13.48,36725.32517214933
13.49,36725.32517214933
13.5,36725.32517214933
13.51,36725.32517214933
13.52,36725.32517214933
13.54,24483.550114766218
13.55,24483.550114766218
13.56,24483.550114766218
13.57,24483.550114766218
13.58,24483.550114766218
13.59,24483.550114766218
13.6,24483.550114766218
13.61,24483.550114766218
13.63,24483.550114766218
13.64,24483.550114766218
13.65,36725.32517214933
13.66,36725.32517214933
13.67,48967.100229532436
13.68,73450.65034430043
13.69,97934.20045906665
13.7,159143.07574598395
13.71,918133.1293037492
13.73,2105585.309869932
13.74,2338179.0359602147
13.75,2350420.8110175976
13.76,2362662.586074981
13.77,2362662.586074981
13.78,2362662.586074981
13.79,2362662.586074981
13.8,2350420.8110175976
13.82,2350420.8110175976
13.83,2301453.7107880637
13.84,1089517.9801071163
13.85,355011.4766641155
13.86,159143.07574598395
13.87,73450.65034430043
13.88,61208.87528691732
13.89,36725.32517214933
13.91,36725.32517214933
13.92,24483.550114766218
13.93,24483.550114766218
13.94,36725.32517214933
13.95,36725.32517214933
13.96,36725.32517214933
13.97,36725.32517214933
13.98,36725.32517214933
14.0,24483.550114766218
14.01,24483.550114766218
14.02,24483.550114766218
14.03,24483.550114766218
14.04,36725.32517214933
14.05,36725.32517214933
14.06,36725.32517214933
14.07,36725.32517214933
14.09,36725.32517214933
14.1,36725.32517214933
14.11,36725.32517214933
14.12,36725.32517214933
14.13,36725.32517214933
14.14,36725.32517214933
14.15,36725.32517214933
14.16,36725.32517214933
14.18,24483.550114766218
14.19,24483.550114766218
14.2,24483.550114766218
