X (m/z),Y (Intensity)
12.12,301.6574585635359
12.58,303.3149171270718
12.61,303.3149171270718
12.64,324.8618784530387
12.67,437.5690607734807
12.7,498.89502762430936
12.73,498.89502762430936
12.76,419.3370165745856
12.79,314.9171270718232
12.81,306.62983425414365
12.84,303.3149171270718
12.87,303.3149171270718
12.9,301.6574585635359
12.93,301.6574585635359
13.05,301.6574585635359
13.08,351.38121546961327
13.11,515.4696132596684
13.14,566.8508287292818
13.16,566.8508287292818
13.19,477.34806629834253
13.22,329.8342541436464
13.25,316.5745856353591
13.28,311.6022099447514
13.31,308.2872928176796
13.34,304.97237569060775
13.37,303.3149171270718
13.4,301.6574585635359
13.43,301.6574585635359
13.46,301.6574585635359
13.48,301.6574585635359
13.51,301.6574585635359
13.54,301.6574585635359
14.33,303.3149171270718
14.36,323.2044198895028
14.39,324.8618784530387
14.42,324.8618784530387
14.44,314.9171270718232
14.47,306.62983425414365
14.5,303.3149171270718
14.53,301.6574585635359
14.82,308.2872928176796
14.85,427.6243093922652
14.88,563.5359116022099
14.91,563.5359116022099
14.94,561.878453038674
14.97,346.4088397790055
15.0,319.88950276243094
15.03,311.6022099447514
15.06,304.97237569060775
15.09,303.3149171270718
15.11,301.6574585635359
15.14,301.6574585635359
15.2,306.62983425414365
15.23,309.9447513812155
15.26,308.2872928176796
15.29,304.97237569060775
15.43,304.97237569060775
15.46,304.97237569060775
15.49,304.97237569060775
15.58,321.5469613259669
15.61,460.77348066298345
15.64,540.3314917127072
15.67,540.3314917127072
15.7,487.292817679558
15.73,343.09392265193367
15.75,319.88950276243094
15.78,308.2872928176796
15.81,304.97237569060775
15.84,303.3149171270718
15.87,301.6574585635359
15.9,301.6574585635359
16.1,336.4640883977901
16.13,349.72375690607737
16.16,444.1988950276243
16.19,527.0718232044198
16.22,527.0718232044198
16.25,525.414364640884
16.28,358.0110497237569
16.31,319.88950276243094
16.34,309.9447513812155
16.37,304.97237569060775
16.4,303.3149171270718
16.42,301.6574585635359
16.45,303.3149171270718
16.48,367.95580110497235
16.51,474.0331491712707
16.54,475.69060773480663
16.57,474.0331491712707
16.6,384.5303867403315
16.63,323.2044198895028
16.66,309.9447513812155
16.69,306.62983425414365
16.72,304.97237569060775
16.74,304.97237569060775
16.77,339.7790055248619
16.8,387.84530386740335
16.83,387.84530386740335
16.86,386.18784530386745
16.89,331.49171270718233
16.92,309.9447513812155
16.95,304.97237569060775
16.98,303.3149171270718
17.01,301.6574585635359
17.04,301.6574585635359
17.06,301.6574585635359
17.09,301.6574585635359
17.27,301.6574585635359
17.3,303.3149171270718
17.33,301.6574585635359
18.26,301.6574585635359
18.29,301.6574585635359
18.32,301.6574585635359
18.99,306.62983425414365
19.01,308.2872928176796
19.04,304.97237569060775
20.12,321.5469613259669
20.15,407.7348066298342
20.18,434.2541436464088
20.21,432.5966850828729
20.24,374.58563535911605
20.27,334.8066298342542
20.3,318.23204419889504
20.32,311.6022099447514
20.35,308.2872928176796
20.38,306.62983425414365
20.41,304.97237569060775
20.44,304.97237569060775
20.47,313.2596685082873
20.5,409.3922651933701
20.53,465.74585635359114
20.56,465.74585635359114
20.59,377.90055248618785
20.62,321.5469613259669
20.64,313.2596685082873
20.67,309.9447513812155
20.7,306.62983425414365
20.73,304.97237569060775
20.76,304.97237569060775
20.79,304.97237569060775
20.82,303.3149171270718
20.85,303.3149171270718
20.88,303.3149171270718
20.91,303.3149171270718
20.94,303.3149171270718
20.96,333.1491712707182
20.99,349.72375690607737
21.02,349.72375690607737
21.05,328.1767955801105
21.08,308.2872928176796
21.11,304.97237569060775
21.14,303.3149171270718
21.17,303.3149171270718
21.2,303.3149171270718
21.23,303.3149171270718
21.26,303.3149171270718
21.28,304.97237569060775
21.31,304.97237569060775
21.34,303.3149171270718
21.37,303.3149171270718
21.4,301.6574585635359
21.43,303.3149171270718
21.46,314.9171270718232
21.49,316.5745856353591
21.52,316.5745856353591
21.55,316.5745856353591
21.58,313.2596685082873
21.6,311.6022099447514
21.63,311.6022099447514
21.66,309.9447513812155
21.69,309.9447513812155
21.72,308.2872928176796
21.75,306.62983425414365
21.78,304.97237569060775
21.81,304.97237569060775
21.84,304.97237569060775
21.87,303.3149171270718
21.9,303.3149171270718
21.93,303.3149171270718
21.95,343.09392265193367
21.98,462.4309392265193
22.01,464.0883977900553
22.04,464.0883977900553
22.07,430.939226519337
22.1,353.03867403314916
22.13,328.1767955801105
22.16,319.88950276243094
22.19,314.9171270718232
22.22,311.6022099447514
22.25,309.9447513812155
22.27,308.2872928176796
22.3,308.2872928176796
22.33,306.62983425414365
22.36,306.62983425414365
22.39,306.62983425414365
22.42,306.62983425414365
22.45,304.97237569060775
22.48,304.97237569060775
22.51,304.97237569060775
22.54,304.97237569060775
22.57,304.97237569060775
22.59,304.97237569060775
22.62,303.3149171270718
22.65,303.3149171270718
22.68,303.3149171270718
22.71,303.3149171270718
22.74,303.3149171270718
22.77,303.3149171270718
22.8,303.3149171270718
22.83,303.3149171270718
22.86,303.3149171270718
22.89,303.3149171270718
22.91,306.62983425414365
22.94,338.121546961326
22.97,449.171270718232
23.0,480.6629834254144
23.03,480.6629834254144
23.06,459.1160220994475
23.09,343.09392265193367
23.12,323.2044198895028
23.15,316.5745856353591
23.18,313.2596685082873
23.21,309.9447513812155
23.23,308.2872928176796
23.26,308.2872928176796
23.29,308.2872928176796
23.32,306.62983425414365
23.35,306.62983425414365
23.38,304.97237569060775
23.41,304.97237569060775
23.44,304.97237569060775
23.47,306.62983425414365
23.5,306.62983425414365
23.53,306.62983425414365
23.56,304.97237569060775
23.58,304.97237569060775
23.61,304.97237569060775
23.64,304.97237569060775
23.67,304.97237569060775
23.7,308.2872928176796
23.73,308.2872928176796
23.76,308.2872928176796
23.79,304.97237569060775
23.82,304.97237569060775
23.85,304.97237569060775
23.88,304.97237569060775
23.9,304.97237569060775
23.93,304.97237569060775
23.96,304.97237569060775
23.99,304.97237569060775
24.02,304.97237569060775
24.05,304.97237569060775
24.08,304.97237569060775
24.11,304.97237569060775
24.14,304.97237569060775
24.17,304.97237569060775
24.2,304.97237569060775
24.22,304.97237569060775
24.25,304.97237569060775
24.28,304.97237569060775
24.31,304.97237569060775
24.34,304.97237569060775
24.37,304.97237569060775
24.4,304.97237569060775
24.43,304.97237569060775
24.46,304.97237569060775
24.49,304.97237569060775
24.52,304.97237569060775
24.54,304.97237569060775
24.57,304.97237569060775
24.6,304.97237569060775
24.63,313.2596685082873
24.66,343.09392265193367
24.69,348.0662983425415
24.72,348.0662983425415
24.75,341.43646408839777
24.78,329.8342541436464
24.81,321.5469613259669
24.84,318.23204419889504
24.86,314.9171270718232
24.89,313.2596685082873
24.92,311.6022099447514
24.95,309.9447513812155
24.98,309.9447513812155
25.01,308.2872928176796
25.04,308.2872928176796
25.07,308.2872928176796
25.1,308.2872928176796
25.13,308.2872928176796
25.16,308.2872928176796
25.19,309.9447513812155
25.21,309.9447513812155
25.24,309.9447513812155
25.27,309.9447513812155
25.3,309.9447513812155
25.33,309.9447513812155
25.36,309.9447513812155
25.39,309.9447513812155
25.42,309.9447513812155
25.45,309.9447513812155
25.48,309.9447513812155
25.51,309.9447513812155
25.53,309.9447513812155
25.56,309.9447513812155
25.59,309.9447513812155
25.62,309.9447513812155
25.65,309.9447513812155
25.68,309.9447513812155
25.71,309.9447513812155
25.74,309.9447513812155
25.77,309.9447513812155
25.8,309.9447513812155
25.83,309.9447513812155
25.85,309.9447513812155
