X (m/z),Y (Intensity)
11.0,96774.19354838734
11.05,48387.09677419367
11.1,72580.64516129009
11.14,72580.64516129009
11.19,72580.64516129009
11.24,72580.64516129009
11.29,48387.09677419367
11.33,72580.64516129009
11.38,604838.7096774196
11.43,604838.7096774196
11.48,4887096.774193549
11.52,4887096.774193549
11.57,1814516.1290322582
11.62,48387.09677419367
11.67,96774.19354838734
11.71,72580.64516129009
11.76,387096.77419354854
11.81,556451.6129032259
11.86,580645.1612903224
11.9,241935.48387096752
11.95,96774.19354838734
12.0,677419.3548387097
12.05,3000000.0
12.1,3072580.64516129
12.14,1887096.7741935481
12.19,48387.09677419367
12.24,48387.09677419367
12.29,48387.09677419367
12.33,48387.09677419367
12.38,72580.64516129009
12.43,72580.64516129009
12.48,72580.64516129009
12.52,48387.09677419367
12.57,48387.09677419367
12.62,48387.09677419367
12.67,72580.64516129009
12.71,48387.09677419367
12.76,48387.09677419367
12.81,48387.09677419367
12.86,48387.09677419367
12.9,72580.64516129009
12.95,145161.29032258102
13.0,459677.4193548386
13.05,435483.87096774223
13.1,48387.09677419367
13.14,48387.09677419367
13.19,48387.09677419367
13.24,48387.09677419367
13.29,72580.64516129009
13.33,48387.09677419367
13.38,48387.09677419367
13.43,72580.64516129009
13.48,72580.64516129009
13.52,72580.64516129009
13.57,72580.64516129009
13.62,72580.64516129009
13.67,72580.64516129009
13.71,193548.38709677386
13.76,2250000.0000000005
13.81,2250000.0000000005
13.86,120967.74193548376
13.9,72580.64516129009
13.95,72580.64516129009
14.0,72580.64516129009
14.05,72580.64516129009
14.1,72580.64516129009
14.14,96774.19354838734
14.19,96774.19354838734
14.24,193548.38709677386
14.29,483870.96774193586
14.33,580645.1612903224
14.38,508064.5161290323
14.43,72580.64516129009
14.48,72580.64516129009
14.52,3362903.2258064514
14.57,4209677.419354838
14.62,2975806.451612903
14.67,72580.64516129009
14.71,120967.74193548376
14.76,96774.19354838734
14.81,72580.64516129009
14.86,120967.74193548376
14.9,701612.9032258062
14.95,701612.9032258062
15.0,120967.74193548376
15.05,72580.64516129009
15.1,556451.6129032259
15.14,1548387.0967741932
15.19,1548387.0967741932
15.24,193548.38709677386
15.29,362903.2258064513
15.33,314516.12903225847
15.38,72580.64516129009
15.43,1693548.3870967743
15.48,4137096.7741935486
15.52,6459677.419354839
15.57,6435483.870967742
15.62,145161.29032258102
15.67,96774.19354838734
15.71,362903.2258064513
15.76,362903.2258064513
15.81,266129.0322580648
15.86,338709.67741935485
15.9,338709.67741935485
15.95,96774.19354838734
16.0,96774.19354838734
16.05,145161.29032258102
16.1,120967.74193548376
16.14,96774.19354838734
16.19,96774.19354838734
16.24,96774.19354838734
16.29,145161.29032258102
16.33,145161.29032258102
16.38,120967.74193548376
16.43,120967.74193548376
16.48,96774.19354838734
16.52,72580.64516129009
16.57,72580.64516129009
16.62,72580.64516129009
16.67,72580.64516129009
16.71,72580.64516129009
16.76,72580.64516129009
16.81,120967.74193548376
16.86,120967.74193548376
16.9,96774.19354838734
16.95,72580.64516129009
17.0,72580.64516129009
17.05,72580.64516129009
17.1,72580.64516129009
17.14,72580.64516129009
17.19,72580.64516129009
17.24,72580.64516129009
17.29,217741.93548387112
17.33,241935.48387096752
17.38,193548.38709677386
17.43,96774.19354838734
17.48,96774.19354838734
17.52,96774.19354838734
17.57,96774.19354838734
17.62,96774.19354838734
17.67,96774.19354838734
17.71,96774.19354838734
17.76,96774.19354838734
17.81,96774.19354838734
17.86,96774.19354838734
17.9,96774.19354838734
17.95,241935.48387096752
18.0,217741.93548387112
18.05,96774.19354838734
18.1,96774.19354838734
18.14,96774.19354838734
18.19,96774.19354838734
18.24,96774.19354838734
18.29,96774.19354838734
18.33,96774.19354838734
18.38,96774.19354838734
18.43,96774.19354838734
18.48,96774.19354838734
18.52,96774.19354838734
18.57,1354838.7096774194
18.62,1427419.3548387096
18.67,72580.64516129009
18.71,72580.64516129009
18.76,48387.09677419367
18.81,24193.54838709642
18.86,48387.09677419367
18.9,48387.09677419367
18.95,48387.09677419367
19.0,48387.09677419367
19.05,48387.09677419367
19.1,72580.64516129009
19.14,145161.29032258102
19.19,145161.29032258102
19.24,290322.5806451612
19.29,435483.87096774223
19.33,411290.322580645
19.38,169354.83870967742
19.43,145161.29032258102
19.48,1040322.580645161
19.52,3508064.5161290322
19.57,3508064.5161290322
19.62,48387.09677419367
19.67,24193.54838709642
19.71,24193.54838709642
19.76,48387.09677419367
19.81,72580.64516129009
19.86,48387.09677419367
19.9,48387.09677419367
19.95,48387.09677419367
20.0,96774.19354838734
20.05,72580.64516129009
20.1,72580.64516129009
20.14,72580.64516129009
20.19,96774.19354838734
20.24,483870.96774193586
20.29,459677.4193548386
20.33,48387.09677419367
20.38,48387.09677419367
20.43,48387.09677419367
20.48,72580.64516129009
20.52,48387.09677419367
20.57,48387.09677419367
20.62,24193.54838709642
20.67,24193.54838709642
20.71,24193.54838709642
20.76,677419.3548387097
20.81,1451612.9032258068
20.86,1451612.9032258068
20.9,96774.19354838734
20.95,48387.09677419367
21.0,72580.64516129009
21.05,48387.09677419367
21.1,24193.54838709642
21.14,24193.54838709642
21.19,24193.54838709642
21.24,24193.54838709642
21.29,24193.54838709642
21.33,241935.48387096752
21.38,604838.7096774196
21.43,580645.1612903224
21.48,48387.09677419367
21.52,145161.29032258102
21.57,556451.6129032259
21.62,580645.1612903224
21.67,459677.4193548386
21.71,120967.74193548376
21.76,145161.29032258102
21.81,120967.74193548376
21.86,48387.09677419367
21.9,217741.93548387112
21.95,967741.9354838709
22.0,967741.9354838709
22.05,72580.64516129009
22.1,72580.64516129009
22.14,435483.87096774223
22.19,532258.0645161287
22.24,435483.87096774223
22.29,483870.96774193586
22.33,483870.96774193586
22.38,338709.67741935485
22.43,48387.09677419367
22.48,314516.12903225847
22.52,2201612.9032258065
22.57,3870967.7419354836
22.62,3870967.7419354836
22.67,362903.2258064513
22.71,96774.19354838734
22.76,483870.96774193586
22.81,483870.96774193586
22.86,96774.19354838734
22.9,1064516.1290322582
22.95,1064516.1290322582
23.0,580645.1612903224
23.05,96774.19354838734
23.1,96774.19354838734
23.14,193548.38709677386
23.19,193548.38709677386
23.24,48387.09677419367
23.29,48387.09677419367
23.33,24193.54838709642
23.38,48387.09677419367
23.43,169354.83870967742
23.48,169354.83870967742
23.52,72580.64516129009
23.57,48387.09677419367
23.62,48387.09677419367
23.67,48387.09677419367
23.71,72580.64516129009
23.76,72580.64516129009
23.81,72580.64516129009
23.86,48387.09677419367
23.9,24193.54838709642
23.95,24193.54838709642
24.0,870967.7419354836
24.05,1451612.9032258068
24.1,1451612.9032258068
24.14,72580.64516129009
24.19,48387.09677419367
24.24,48387.09677419367
24.29,48387.09677419367
24.33,24193.54838709642
24.38,48387.09677419367
24.43,48387.09677419367
24.48,48387.09677419367
24.52,145161.29032258102
24.57,435483.87096774223
24.62,411290.322580645
24.67,96774.19354838734
24.71,96774.19354838734
24.76,96774.19354838734
24.81,96774.19354838734
24.86,96774.19354838734
24.9,48387.09677419367
24.95,48387.09677419367
25.0,48387.09677419367
25.05,72580.64516129009
25.1,193548.38709677386
25.14,193548.38709677386
25.19,314516.12903225847
25.24,338709.67741935485
25.29,145161.29032258102
25.33,48387.09677419367
25.38,48387.09677419367
25.43,48387.09677419367
25.48,24193.54838709642
25.52,48387.09677419367
25.57,48387.09677419367
25.62,48387.09677419367
25.67,48387.09677419367
25.71,48387.09677419367
25.76,24193.54838709642
25.81,48387.09677419367
25.86,48387.09677419367
25.9,48387.09677419367
25.95,48387.09677419367
26.0,24193.54838709642
26.05,48387.09677419367
26.1,48387.09677419367
26.14,48387.09677419367
26.19,48387.09677419367
26.24,48387.09677419367
26.29,48387.09677419367
26.33,48387.09677419367
26.38,48387.09677419367
26.43,72580.64516129009
26.48,48387.09677419367
26.52,48387.09677419367
26.57,48387.09677419367
26.62,48387.09677419367
26.67,48387.09677419367
26.71,48387.09677419367
26.76,48387.09677419367
26.81,48387.09677419367
26.86,48387.09677419367
26.9,72580.64516129009
26.95,72580.64516129009
27.0,24193.54838709642
27.05,24193.54838709642
27.1,24193.54838709642
27.14,24193.54838709642
27.19,24193.54838709642
27.24,24193.54838709642
27.29,24193.54838709642
27.33,24193.54838709642
27.38,48387.09677419367
27.43,48387.09677419367
27.48,48387.09677419367
27.52,48387.09677419367
27.57,48387.09677419367
27.62,48387.09677419367
27.67,48387.09677419367
27.71,48387.09677419367
27.76,48387.09677419367
27.81,48387.09677419367
27.86,24193.54838709642
27.9,24193.54838709642
27.95,24193.54838709642
28.0,24193.54838709642
28.05,48387.09677419367
28.1,48387.09677419367
28.14,72580.64516129009
28.19,72580.64516129009
28.24,48387.09677419367
28.29,48387.09677419367
28.33,48387.09677419367
28.38,48387.09677419367
28.43,48387.09677419367
28.48,48387.09677419367
28.52,48387.09677419367
28.57,48387.09677419367
28.62,48387.09677419367
28.67,48387.09677419367
28.71,48387.09677419367
28.76,48387.09677419367
28.81,48387.09677419367
28.86,48387.09677419367
28.9,48387.09677419367
28.95,48387.09677419367
29.0,48387.09677419367
29.05,48387.09677419367
29.1,48387.09677419367
29.14,48387.09677419367
29.19,48387.09677419367
29.24,48387.09677419367
29.29,48387.09677419367
29.33,48387.09677419367
29.38,48387.09677419367
29.43,48387.09677419367
29.48,48387.09677419367
29.52,48387.09677419367
29.57,48387.09677419367
29.62,48387.09677419367
29.67,48387.09677419367
29.71,48387.09677419367
29.76,48387.09677419367
29.81,48387.09677419367
29.86,48387.09677419367
29.9,48387.09677419367
