Energy [keV],Net Count Rate
0,9410
0.02,7253
0.04,4656
0.06,2713
0.08,1291
0.1,310
0.12,60
0.14,13
0.16,4
0.18,5
0.2,5
0.22,4
0.24,3
0.26,1
0.28,2
0.3,2
0.32,2
0.34,0
0.36,1
0.38,0
0.4,2
0.42,1
0.44,2
0.46,3
0.48,0
0.499,0
0.519,0
0.539,1
0.559,1
0.579,1
0.599,0
0.619,27
0.639,241
0.659,786
0.679,1380
0.699,1675
0.719,1878
0.739,1900
0.759,1840
0.779,1836
0.799,1865
0.819,1876
0.839,1892
0.859,1913
0.879,2050
0.899,1914
0.919,1971
0.939,2065
0.959,1990
0.979,1907
0.999,1848
1.019,1810
1.039,1794
1.059,1824
1.079,1804
1.099,1791
1.119,1745
1.139,1837
1.159,1741
1.179,1718
1.199,1753
1.219,1722
1.239,1702
1.259,1616
1.279,1629
1.299,1522
1.319,1491
1.339,1477
1.359,1471
1.379,1469
1.399,1503
1.419,1512
1.439,1475
1.458,1596
1.478,1540
1.498,1588
1.518,1523
1.538,1442
1.558,1371
1.578,1395
1.598,1360
1.618,1386
1.638,1371
1.658,1429
1.678,1510
1.698,1585
1.718,1640
1.738,1737
1.758,1685
1.778,1532
1.798,1435
1.818,1393
1.838,1342
1.858,1345
1.878,1371
1.898,1426
1.918,1472
1.938,1553
1.958,1616
1.978,1606
1.998,1774
2.018,1662
2.038,1562
2.058,1545
2.078,1526
2.098,1560
2.118,1504
2.138,1577
2.158,1646
2.178,1669
2.198,1952
2.218,2297
2.238,3091
2.258,3919
2.278,4984
2.298,5391
2.318,5517
2.338,5085
2.358,4195
2.378,3447
2.398,2789
2.418,2647
2.437,2403
2.457,2538
2.477,2588
2.497,2768
2.517,3337
2.537,4263
2.557,5955
2.577,8474
2.597,11410
2.617,14906
2.637,18787
2.657,21754
2.677,23563
2.697,23764
2.717,21636
2.737,19119
2.757,16587
2.777,15506
2.797,15734
2.817,16788
2.837,17181
2.857,17376
2.877,17123
2.897,17598
2.917,18427
2.937,19116
2.957,19295
2.977,17496
2.997,14669
3.017,11387
3.037,8252
3.057,5910
3.077,4543
3.097,3878
3.117,3656
3.137,3823
3.157,4002
3.177,4069
3.197,4067
3.217,4058
3.237,3927
3.257,4320
3.277,4889
3.297,5056
3.317,5289
3.337,5232
3.357,4645
3.377,3902
3.396,3536
3.416,2863
3.436,2538
3.456,2390
3.476,2357
3.496,2451
3.516,2465
3.536,2695
3.556,2922
3.576,3509
3.596,4120
3.616,5188
3.636,6596
3.656,7947
3.676,9057
3.696,8942
3.716,8443
3.736,7317
3.756,5975
3.776,4667
3.796,3859
3.816,3263
3.836,3020
3.856,3019
3.876,2946
3.896,2996
3.916,3135
3.936,3479
3.956,3620
3.976,3885
3.996,4043
4.016,4143
4.036,4307
4.056,4034
4.076,3773
4.096,3679
4.116,3539
4.136,3517
4.156,3464
4.176,3455
4.196,3504
4.216,3369
4.236,3558
4.256,3542
4.276,3582
4.296,3642
4.316,3722
4.336,3765
4.356,3808
4.375,3925
4.395,4079
4.415,4257
4.435,4415
4.455,4671
4.475,4738
4.495,4826
4.515,4900
4.535,4696
4.555,4714
4.575,4555
4.595,4402
4.615,4374
4.635,4284
4.655,4317
4.675,4331
4.695,4348
4.715,4320
4.735,4494
4.755,4557
4.775,4666
4.795,4566
4.815,4584
4.835,4701
4.855,4696
4.875,4909
4.895,5005
4.915,5064
4.935,5117
4.955,5154
4.975,5162
4.995,5212
5.015,5041
5.035,5008
5.055,5163
5.075,5242
5.095,5289
5.115,5403
5.135,5298
5.155,5563
5.175,5696
5.195,5647
5.215,5653
5.235,5802
5.255,5822
5.275,5845
5.295,6139
5.315,5917
5.334,6042
5.354,6260
5.374,6324
5.394,6386
5.414,6353
5.434,6532
5.454,6652
5.474,6812
5.494,6846
5.514,6845
5.534,6833
5.554,6919
5.574,6891
5.594,6935
5.614,6980
5.634,7180
5.654,7299
5.674,7344
5.694,7212
5.714,7621
5.734,7652
5.754,7549
5.774,7632
5.794,7792
5.814,8112
5.834,7889
5.854,8311
5.874,8497
5.894,8440
5.914,8435
5.934,8372
5.954,8381
5.974,8483
5.994,8437
6.014,8424
6.034,8622
6.054,8505
6.074,8800
6.094,8909
6.114,9010
6.134,9452
6.154,9546
6.174,9759
6.194,10082
6.214,10237
6.234,10815
6.254,11246
6.274,11685
6.294,12745
6.313,13676
6.333,15103
6.353,16108
6.373,16988
6.393,17443
6.413,17689
6.433,16586
6.453,15539
6.473,13951
6.493,12556
6.513,11382
6.533,10735
6.553,10369
6.573,10073
6.593,9976
6.613,9830
6.633,9858
6.653,10018
6.673,9962
6.693,10091
6.713,10429
6.733,10440
6.753,10694
6.773,10970
6.793,11004
6.813,11214
6.833,11148
6.853,11587
6.873,11698
6.893,11868
6.913,11938
6.933,12098
6.953,12072
6.973,12459
6.993,12416
7.013,12506
7.033,12751
7.053,13084
7.073,13153
7.093,13474
7.113,13896
7.133,14753
7.153,15652
7.173,16516
7.193,17842
7.213,19563
7.233,21121
7.253,22697
7.273,23972
7.292,25251
7.312,25607
7.332,26170
7.352,26983
7.372,27629
7.392,28314
7.412,28956
7.432,29661
7.452,30149
7.472,29642
7.492,28161
7.512,25930
7.532,22700
7.552,19984
7.572,16802
7.592,14690
7.612,12938
7.632,11967
7.652,11413
7.672,11202
7.692,11214
7.712,11230
7.732,11091
7.752,11177
7.772,11179
7.792,11206
7.812,11581
7.832,11651
7.852,11826
7.872,11847
7.892,12228
7.912,12373
7.932,12656
7.952,13067
7.972,13561
7.992,14017
8.012,14397
8.032,14398
8.052,14822
8.072,14848
8.092,14649
8.112,14259
8.132,14385
8.152,14211
8.172,14169
8.192,14156
8.212,14148
8.232,14468
8.251,14575
8.271,14558
8.291,14278
8.311,13753
8.331,13519
8.351,13542
8.371,13370
8.391,13493
8.411,13556
8.431,14743
8.451,16314
8.471,19559
8.491,25402
8.511,33437
8.531,45394
8.551,59981
8.571,74847
8.591,89768
8.611,102023
8.631,107032
8.651,105594
8.671,98105
8.691,84740
8.711,69426
8.731,53849
8.751,40226
8.771,29910
8.791,22561
8.811,17523
8.831,14954
8.851,13548
8.871,12788
8.891,12489
8.911,12550
8.931,12402
8.951,12343
8.971,12410
8.991,12206
9.011,12335
9.031,12165
9.051,12326
9.071,12462
9.091,12192
9.111,12400
9.131,12307
9.151,12438
9.171,12523
9.191,12637
9.211,12578
9.23,12535
9.25,12571
9.27,12747
9.29,12703
9.31,12696
9.33,12915
9.35,12962
9.37,13181
9.39,13724
9.41,14225
9.43,14924
9.45,16152
9.47,17868
9.49,19490
9.51,21769
9.53,24082
9.55,25749
9.57,26608
9.59,26106
9.61,25277
9.63,23709
9.65,21215
9.67,19058
9.69,17193
9.71,15525
9.73,14362
9.75,13582
9.77,13072
9.79,12950
9.81,12417
9.83,12536
9.85,12626
9.87,12557
9.89,12677
9.91,12512
9.93,12620
9.95,12510
9.97,12475
9.99,12376
10.01,12658
10.03,12574
10.05,12678
10.07,12599
10.09,12561
10.11,12334
10.13,12622
10.15,12544
10.17,12442
10.189,12782
10.209,12746
10.229,12580
10.249,12636
10.269,12593
10.289,12450
10.309,12558
10.329,12516
10.349,12465
10.369,12587
10.389,12546
10.409,12586
10.429,12548
10.449,12689
10.469,12346
10.489,12623
10.509,12715
10.529,12682
10.549,12536
10.569,12533
10.589,12574
10.609,12495
10.629,12619
10.649,12526
10.669,12519
10.689,12544
10.709,12782
10.729,12346
10.749,12470
10.769,12525
10.789,12552
10.809,12556
10.829,12347
10.849,12234
10.869,12296
10.889,12391
10.909,12107
10.929,12487
10.949,12272
10.969,12368
10.989,12352
11.009,12581
11.029,12270
11.049,12344
11.069,12264
11.089,12369
11.109,12262
11.129,12120
11.149,12307
11.168,12224
11.188,12292
11.208,12203
11.228,12083
11.248,12074
11.268,12170
11.288,12196
11.308,12012
11.328,12027
11.348,12192
11.368,12240
11.388,12008
11.408,11997
11.428,12064
11.448,12036
11.468,12092
11.488,11941
11.508,12069
11.528,11996
11.548,11972
11.568,11850
11.588,12016
11.608,12006
11.628,11897
11.648,11752
11.668,11777
11.688,11774
11.708,11961
11.728,11848
11.748,11770
11.768,11842
11.788,11795
11.808,11832
11.828,11907
11.848,11928
11.868,11978
11.888,11743
11.908,11928
11.928,12002
11.948,11826
11.968,11731
11.988,11789
12.008,11564
12.028,11765
12.048,11591
12.068,11352
12.088,11628
12.108,11483
12.127,11473
12.147,11324
12.167,11355
12.187,11489
12.207,11233
12.227,11411
12.247,11398
12.267,11202
12.287,11164
12.307,11266
12.327,11013
12.347,11305
12.367,11197
12.387,11175
12.407,11020
12.427,10866
12.447,10994
12.467,10988
12.487,10966
12.507,11122
12.527,11015
12.547,10803
12.567,10750
12.587,10791
12.607,10977
12.627,10992
12.647,11042
12.667,10969
12.687,10876
12.707,10698
12.727,10560
12.747,10513
12.767,10697
12.787,10488
12.807,10478
12.827,10328
12.847,10462
12.867,10576
12.887,10402
12.907,10290
12.927,10382
12.947,10399
12.967,10340
12.987,10517
13.007,10327
13.027,10238
13.047,10143
13.067,10207
13.087,10206
13.106,10140
13.126,10149
13.146,10168
13.166,10048
13.186,10157
13.206,10240
13.226,10091
13.246,9978
13.266,9960
13.286,9967
13.306,9998
13.326,9915
13.346,10008
13.366,9993
13.386,9934
13.406,9771
13.426,9888
13.446,9850
13.466,9636
13.486,9617
13.506,9764
13.526,9600
13.546,9600
13.566,9614
13.586,9531
13.606,9457
13.626,9309
13.646,9393
13.666,9234
13.686,9529
13.706,9380
13.726,9348
13.746,9235
13.766,9262
13.786,9166
13.806,9252
13.826,9267
13.846,9284
13.866,9151
13.886,9269
13.906,9126
13.926,9239
13.946,9046
13.966,9198
13.986,9184
14.006,8974
14.026,9157
14.046,8873
14.065,8904
14.085,9043
14.105,8794
14.125,8896
14.145,8755
14.165,9144
14.185,8985
14.205,8840
14.225,8912
14.245,8857
14.265,8644
14.285,8714
14.305,8521
14.325,8765
14.345,8591
14.365,8517
14.385,8468
14.405,8623
14.425,8580
14.445,8225
14.465,8505
14.485,8361
14.505,8264
14.525,8272
14.545,8325
14.565,8399
14.585,8247
14.605,8434
14.625,8104
14.645,8158
14.665,8129
14.685,8137
14.705,8239
14.725,7986
14.745,7996
14.765,8008
14.785,7974
14.805,8112
14.825,7843
14.845,7912
14.865,7831
14.885,7960
14.905,7941
14.925,7792
14.945,7769
14.965,7628
14.985,7792
15.005,7826
15.025,7695
15.044,7711
15.064,7895
15.084,7547
15.104,7698
15.124,7531
15.144,7568
15.164,7521
15.184,7684
15.204,7542
15.224,7472
15.244,7351
15.264,7383
15.284,7372
15.304,7355
15.324,7350
15.344,7288
15.364,7232
15.384,7125
15.404,7177
15.424,7341
15.444,7112
15.464,7100
15.484,7159
15.504,7032
15.524,7042
15.544,7147
15.564,6957
15.584,6978
15.604,7025
15.624,7027
15.644,7162
15.664,6987
15.684,7009
15.704,6915
15.724,6861
15.744,6795
15.764,6736
15.784,6868
15.804,6914
15.824,6699
15.844,6823
15.864,6672
15.884,6668
15.904,6725
15.924,6538
15.944,6569
15.964,6547
15.984,6467
16.003,6569
16.023,6643
16.043,6554
16.063,6330
16.083,6591
16.103,6436
16.123,6421
16.143,6366
16.163,6178
16.183,6390
16.203,6089
16.223,6389
16.243,6284
16.263,6340
16.283,6377
16.303,6412
16.323,6320
16.343,6260
16.363,6164
16.383,6235
16.403,6082
16.423,6156
16.443,6104
16.463,6169
16.483,6114
16.503,5894
16.523,5921
16.543,5884
16.563,5896
16.583,6070
16.603,5862
16.623,5895
16.643,5853
16.663,5765
16.683,5777
16.703,5887
16.723,5805
16.743,5957
16.763,5785
16.783,5702
16.803,5872
16.823,5924
16.843,5763
16.863,5772
16.883,5695
16.903,5766
16.923,5650
16.943,5776
16.963,5738
16.982,5699
17.002,5604
17.022,5676
17.042,5564
17.062,5675
17.082,5751
17.102,5567
17.122,5573
17.142,5489
17.162,5545
17.182,5482
17.202,5533
17.222,5596
17.242,5482
17.262,5590
17.282,5531
17.302,5499
17.322,5499
17.342,5465
17.362,5515
17.382,5371
17.402,5475
17.422,5447
17.442,5261
17.462,5348
17.482,5430
17.502,5455
17.522,5323
17.542,5428
17.562,5486
17.582,5484
17.602,5476
17.622,5400
17.642,5411
17.662,5443
17.682,5326
17.702,5485
17.722,5512
17.742,5400
17.762,5300
17.782,5394
17.802,5399
17.822,5494
17.842,5586
17.862,5592
17.882,5582
17.902,5665
17.922,5461
