Energy [keV],Net Count Rate
0,9392
0.02,7591
0.04,4583
0.06,2770
0.08,1212
0.1,305
0.12,50
0.14,10
0.161,6
0.181,7
0.201,3
0.221,3
0.241,1
0.261,1
0.281,2
0.301,1
0.321,0
0.341,2
0.361,1
0.381,0
0.401,2
0.421,1
0.442,1
0.462,0
0.482,0
0.502,0
0.522,1
0.542,0
0.562,1
0.582,0
0.602,0
0.622,15
0.642,222
0.662,702
0.682,1222
0.702,1499
0.723,1647
0.743,1736
0.763,1771
0.783,1693
0.803,1742
0.823,1700
0.843,1694
0.863,1720
0.883,1793
0.903,1821
0.923,1802
0.943,1843
0.963,1806
0.983,1798
1.003,1740
1.024,1719
1.044,1636
1.064,1679
1.084,1763
1.104,1678
1.124,1673
1.144,1677
1.164,1577
1.184,1577
1.204,1579
1.224,1623
1.244,1631
1.264,1532
1.284,1448
1.305,1340
1.325,1446
1.345,1348
1.365,1290
1.385,1351
1.405,1336
1.425,1359
1.445,1447
1.465,1521
1.485,1495
1.505,1438
1.525,1503
1.545,1395
1.565,1436
1.586,1305
1.606,1287
1.626,1309
1.646,1363
1.666,1456
1.686,1416
1.706,1555
1.726,1600
1.746,1685
1.766,1572
1.786,1590
1.806,1472
1.826,1365
1.846,1399
1.866,1481
1.887,1651
1.907,1712
1.927,1896
1.947,2124
1.967,2039
1.987,1960
2.007,1783
2.027,1651
2.047,1594
2.067,1541
2.087,1463
2.107,1442
2.127,1475
2.147,1550
2.168,1575
2.188,1704
2.208,1966
2.228,2387
2.248,3180
2.268,3981
2.288,4770
2.308,5163
2.328,5197
2.348,4577
2.368,3890
2.388,3162
2.408,2728
2.428,2579
2.449,2480
2.469,2465
2.489,2506
2.509,2799
2.529,3175
2.549,3844
2.569,5165
2.589,7280
2.609,10004
2.629,13481
2.649,17181
2.669,21209
2.689,23078
2.709,22899
2.729,21257
2.75,18290
2.77,16539
2.79,16017
2.81,16835
2.83,17891
2.85,18443
2.87,18219
2.89,18377
2.91,18664
2.93,18997
2.95,19832
2.97,19238
2.99,17387
3.01,14380
3.031,11103
3.051,7702
3.071,5609
3.091,4405
3.111,4007
3.131,3936
3.151,4115
3.171,4201
3.191,4213
3.211,4034
3.231,3806
3.251,3526
3.271,3343
3.291,3328
3.312,3407
3.332,3417
3.352,3498
3.372,3344
3.392,3218
3.412,3159
3.432,2942
3.452,2924
3.472,2885
3.492,3085
3.512,3174
3.532,3609
3.552,4917
3.572,7042
3.592,11790
3.613,20256
3.633,31724
3.653,46054
3.673,58642
3.693,67526
3.713,67677
3.733,59034
3.753,45901
3.773,31571
3.793,19777
3.813,11742
3.833,7181
3.853,5043
3.873,4362
3.894,4388
3.914,5154
3.934,6424
3.954,8111
3.974,10478
3.994,12636
4.014,14022
4.034,14278
4.054,13223
4.074,11289
4.094,8966
4.114,6705
4.134,5242
4.154,4376
4.175,3835
4.195,3761
4.215,3688
4.235,3562
4.255,3669
4.275,3714
4.295,3832
4.315,3895
4.335,3876
4.355,3899
4.375,4022
4.395,4125
4.415,4339
4.435,4582
4.455,4762
4.476,4860
4.496,5022
4.516,5097
4.536,5090
4.556,4874
4.576,4791
4.596,4583
4.616,4582
4.636,4536
4.656,4472
4.676,4561
4.696,4608
4.716,4540
4.736,4707
4.757,4757
4.777,4750
4.797,4853
4.817,4898
4.837,4891
4.857,5051
4.877,5011
4.897,5052
4.917,5287
4.937,5226
4.957,5339
4.977,5418
4.997,5376
5.017,5448
5.038,5425
5.058,5451
5.078,5515
5.098,5598
5.118,5572
5.138,5751
5.158,5827
5.178,5843
5.198,5908
5.218,5983
5.238,6156
5.258,6261
5.278,6255
5.298,6308
5.318,6519
5.339,6533
5.359,6706
5.379,6671
5.399,6759
5.419,6995
5.439,7057
5.459,7263
5.479,7110
5.499,7096
5.519,7164
5.539,7223
5.559,7233
5.579,7457
5.599,7416
5.62,7647
5.64,7539
5.66,7690
5.68,7839
5.7,7880
5.72,8036
5.74,8085
5.76,7960
5.78,8317
5.8,8297
5.82,8435
5.84,8471
5.86,8663
5.88,8646
5.901,8897
5.921,8970
5.941,9268
5.961,9033
5.981,8945
6.001,8991
6.021,9385
6.041,9168
6.061,9229
6.081,9249
6.101,9541
6.121,9410
6.141,9860
6.161,9888
6.181,10178
6.202,10790
6.222,10622
6.242,11159
6.262,11683
6.282,11839
6.302,12483
6.322,13392
6.342,13766
6.362,14934
6.382,15444
6.402,15690
6.422,15811
6.442,15071
6.462,14580
6.483,13748
6.503,12601
6.523,11836
6.543,11235
6.563,10685
6.583,10644
6.603,10656
6.623,10507
6.643,10533
6.663,10749
6.683,10771
6.703,11009
6.723,10975
6.743,11135
6.764,11136
6.784,11435
6.804,11552
6.824,11857
6.844,11785
6.864,12003
6.884,12085
6.904,12265
6.924,12333
6.944,12435
6.964,12665
6.984,12613
7.004,12731
7.024,13015
7.044,12830
7.065,12968
7.085,13293
7.105,13751
7.125,14106
7.145,14592
7.165,15532
7.185,16703
7.205,18320
7.225,20113
7.245,21630
7.265,23511
7.285,24506
7.305,26135
7.325,26895
7.346,27998
7.366,28402
7.386,28839
7.406,29453
7.426,30458
7.446,31039
7.466,32379
7.486,31989
7.506,30471
7.526,28341
7.546,24986
7.566,22008
7.586,18756
7.606,16043
7.627,14140
7.647,12730
7.667,12043
7.687,11680
7.707,11399
7.727,11488
7.747,11493
7.767,11313
7.787,11773
7.807,11324
7.827,11800
7.847,11619
7.867,11934
7.887,11985
7.908,12384
7.928,12454
7.948,12928
7.968,13299
7.988,13623
8.008,14254
8.028,14627
8.048,14931
8.068,15071
8.088,14910
8.108,14893
8.128,14618
8.148,14367
8.168,14230
8.188,14187
8.209,14023
8.229,14277
8.249,14271
8.269,14218
8.289,14087
8.309,13815
8.329,13483
8.349,13372
8.369,12815
8.389,12453
8.409,12299
8.429,11619
8.449,11787
8.469,11698
8.49,11534
