Energy [keV],Net Count Rate
0,9382
0.02,7304
0.04,4619
0.06,2834
0.08,1381
0.1,290
0.121,50
0.141,21
0.161,7
0.181,4
0.201,5
0.221,2
0.241,4
0.261,0
0.281,2
0.301,2
0.321,1
0.341,1
0.362,1
0.382,0
0.402,2
0.422,1
0.442,0
0.462,2
0.482,1
0.502,1
0.522,0
0.542,0
0.562,0
0.582,1
0.603,1
0.623,28
0.643,281
0.663,943
0.683,1536
0.703,1947
0.723,2065
0.743,2215
0.763,2126
0.783,2185
0.803,2113
0.823,2027
0.844,2113
0.864,2168
0.884,2172
0.904,2132
0.924,2282
0.944,2249
0.964,2252
0.984,2187
1.004,2060
1.024,2092
1.044,1980
1.065,2071
1.085,2029
1.105,2013
1.125,1943
1.145,1922
1.165,1898
1.185,1911
1.205,1924
1.225,1975
1.245,1771
1.265,1834
1.285,1678
1.306,1662
1.326,1646
1.346,1671
1.366,1666
1.386,1685
1.406,1662
1.426,1564
1.446,1713
1.466,1704
1.486,1686
1.506,1674
1.526,1666
1.547,1600
1.567,1618
1.587,1642
1.607,1505
1.627,1565
1.647,1594
1.667,1648
1.687,1604
1.707,1808
1.727,1844
1.747,1771
1.767,1799
1.788,1689
1.808,1608
1.828,1581
1.848,1570
1.868,1545
1.888,1521
1.908,1650
1.928,1831
1.948,2083
1.968,2433
1.988,2742
2.009,2787
2.029,2782
2.049,2533
2.069,2332
2.089,2089
2.109,1855
2.129,1865
2.149,1791
2.169,1854
2.189,2006
2.209,2300
2.229,3058
2.25,4060
2.27,5375
2.29,6445
2.31,7204
2.33,7030
2.35,6089
2.37,4849
2.39,3897
2.41,3201
2.43,2826
2.45,2766
2.47,2776
2.491,2724
2.511,2817
2.531,3190
2.551,3605
2.571,4566
2.591,6045
2.611,8526
2.631,11741
2.651,15896
2.671,19595
2.691,22036
2.712,22616
2.732,20453
2.752,18147
2.772,16051
2.792,15492
2.812,16162
2.832,17204
2.852,17408
2.872,17455
2.892,17506
2.912,17817
2.932,18640
2.953,19199
2.973,18874
2.993,16638
3.013,13728
3.033,10365
3.053,7513
3.073,5478
3.093,4301
3.113,3756
3.133,3886
3.153,3906
3.173,3946
3.194,3886
3.214,3965
3.234,3805
3.254,3764
3.274,3791
3.294,3951
3.314,4233
3.334,4240
3.354,4076
3.374,3809
3.394,3373
3.414,3062
3.435,2733
3.455,2621
3.475,2470
3.495,2440
3.515,2505
3.535,2735
3.555,2955
3.575,3308
3.595,3996
3.615,5403
3.635,6847
3.656,9150
3.676,10983
3.696,12169
3.716,11916
3.736,10814
3.756,8955
3.776,7101
3.796,5326
3.816,4220
3.836,3540
3.856,3261
3.876,3298
3.897,3309
3.917,3465
3.937,3670
3.957,3941
3.977,4394
3.997,4677
4.017,4886
4.037,4982
4.057,4844
4.077,4553
4.097,4380
4.117,4020
4.138,3845
4.158,3790
4.178,3840
4.198,3720
4.218,3707
4.238,3883
4.258,3775
4.278,3918
4.298,4007
4.318,4098
4.338,4055
4.358,4211
4.379,4382
4.399,4386
4.419,4636
4.439,4699
4.459,4956
4.479,5219
4.499,5375
4.519,5493
4.539,5505
4.559,5391
4.579,5261
4.6,5108
4.62,4973
4.64,4850
4.66,4850
4.68,4908
4.7,4928
4.72,4984
4.74,5148
4.76,5012
4.78,5220
4.8,5175
4.82,5347
4.841,5274
4.861,5347
4.881,5586
4.901,5637
4.921,5581
4.941,5808
4.961,5825
4.981,5849
5.001,5929
5.021,5975
5.041,5886
5.061,6002
5.082,6052
5.102,6050
5.122,6424
5.142,6271
5.162,6365
5.182,6509
5.202,6510
5.222,6449
5.242,6690
5.262,6715
5.282,6977
5.302,7059
5.323,7101
5.343,7384
5.363,7304
5.383,7464
5.403,7676
5.423,7746
5.443,7850
5.463,7610
5.483,8053
5.503,7898
5.523,8318
5.544,7986
5.564,8193
5.584,8217
5.604,8471
5.624,8652
5.644,8600
5.664,8648
5.684,8726
5.704,9004
5.724,8894
5.744,9063
5.764,9278
5.785,9399
5.805,9340
5.825,9518
5.845,9447
5.865,9638
5.885,9890
5.905,9810
5.925,10111
5.945,10225
5.965,10194
5.985,10270
6.005,10422
6.026,10108
6.046,10362
6.066,10613
6.086,10681
6.106,10738
6.126,10955
6.146,11404
6.166,11517
6.186,11705
6.206,12044
6.226,12704
6.246,12816
6.267,13371
6.287,13756
6.307,14363
6.327,14987
6.347,15831
6.367,16529
6.387,17398
6.407,17657
6.427,17691
6.447,17208
6.467,16201
6.488,15199
6.508,14036
6.528,13299
6.548,12838
6.568,12593
6.588,12083
6.608,12206
6.628,12155
6.648,12203
6.668,12371
6.688,12333
6.708,12739
6.729,13005
6.749,13060
6.769,13040
6.789,13382
6.809,13251
6.829,13544
6.849,13772
6.869,14135
6.889,14064
6.909,14317
6.929,14434
6.949,14595
6.97,14565
6.99,15008
7.01,14930
7.03,14942
7.05,14896
7.07,15369
7.09,15536
7.11,16290
7.13,16835
7.15,17521
7.17,18724
7.191,20343
7.211,21985
7.231,23839
