Energy [keV],Net Count Rate
0,9211
0.02,7217
0.04,4667
0.06,2918
0.08,1340
0.1,305
0.12,48
0.14,11
0.16,9
0.18,2
0.2,7
0.22,8
0.24,3
0.26,3
0.28,2
0.3,3
0.32,1
0.34,1
0.36,0
0.38,0
0.4,3
0.42,0
0.44,0
0.46,1
0.48,1
0.5,1
0.52,1
0.54,1
0.56,0
0.58,1
0.6,1
0.62,25
0.641,296
0.661,910
0.681,1451
0.701,1870
0.721,2055
0.741,2038
0.761,2159
0.781,2155
0.801,2219
0.821,2197
0.841,2270
0.861,2459
0.881,2410
0.901,2364
0.921,2323
0.941,2312
0.961,2227
0.981,2088
1.001,2062
1.021,1970
1.041,2029
1.061,2034
1.081,2082
1.101,1934
1.121,1974
1.141,1956
1.161,1948
1.181,1977
1.201,1988
1.221,1890
1.241,1932
1.261,1759
1.281,1794
1.301,1782
1.321,1692
1.341,1759
1.361,1614
1.381,1633
1.401,1661
1.421,1731
1.441,1719
1.461,1725
1.481,1820
1.501,1721
1.521,1743
1.541,1705
1.561,1661
1.581,1613
1.601,1535
1.621,1544
1.641,1544
1.661,1651
1.681,1682
1.701,1779
1.721,1845
1.741,1946
1.761,1880
1.781,1852
1.801,1712
1.821,1663
1.841,1587
1.861,1596
1.881,1590
1.902,1726
1.922,1853
1.942,1906
1.962,1985
1.982,1920
2.002,1900
2.022,1970
2.042,1876
2.062,1756
2.082,1804
2.102,1726
2.122,1778
2.142,1775
2.162,1928
2.182,2040
2.202,2535
2.222,3332
2.242,4533
2.262,6045
2.282,7522
2.302,8571
2.322,8317
2.342,7495
2.362,6022
2.382,4699
2.402,3868
2.422,3269
2.442,3111
2.462,3290
2.482,3618
2.502,4431
2.522,6207
2.542,9591
2.562,14679
2.582,21434
2.602,27981
2.622,33659
2.642,36466
2.662,35881
2.682,33685
2.702,30029
2.722,25401
2.742,21037
2.762,17852
2.782,16748
2.802,17040
2.822,17507
2.842,17779
2.862,17600
2.882,17370
2.902,17160
2.922,17950
2.942,18414
2.962,18301
2.982,17166
3.002,14173
3.022,10680
3.042,7793
3.062,5576
3.082,4242
3.102,3502
3.122,3438
3.142,3587
3.162,3768
3.183,3783
3.203,3730
3.223,3523
3.243,3220
3.263,2929
3.283,2885
3.303,2913
3.323,2999
3.343,2956
3.363,2888
3.383,2772
3.403,2609
3.423,2537
3.443,2300
3.463,2314
3.483,2320
3.503,2299
3.523,2572
3.543,2865
3.563,3759
3.583,5405
3.603,7997
3.623,12325
3.643,17715
3.663,23313
3.683,27438
3.703,28300
3.723,25841
3.743,21001
3.763,15403
3.783,10371
3.803,6727
3.823,4727
3.843,3616
3.863,3105
3.883,3130
3.903,3270
3.923,3701
3.943,4426
3.963,5205
3.983,6157
4.003,6737
4.023,7005
4.043,6781
4.063,6061
4.083,5211
4.103,4488
4.123,3829
4.143,3384
4.163,3223
4.183,3104
4.203,3039
4.223,3047
4.243,3092
4.263,3272
4.283,3133
4.303,3231
4.323,3285
4.343,3340
4.363,3447
4.383,3547
4.403,3659
4.423,3905
4.444,4029
4.464,4269
4.484,4425
4.504,4536
4.524,4579
4.544,4428
4.564,4342
4.584,4183
4.604,3978
4.624,3891
4.644,3863
4.664,3881
4.684,3939
4.704,4007
4.724,4097
4.744,4117
4.764,4083
4.784,4198
4.804,4204
4.824,4228
4.844,4463
4.864,4365
4.884,4488
4.904,4413
4.924,4554
4.944,4570
4.964,4702
4.984,4555
5.004,4778
5.024,4538
5.044,4629
5.064,4813
5.084,4788
5.104,4861
5.124,4882
5.144,4907
5.164,4958
5.184,5009
5.204,5170
5.224,5108
5.244,5223
5.264,5218
5.284,5327
5.304,5506
5.324,5599
5.344,5660
5.364,5931
5.384,6015
5.404,6154
5.424,6068
5.444,6090
5.464,6239
5.484,6205
5.504,6201
5.524,6348
5.544,6235
5.564,6210
5.584,6280
5.604,6278
