Energy [keV],Net Count Rate
0,8332
0.02,6617
0.04,4707
0.06,3289
0.08,1524
0.1,321
0.12,52
0.14,18
0.16,11
0.18,6
0.2,4
0.22,7
0.24,6
0.26,7
0.28,5
0.3,3
0.32,0
0.34,2
0.36,3
0.38,4
0.401,2
0.421,2
0.441,1
0.461,0
0.481,0
0.501,1
0.521,1
0.541,0
0.561,2
0.581,2
0.601,15
0.621,143
0.641,854
0.661,2033
0.681,2975
0.701,3437
0.721,3838
0.741,3877
0.761,3767
0.781,3891
0.801,3743
0.821,3748
0.841,3824
0.861,3777
0.881,3753
0.901,3793
0.921,3825
0.941,3777
0.961,3787
0.981,3624
1.001,3508
1.021,3555
1.041,3455
1.061,3434
1.081,3436
1.101,3468
1.121,3386
1.141,3385
1.161,3361
1.181,3236
1.202,3354
1.222,3143
1.242,3142
1.262,3026
1.282,2986
1.302,2887
1.322,2841
1.342,2916
1.362,2745
1.382,2823
1.402,2680
1.422,2904
1.442,2766
1.462,2803
1.482,2859
1.502,2797
1.522,2929
1.542,2936
1.562,2803
1.582,2661
1.602,2638
1.622,2711
1.642,2488
1.662,2526
1.682,2511
1.702,2515
1.722,2605
1.742,2652
1.762,2662
1.782,2403
1.802,2492
1.822,2375
1.842,2437
1.862,2455
1.882,2509
1.902,2581
1.922,2571
1.942,2714
1.962,2527
1.982,2625
2.003,2484
2.023,2406
2.043,2393
2.063,2390
2.083,2361
2.103,2285
2.123,2239
2.143,2213
2.163,2325
2.183,2316
2.203,2326
2.223,2492
2.243,2713
2.263,2927
2.283,3093
2.303,3193
2.323,3252
2.343,3201
2.363,3217
2.383,3004
2.403,2932
2.423,2786
2.443,2814
2.463,2851
2.483,2980
2.503,3057
2.523,3230
2.543,3632
2.563,4515
2.583,5716
2.603,7758
2.623,10916
2.643,14683
2.663,18251
2.683,20600
2.703,21739
2.723,20238
2.743,17962
2.763,15986
2.784,15643
2.804,16194
2.824,17175
2.844,17512
2.864,17829
2.884,17673
2.904,17544
2.924,18646
2.944,18840
2.964,18734
2.984,16847
3.004,14206
3.024,11022
3.044,8465
3.064,6455
3.084,5122
3.104,4752
3.124,4623
3.144,4863
3.164,5413
3.184,6102
3.204,7522
3.224,10352
3.244,14764
3.264,20350
3.284,26473
3.304,30697
3.324,31373
3.344,28462
3.364,22981
3.384,16295
3.404,11013
3.424,7453
3.444,5125
3.464,4206
3.484,4117
3.504,4468
3.524,5463
3.544,6775
3.564,8610
3.585,11261
3.605,14817
3.625,18943
3.645,24263
3.665,29270
3.685,32407
3.705,31890
3.725,28509
3.745,22512
3.765,16440
3.785,11213
3.805,7600
3.825,5274
3.845,4207
3.865,3814
3.885,3934
3.905,4194
3.925,4720
3.945,5439
3.965,6541
3.985,7353
4.005,8172
4.025,8287
4.045,7820
4.065,6941
4.085,6209
4.105,5225
4.125,4562
4.145,4039
4.165,3848
4.185,3707
4.205,3697
4.225,3696
4.245,3728
4.265,3733
4.285,3899
4.305,4035
4.325,3912
4.345,4076
4.365,4233
4.386,4331
4.406,4694
4.426,4915
4.446,5160
4.466,5391
4.486,5654
4.506,5731
4.526,5571
4.546,5302
4.566,5187
4.586,4807
4.606,4670
4.626,4611
4.646,4521
4.666,4436
4.686,4582
4.706,4692
4.726,4673
4.746,4821
4.766,4905
4.786,4973
4.806,5075
4.826,5203
4.846,5345
4.866,5388
4.886,5349
4.906,5464
4.926,5487
4.946,5491
4.966,5364
4.986,5512
5.006,5431
5.026,5348
5.046,5447
5.066,5452
5.086,5520
5.106,5624
5.126,5735
5.146,5803
5.167,6022
5.187,6116
5.207,5959
5.227,6016
5.247,6059
5.267,6147
5.287,6279
5.307,6344
5.327,6397
5.347,6364
5.367,6653
5.387,6690
5.407,6933
5.427,6886
5.447,6946
5.467,7060
5.487,7083
5.507,7077
5.527,7178
5.547,7164
5.567,7239
5.587,7460
5.607,7482
5.627,7493
5.647,7635
5.667,7732
5.687,7681
5.707,7894
5.727,8134
5.747,8298
5.767,8565
5.787,9083
5.807,9766
5.827,10625
5.847,11554
5.867,12244
5.887,13037
5.907,13335
5.927,13035
5.947,12488
5.968,11814
5.988,10998
6.008,10308
6.028,9950
6.048,9467
6.068,9302
6.088,9200
6.108,9245
6.128,9678
6.148,9877
6.168,9839
6.188,10212
6.208,10538
6.228,10811
6.248,11247
6.268,11725
6.288,12198
6.308,12788
6.328,13804
6.348,14641
6.368,15509
6.388,15972
6.408,16285
6.428,16105
6.448,15538
6.468,14712
6.488,13850
6.508,12778
6.528,11961
6.548,11301
6.568,10641
6.588,10714
6.608,10491
6.628,10423
6.648,10485
6.668,10491
6.688,10468
6.708,10765
6.728,10826
6.748,10900
6.769,11152
6.789,11196
6.809,11323
6.829,11526
6.849,11805
6.869,11860
6.889,12006
6.909,12057
6.929,12151
6.949,12543
6.969,12539
6.989,12439
7.009,12433
7.029,12630
7.049,13038
7.069,13032
7.089,13338
7.109,13764
7.129,14253
7.149,15305
7.169,16365
7.189,17786
7.209,18933
7.229,20805
7.249,22369
7.269,24062
7.289,25366
7.309,25894
7.329,27044
7.349,27211
7.369,27982
7.389,29032
7.409,29104
7.429,30242
7.449,31103
7.469,31306
7.489,30510
7.509,28389
7.529,25852
7.55,22617
7.57,19621
7.59,17169
7.61,14948
7.63,13251
7.65,12418
7.67,11921
7.69,11558
7.71,11592
7.73,11626
7.75,11776
7.77,11620
7.79,11953
7.81,12017
7.83,12499
7.85,12392
7.87,12492
7.89,12579
7.91,12981
7.93,13262
7.95,13853
7.97,14080
7.99,14685
8.01,15154
8.03,15439
8.05,15546
8.07,15942
8.09,15754
8.11,15635
8.13,15504
8.15,15295
8.17,15146
8.19,15160
8.21,15277
8.23,15285
8.25,15218
8.27,15250
8.29,15279
8.31,14620
8.33,14241
8.351,14077
8.371,13705
8.391,13513
8.411,12934
8.431,12816
8.451,12735
8.471,12852
8.491,13106
8.511,13100
8.531,12643
8.551,13059
8.571,13250
8.591,13159
8.611,13287
8.631,13392
8.651,13438
8.671,13295
8.691,13366
8.711,13534
8.731,13550
8.751,13515
8.771,13588
8.791,13516
8.811,13477
8.831,13488
8.851,13984
8.871,13785
8.891,13830
8.911,13998
8.931,13998
8.951,14142
8.971,14403
8.991,14024
9.011,14082
9.031,14185
9.051,14313
9.071,14046
9.091,14476
9.111,14372
9.131,14285
9.152,14558
9.172,14493
9.192,14429
9.212,14649
9.232,14733
9.252,14779
9.272,14898
9.292,14712
9.312,14945
9.332,15211
9.352,14797
9.372,14985
9.392,15162
9.412,15355
9.432,15229
9.452,15265
9.472,15273
9.492,15335
9.512,15421
9.532,15541
9.552,15443
9.572,15708
9.592,15684
9.612,15484
9.632,15782
9.652,15655
9.672,15810
9.692,15835
9.712,15894
9.732,15933
9.752,15901
9.772,16049
9.792,16081
9.812,16091
9.832,15886
9.852,16376
9.872,16171
9.892,16369
9.912,16278
9.932,16472
9.953,16135
9.973,16319
9.993,16500
10.013,16456
10.033,16588
10.053,16635
10.073,16628
10.093,16492
10.113,16509
10.133,16761
10.153,16587
10.173,16734
10.193,16809
10.213,16926
10.233,16892
10.253,16970
10.273,16909
10.293,17165
10.313,17000
10.333,17129
10.353,17079
10.373,17093
10.393,16888
10.413,17153
10.433,17059
10.453,17142
10.473,16971
10.493,17117
10.513,17249
10.533,17429
10.553,17236
10.573,17484
10.593,17115
10.613,17175
10.633,17293
10.653,17274
10.673,17320
10.693,17283
10.713,17218
10.734,17234
10.754,17537
10.774,17455
10.794,17555
10.814,17390
10.834,17741
10.854,17256
10.874,17260
10.894,17435
10.914,17616
10.934,17619
10.954,17581
10.974,17333
10.994,17806
11.014,17502
11.034,17623
11.054,17711
11.074,17570
11.094,17692
11.114,17886
11.134,17804
11.154,17860
11.174,17773
11.194,18164
11.214,17723
11.234,17807
11.254,17742
11.274,17827
11.294,18156
11.314,17911
11.334,17951
11.354,17965
11.374,17776
11.394,18181
11.414,18062
11.434,18144
11.454,18042
11.474,18172
11.494,18180
11.514,18102
11.535,18301
11.555,18304
11.575,18007
11.595,18127
11.615,18218
11.635,18032
11.655,18324
11.675,18079
11.695,18301
11.715,18062
11.735,18230
11.755,18258
11.775,18169
11.795,18170
11.815,18306
11.835,18228
11.855,18099
11.875,18290
11.895,18395
11.915,18355
11.935,18302
11.955,18412
11.975,18135
11.995,18379
12.015,18324
12.035,18396
12.055,18398
12.075,18299
12.095,18323
12.115,18075
12.135,18355
12.155,18302
12.175,18297
12.195,18345
12.215,18148
12.235,18062
12.255,18599
12.275,18221
12.295,18255
12.315,18430
12.336,18403
12.356,18251
12.376,18511
12.396,18208
12.416,18680
12.436,18278
12.456,18188
12.476,18408
12.496,18254
12.516,18281
12.536,18355
12.556,18352
12.576,18359
12.596,18379
12.616,18242
12.636,18449
12.656,18265
12.676,18254
12.696,18499
12.716,18196
12.736,18011
12.756,18200
12.776,18134
12.796,18484
12.816,17994
12.836,18269
12.856,17999
12.876,18250
12.896,18303
12.916,17987
12.936,18210
12.956,18303
12.976,18056
12.996,18038
13.016,18099
13.036,18149
13.056,17967
13.076,17843
13.096,17791
13.117,18088
13.137,17932
13.157,17921
13.177,18106
13.197,18037
13.217,18027
13.237,18177
13.257,18218
13.277,18547
13.297,18350
13.317,18656
13.337,18767
13.357,18655
13.377,18660
13.397,18692
13.417,18931
13.437,18980
13.457,18786
13.477,18328
13.497,18346
13.517,18238
13.537,18307
13.557,18030
13.577,18063
13.597,18000
13.617,17819
13.637,17593
13.657,17761
13.677,17607
13.697,17635
13.717,17862
13.737,17627
13.757,17623
13.777,18020
13.797,17927
13.817,17728
13.837,17763
13.857,17474
