Energy [keV],Net Count Rate
0,9110
0.02,6972
0.04,4568
0.06,3141
0.08,1441
0.1,343
0.12,60
0.141,13
0.161,4
0.181,3
0.201,5
0.221,8
0.241,6
0.261,3
0.281,2
0.301,1
0.321,3
0.341,4
0.361,1
0.381,2
0.402,2
0.422,0
0.442,1
0.462,2
0.482,1
0.502,1
0.522,2
0.542,0
0.562,0
0.582,0
0.602,6
0.622,61
0.643,413
0.663,1322
0.683,2016
0.703,2526
0.723,2809
0.743,2783
0.763,2807
0.783,2761
0.803,2772
0.823,2769
0.843,2803
0.863,2774
0.883,2860
0.904,2916
0.924,3064
0.944,3072
0.964,3089
0.984,2914
1.004,2907
1.024,2847
1.044,2831
1.064,2854
1.084,2974
1.104,2909
1.124,2855
1.144,2812
1.165,2949
1.185,2924
1.205,2824
1.225,2759
1.245,2853
1.265,2668
1.285,2699
1.305,2567
1.325,2672
1.345,2578
1.365,2559
1.385,2605
1.406,2561
1.426,2628
1.446,2703
1.466,2695
1.486,2702
1.506,2687
1.526,2645
1.546,2552
1.566,2545
1.586,2482
1.606,2540
1.626,2503
1.646,2507
1.667,2683
1.687,2864
1.707,3141
1.727,3216
1.747,3339
1.767,3314
1.787,3228
1.807,3216
1.827,3529
1.847,4239
1.867,5324
1.887,7001
1.907,8995
1.928,10835
1.948,11620
1.968,10872
1.988,9174
2.008,7001
2.028,5417
2.048,4219
2.068,3636
2.088,3339
2.108,3324
2.128,3359
2.148,3402
2.169,3541
2.189,3626
2.209,4047
2.229,4605
2.249,5106
2.269,5524
2.289,5818
2.309,5704
2.329,5403
2.349,5016
2.369,4587
2.389,4366
2.409,4229
2.43,4168
2.45,4107
2.47,4191
2.49,4315
2.51,4606
2.53,4908
2.55,5470
2.57,6600
2.59,8397
2.61,11093
2.63,14514
2.65,18796
2.67,23012
2.691,24806
2.711,25082
2.731,23171
2.751,20479
2.771,18686
2.791,18442
2.811,19369
2.831,20432
2.851,20858
2.871,20958
2.891,20462
2.911,20784
2.932,21439
2.952,21888
2.972,21261
2.992,19134
3.012,16420
3.032,12863
3.052,10454
3.072,8674
3.092,7677
3.112,7458
3.132,7588
3.152,7866
3.172,7895
3.193,8158
3.213,8336
3.233,8214
3.253,8495
3.273,8807
3.293,9310
3.313,9624
3.333,9939
3.353,9834
3.373,9615
3.393,9417
3.413,9501
3.433,9666
3.454,10366
3.474,11237
3.494,13030
3.514,16415
3.534,23990
3.554,41514
3.574,78767
3.594,150489
3.614,266083
3.634,429345
3.654,612975
3.674,768748
3.695,849992
3.715,819387
3.735,694773
3.755,515498
3.775,336369
3.795,192693
3.815,100844
3.835,49936
3.855,27182
3.875,19718
3.895,22593
3.915,32423
3.935,50380
3.956,75270
3.976,102149
3.996,126654
4.016,139968
4.036,137433
4.056,118762
4.076,91320
4.096,62508
4.116,38506
4.136,21595
4.156,11915
4.176,6945
4.196,4597
4.217,3688
4.237,3360
4.257,3301
4.277,3261
4.297,3149
4.317,3229
4.337,3295
4.357,3318
4.377,3456
4.397,3593
4.417,3538
4.437,3743
4.458,4037
4.478,4166
4.498,4135
4.518,4295
4.538,4328
4.558,4062
4.578,3975
4.598,3693
4.618,3746
4.638,3703
4.658,3667
4.678,3455
4.698,3512
4.719,3677
4.739,3572
4.759,3670
4.779,3740
4.799,3646
4.819,3778
4.839,3794
4.859,3821
4.879,3891
4.899,3997
4.919,4036
4.939,4137
4.959,4136
4.98,3982
5,4052
5.02,4086
5.04,4089
5.06,3951
5.08,3960
5.1,4015
5.12,4102
5.14,4137
5.16,4109
5.18,4048
5.2,4173
5.221,4197
5.241,4196
5.261,4283
5.281,4216
5.301,4392
5.321,4436
5.341,4326
5.361,4458
5.381,4491
5.401,4605
5.421,4688
5.441,4715
5.461,4822
5.482,4541
5.502,4553
5.522,4558
5.542,4689
5.562,4757
5.582,4752
5.602,4778
5.622,4902
5.642,4848
5.662,4807
5.682,4932
5.702,4965
5.722,5087
5.743,4985
5.763,5130
5.783,5202
5.803,5313
5.823,5352
5.843,5428
5.863,5595
5.883,5684
5.903,5760
5.923,5735
5.943,5780
5.963,5608
5.984,5593
6.004,5603
6.024,5388
6.044,5594
6.064,5537
6.084,5640
6.104,5568
6.124,5772
6.144,5809
6.164,5925
6.184,6046
6.204,6164
6.224,6641
6.245,6587
6.265,7128
6.285,7826
6.305,8623
6.325,9876
6.345,11372
6.365,12960
6.385,13986
6.405,14545
6.425,14759
6.445,13803
6.465,12462
6.485,10681
6.506,9229
6.526,8066
6.546,7192
6.566,6677
6.586,6231
6.606,6417
6.626,6092
6.646,6109
6.666,6080
6.686,5949
6.706,6240
6.726,6274
6.747,6337
6.767,6184
6.787,6396
6.807,6413
6.827,6389
6.847,6453
6.867,6708
6.887,6867
6.907,6923
6.927,7149
6.947,7204
6.967,7341
6.987,7429
7.008,7792
7.028,7838
7.048,8184
7.068,8174
7.088,8112
7.108,8135
7.128,8328
7.148,8334
7.168,8610
7.188,8923
7.208,9604
7.228,10136
7.248,10784
7.269,11918
7.289,12571
7.309,13297
7.329,14141
7.349,15049
7.369,15757
7.389,16498
7.409,17874
7.429,19006
7.449,19571
7.469,20168
7.489,19741
7.51,18292
7.53,16538
7.55,14316
7.57,12124
7.59,10048
7.61,8658
7.63,7541
7.65,6931
7.67,6626
7.69,6494
7.71,6365
7.73,6416
7.75,6467
7.771,6358
7.791,6337
7.811,6204
7.831,6149
7.851,6096
7.871,6036
7.891,6140
7.911,6187
7.931,6311
7.951,6402
7.971,6552
7.991,6837
8.011,7109
8.032,7460
8.052,7449
8.072,7441
8.092,7490
8.112,7388
8.132,7230
8.152,7037
8.172,7115
8.192,7073
8.212,7114
8.232,7236
8.252,7448
8.273,7418
8.293,7259
8.313,7224
8.333,6844
8.353,6653
8.373,6321
8.393,6043
8.413,6015
8.433,5741
8.453,5782
8.473,5814
8.493,5923
8.513,5694
8.534,5746
8.554,5816
8.574,5827
8.594,5892
8.614,5952
8.634,6204
8.654,6184
8.674,6066
8.694,6031
8.714,5992
8.734,5822
8.754,5845
8.774,5839
8.795,5874
8.815,5723
8.835,5906
8.855,5872
8.875,5853
8.895,5882
8.915,5803
8.935,5838
8.955,5842
8.975,5805
8.995,5892
9.015,5817
9.036,5689
9.056,5912
9.076,5844
9.096,5752
9.116,5856
9.136,5858
9.156,5879
9.176,5756
9.196,5798
9.216,5874
9.236,5837
9.256,5963
9.276,6035
9.297,5960
9.317,5925
9.337,5854
9.357,5889
9.377,5888
9.397,5912
9.417,5820
9.437,5937
9.457,5763
9.477,5920
9.497,5956
9.517,5957
9.537,6067
9.558,5987
9.578,6003
9.598,5940
9.618,6118
9.638,6005
9.658,6076
9.678,5982
9.698,5978
9.718,6002
9.738,6018
9.758,5948
9.778,6029
9.799,6093
9.819,5853
9.839,5973
9.859,6076
9.879,5936
9.899,5807
9.919,6093
9.939,6057
9.959,6153
9.979,5980
9.999,6087
10.019,6068
10.039,5961
10.06,6069
10.08,6043
10.1,6226
10.12,6123
10.14,6167
10.16,6075
10.18,6191
10.2,6161
10.22,6139
10.24,5983
10.26,6140
10.28,6041
10.3,5992
10.321,6070
10.341,6076
10.361,6080
10.381,5964
10.401,6084
10.421,6017
10.441,6091
10.461,6036
10.481,5950
10.501,5979
10.521,5996
10.541,6040
10.562,6092
10.582,6107
10.602,6116
10.622,5976
10.642,6009
10.662,6120
10.682,5938
10.702,5935
10.722,6067
10.742,5972
10.762,5878
10.782,5954
10.802,6040
10.823,5928
10.843,6001
10.863,5839
10.883,5929
10.903,5954
10.923,6004
10.943,5946
10.963,5982
10.983,5904
11.003,6067
11.023,5965
11.043,5940
11.063,5916
11.084,6037
11.104,6044
11.124,6070
