Energy [keV],Net Count Rate
0,9403
0.02,7414
0.04,4630
0.06,2715
0.08,1196
0.1,273
0.12,44
0.14,12
0.16,4
0.181,6
0.201,2
0.221,2
0.241,6
0.261,5
0.281,4
0.301,1
0.321,3
0.341,1
0.361,0
0.381,0
0.401,1
0.421,1
0.441,1
0.461,0
0.481,1
0.502,1
0.522,1
0.542,1
0.562,1
0.582,2
0.602,2
0.622,23
0.642,199
0.662,757
0.682,1259
0.702,1607
0.722,1685
0.742,1747
0.762,1815
0.782,1745
0.802,1813
0.822,1793
0.843,1893
0.863,1904
0.883,1924
0.903,1956
0.923,2034
0.943,1953
0.963,1938
0.983,1860
1.003,1814
1.023,1694
1.043,1754
1.063,1779
1.083,1705
1.103,1808
1.123,1671
1.143,1658
1.164,1629
1.184,1732
1.204,1727
1.224,1653
1.244,1691
1.264,1545
1.284,1458
1.304,1487
1.324,1389
1.344,1388
1.364,1391
1.384,1431
1.404,1403
1.424,1511
1.444,1450
1.464,1532
1.484,1462
1.505,1439
1.525,1432
1.545,1412
1.565,1362
1.585,1394
1.605,1308
1.625,1297
1.645,1348
1.665,1336
1.685,1503
1.705,1557
1.725,1654
1.745,1641
1.765,1573
1.785,1447
1.805,1438
1.825,1399
1.846,1318
1.866,1287
1.886,1417
1.906,1444
1.926,1523
1.946,1631
1.966,1610
1.986,1572
2.006,1478
2.026,1570
2.046,1460
2.066,1425
2.086,1407
2.106,1383
2.126,1403
2.146,1400
2.167,1449
2.187,1568
2.207,1719
2.227,1775
2.247,2144
2.267,2619
2.287,2921
2.307,3088
2.327,3215
2.347,2977
2.367,2658
2.387,2455
2.407,2367
2.427,2232
2.447,2286
2.467,2481
2.487,2602
2.508,3272
2.528,4290
2.548,6249
2.568,9219
2.588,13160
2.608,17432
2.628,21186
2.648,24591
2.668,26372
2.688,26710
2.708,25067
2.728,21972
2.748,18894
2.768,16693
2.788,16411
2.808,17107
2.829,18161
2.849,18894
2.869,18525
2.889,18083
2.909,18353
2.929,19059
2.949,19701
2.969,19253
2.989,17273
3.009,14186
3.029,10741
3.049,7623
3.069,5458
3.089,4234
3.109,3744
3.129,3686
3.149,3815
3.17,3880
3.19,3944
3.21,3724
3.23,3459
3.25,3195
3.27,2972
3.29,2894
3.31,3049
3.33,2997
3.35,3052
3.37,2893
3.39,2780
3.41,2629
3.43,2434
3.45,2386
3.47,2325
3.491,2231
3.511,2383
3.531,2555
3.551,2938
3.571,3739
3.591,5022
3.611,7581
3.631,11246
3.651,15541
3.671,19856
3.691,21946
3.711,22125
3.731,19522
3.751,15659
3.771,11306
3.791,7840
3.811,5185
3.832,3893
3.852,3288
3.872,3169
3.892,3192
3.912,3457
3.932,3993
3.952,4364
3.972,5175
3.992,5858
4.012,6131
4.032,6307
4.052,6038
4.072,5477
4.092,4766
4.112,4118
4.132,3725
4.153,3401
4.173,3440
4.193,3354
4.213,3357
4.233,3366
4.253,3348
4.273,3385
4.293,3543
4.313,3581
4.333,3598
4.353,3613
4.373,3717
4.393,3773
4.413,3957
4.433,4043
4.453,4230
4.473,4452
4.494,4574
4.514,4699
4.534,4612
4.554,4568
4.574,4373
4.594,4254
4.614,4122
4.634,4081
4.654,4002
4.674,4049
4.694,4001
4.714,4062
4.734,4184
4.754,4236
4.774,4228
4.794,4208
4.814,4285
4.835,4350
4.855,4424
4.875,4442
4.895,4655
4.915,4771
4.935,4711
4.955,4609
4.975,4744
4.995,4639
5.015,4757
5.035,4692
5.055,4739
5.075,4922
5.095,4908
5.115,4748
5.135,4927
5.156,5007
5.176,5046
5.196,5042
5.216,5233
5.236,5139
5.256,5265
5.276,5393
5.296,5471
5.316,5555
5.336,5576
5.356,5800
5.376,5830
5.396,5981
5.416,6090
5.436,6004
5.456,6034
5.476,6258
5.497,6208
5.517,6169
5.537,6307
5.557,6332
5.577,6426
5.597,6368
5.617,6536
5.637,6485
5.657,6550
5.677,6750
5.697,7005
5.717,6890
5.737,6905
5.757,6996
5.777,7175
5.797,7107
5.818,7248
5.838,7382
5.858,7545
5.878,7579
5.898,7714
5.918,7660
5.938,7773
5.958,7747
5.978,7771
5.998,7697
6.018,7861
6.038,7695
6.058,7808
6.078,7897
6.098,7991
6.118,8067
6.138,8256
6.159,8374
6.179,8753
6.199,8924
6.219,9137
6.239,9441
6.259,10045
6.279,10736
6.299,11364
6.319,12119
6.339,13269
6.359,14506
6.379,15491
6.399,16425
6.419,16667
6.439,15846
6.459,14807
6.48,13428
6.5,12028
6.52,10667
6.54,9942
6.56,9450
6.58,9084
6.6,8732
6.62,8980
6.64,9024
6.66,8969
6.68,9120
6.7,9153
6.72,9259
6.74,9413
6.76,9581
6.78,9638
6.8,9666
6.821,9825
6.841,9739
6.861,10122
6.881,10266
6.901,10466
6.921,10473
6.941,10473
6.961,10955
6.981,10834
7.001,10805
7.021,11047
7.041,11133
7.061,11447
7.081,11844
7.101,11959
7.121,12347
7.142,12841
7.162,13642
7.182,14674
7.202,15675
7.222,16837
7.242,18261
7.262,19791
7.282,20921
7.302,22090
7.322,23186
7.342,23595
7.362,23688
7.382,24292
7.402,24676
7.422,25395
7.442,26377
7.462,26867
7.483,26762
7.503,25673
7.523,23978
7.543,21136
7.563,18637
7.583,15802
7.603,13473
7.623,11826
7.643,11000
7.663,10208
7.683,9963
7.703,9814
7.723,9731
7.743,9761
7.763,9954
7.783,9994
7.803,9913
7.824,10058
7.844,10025
7.864,10423
7.884,10623
7.904,10788
7.924,10915
7.944,11282
7.964,11499
7.984,11847
8.004,12137
8.024,12745
8.044,12881
8.064,12938
8.084,12980
8.104,12972
8.124,12910
8.145,12455
8.165,12494
8.185,12214
8.205,12436
8.225,12437
8.245,12421
8.265,12582
8.285,12505
8.305,12224
8.325,12055
8.345,11754
8.365,11411
8.385,10941
8.405,10791
8.425,10559
8.445,10338
8.465,10302
8.486,10272
8.506,10354
8.526,10540
8.546,10638
8.566,10641
8.586,11002
8.606,11162
8.626,11199
8.646,11585
8.666,11531
8.686,11568
8.706,11464
8.726,11177
8.746,11000
8.766,11017
8.786,10734
8.807,10892
8.827,10719
8.847,10842
8.867,10966
8.887,10860
8.907,10874
8.927,10833
8.947,11092
8.967,11065
8.987,10963
9.007,11012
9.027,11083
9.047,11078
9.067,10904
9.087,10800
9.107,10922
9.127,11315
9.148,11217
9.168,11040
9.188,11245
9.208,11252
9.228,11134
9.248,11209
9.268,11228
9.288,11247
9.308,11458
9.328,11317
9.348,11232
9.368,11156
9.388,11282
9.408,11314
9.428,11354
9.448,11417
9.469,11489
9.489,11592
9.509,11402
9.529,11592
9.549,11859
9.569,11681
9.589,11512
9.609,11604
9.629,11848
9.649,11605
9.669,11722
9.689,11619
9.709,11585
9.729,11724
9.749,11501
9.769,11507
9.789,11553
9.81,11635
9.83,11557
9.85,11568
9.87,11484
9.89,11481
9.91,11576
9.93,11745
9.95,11629
9.97,11689
9.99,11711
10.01,11515
10.03,11623
10.05,11520
10.07,11873
10.09,11546
10.11,11733
10.131,11542
10.151,11799
10.171,11823
10.191,11718
10.211,11574
10.231,11663
10.251,11515
10.271,11727
10.291,11482
10.311,11740
10.331,11484
10.351,11690
10.371,11711
10.391,11734
10.411,11582
10.431,11543
10.451,11604
10.472,11706
10.492,11683
10.512,11381
10.532,11706
10.552,11659
10.572,11571
10.592,11538
10.612,11578
10.632,11620
10.652,11458
10.672,11555
10.692,11744
10.712,11549
10.732,11488
10.752,11642
10.772,11588
10.792,11484
10.813,11573
10.833,11569
10.853,11503
10.873,11679
10.893,11535
10.913,11608
10.933,11298
10.953,11291
10.973,11302
10.993,11550
11.013,11353
11.033,11485
11.053,11248
11.073,11271
11.093,11409
11.113,11417
11.134,11219
11.154,11307
11.174,11442
11.194,11330
11.214,11310
11.234,11463
11.254,11299
11.274,11469
11.294,11427
11.314,11225
11.334,11435
11.354,11243
11.374,11201
11.394,11220
11.414,11238
11.434,11491
11.454,11429
11.475,11235
11.495,11233
11.515,11097
11.535,11304
11.555,11122
11.575,11100
11.595,11294
11.615,11233
11.635,11150
11.655,11191
11.675,10970
11.695,10939
11.715,11028
11.735,10987
11.755,10865
11.775,11049
11.796,11066
11.816,10966
11.836,11005
11.856,10915
11.876,10958
11.896,10919
11.916,11081
11.936,11222
11.956,11324
11.976,11079
11.996,10954
12.016,10976
12.036,10872
12.056,10774
12.076,10719
12.096,10717
12.116,10438
12.137,10669
12.157,10581
12.177,10595
12.197,10750
12.217,10396
12.237,10369
12.257,10469
12.277,10300
12.297,10433
12.317,10614
12.337,10421
12.357,10492
12.377,10308
12.397,10308
12.417,10307
12.437,10104
12.458,10355
12.478,10239
12.498,10223
12.518,10319
12.538,10211
12.558,10082
12.578,9912
12.598,9876
12.618,10372
12.638,10069
12.658,10093
12.678,9987
12.698,10097
12.718,10140
12.738,10139
12.758,9836
12.778,9870
12.799,9962
12.819,10035
12.839,9722
12.859,9744
12.879,9664
12.899,9780
12.919,9732
12.939,9664
12.959,9604
12.979,9643
12.999,9702
13.019,9631
13.039,9446
13.059,9524
13.079,9404
13.099,9560
13.12,9559
13.14,9532
13.16,9621
13.18,9364
13.2,9346
13.22,9306
13.24,9564
13.26,9340
13.28,9377
13.3,9230
13.32,9096
13.34,9073
13.36,9241
13.38,9398
13.4,9367
13.42,9197
13.44,9046
13.461,9023
13.481,9027
13.501,9022
13.521,8940
13.541,8853
13.561,8961
13.581,8937
13.601,9053
13.621,8813
13.641,8792
13.661,8891
13.681,8727
13.701,8758
13.721,8765
13.741,8703
13.761,8564
13.781,8700
13.802,8604
13.822,8778
13.842,8585
13.862,8632
13.882,8536
13.902,8543
13.922,8549
13.942,8426
13.962,8496
13.982,8469
14.002,8452
14.022,8388
14.042,8409
14.062,8375
14.082,8470
14.102,8834
14.123,8630
14.143,8571
14.163,8240
14.183,8415
14.203,8535
14.223,8549
14.243,8522
14.263,8323
14.283,8393
14.303,8254
14.323,8090
14.343,8105
14.363,8069
14.383,8004
14.403,7853
14.423,8054
14.443,7873
14.464,7970
14.484,7927
14.504,7834
14.524,7702
14.544,7588
14.564,7776
14.584,7690
14.604,7747
14.624,7682
14.644,7694
14.664,7588
14.684,7546
14.704,7549
14.724,7590
14.744,7615
14.764,7653
14.785,7400
14.805,7577
14.825,7505
14.845,7464
14.865,7477
14.885,7219
14.905,7409
14.925,7261
14.945,7398
14.965,7183
14.985,7358
15.005,7387
15.025,7170
15.045,7119
15.065,7026
15.085,7218
15.105,7017
15.126,7006
15.146,7185
15.166,7235
15.186,6872
15.206,6905
15.226,7019
15.246,7101
15.266,6979
15.286,7047
15.306,6935
15.326,6893
15.346,7024
15.366,6965
15.386,6839
15.406,6736
15.426,6616
15.447,6753
15.467,6540
15.487,6788
15.507,6704
15.527,6611
15.547,6669
15.567,6662
15.587,6656
15.607,6658
15.627,6490
15.647,6631
15.667,6527
15.687,6763
15.707,6432
15.727,6784
15.747,6493
15.767,6581
15.788,6521
15.808,6441
15.828,6642
15.848,6396
15.868,6308
15.888,6381
15.908,6407
15.928,6329
15.948,6173
15.968,6151
15.988,6162
16.008,6232
16.028,6241
16.048,6025
16.068,6093
16.088,5990
16.109,6018
16.129,6001
16.149,5924
16.169,6086
16.189,5916
16.209,5943
16.229,5856
16.249,5873
16.269,5910
16.289,5967
16.309,5743
16.329,5867
16.349,5821
16.369,5857
16.389,5769
16.409,5779
16.429,5699
16.45,5793
16.47,5646
16.49,5737
16.51,5679
16.53,5592
16.55,5502
16.57,5538
16.59,5584
16.61,5559
16.63,5483
16.65,5547
16.67,5574
16.69,5463
16.71,5339
16.73,5498
16.75,5371
16.77,5410
16.791,5435
16.811,5531
16.831,5333
16.851,5270
16.871,5350
16.891,5397
16.911,5430
16.931,5260
16.951,5195
16.971,5075
16.991,5194
17.011,5186
17.031,5256
17.051,5208
17.071,5171
17.091,5322
17.112,5308
17.132,5054
17.152,5180
17.172,5193
17.192,5128
17.212,5206
17.232,5202
17.252,5173
17.272,5097
17.292,5083
17.312,5113
17.332,5072
17.352,5071
17.372,5113
17.392,5202
17.412,5088
17.432,5055
17.453,5054
17.473,5024
17.493,5032
17.513,5142
17.533,5042
17.553,5160
17.573,5053
17.593,5038
17.613,5126
17.633,5007
17.653,5093
17.673,5057
17.693,5053
17.713,5166
17.733,5109
17.753,5120
17.774,5133
17.794,5152
17.814,5136
17.834,5195
17.854,5195
17.874,5037
17.894,5261
17.914,5121
17.934,5195
17.954,5210
17.974,5249
17.994,5103
18.014,5316
18.034,5240
18.054,5222
18.074,5247
18.094,5381
18.115,5327
18.135,5367
18.155,5547
18.175,5530
18.195,5399
18.215,5690
18.235,5696
18.255,5781
18.275,5779
18.295,5807
18.315,5898
18.335,5977
18.355,6077
18.375,6191
18.395,6331
18.415,6464
18.436,6503
18.456,6589
18.476,6873
18.496,7070
18.516,7517
18.536,7713
18.556,8083
18.576,8497
18.596,8914
18.616,9375
18.636,10049
18.656,10404
18.676,11129
18.696,11786
18.716,12544
18.736,13093
18.756,13777
18.777,14430
18.797,15134
18.817,15897
18.837,16579
18.857,17096
18.877,17832
18.897,17941
18.917,18709
18.937,19343
18.957,19632
18.977,19625
18.997,19664
19.017,19871
19.037,19559
19.057,19488
19.077,19116
19.098,19030
19.118,18534
19.138,18129
19.158,17525
19.178,16641
19.198,16054
19.218,15413
19.238,14542
19.258,13981
19.278,13056
19.298,12425
19.318,11750
19.338,10818
19.358,10404
19.378,9473
19.398,9212
19.418,8590
19.439,8067
19.459,7804
19.479,7274
19.499,6761
19.519,6376
19.539,6348
19.559,5966
19.579,5758
19.599,5504
19.619,5301
19.639,5120
19.659,4944
19.679,4833
19.699,4588
19.719,4661
19.739,4445
19.759,4444
19.78,4197
19.8,4091
19.82,4167
19.84,3979
19.86,3892
19.88,3962
19.9,3916
19.92,3928
19.94,3827
19.96,3809
19.98,4066
20,4185
20.02,4247
20.04,4653
20.06,4855
20.08,5075
20.101,5502
20.121,5479
20.141,5995
20.161,6240
20.181,6336
20.201,6385
20.221,6612
20.241,6682
20.261,6464
20.281,6517
20.301,6313
20.321,5917
20.341,5525
20.361,5104
20.381,4738
20.401,4343
20.421,4023
20.442,3692
20.462,3476
20.482,3269
20.502,3262
20.522,3087
20.542,3091
20.562,3011
20.582,3116
20.602,3138
20.622,3099
20.642,3167
20.662,3004
20.682,3151
20.702,3166
20.722,3140
20.742,3157
20.763,3070
20.783,3228
20.803,3386
20.823,3333
20.843,3358
20.863,3448
20.883,3622
20.903,3695
20.923,3884
20.943,4002
20.963,4166
20.983,4259
21.003,4418
21.023,4694
21.043,4644
21.063,4912
21.083,5015
21.104,5242
21.124,5482
21.144,5415
21.164,5591
21.184,5700
21.204,5847
21.224,5827
21.244,5795
21.264,5681
21.284,5672
