Energy [keV],Net Count Rate
0,9750
0.02,7657
0.04,4815
0.06,2468
0.08,1041
0.1,278
0.12,50
0.14,11
0.161,5
0.181,3
0.201,0
0.221,2
0.241,4
0.261,4
0.281,2
0.301,0
0.321,0
0.341,1
0.361,1
0.381,1
0.401,1
0.421,0
0.442,0
0.462,1
0.482,0
0.502,2
0.522,1
0.542,0
0.562,0
0.582,0
0.602,1
0.622,5
0.642,117
0.662,436
0.682,768
0.702,984
0.722,1088
0.743,1163
0.763,1105
0.783,1134
0.803,1165
0.823,1177
0.843,1129
0.863,1102
0.883,1248
0.903,1253
0.923,1253
0.943,1359
0.963,1316
0.983,1312
1.003,1227
1.024,1172
1.044,1154
1.064,1228
1.084,1194
1.104,1147
1.124,1129
1.144,1117
1.164,1153
1.184,1240
1.204,1111
1.224,1152
1.244,1160
1.264,1062
1.284,953
1.305,949
1.325,932
1.345,923
1.365,936
1.385,929
1.405,947
1.425,1052
1.445,1029
1.465,1087
1.485,1129
1.505,1028
1.525,1097
1.545,972
1.565,984
1.585,1010
1.606,949
1.626,940
1.646,895
1.666,936
1.686,940
1.706,1054
1.726,1051
1.746,1051
1.766,1037
1.786,1014
1.806,931
1.826,961
1.846,936
1.866,959
1.887,961
1.907,968
1.927,1012
1.947,1091
1.967,1212
1.987,1294
2.007,1314
2.027,1348
2.047,1296
2.067,1250
2.087,1191
2.107,1122
2.127,1101
2.147,1058
2.167,1106
2.188,1137
2.208,1177
2.228,1306
2.248,1523
2.268,1710
2.288,2000
2.308,2190
2.328,2321
2.348,2222
2.368,2113
2.388,2070
2.408,1937
2.428,1852
2.448,1781
2.469,1846
2.489,1858
2.509,2021
2.529,2318
2.549,2660
2.569,3392
2.589,4745
2.609,6820
2.629,9997
2.649,14242
2.669,18462
2.689,22112
2.709,23522
2.729,22025
2.749,19326
2.77,16542
2.79,14886
2.81,15019
2.83,15996
2.85,16563
2.87,17001
2.89,17140
2.91,17474
2.93,18384
2.95,19300
2.97,19141
2.99,17759
3.01,14732
3.03,11443
3.051,8165
3.071,5719
3.091,4358
3.111,3725
3.131,3596
3.151,3664
3.171,3898
3.191,3909
3.211,3928
3.231,3918
3.251,3691
3.271,3883
3.291,4140
3.311,4557
3.332,4691
3.352,4428
3.372,4229
3.392,3608
3.412,3175
3.432,2753
3.452,2482
3.472,2328
3.492,2348
3.512,2338
3.532,2398
3.552,2419
3.572,2610
3.592,2806
3.612,3036
3.633,3287
3.653,3415
3.673,3611
3.693,3994
3.713,3949
3.733,3804
3.753,3586
3.773,3403
3.793,3116
3.813,3088
3.833,2994
3.853,3001
3.873,2949
3.893,3019
3.914,3164
3.934,3209
3.954,3212
3.974,3316
3.994,3428
4.014,3486
4.034,3655
4.054,3559
4.074,3613
4.094,3597
4.114,3504
4.134,3611
4.154,3725
4.174,3783
4.194,3713
4.215,3791
4.235,3929
4.255,3747
4.275,3910
4.295,3841
4.315,3976
4.335,4065
4.355,4233
4.375,4289
4.395,4410
4.415,4597
4.435,4838
4.455,5021
4.475,5248
4.496,5311
4.516,5547
4.536,5595
4.556,5506
4.576,5438
4.596,5239
4.616,5236
4.636,5043
4.656,4989
4.676,5075
4.696,4982
4.716,5064
4.736,5112
4.756,5123
4.776,5231
4.797,5461
4.817,5424
4.837,5690
4.857,5669
4.877,5704
4.897,5832
4.917,5923
4.937,5904
4.957,6063
4.977,6248
4.997,6110
5.017,6167
5.037,6090
5.057,6353
5.078,6364
5.098,6381
5.118,6515
5.138,6602
5.158,6595
5.178,6739
5.198,6839
5.218,6890
5.238,7055
5.258,7014
5.278,7250
5.298,7386
5.318,7396
5.338,7494
5.359,7685
5.379,7787
5.399,7860
5.419,7932
5.439,7958
5.459,8119
5.479,8068
5.499,8249
5.519,8394
5.539,8408
5.559,8557
5.579,8603
5.599,8561
5.619,8778
5.639,8862
5.66,8755
5.68,8901
5.7,9164
5.72,9325
5.74,9178
5.76,9234
5.78,9482
5.8,9476
5.82,9643
5.84,9775
5.86,9914
5.88,9837
5.9,10080
5.92,9976
5.941,10137
5.961,10146
5.981,10169
6.001,10202
6.021,10388
6.041,10378
6.061,10444
6.081,10533
6.101,10562
6.121,10858
6.141,11010
6.161,11136
6.181,11340
6.201,11716
6.221,12138
6.242,12348
6.262,12662
6.282,13079
6.302,13501
6.322,13968
6.342,14240
6.362,15102
6.382,15488
6.402,15934
6.422,15924
6.442,15560
6.462,15170
6.482,14126
6.502,13343
6.523,12330
6.543,11882
6.563,11569
6.583,11385
6.603,11343
6.623,11088
6.643,11028
6.663,11078
6.683,11357
6.703,11232
6.723,11239
6.743,11449
6.763,11636
6.783,11827
6.803,11849
6.824,11934
6.844,11995
6.864,12119
6.884,12254
6.904,12589
6.924,12321
6.944,12617
6.964,12482
6.984,12553
7.004,12405
7.024,12559
7.044,12430
7.064,12561
7.084,13023
7.105,13116
7.125,13599
7.145,13954
7.165,14913
7.185,15956
7.205,17358
7.225,18966
7.245,20559
7.265,22012
7.285,24230
7.305,25804
7.325,26456
7.345,27346
7.365,27582
7.386,28060
7.406,28190
7.426,28226
7.446,29146
7.466,29213
7.486,29164
7.506,28350
7.526,26717
7.546,24265
7.566,21664
7.586,18440
7.606,15843
7.626,13895
7.646,12255
7.666,11476
7.687,10857
7.707,10565
7.727,10458
7.747,10464
7.767,10414
7.787,10430
7.807,10567
7.827,10415
7.847,10686
7.867,10663
7.887,10875
7.907,10948
7.927,11157
7.947,11400
7.968,11666
7.988,12042
8.008,12583
8.028,12770
8.048,13165
8.068,13349
8.088,13407
8.108,13150
8.128,13190
8.148,12614
8.168,12581
8.188,12485
8.208,12455
8.228,12120
8.248,12227
8.269,12374
8.289,12221
8.309,12058
8.329,11932
8.349,11523
8.369,11150
8.389,10881
8.409,10550
8.429,10121
8.449,10156
8.469,9859
8.489,9828
8.509,9819
8.529,9680
8.55,9864
8.57,9632
8.59,9974
8.61,9950
8.63,9986
8.65,9969
8.67,10044
8.69,10148
8.71,10044
8.73,9860
8.75,9950
8.77,9917
8.79,10068
8.81,10024
8.83,9799
8.851,9883
8.871,9943
8.891,9781
8.911,9774
8.931,9742
8.951,9780
8.971,10010
8.991,9832
9.011,9721
9.031,9620
9.051,10054
9.071,9852
9.091,9906
9.111,9785
9.132,9730
9.152,9485
9.172,9673
9.192,9752
9.212,9647
9.232,9701
9.252,9869
9.272,9799
9.292,9610
9.312,9597
9.332,9745
9.352,9860
9.372,9583
9.392,9814
9.413,9803
9.433,9753
9.453,9496
9.473,9786
9.493,9545
9.513,9614
9.533,9649
9.553,9723
9.573,9564
9.593,9613
9.613,9414
9.633,9360
9.653,9430
9.673,9446
9.693,9537
9.714,9471
9.734,9435
9.754,9301
9.774,9272
9.794,9428
9.814,9303
9.834,9411
9.854,9355
9.874,9423
9.894,9286
9.914,9281
9.934,9283
9.954,9387
9.974,9277
9.995,9075
10.015,9147
10.035,9121
10.055,9061
10.075,9221
10.095,9119
10.115,8995
10.135,8954
10.155,9111
10.175,9161
10.195,8977
10.215,9074
10.235,8884
10.255,9085
10.275,8925
10.296,8756
10.316,8705
10.336,8851
10.356,8773
10.376,8770
10.396,8673
10.416,8940
10.436,8624
10.456,8653
10.476,8618
10.496,8550
10.516,8509
10.536,8631
10.556,8629
10.577,8588
10.597,8695
10.617,8484
10.637,8292
10.657,8399
10.677,8523
10.697,8484
10.717,8485
10.737,8396
10.757,8281
10.777,8122
10.797,8212
10.817,8147
10.837,8317
10.857,8290
10.878,8079
10.898,8194
10.918,8093
10.938,8017
10.958,8160
10.978,8184
10.998,8073
11.018,8061
11.038,7973
11.058,7987
11.078,8065
11.098,7884
11.118,7853
11.138,7915
11.159,7937
11.179,8052
11.199,7806
11.219,7904
11.239,7886
11.259,7753
11.279,7774
11.299,7717
11.319,7684
11.339,7804
11.359,7749
11.379,7559
11.399,7547
11.419,7503
11.44,7648
11.46,7485
11.48,7510
11.5,7446
11.52,7571
11.54,7655
11.56,7372
11.58,7456
11.6,7538
11.62,7388
11.64,7145
11.66,7274
11.68,7501
11.7,7406
11.72,7055
11.741,7112
11.761,7076
11.781,7170
11.801,7212
11.821,7276
11.841,6988
11.861,7034
11.881,7092
11.901,7080
11.921,7083
11.941,6973
11.961,6970
11.981,6841
12.001,7036
12.022,6835
12.042,6912
12.062,6869
12.082,6843
12.102,6995
12.122,6655
12.142,6726
12.162,6721
12.182,6814
12.202,6609
12.222,6605
12.242,6616
12.262,6602
12.282,6605
12.302,6490
12.323,6510
12.343,6510
12.363,6471
12.383,6487
12.403,6467
12.423,6478
12.443,6410
12.463,6347
12.483,6351
12.503,6418
12.523,6221
12.543,6359
12.563,6161
12.583,6298
12.604,6240
12.624,6210
12.644,6131
12.664,6195
12.684,6145
12.704,6138
12.724,6104
12.744,6009
12.764,6071
12.784,6073
12.804,6060
12.824,6065
12.844,5942
12.864,5861
12.884,5893
12.905,5820
12.925,5891
12.945,5898
12.965,5918
12.985,5910
13.005,5732
13.025,5810
13.045,5802
13.065,5656
13.085,5730
13.105,5597
13.125,5659
13.145,5504
13.165,5536
13.186,5619
13.206,5422
13.226,5620
13.246,5575
13.266,5524
13.286,5402
13.306,5325
13.326,5322
13.346,5414
13.366,5527
13.386,5406
13.406,5340
