Energy [keV],Net Count Rate
0,9224
0.02,7125
0.04,4573
0.06,2801
0.08,1364
0.1,299
0.12,46
0.14,15
0.16,6
0.18,3
0.201,2
0.221,3
0.241,3
0.261,2
0.281,2
0.301,0
0.321,2
0.341,0
0.361,1
0.381,0
0.401,0
0.421,1
0.441,2
0.461,1
0.481,1
0.501,0
0.521,3
0.541,0
0.561,0
0.581,1
0.602,4
0.622,28
0.642,274
0.662,926
0.682,1455
0.702,1905
0.722,2039
0.742,2038
0.762,2085
0.782,2099
0.802,2106
0.822,1944
0.842,2043
0.862,2070
0.882,2109
0.902,2078
0.922,2167
0.942,2166
0.962,2083
0.983,2073
1.003,2001
1.023,1941
1.043,1928
1.063,1897
1.083,1941
1.103,1913
1.123,1812
1.143,1810
1.163,1901
1.183,1801
1.203,1848
1.223,1751
1.243,1835
1.263,1728
1.283,1650
1.303,1595
1.323,1535
1.343,1682
1.363,1535
1.384,1598
1.404,1587
1.424,1586
1.444,1602
1.464,1696
1.484,1660
1.504,1565
1.524,1585
1.544,1488
1.564,1515
1.584,1529
1.604,1493
1.624,1361
1.644,1430
1.664,1459
1.684,1517
1.704,1524
1.724,1603
1.744,1595
1.765,1593
1.785,1558
1.805,1436
1.825,1432
1.845,1452
1.865,1393
1.885,1418
1.905,1553
1.925,1527
1.945,1557
1.965,1570
1.985,1738
2.005,1726
2.025,1730
2.045,1711
2.065,1529
2.085,1572
2.105,1546
2.125,1482
2.145,1416
2.166,1530
2.186,1500
2.206,1669
2.226,1758
2.246,1851
2.266,2207
2.286,2530
2.306,2530
2.326,2670
2.346,2676
2.366,2503
2.386,2282
2.406,2217
2.426,2251
2.446,2129
2.466,2108
2.486,2222
2.506,2367
2.526,2596
2.547,3010
2.567,3669
2.587,4984
2.607,6921
2.627,9900
2.647,13770
2.667,17909
2.687,21108
2.707,21898
2.727,20732
2.747,18309
2.767,15585
2.787,14605
2.807,14836
2.827,15494
2.847,16014
2.867,16387
2.887,16494
2.907,16842
2.928,18065
2.948,18555
2.968,18433
2.988,17270
3.008,14495
3.028,11004
3.048,8017
3.068,5803
3.088,4456
3.108,3842
3.128,3693
3.148,3897
3.168,4058
3.188,4168
3.208,4117
3.228,4284
3.248,4544
3.268,4916
3.288,5530
3.308,6097
3.329,6394
3.349,6140
3.369,5431
3.389,4432
3.409,3759
3.429,3235
3.449,2870
3.469,2559
3.489,2626
3.509,2768
3.529,2688
3.549,3016
3.569,3422
3.589,3983
3.609,5069
3.629,6417
3.649,8023
3.669,9759
3.689,10949
3.71,11345
3.73,10466
3.75,8842
3.77,6934
3.79,5535
3.81,4330
3.83,3705
3.85,3292
3.87,3373
3.89,3320
3.91,3397
3.93,3574
3.95,3888
3.97,4219
3.99,4535
4.01,4762
4.03,4650
4.05,4787
4.07,4545
4.09,4408
4.111,4084
4.131,3931
4.151,3802
4.171,3775
4.191,3971
4.211,3973
4.231,3924
4.251,3992
4.271,4032
4.291,4113
4.311,4148
4.331,4153
4.351,4375
4.371,4490
4.391,4539
4.411,4646
4.431,4969
4.451,5059
4.471,5502
4.492,5632
4.512,5731
4.532,5711
4.552,5786
4.572,5650
4.592,5553
4.612,5438
4.632,5162
4.652,5135
4.672,5104
4.692,5190
4.712,5296
4.732,5330
4.752,5367
4.772,5396
4.792,5537
4.812,5651
4.832,5739
4.852,5876
4.872,5990
4.893,6058
4.913,6169
4.933,6213
4.953,6279
4.973,6394
4.993,6320
5.013,6596
5.033,6569
5.053,6499
5.073,6690
5.093,6676
5.113,6881
5.133,6774
5.153,6884
5.173,7037
5.193,7145
5.213,7340
5.233,7308
5.253,7348
5.274,7551
5.294,7738
5.314,7880
5.334,7937
5.354,8294
5.374,8286
5.394,8224
5.414,8417
5.434,8829
5.454,8972
5.474,8753
5.494,8904
5.514,8955
5.534,9376
5.554,9312
5.574,9372
5.594,9665
5.614,9697
5.634,9739
5.654,9868
5.675,10064
5.695,10088
5.715,10223
5.735,10350
5.755,10479
5.775,10682
5.795,10779
5.815,11058
5.835,11152
5.855,11308
5.875,11645
5.895,11722
5.915,12063
5.935,12109
5.955,12000
5.975,11877
5.995,12066
6.015,12214
6.035,12222
6.056,12245
6.076,12661
6.096,12689
6.116,12683
6.136,13000
6.156,13147
6.176,13576
6.196,14083
6.216,14599
6.236,15125
6.256,15561
6.276,16384
6.296,17473
6.316,18622
6.336,20652
6.356,22345
6.376,24309
6.396,25790
6.416,26677
6.436,25915
6.457,24868
6.477,22312
6.497,20519
6.517,18275
6.537,16551
6.557,15382
6.577,14626
6.597,14369
6.617,14177
6.637,14406
6.657,14345
6.677,14422
6.697,14465
6.717,14747
6.737,14715
6.757,15233
6.777,15059
6.797,15624
6.817,15851
6.838,15954
6.858,16304
6.878,16234
6.898,16728
6.918,16632
6.938,16846
6.958,17189
6.978,17262
6.998,17578
7.018,17752
7.038,18123
7.058,18603
7.078,19135
7.098,19490
7.118,19788
7.138,20509
7.158,21517
7.178,23311
7.198,24748
7.219,26884
7.239,29495
7.259,32338
7.279,34470
7.299,36510
7.319,37960
7.339,38896
7.359,39495
7.379,39789
7.399,40010
7.419,40574
7.439,40939
7.459,41499
7.479,41197
7.499,40314
7.519,38094
7.539,34721
7.559,30675
7.579,26566
7.599,22975
7.62,20077
7.64,18238
7.66,17168
7.68,16293
7.7,16186
7.72,15801
7.74,15744
7.76,16089
7.78,16097
7.8,16078
7.82,16412
7.84,16615
7.86,16736
7.88,17015
7.9,17259
7.92,17481
7.94,17999
7.96,18485
7.98,19240
8.001,19497
8.021,19978
8.041,20604
