Energy [keV],Net Count Rate
0,9539
0.02,7506
0.04,4565
0.06,2721
0.08,1217
0.1,328
0.121,59
0.141,11
0.161,6
0.181,8
0.201,1
0.221,2
0.241,0
0.261,2
0.281,3
0.301,0
0.321,1
0.341,2
0.362,0
0.382,2
0.402,0
0.422,1
0.442,1
0.462,2
0.482,0
0.502,1
0.522,0
0.542,1
0.562,0
0.582,0
0.603,2
0.623,17
0.643,174
0.663,715
0.683,1232
0.703,1453
0.723,1602
0.743,1749
0.763,1678
0.783,1707
0.803,1672
0.823,1647
0.844,1663
0.864,1674
0.884,1741
0.904,1786
0.924,1781
0.944,1790
0.964,1787
0.984,1781
1.004,1659
1.024,1619
1.044,1572
1.065,1578
1.085,1643
1.105,1616
1.125,1658
1.145,1568
1.165,1570
1.185,1591
1.205,1642
1.225,1617
1.245,1552
1.265,1500
1.285,1455
1.306,1360
1.326,1337
1.346,1339
1.366,1332
1.386,1366
1.406,1361
1.426,1282
1.446,1397
1.466,1394
1.486,1369
1.506,1413
1.526,1419
1.547,1352
1.567,1314
1.587,1200
1.607,1259
1.627,1252
1.647,1269
1.667,1250
1.687,1341
1.707,1490
1.727,1497
1.747,1582
1.767,1465
1.788,1385
1.808,1320
1.828,1255
1.848,1284
1.868,1208
1.888,1196
1.908,1343
1.928,1239
1.948,1218
1.968,1302
1.988,1312
2.009,1389
2.029,1351
2.049,1354
2.069,1336
2.089,1295
2.109,1342
2.129,1298
2.149,1315
2.169,1304
2.189,1377
2.209,1466
2.229,1495
2.25,1755
2.27,1961
2.29,2164
2.31,2365
2.33,2358
2.35,2365
2.37,2281
2.39,2069
2.41,2004
2.43,1953
2.45,2021
2.47,2097
2.491,2142
2.511,2334
2.531,2561
2.551,3067
2.571,3866
2.591,5331
2.611,7554
2.631,11145
2.651,15032
2.671,18326
2.691,21044
2.711,21493
2.732,19974
2.752,17668
2.772,15524
2.792,14996
2.812,15429
2.832,16282
2.852,16946
2.872,17112
2.892,17090
2.912,17833
2.932,18981
2.952,19431
2.973,19292
2.993,17339
3.013,13889
3.033,10633
3.053,7785
3.073,5510
3.093,4451
3.113,3769
3.133,3826
3.153,3971
3.173,3952
3.194,4019
3.214,3909
3.234,3712
3.254,3534
3.274,3518
3.294,3703
3.314,3857
3.334,3874
3.354,3707
3.374,3521
3.394,3150
3.414,2921
3.435,2539
3.455,2520
3.475,2418
3.495,2322
3.515,2409
3.535,2499
3.555,2506
3.575,2670
3.595,2830
3.615,3079
3.635,3186
3.655,3517
3.676,3780
3.696,3932
3.716,4061
3.736,3877
3.756,3558
3.776,3369
3.796,3160
3.816,3059
3.836,3079
3.856,3071
3.876,3018
3.896,3120
3.917,3278
3.937,3293
3.957,3406
3.977,3461
3.997,3548
4.017,3653
4.037,3678
4.057,3568
4.077,3675
4.097,3653
4.117,3771
4.138,3775
4.158,3709
4.178,3879
4.198,3770
4.218,3891
4.238,4065
4.258,3915
4.278,3987
4.298,4046
4.318,4123
4.338,4230
4.358,4287
4.379,4380
4.399,4465
4.419,4722
4.439,4895
4.459,5131
4.479,5275
4.499,5492
4.519,5629
4.539,5507
4.559,5510
4.579,5372
4.599,5329
4.62,5015
4.64,5117
4.66,4969
4.68,5025
4.7,5100
4.72,5227
4.74,5244
4.76,5390
4.78,5419
4.8,5484
4.82,5549
4.84,5632
4.861,5733
4.881,5674
4.901,5928
4.921,5881
