Energy [keV],Net Count Rate
0,8617
0.02,6828
0.04,4502
0.06,3021
0.08,1343
0.1,286
0.12,49
0.14,11
0.161,9
0.181,5
0.201,10
0.221,6
0.241,1
0.261,2
0.281,3
0.301,4
0.321,4
0.341,3
0.361,3
0.381,1
0.401,0
0.421,2
0.441,0
0.462,1
0.482,0
0.502,1
0.522,1
0.542,0
0.562,1
0.582,2
0.602,3
0.622,63
0.642,397
0.662,1236
0.682,1856
0.702,2411
0.722,2495
0.742,2610
0.762,2650
0.783,2579
0.803,2572
0.823,2605
0.843,2449
0.863,2511
0.883,2473
0.903,2556
0.923,2586
0.943,2654
0.963,2535
0.983,2484
1.003,2393
1.023,2363
1.043,2324
1.063,2465
1.084,2339
1.104,2360
1.124,2322
1.144,2308
1.164,2367
1.184,2235
1.204,2315
1.224,2188
1.244,2126
1.264,2053
1.284,2046
1.304,1970
1.324,1973
1.344,1925
1.364,1885
1.385,1974
1.405,1846
1.425,1914
1.445,1933
1.465,1998
1.485,1920
1.505,1930
1.525,1893
1.545,1733
1.565,1796
1.585,1803
1.605,1736
1.625,1780
1.645,1763
1.665,1825
1.686,1800
1.706,1839
1.726,1897
1.746,1976
1.766,1897
1.786,1825
1.806,1776
1.826,1749
1.846,1721
1.866,1683
1.886,1587
1.906,1677
1.926,1702
1.946,1693
1.966,1704
1.986,1720
2.007,1754
2.027,1753
2.047,1785
2.067,1741
2.087,1652
2.107,1699
2.127,1668
2.147,1628
2.167,1802
2.187,1733
2.207,1856
2.227,1913
2.247,2043
2.267,2348
2.287,2456
2.308,2571
2.328,2726
2.348,2727
2.368,2599
2.388,2463
2.408,2370
2.428,2331
2.448,2214
2.468,2344
2.488,2387
2.508,2640
2.528,2709
2.548,3154
2.568,3813
2.588,5235
2.609,7228
2.629,10291
2.649,13856
2.669,17480
2.689,20431
2.709,21239
2.729,20176
2.749,17854
2.769,15914
2.789,15011
2.809,15469
2.829,16449
2.849,17386
2.869,17270
2.889,17252
2.909,17605
2.93,18454
2.95,18684
2.97,18845
2.99,17004
3.01,14323
3.03,10905
3.05,8228
3.07,6078
3.09,4682
3.11,4143
3.13,4053
3.15,4114
3.17,4145
3.19,4228
3.21,4070
3.231,3743
3.251,3387
3.271,3328
3.291,3149
3.311,3155
3.331,3134
3.351,3252
3.371,3251
3.391,3130
3.411,3044
3.431,2802
3.451,2757
3.471,2639
3.491,2619
3.511,2496
3.532,2693
3.552,2722
3.572,2851
3.592,2856
3.612,3187
3.632,3396
3.652,3654
3.672,3837
3.692,3992
3.712,4147
3.732,4100
3.752,3944
3.772,3558
3.792,3500
3.812,3292
3.833,3384
3.853,3370
3.873,3582
3.893,3413
3.913,3587
3.933,3665
3.953,3726
3.973,3891
3.993,4046
4.013,3998
4.033,4135
4.053,4227
4.073,4165
4.093,4208
4.113,4281
4.133,4296
4.154,4321
4.174,4458
4.194,4480
4.214,4665
4.234,4594
4.254,4701
4.274,4741
4.294,4771
4.314,4778
4.334,4935
4.354,5009
4.374,5066
4.394,5160
4.414,5442
4.434,5678
4.455,5964
4.475,6118
4.495,6227
4.515,6377
4.535,6315
4.555,6432
4.575,6078
4.595,6014
4.615,5877
4.635,5750
4.655,5747
4.675,5723
4.695,5843
4.715,5934
4.735,6011
4.756,6018
4.776,6302
4.796,6293
4.816,6221
4.836,6311
4.856,6612
4.876,6827
4.896,6857
4.916,6858
4.936,6906
4.956,7057
4.976,7087
4.996,7024
5.016,7218
5.036,7297
5.057,7402
5.077,7320
5.097,7483
5.117,7648
5.137,7823
5.157,7692
5.177,7897
5.197,8165
5.217,8402
5.237,8420
5.257,8678
5.277,8737
5.297,8888
5.317,9071
5.337,9213
5.357,9443
5.378,9732
5.398,9908
5.418,9964
5.438,10234
5.458,10400
5.478,10710
5.498,10690
5.518,10747
5.538,11004
5.558,11230
5.578,11212
5.598,11489
5.618,11478
5.638,11609
5.658,11890
5.679,12015
5.699,12243
5.719,12282
5.739,12357
5.759,12564
5.779,12425
5.799,12567
5.819,12914
5.839,13048
5.859,13148
5.879,13054
5.899,13329
5.919,13263
