Wavenumber [cm-1],% Transmittance
4000,98.916
3999,98.916
3998,98.915
3997,98.913
3996,98.912
3995,98.912
3994,98.91
3993,98.909
3992,98.907
3991,98.906
3990,98.906
3989,98.906
3988,98.905
3987,98.904
3986,98.904
3985,98.903
3984,98.902
3983,98.901
3982,98.899
3981,98.899
3980,98.898
3979,98.897
3978,98.897
3977,98.896
3976,98.895
3975,98.894
3974,98.893
3973,98.891
3972,98.89
3971,98.89
3970,98.891
3969,98.893
3968,98.893
3967,98.892
3966,98.889
3965,98.886
3964,98.885
3963,98.885
3962,98.886
3961,98.887
3960,98.886
3959,98.884
3958,98.882
3957,98.881
3956,98.88
3955,98.879
3954,98.879
3953,98.877
3952,98.876
3951,98.875
3950,98.876
3949,98.878
3948,98.881
3947,98.88
3946,98.877
3945,98.871
3944,98.869
3943,98.87
3942,98.873
3941,98.874
3940,98.874
3939,98.874
3938,98.875
3937,98.875
3936,98.875
3935,98.874
3934,98.874
3933,98.873
3932,98.872
3931,98.869
3930,98.866
3929,98.863
3928,98.861
3927,98.859
3926,98.859
3925,98.863
3924,98.868
3923,98.872
3922,98.876
3921,98.879
3920,98.88
3919,98.879
3918,98.876
3917,98.875
3916,98.873
3915,98.871
3914,98.868
3913,98.867
3912,98.867
3911,98.868
3910,98.869
3909,98.869
3908,98.868
3907,98.869
3906,98.873
3905,98.882
3904,98.891
3903,98.894
3902,98.888
3901,98.879
3900,98.873
3899,98.87
3898,98.868
3897,98.866
3896,98.865
3895,98.864
3894,98.864
3893,98.865
3892,98.869
3891,98.874
3890,98.878
3889,98.875
3888,98.87
3887,98.871
3886,98.875
3885,98.875
3884,98.867
3883,98.855
3882,98.849
3881,98.853
3880,98.86
3879,98.865
3878,98.863
3877,98.857
3876,98.855
3875,98.859
3874,98.863
3873,98.862
3872,98.861
3871,98.866
3870,98.874
3869,98.876
3868,98.869
3867,98.862
3866,98.862
3865,98.867
3864,98.869
3863,98.867
3862,98.865
3861,98.866
3860,98.87
3859,98.876
3858,98.878
3857,98.872
3856,98.863
3855,98.864
3854,98.875
3853,98.879
3852,98.875
3851,98.868
3850,98.863
3849,98.861
3848,98.862
3847,98.86
3846,98.859
3845,98.858
3844,98.86
3843,98.864
3842,98.868
3841,98.871
3840,98.871
3839,98.868
3838,98.864
3837,98.861
3836,98.858
3835,98.854
3834,98.85
3833,98.849
3832,98.85
3831,98.85
3830,98.849
3829,98.846
3828,98.844
3827,98.846
3826,98.85
3825,98.85
3824,98.846
3823,98.845
3822,98.85
3821,98.853
3820,98.853
3819,98.85
3818,98.847
3817,98.849
3816,98.851
3815,98.849
3814,98.845
3813,98.843
3812,98.844
3811,98.848
3810,98.848
3809,98.846
3808,98.849
3807,98.855
3806,98.86
3805,98.856
3804,98.848
3803,98.844
3802,98.842
3801,98.839
3800,98.834
3799,98.829
3798,98.828
3797,98.831
3796,98.833
3795,98.832
3794,98.83
3793,98.829
3792,98.829
3791,98.828
3790,98.826
3789,98.823
3788,98.82
3787,98.818
3786,98.818
3785,98.818
3784,98.819
3783,98.817
3782,98.815
3781,98.814
3780,98.815
3779,98.816
3778,98.816
3777,98.815
3776,98.817
3775,98.821
3774,98.824
3773,98.825
3772,98.824
3771,98.826
3770,98.828
3769,98.825
3768,98.82
3767,98.817
3766,98.82
3765,98.824
3764,98.824
3763,98.82
3762,98.815
3761,98.813
3760,98.812
3759,98.813
3758,98.817
3757,98.825
3756,98.83
3755,98.833
3754,98.841
3753,98.855
3752,98.867
3751,98.867
3750,98.863
3749,98.862
3748,98.855
3747,98.838
3746,98.825
3745,98.829
3744,98.839
3743,98.842
3742,98.839
3741,98.838
3740,98.844
3739,98.852
3738,98.858
3737,98.859
3736,98.854
3735,98.841
3734,98.827
3733,98.819
3732,98.821
3731,98.827
3730,98.834
3729,98.84
3728,98.846
3727,98.85
3726,98.846
3725,98.837
3724,98.829
3723,98.824
3722,98.823
3721,98.823
3720,98.823
3719,98.825
3718,98.828
3717,98.832
3716,98.832
3715,98.829
3714,98.83
3713,98.838
3712,98.845
3711,98.846
3710,98.844
3709,98.842
3708,98.843
3707,98.846
3706,98.85
3705,98.852
3704,98.851
3703,98.852
3702,98.856
3701,98.864
3700,98.872
3699,98.881
3698,98.891
3697,98.901
3696,98.91
3695,98.916
3694,98.92
3693,98.923
3692,98.924
3691,98.92
3690,98.915
3689,98.914
3688,98.916
3687,98.918
3686,98.917
3685,98.912
3684,98.905
3683,98.897
3682,98.89
3681,98.889
3680,98.897
3679,98.907
3678,98.914
