Wavenumber [cm-1],% Transmittance
4000,98.394
3999,98.394
3998,98.393
3997,98.391
3996,98.389
3995,98.386
3994,98.383
3993,98.378
3992,98.373
3991,98.371
3990,98.373
3989,98.378
3988,98.381
3987,98.383
3986,98.382
3985,98.381
3984,98.38
3983,98.378
3982,98.376
3981,98.374
3980,98.371
3979,98.367
3978,98.361
3977,98.357
3976,98.358
3975,98.364
3974,98.371
3973,98.373
3972,98.371
3971,98.368
3970,98.366
3969,98.367
3968,98.369
3967,98.37
3966,98.368
3965,98.361
3964,98.352
3963,98.347
3962,98.347
3961,98.352
3960,98.357
3959,98.359
3958,98.36
3957,98.362
3956,98.369
3955,98.38
3954,98.39
3953,98.396
3952,98.39
3951,98.37
3950,98.344
3949,98.326
3948,98.325
3947,98.34
3946,98.363
3945,98.384
3944,98.393
3943,98.391
3942,98.381
3941,98.369
3940,98.357
3939,98.35
3938,98.345
3937,98.342
3936,98.339
3935,98.334
3934,98.329
3933,98.329
3932,98.339
3931,98.357
3930,98.377
3929,98.398
3928,98.42
3927,98.431
3926,98.421
3925,98.398
3924,98.379
3923,98.369
3922,98.358
3921,98.338
3920,98.311
3919,98.291
3918,98.286
3917,98.295
3916,98.311
3915,98.329
3914,98.342
3913,98.348
3912,98.35
3911,98.355
3910,98.36
3909,98.362
3908,98.354
3907,98.333
3906,98.294
3905,98.244
3904,98.205
3903,98.2
3902,98.227
3901,98.266
3900,98.297
3899,98.311
3898,98.315
3897,98.316
3896,98.314
3895,98.308
3894,98.302
3893,98.299
3892,98.293
3891,98.272
3890,98.246
3889,98.243
3888,98.265
3887,98.281
3886,98.28
3885,98.284
3884,98.314
3883,98.367
3882,98.41
3881,98.416
3880,98.387
3879,98.351
3878,98.348
3877,98.381
3876,98.413
3875,98.404
3874,98.364
3873,98.326
3872,98.303
3871,98.285
3870,98.265
3869,98.249
3868,98.253
3867,98.276
3866,98.287
3865,98.283
3864,98.285
3863,98.295
3862,98.304
3861,98.305
3860,98.289
3859,98.245
3858,98.179
3857,98.126
3856,98.116
3855,98.115
3854,98.09
3853,98.089
3852,98.128
3851,98.187
3850,98.241
3849,98.278
3848,98.303
3847,98.325
3846,98.347
3845,98.368
3844,98.38
3843,98.377
3842,98.36
3841,98.34
3840,98.33
3839,98.33
3838,98.325
3837,98.306
3836,98.288
3835,98.287
3834,98.299
3833,98.31
3832,98.313
3831,98.318
3830,98.334
3829,98.362
3828,98.381
3827,98.37
3826,98.33
3825,98.293
3824,98.292
