Wavenumber [cm-1],% Transmittance
4000,98.005
3999,98.006
3998,98.007
3997,98.008
3996,98.008
3995,98.007
3994,98.006
3993,98.004
3992,98.003
3991,98.001
3990,97.998
3989,97.996
3988,97.995
3987,97.995
3986,97.995
3985,97.997
3984,97.997
3983,97.997
3982,97.996
3981,97.994
3980,97.992
3979,97.991
3978,97.99
3977,97.991
3976,97.993
3975,97.996
3974,97.997
3973,97.998
3972,97.996
3971,97.994
3970,97.992
3969,97.99
3968,97.988
3967,97.988
3966,97.988
3965,97.987
3964,97.986
3963,97.986
3962,97.986
3961,97.987
3960,97.988
3959,97.989
3958,97.988
3957,97.988
3956,97.989
3955,97.992
3954,97.997
3953,98.001
3952,98.002
3951,97.998
3950,97.991
3949,97.984
3948,97.98
3947,97.983
3946,97.989
3945,97.996
3944,98
3943,98
3942,97.996
3941,97.991
3940,97.986
3939,97.981
3938,97.976
3937,97.974
3936,97.972
3935,97.971
3934,97.971
3933,97.975
3932,97.983
3931,97.993
3930,98.001
3929,98.008
3928,98.014
3927,98.02
3926,98.02
3925,98.014
3924,98.006
3923,97.998
3922,97.989
3921,97.976
3920,97.963
3919,97.955
3918,97.955
3917,97.958
3916,97.963
3915,97.969
3914,97.973
3913,97.974
3912,97.972
3911,97.971
3910,97.973
3909,97.975
3908,97.98
3907,97.986
3906,97.987
3905,97.976
3904,97.957
3903,97.945
3902,97.948
3901,97.963
3900,97.975
3899,97.98
3898,97.98
3897,97.978
3896,97.976
3895,97.976
3894,97.979
3893,97.984
3892,97.983
3891,97.968
3890,97.947
3889,97.935
3888,97.937
3887,97.942
3886,97.946
3885,97.955
3884,97.97
3883,97.988
3882,97.999
3881,97.995
3880,97.985
3879,97.976
3878,97.974
3877,97.982
3876,97.988
3875,97.984
3874,97.977
3873,97.975
3872,97.975
3871,97.966
3870,97.951
3869,97.942
3868,97.949
3867,97.966
3866,97.974
3865,97.97
3864,97.967
3863,97.966
3862,97.964
3861,97.957
3860,97.944
3859,97.922
3858,97.9
3857,97.895
3856,97.915
3855,97.928
3854,97.906
3853,97.88
3852,97.879
3851,97.9
3850,97.926
3849,97.943
3848,97.951
3847,97.956
3846,97.961
3845,97.967
3844,97.972
3843,97.973
3842,97.968
3841,97.964
3840,97.966
3839,97.972
3838,97.974
3837,97.97
3836,97.966
3835,97.966
3834,97.968
3833,97.967
3832,97.964
3831,97.962
3830,97.966
3829,97.976
3828,97.983
3827,97.98
3826,97.968
3825,97.958
3824,97.96
3823,97.968
3822,97.967
3821,97.958
3820,97.946
3819,97.94
3818,97.944
3817,97.942
3816,97.933
3815,97.928
3814,97.936
3813,97.948
3812,97.949
3811,97.938
3810,97.93
3809,97.932
3808,97.935
3807,97.929
3806,97.918
3805,97.918
3804,97.932
3803,97.949
3802,97.961
3801,97.97
3800,97.974
3799,97.979
3798,97.981
3797,97.977
3796,97.971
3795,97.969
3794,97.972
3793,97.975
3792,97.977
3791,97.979
3790,97.983
3789,97.988
3788,97.992
3787,97.995
3786,97.998
3785,97.998
3784,97.997
3783,97.997
3782,97.997
3781,97.993
3780,97.988
3779,97.985
3778,97.984
3777,97.984
3776,97.98
3775,97.973
3774,97.966
3773,97.963
3772,97.963
3771,97.963
3770,97.962
3769,97.965
3768,97.971
3767,97.977
3766,97.976
3765,97.972
3764,97.971
3763,97.976
3762,97.982
3761,97.984
3760,97.987
3759,97.992
3758,97.988
3757,97.97
3756,97.947
3755,97.925
3754,97.9
3753,97.87
3752,97.85
3751,97.849
3750,97.849
3749,97.834
3748,97.825
3747,97.839
3746,97.863
3745,97.869
3744,97.862
3743,97.865
3742,97.882
3741,97.897
3740,97.897
3739,97.891
3738,97.886
3737,97.883
3736,97.895
3735,97.925
3734,97.953
3733,97.96
3732,97.948
3731,97.93
3730,97.916
3729,97.91
3728,97.908
3727,97.913
3726,97.928
3725,97.951
3724,97.971
3723,97.985
3722,97.995
3721,98.002
3720,98.007
3719,98.009
3718,98.003
3717,97.988
3716,97.974
3715,97.964
3714,97.955
3713,97.942
3712,97.93
3711,97.928
3710,97.936
3709,97.949
3708,97.961
3707,97.97
3706,97.976
3705,97.986
3704,98.002
3703,98.018
3702,98.026
3701,98.024
3700,98.016
3699,98.009
3698,98.004
3697,97.998
3696,97.992
3695,97.988
3694,97.982
3693,97.979
3692,97.987
3691,98.007
3690,98.022
3689,98.016
3688,97.994
3687,97.976
3686,97.973
3685,97.979
3684,97.983
3683,97.982
3682,97.98
3681,97.974
3680,97.96
3679,97.948
3678,97.947
3677,97.949
3676,97.946
3675,97.942
3674,97.939
3673,97.943
3672,97.948
3671,97.94
3670,97.93
3669,97.926
3668,97.925
3667,97.926
3666,97.924
3665,97.919
3664,97.913
3663,97.909
3662,97.903
3661,97.89
3660,97.874
3659,97.862
3658,97.851
3657,97.838
3656,97.823
3655,97.81
3654,97.804
3653,97.797
3652,97.782
3651,97.763
3650,97.755
3649,97.751
3648,97.741
3647,97.73
3646,97.722
3645,97.714
3644,97.701
3643,97.685
3642,97.67
3641,97.655
3640,97.638
3639,97.618
3638,97.596
3637,97.574
3636,97.55
