Wavenumber [cm-1],% Transmittance
4000,98.982
3999,98.981
3998,98.981
3997,98.98
3996,98.98
3995,98.979
3994,98.978
3993,98.978
3992,98.978
3991,98.978
3990,98.979
3989,98.979
3988,98.979
3987,98.979
3986,98.978
3985,98.977
3984,98.976
3983,98.976
3982,98.975
3981,98.974
3980,98.974
3979,98.974
3978,98.974
3977,98.974
3976,98.974
3975,98.974
3974,98.973
3973,98.973
3972,98.973
3971,98.973
3970,98.974
3969,98.974
3968,98.974
3967,98.973
3966,98.973
3965,98.973
3964,98.973
3963,98.973
3962,98.973
3961,98.972
3960,98.971
3959,98.97
3958,98.97
3957,98.97
3956,98.97
3955,98.97
3954,98.97
3953,98.971
3952,98.972
3951,98.973
3950,98.974
3949,98.975
3948,98.975
3947,98.973
3946,98.972
3945,98.972
3944,98.972
3943,98.973
3942,98.974
3941,98.974
3940,98.974
3939,98.974
3938,98.974
3937,98.973
3936,98.973
3935,98.973
3934,98.974
3933,98.974
3932,98.974
3931,98.973
3930,98.972
3929,98.97
3928,98.969
3927,98.969
3926,98.97
3925,98.972
3924,98.973
3923,98.973
3922,98.973
3921,98.974
3920,98.976
3919,98.977
3918,98.978
3917,98.978
3916,98.977
3915,98.975
3914,98.974
3913,98.973
3912,98.973
3911,98.973
3910,98.973
3909,98.973
3908,98.972
3907,98.971
3906,98.972
3905,98.974
3904,98.978
3903,98.981
3902,98.982
3901,98.982
3900,98.982
3899,98.981
3898,98.98
3897,98.978
3896,98.977
3895,98.975
3894,98.974
3893,98.973
3892,98.974
3891,98.975
3890,98.977
3889,98.977
3888,98.977
3887,98.978
3886,98.98
3885,98.979
3884,98.978
3883,98.976
3882,98.976
3881,98.977
3880,98.976
3879,98.975
3878,98.973
3877,98.972
3876,98.973
3875,98.975
3874,98.977
3873,98.976
3872,98.975
3871,98.976
3870,98.978
3869,98.979
3868,98.978
3867,98.977
3866,98.978
3865,98.98
3864,98.98
3863,98.979
3862,98.978
3861,98.977
3860,98.977
3859,98.979
3858,98.98
3857,98.978
3856,98.974
3855,98.974
3854,98.981
3853,98.988
3852,98.99
3851,98.987
3850,98.982
3849,98.979
3848,98.976
3847,98.974
3846,98.974
3845,98.974
3844,98.974
3843,98.975
3842,98.976
3841,98.976
3840,98.976
3839,98.975
3838,98.976
3837,98.977
3836,98.977
3835,98.976
3834,98.975
3833,98.975
3832,98.976
3831,98.976
3830,98.975
3829,98.973
3828,98.973
3827,98.973
3826,98.974
3825,98.974
3824,98.973
3823,98.974
3822,98.976
3821,98.978
3820,98.979
3819,98.978
3818,98.977
3817,98.978
3816,98.978
3815,98.978
3814,98.976
3813,98.974
3812,98.974
3811,98.975
3810,98.976
3809,98.976
3808,98.977
3807,98.979
3806,98.981
3805,98.981
3804,98.979
3803,98.979
3802,98.978
3801,98.975
3800,98.974
3799,98.973
3798,98.973
3797,98.974
3796,98.974
3795,98.972
3794,98.971
3793,98.971
3792,98.97
3791,98.969
3790,98.967
3789,98.966
3788,98.964
3787,98.964
3786,98.964
3785,98.964
3784,98.963
3783,98.963
3782,98.964
3781,98.966
3780,98.967
3779,98.967
3778,98.965
3777,98.964
3776,98.963
3775,98.963
3774,98.963
3773,98.964
3772,98.965
3771,98.966
3770,98.967
3769,98.966
3768,98.964
3767,98.964
3766,98.964
3765,98.963
3764,98.962
3763,98.961
3762,98.961
3761,98.962
3760,98.962
3759,98.962
3758,98.962
3757,98.963
3756,98.965
3755,98.967
3754,98.971
3753,98.974
3752,98.975
3751,98.973
3750,98.971
3749,98.971
3748,98.973
3747,98.973
3746,98.971
3745,98.969
3744,98.968
3743,98.968
3742,98.968
3741,98.967
3740,98.968
3739,98.968
3738,98.969
3737,98.972
3736,98.979
3735,98.987
3734,98.994
3733,98.994
3732,98.988
3731,98.98
3730,98.972
3729,98.966
3728,98.964
3727,98.964
3726,98.964
3725,98.963
3724,98.96
3723,98.957
3722,98.956
3721,98.956
3720,98.956
3719,98.956
3718,98.955
3717,98.953
3716,98.95
3715,98.946
3714,98.942
3713,98.937
3712,98.934
3711,98.934
3710,98.936
3709,98.938
3708,98.94
3707,98.941
3706,98.941
3705,98.94
3704,98.938
3703,98.935
3702,98.933
3701,98.929
3700,98.924
3699,98.92
