Wavenumber [cm-1],% Transmittance
4000,98.586
3999,98.586
3998,98.587
3997,98.587
3996,98.587
3995,98.587
3994,98.588
3993,98.588
3992,98.587
3991,98.586
3990,98.585
3989,98.585
3988,98.584
3987,98.584
3986,98.584
3985,98.584
3984,98.584
3983,98.584
3982,98.583
3981,98.582
3980,98.582
3979,98.582
3978,98.582
3977,98.583
3976,98.583
3975,98.584
3974,98.585
3973,98.584
3972,98.584
3971,98.582
3970,98.581
3969,98.581
3968,98.58
3967,98.58
3966,98.579
3965,98.578
3964,98.576
3963,98.575
3962,98.575
3961,98.576
3960,98.577
3959,98.577
3958,98.575
3957,98.574
3956,98.574
3955,98.577
3954,98.58
3953,98.583
3952,98.583
3951,98.58
3950,98.574
3949,98.57
3948,98.57
3947,98.575
3946,98.581
3945,98.584
3944,98.583
3943,98.579
3942,98.574
3941,98.57
3940,98.567
3939,98.564
3938,98.562
3937,98.562
3936,98.563
3935,98.563
3934,98.563
3933,98.564
3932,98.569
3931,98.576
3930,98.583
3929,98.589
3928,98.595
3927,98.599
3926,98.597
3925,98.59
3924,98.584
3923,98.58
3922,98.575
3921,98.567
3920,98.559
3919,98.556
3918,98.557
3917,98.559
3916,98.561
3915,98.565
3914,98.567
3913,98.567
3912,98.567
3911,98.57
3910,98.573
3909,98.577
3908,98.581
3907,98.583
3906,98.58
3905,98.569
3904,98.555
3903,98.552
3902,98.561
3901,98.575
3900,98.583
3899,98.584
3898,98.582
3897,98.578
3896,98.574
3895,98.572
3894,98.574
3893,98.578
3892,98.576
3891,98.564
3890,98.549
3889,98.544
3888,98.55
3887,98.556
3886,98.56
3885,98.566
3884,98.577
3883,98.59
3882,98.594
3881,98.589
3880,98.582
3879,98.576
3878,98.579
3877,98.588
3876,98.592
3875,98.585
3874,98.575
3873,98.57
3872,98.57
3871,98.565
3870,98.557
3869,98.556
3868,98.567
3867,98.581
3866,98.583
3865,98.577
3864,98.575
3863,98.576
3862,98.575
3861,98.571
3860,98.56
3859,98.54
3858,98.518
3857,98.511
3856,98.521
3855,98.523
3854,98.509
3853,98.501
3852,98.512
3851,98.533
3850,98.552
3849,98.563
3848,98.569
3847,98.574
3846,98.578
3845,98.582
3844,98.584
3843,98.58
3842,98.573
3841,98.569
3840,98.569
3839,98.572
3838,98.573
3837,98.571
3836,98.57
3835,98.571
3834,98.573
3833,98.573
3832,98.571
3831,98.57
3830,98.575
3829,98.583
3828,98.587
3827,98.582
3826,98.569
3825,98.562
3824,98.568
3823,98.574
3822,98.57
3821,98.559
3820,98.548
3819,98.546
3818,98.551
3817,98.55
3816,98.546
3815,98.546
3814,98.555
3813,98.562
3812,98.559
3811,98.548
3810,98.544
3809,98.547
3808,98.547
3807,98.539
3806,98.531
3805,98.533
3804,98.546
3803,98.557
3802,98.564
3801,98.567
3800,98.57
3799,98.574
3798,98.577
3797,98.574
3796,98.572
3795,98.572
3794,98.574
3793,98.575
3792,98.575
3791,98.576
3790,98.579
3789,98.582
3788,98.584
3787,98.586
3786,98.587
3785,98.587
3784,98.587
3783,98.589
3782,98.592
3781,98.59
3780,98.585
3779,98.58
3778,98.578
3777,98.577
3776,98.576
3775,98.571
3774,98.567
3773,98.567
3772,98.567
3771,98.565
3770,98.564
3769,98.565
3768,98.569
3767,98.572
3766,98.571
3765,98.568
3764,98.568
3763,98.574
3762,98.579
3761,98.58
3760,98.582
3759,98.586
3758,98.582
3757,98.567
3756,98.548
3755,98.53
3754,98.507
3753,98.481
3752,98.468
3751,98.471
3750,98.47
3749,98.458
3748,98.455
3747,98.472
3746,98.491
3745,98.496
3744,98.494
3743,98.501
3742,98.516
3741,98.527
3740,98.528
3739,98.531
3738,98.534
3737,98.533
3736,98.54
3735,98.557
3734,98.572
3733,98.572
3732,98.562
3731,98.55
3730,98.546
3729,98.547
3728,98.549
3727,98.553
3726,98.564
3725,98.578
3724,98.589
3723,98.594
3722,98.595
3721,98.596
3720,98.596
3719,98.595
3718,98.586
3717,98.57
3716,98.558
3715,98.551
3714,98.545
3713,98.536
3712,98.53
3711,98.532
3710,98.54
3709,98.551
3708,98.559
3707,98.563
3706,98.566
3705,98.573
3704,98.583
3703,98.588
3702,98.586
3701,98.578
3700,98.568
3699,98.56
3698,98.553
3697,98.545
3696,98.539
3695,98.533
3694,98.526
3693,98.52
3692,98.52
3691,98.526
3690,98.528
3689,98.52
3688,98.505
3687,98.492
3686,98.49
3685,98.491
3684,98.491
3683,98.489
3682,98.488
3681,98.479
3680,98.462
3679,98.447
3678,98.441
3677,98.436
3676,98.431
3675,98.427
3674,98.425
3673,98.43
3672,98.434
3671,98.429
3670,98.426
3669,98.428
3668,98.432
3667,98.435
3666,98.435
3665,98.433
3664,98.432
3663,98.432
3662,98.429
3661,98.422
3660,98.417
3659,98.417
3658,98.421
3657,98.424
3656,98.424
3655,98.426
3654,98.434
3653,98.442
3652,98.443
3651,98.443
3650,98.449
3649,98.456
3648,98.459
3647,98.462
3646,98.467
3645,98.47
3644,98.473
3643,98.475
3642,98.478
3641,98.482
3640,98.484
3639,98.482
3638,98.481
3637,98.484
3636,98.488
3635,98.487
3634,98.481
3633,98.475
3632,98.476
3631,98.476
3630,98.471
3629,98.47
3628,98.475
3627,98.486
3626,98.501
3625,98.514
3624,98.526
3623,98.543
3622,98.567
3621,98.587
3620,98.592
3619,98.581
3618,98.563
3617,98.547
3616,98.537
3615,98.526
3614,98.513
3613,98.5
3612,98.491
3611,98.485
3610,98.481
3609,98.481
3608,98.489
3607,98.503
3606,98.517
3605,98.527
3604,98.532
3603,98.533
3602,98.532
3601,98.533
3600,98.536
3599,98.537
3598,98.534
3597,98.526
3596,98.517
3595,98.507
3594,98.499
3593,98.493
3592,98.49
3591,98.49
3590,98.491
3589,98.491
3588,98.493
3587,98.495
3586,98.491
3585,98.482
3584,98.473
3583,98.466
3582,98.461
3581,98.459
3580,98.457
3579,98.454
3578,98.45
3577,98.444
3576,98.438
3575,98.432
3574,98.427
3573,98.424
3572,98.423
3571,98.424
3570,98.425
3569,98.423
3568,98.421
3567,98.423
3566,98.425
3565,98.421
3564,98.414
3563,98.404
3562,98.396
3561,98.389
3560,98.383
3559,98.379
3558,98.376
3557,98.374
3556,98.374
3555,98.375
3554,98.375
3553,98.375
3552,98.373
3551,98.37
3550,98.365
3549,98.36
3548,98.358
3547,98.361
3546,98.366
3545,98.369
3544,98.365
3543,98.358
3542,98.349
3541,98.343
3540,98.342
3539,98.344
3538,98.346
3537,98.344
3536,98.339
3535,98.334
3534,98.328
3533,98.324
3532,98.321
3531,98.32
3530,98.318
3529,98.315
3528,98.312
3527,98.311
3526,98.313
3525,98.311
3524,98.305
3523,98.294
3522,98.28
3521,98.264
3520,98.25
3519,98.24
3518,98.234
3517,98.232
3516,98.233
3515,98.231
3514,98.221
3513,98.201
3512,98.175
3511,98.151
3510,98.132
3509,98.12
3508,98.114
3507,98.115
3506,98.125
3505,98.141
3504,98.153
3503,98.149
3502,98.129
3501,98.105
3500,98.09
3499,98.084
3498,98.075
3497,98.057
3496,98.031
3495,98.003
3494,97.973
3493,97.945
3492,97.922
3491,97.909
3490,97.909
3489,97.915
3488,97.917
3487,97.905
3486,97.878
3485,97.848
3484,97.835
3483,97.852
3482,97.889
3481,97.919
3480,97.921
3479,97.895
3478,97.858
3477,97.829
3476,97.817
3475,97.821
3474,97.839
3473,97.875
3472,97.931
3471,97.996
3470,98.05
3469,98.076
3468,98.073
3467,98.05
3466,98.023
3465,98.004
3464,98.002
3463,98.018
3462,98.043
3461,98.065
3460,98.078
3459,98.082
3458,98.085
3457,98.092
3456,98.104
3455,98.118
3454,98.133
3453,98.148
3452,98.162
3451,98.177
3450,98.193
3449,98.209
3448,98.223
3447,98.233
3446,98.241
3445,98.247
3444,98.252
3443,98.26
3442,98.27
3441,98.284
3440,98.302
3439,98.321
3438,98.338
3437,98.35
3436,98.354
3435,98.351
3434,98.347
3433,98.345
3432,98.347
3431,98.349
3430,98.35
3429,98.346
3428,98.34
3427,98.335
3426,98.334
3425,98.335
3424,98.337
3423,98.342
3422,98.346
3421,98.349
3420,98.349
3419,98.348
3418,98.348
3417,98.351
3416,98.356
3415,98.363
3414,98.368
3413,98.369
3412,98.368
3411,98.367
3410,98.367
3409,98.364
3408,98.359
3407,98.357
3406,98.358
3405,98.366
3404,98.38
3403,98.394
3402,98.404
3401,98.405
3400,98.398
3399,98.386
3398,98.377
3397,98.373
3396,98.374
3395,98.381
3394,98.389
3393,98.394
3392,98.393
3391,98.386
3390,98.376
3389,98.367
3388,98.362
3387,98.361
3386,98.361
3385,98.36
3384,98.36
3383,98.361
3382,98.364
3381,98.366
3380,98.367
3379,98.368
3378,98.367
3377,98.365
3376,98.363
3375,98.362
3374,98.365
3373,98.371
3372,98.381
3371,98.391
3370,98.397
3369,98.398
3368,98.393
3367,98.384
3366,98.376
3365,98.369
3364,98.365
3363,98.364
3362,98.363
3361,98.361
3360,98.359
3359,98.356
3358,98.354
3357,98.354
3356,98.354
3355,98.357
3354,98.362
3353,98.369
3352,98.373
3351,98.373
3350,98.368
3349,98.361
3348,98.355
3347,98.353
3346,98.355
3345,98.357
3344,98.359
3343,98.36
3342,98.362
3341,98.365
3340,98.368
