Wavenumber [cm-1],% Transmittance
4000,99.172
3999,99.172
3998,99.172
3997,99.172
3996,99.172
3995,99.17
3994,99.169
3993,99.167
3992,99.167
3991,99.167
3990,99.168
3989,99.168
3988,99.169
3987,99.169
3986,99.168
3985,99.166
3984,99.165
3983,99.164
3982,99.164
3981,99.163
3980,99.163
3979,99.162
3978,99.162
3977,99.162
3976,99.162
3975,99.162
3974,99.161
3973,99.161
3972,99.161
3971,99.162
3970,99.162
3969,99.163
3968,99.164
3967,99.164
3966,99.163
3965,99.163
3964,99.163
3963,99.163
3962,99.163
3961,99.163
3960,99.162
3959,99.162
3958,99.162
3957,99.162
3956,99.162
3955,99.162
3954,99.162
3953,99.161
3952,99.16
3951,99.161
3950,99.162
3949,99.164
3948,99.164
3947,99.161
3946,99.159
3945,99.158
3944,99.159
3943,99.162
3942,99.163
3941,99.164
3940,99.165
3939,99.166
3938,99.166
3937,99.166
3936,99.165
3935,99.164
3934,99.165
3933,99.165
3932,99.165
3931,99.163
3930,99.161
3929,99.158
3928,99.157
3927,99.157
3926,99.16
3925,99.163
3924,99.164
3923,99.164
3922,99.164
3921,99.165
3920,99.168
3919,99.17
3918,99.171
3917,99.172
3916,99.172
3915,99.172
3914,99.172
3913,99.172
3912,99.172
3911,99.171
3910,99.169
3909,99.165
3908,99.162
3907,99.16
3906,99.161
3905,99.164
3904,99.167
3903,99.168
3902,99.166
3901,99.164
3900,99.165
3899,99.166
3898,99.168
3897,99.168
3896,99.168
3895,99.168
3894,99.168
3893,99.169
3892,99.171
3891,99.173
3890,99.172
3889,99.171
3888,99.171
3887,99.174
3886,99.174
3885,99.17
3884,99.164
3883,99.16
3882,99.161
3881,99.165
3880,99.166
3879,99.166
3878,99.164
3877,99.163
3876,99.165
3875,99.168
3874,99.167
3873,99.164
3872,99.164
3871,99.168
3870,99.171
3869,99.17
3868,99.166
3867,99.165
3866,99.167
3865,99.171
3864,99.172
3863,99.173
3862,99.174
3861,99.176
3860,99.177
3859,99.177
3858,99.174
3857,99.165
3856,99.153
3855,99.15
3854,99.157
3853,99.163
3852,99.164
3851,99.166
3850,99.168
3849,99.17
3848,99.171
3847,99.171
3846,99.171
3845,99.171
3844,99.17
3843,99.169
3842,99.167
3841,99.166
3840,99.166
3839,99.165
3838,99.165
3837,99.165
3836,99.165
3835,99.165
3834,99.166
3833,99.168
3832,99.169
3831,99.168
3830,99.167
3829,99.166
3828,99.166
3827,99.167
3826,99.167
3825,99.165
3824,99.163
3823,99.165
3822,99.171
3821,99.173
3820,99.17
3819,99.168
3818,99.168
3817,99.171
3816,99.172
3815,99.17
3814,99.168
3813,99.168
3812,99.169
3811,99.172
3810,99.173
3809,99.174
3808,99.177
3807,99.178
3806,99.175
3805,99.17
3804,99.165
3803,99.164
3802,99.164
3801,99.16
3800,99.157
3799,99.157
3798,99.161
3797,99.166
3796,99.168
3795,99.168
3794,99.167
3793,99.167
3792,99.167
3791,99.167
3790,99.165
3789,99.163
3788,99.161
3787,99.161
3786,99.162
3785,99.163
3784,99.162
3783,99.16
3782,99.16
3781,99.161
3780,99.162
3779,99.162
3778,99.16
3777,99.158
3776,99.158
3775,99.158
3774,99.159
3773,99.159
3772,99.16
3771,99.162
3770,99.161
3769,99.158
3768,99.156
3767,99.156
3766,99.158
3765,99.158
3764,99.156
3763,99.154
3762,99.153
3761,99.153
3760,99.153
3759,99.151
3758,99.151
3757,99.152
3756,99.153
3755,99.155
3754,99.157
3753,99.16
3752,99.159
3751,99.154
3750,99.148
3749,99.145
3748,99.144
3747,99.137
3746,99.125
3745,99.114
3744,99.111
3743,99.118
3742,99.126
3741,99.13
3740,99.127
3739,99.116
3738,99.102
3737,99.094
3736,99.106
3735,99.133
3734,99.154
3733,99.152
3732,99.128
3731,99.095
3730,99.064
3729,99.039
3728,99.025
3727,99.02
3726,99.021
3725,99.024
3724,99.028
3723,99.035
3722,99.044
3721,99.054
3720,99.064
3719,99.074
3718,99.082
3717,99.09
3716,99.097
3715,99.098
3714,99.087
3713,99.061
3712,99.034
3711,99.019
3710,99.02
3709,99.03
3708,99.04
3707,99.047
3706,99.048
3705,99.048
3704,99.051
3703,99.056
3702,99.052
3701,99.04
3700,99.024
3699,99.011
3698,99.004
3697,99
3696,98.993
3695,98.981
3694,98.969
3693,98.966
3692,98.979
3691,99.004
3690,99.022
3689,99.017
3688,98.993
3687,98.968
3686,98.949
3685,98.938
3684,98.929
3683,98.919
3682,98.905
3681,98.891
3680,98.876
3679,98.858
3678,98.841
3677,98.829
3676,98.821
3675,98.81
3674,98.795
3673,98.78
3672,98.767
3671,98.756
3670,98.738
3669,98.715
3668,98.694
3667,98.675
3666,98.658
3665,98.639
3664,98.619
3663,98.597
3662,98.573
3661,98.549
3660,98.524
3659,98.5
3658,98.476
3657,98.45
3656,98.422
3655,98.394
3654,98.367
3653,98.343
3652,98.32
3651,98.294
3650,98.259
3649,98.218
3648,98.18
3647,98.145
3646,98.115
3645,98.086
3644,98.058
3643,98.029
3642,97.997
3641,97.961
3640,97.926
3639,97.89
3638,97.853
3637,97.812
3636,97.771
3635,97.733
3634,97.698
3633,97.664
3632,97.628
3631,97.589
3630,97.546
3629,97.5
3628,97.457
3627,97.422
3626,97.391
3625,97.362
3624,97.338
3623,97.321
3622,97.31
3621,97.291
3620,97.25
3619,97.186
3618,97.116
3617,97.057
3616,97.016
3615,96.987
3614,96.958
3613,96.921
3612,96.877
3611,96.83
3610,96.78
3609,96.728
3608,96.68
3607,96.636
3606,96.597
3605,96.556
3604,96.514
3603,96.469
3602,96.423
3601,96.377
3600,96.333
3599,96.289
3598,96.243
3597,96.193
3596,96.143
3595,96.094
3594,96.048
3593,96.004
3592,95.962
3591,95.923
3590,95.885
3589,95.843
3588,95.793
3587,95.735
3586,95.678
3585,95.627
3584,95.581
3583,95.537
3582,95.493
3581,95.447
3580,95.399
3579,95.35
3578,95.301
3577,95.25
3576,95.2
3575,95.149
3574,95.097
3573,95.041
3572,94.985
3571,94.932
3570,94.883
3569,94.837
3568,94.789
3567,94.732
3566,94.67
3565,94.61
3564,94.556
3563,94.506
3562,94.458
3561,94.407
3560,94.355
3559,94.302
3558,94.248
3557,94.194
3556,94.141
3555,94.088
3554,94.035
3553,93.979
3552,93.922
3551,93.866
3550,93.811
3549,93.758
3548,93.704
3547,93.65
3546,93.592
3545,93.534
3544,93.48
3543,93.429
3542,93.379
3541,93.33
3540,93.279
3539,93.227
3538,93.175
3537,93.122
3536,93.07
3535,93.019
3534,92.969
3533,92.92
3532,92.871
3531,92.822
3530,92.772
3529,92.72
3528,92.667
3527,92.613
3526,92.558
3525,92.505
3524,92.456
3523,92.409
3522,92.363
3521,92.317
3520,92.273
3519,92.228
3518,92.18
3517,92.13
3516,92.08
3515,92.032
3514,91.985
3513,91.94
3512,91.9
3511,91.861
3510,91.82
3509,91.774
3508,91.725
3507,91.678
3506,91.632
3505,91.587
3504,91.543
3503,91.499
3502,91.456
3501,91.413
3500,91.371
3499,91.331
3498,91.291
3497,91.252
3496,91.214
3495,91.178
3494,91.14
3493,91.102
3492,91.065
3491,91.027
3490,90.987
3489,90.947
3488,90.907
3487,90.869
3486,90.831
3485,90.796
3484,90.761
3483,90.724
3482,90.683
3481,90.641
3480,90.602
3479,90.568
3478,90.536
3477,90.505
3476,90.473
3475,90.44
3474,90.403
3473,90.363
3472,90.32
3471,90.276
3470,90.234
3469,90.195
3468,90.163
3467,90.136
3466,90.11
3465,90.082
3464,90.052
3463,90.02
3462,89.984
3461,89.948
3460,89.915
3459,89.887
3458,89.858
3457,89.828
3456,89.796
3455,89.764
3454,89.73
3453,89.696
3452,89.661
3451,89.626
3450,89.591
3449,89.559
3448,89.528
3447,89.497
3446,89.463
3445,89.429
3444,89.396
3443,89.363
3442,89.328
3441,89.288
3440,89.247
3439,89.207
3438,89.167
3437,89.13
3436,89.097
3435,89.068
3434,89.039
3433,89.009
3432,88.976
3431,88.942
3430,88.909
3429,88.877
3428,88.848
3427,88.82
3426,88.789
3425,88.757
3424,88.724
3423,88.691
3422,88.657
3421,88.622
3420,88.587
3419,88.553
3418,88.518
3417,88.482
3416,88.445
3415,88.409
3414,88.373
3413,88.338
3412,88.306
3411,88.274
3410,88.242
3409,88.209
3408,88.179
3407,88.149
3406,88.116
3405,88.081
3404,88.044
3403,88.007
3402,87.972
3401,87.94
3400,87.912
3399,87.887
3398,87.86
3397,87.829
3396,87.798
3395,87.766
3394,87.734
3393,87.703
3392,87.672
3391,87.641
3390,87.611
3389,87.58
3388,87.55
3387,87.52
3386,87.489
3385,87.456
3384,87.423
3383,87.389
3382,87.354
3381,87.319
3380,87.283
3379,87.247
3378,87.209
3377,87.168
3376,87.126
3375,87.085
3374,87.043
3373,87.003
3372,86.965
3371,86.926
3370,86.883
3369,86.835
3368,86.783
3367,86.729
3366,86.673
3365,86.618
3364,86.565
3363,86.514
3362,86.462
3361,86.406
3360,86.347
3359,86.286
3358,86.225
3357,86.164
3356,86.105
3355,86.05
3354,85.997
3353,85.946
3352,85.893
3351,85.833
3350,85.766
3349,85.694
3348,85.627
3347,85.567
3346,85.513
3345,85.46
3344,85.406
3343,85.351
3342,85.296
3341,85.244
3340,85.194
3339,85.14
3338,85.08
3337,85.014
3336,84.951
3335,84.892
3334,84.837
3333,84.786
3332,84.739
3331,84.694
3330,84.653
3329,84.617
3328,84.586
3327,84.554
3326,84.515
3325,84.467
3324,84.417
3323,84.37
3322,84.325
3321,84.284
3320,84.246
3319,84.211
3318,84.178
3317,84.146
3316,84.117
3315,84.09
3314,84.067
3313,84.048
3312,84.038
3311,84.036
3310,84.037
3309,84.035
3308,84.026
3307,84.006
3306,83.973
3305,83.926
3304,83.875
3303,83.827
3302,83.79
3301,83.765
3300,83.753
3299,83.752
3298,83.755
3297,83.754
3296,83.75
3295,83.742
3294,83.731
3293,83.712
3292,83.683
3291,83.647
3290,83.611
3289,83.585
3288,83.569
3287,83.56
3286,83.552
3285,83.546
3284,83.542
3283,83.54
3282,83.538
3281,83.536
3280,83.537
3279,83.545
3278,83.56
3277,83.581
3276,83.604
3275,83.629
3274,83.656
3273,83.685
3272,83.707
3271,83.711
3270,83.694
3269,83.671
3268,83.656
3267,83.655
3266,83.663
3265,83.677
3264,83.695
3263,83.715
3262,83.737
3261,83.76
3260,83.789
3259,83.824
3258,83.864
3257,83.898
3256,83.922
3255,83.934
3254,83.941
3253,83.952
3252,83.976
3251,84.014
3250,84.061
3249,84.11
3248,84.151
3247,84.174
3246,84.18
3245,84.181
3244,84.187
3243,84.202
3242,84.222
3241,84.245
3240,84.271
3239,84.303
3238,84.341
3237,84.391
3236,84.448
3235,84.498
3234,84.527
3233,84.531
3232,84.523
3231,84.518
3230,84.523
3229,84.538
3228,84.56
3227,84.583
3226,84.607
3225,84.63
3224,84.654
3223,84.68
3222,84.707
3221,84.736
3220,84.763
3219,84.787
3218,84.807
3217,84.828
3216,84.854
3215,84.881
3214,84.906
3213,84.927
3212,84.95
3211,84.977
3210,85.008
3209,85.04
3208,85.073
3207,85.105
3206,85.135
3205,85.165
3204,85.196
3203,85.229
3202,85.261
3201,85.294
3200,85.33
3199,85.368
3198,85.407
3197,85.446
3196,85.486
3195,85.529
3194,85.573
3193,85.617
3192,85.662
3191,85.707
3190,85.752
3189,85.795
3188,85.838
3187,85.884
3186,85.931
3185,85.98
3184,86.03
3183,86.08
3182,86.13
3181,86.18
3180,86.232
3179,86.283
3178,86.335
3177,86.386
3176,86.438
3175,86.491
3174,86.543
3173,86.595
3172,86.649
3171,86.705
3170,86.76
3169,86.815
3168,86.869
3167,86.925
3166,86.979
3165,87.033
3164,87.087
3163,87.142
3162,87.197
3161,87.252
3160,87.307
3159,87.364
3158,87.424
3157,87.488
3156,87.559
3155,87.636
3154,87.706
3153,87.761
3152,87.798
3151,87.825
3150,87.852
3149,87.886
3148,87.927
3147,87.972
3146,88.019
3145,88.066
3144,88.119
3143,88.18
3142,88.248
3141,88.313
3140,88.365
3139,88.397
3138,88.414
3137,88.427
3136,88.447
3135,88.478
3134,88.516
3133,88.56
3132,88.605
3131,88.645
3130,88.671
3129,88.687
3128,88.701
3127,88.718
3126,88.743
3125,88.778
3124,88.825
3123,88.884
3122,88.942
3121,88.989
3120,89.02
3119,89.038
3118,89.045
3117,89.04
3116,89.018
3115,88.982
3114,88.945
3113,88.923
3112,88.923
3111,88.938
3110,88.949
3109,88.939
3108,88.907
3107,88.866
3106,88.83
3105,88.807
3104,88.798
3103,88.801
3102,88.806
3101,88.799
3100,88.773
3099,88.731
3098,88.686
3097,88.647
3096,88.62
3095,88.604
3094,88.6
3093,88.606
3092,88.611
3091,88.605
3090,88.582
3089,88.556
3088,88.538
3087,88.534
3086,88.534
3085,88.529
3084,88.517
3083,88.506
3082,88.502
