Wavenumber [cm-1],% Transmittance
4000,98.343
3999,98.344
3998,98.344
3997,98.344
3996,98.344
3995,98.344
3994,98.344
3993,98.345
3992,98.345
3991,98.344
3990,98.344
3989,98.344
3988,98.343
3987,98.342
3986,98.342
3985,98.341
3984,98.341
3983,98.341
3982,98.341
3981,98.341
3980,98.341
3979,98.34
3978,98.339
3977,98.338
3976,98.337
3975,98.337
3974,98.338
3973,98.338
3972,98.338
3971,98.337
3970,98.336
3969,98.337
3968,98.337
3967,98.338
3966,98.338
3965,98.337
3964,98.336
3963,98.334
3962,98.334
3961,98.334
3960,98.335
3959,98.335
3958,98.336
3957,98.337
3956,98.337
3955,98.338
3954,98.34
3953,98.341
3952,98.34
3951,98.339
3950,98.337
3949,98.337
3948,98.339
3947,98.343
3946,98.346
3945,98.347
3944,98.345
3943,98.343
3942,98.342
3941,98.34
3940,98.339
3939,98.338
3938,98.338
3937,98.34
3936,98.342
3935,98.341
3934,98.34
3933,98.338
3932,98.338
3931,98.34
3930,98.343
3929,98.346
3928,98.347
3927,98.347
3926,98.345
3925,98.343
3924,98.342
3923,98.343
3922,98.344
3921,98.343
3920,98.34
3919,98.337
3918,98.334
3917,98.333
3916,98.333
3915,98.334
3914,98.334
3913,98.333
3912,98.333
3911,98.335
3910,98.338
3909,98.342
3908,98.346
3907,98.349
3906,98.349
3905,98.346
3904,98.343
3903,98.341
3902,98.342
3901,98.344
3900,98.344
3899,98.342
3898,98.339
3897,98.336
3896,98.334
3895,98.333
3894,98.335
3893,98.338
3892,98.34
3891,98.34
3890,98.336
3889,98.334
3888,98.333
3887,98.333
3886,98.334
3885,98.335
3884,98.336
3883,98.336
3882,98.336
3881,98.336
3880,98.336
3879,98.334
3878,98.333
3877,98.334
3876,98.335
3875,98.335
3874,98.333
3873,98.331
3872,98.329
3871,98.329
3870,98.329
3869,98.33
3868,98.331
3867,98.332
3866,98.332
3865,98.33
3864,98.33
3863,98.329
3862,98.328
3861,98.327
3860,98.326
3859,98.323
3858,98.319
3857,98.317
3856,98.316
3855,98.314
3854,98.311
3853,98.309
3852,98.308
3851,98.31
3850,98.314
3849,98.317
3848,98.32
3847,98.322
3846,98.323
3845,98.324
3844,98.324
3843,98.323
3842,98.32
3841,98.318
3840,98.318
3839,98.321
3838,98.322
3837,98.322
3836,98.32
3835,98.319
3834,98.319
3833,98.32
3832,98.319
3831,98.318
3830,98.317
3829,98.317
3828,98.318
3827,98.318
3826,98.316
3825,98.314
3824,98.313
3823,98.314
3822,98.317
3821,98.317
3820,98.312
3819,98.308
3818,98.308
3817,98.31
3816,98.312
3815,98.313
3814,98.313
3813,98.313
3812,98.311
3811,98.309
3810,98.307
3809,98.307
3808,98.309
3807,98.31
3806,98.308
3805,98.306
3804,98.306
3803,98.309
3802,98.313
3801,98.313
3800,98.311
3799,98.309
3798,98.31
3797,98.312
3796,98.313
3795,98.313
3794,98.313
3793,98.312
3792,98.311
3791,98.311
3790,98.311
3789,98.311
3788,98.31
3787,98.31
3786,98.311
3785,98.311
3784,98.311
3783,98.31
3782,98.309
3781,98.309
3780,98.308
3779,98.308
3778,98.307
3777,98.307
3776,98.307
3775,98.307
3774,98.306
3773,98.306
3772,98.305
3771,98.305
3770,98.306
3769,98.306
3768,98.305
3767,98.304
3766,98.305
3765,98.305
3764,98.305
3763,98.305
3762,98.304
3761,98.304
3760,98.304
3759,98.307
3758,98.308
3757,98.307
3756,98.303
3755,98.298
3754,98.292
3753,98.287
3752,98.288
3751,98.294
3750,98.298
3749,98.297
3748,98.296
3747,98.3
3746,98.308
3745,98.317
3744,98.318
3743,98.315
3742,98.315
3741,98.318
3740,98.325
3739,98.335
3738,98.342
3737,98.343
3736,98.336
3735,98.325
3734,98.316
3733,98.315
3732,98.322
3731,98.332
3730,98.342
3729,98.35
3728,98.353
3727,98.352
3726,98.349
3725,98.346
3724,98.343
3723,98.341
3722,98.338
3721,98.334
3720,98.33
3719,98.327
3718,98.325
3717,98.322
3716,98.319
3715,98.317
3714,98.32
3713,98.33
3712,98.34
3711,98.345
3710,98.343
3709,98.338
3708,98.332
3707,98.328
3706,98.326
3705,98.323
3704,98.318
3703,98.312
3702,98.308
3701,98.307
3700,98.307
3699,98.306
3698,98.304
3697,98.303
3696,98.302
3695,98.302
3694,98.301
3693,98.295
3692,98.284
3691,98.269
3690,98.259
3689,98.256
3688,98.258
3687,98.261
3686,98.263
3685,98.262
3684,98.261
3683,98.262
3682,98.263
3681,98.262
3680,98.256
3679,98.249
3678,98.242
3677,98.238
3676,98.237
3675,98.236
3674,98.234
3673,98.231
3672,98.227
3671,98.224
3670,98.222
3669,98.221
3668,98.219
3667,98.217
3666,98.216
3665,98.214
3664,98.214
3663,98.214
3662,98.215
3661,98.214
3660,98.213
3659,98.213
3658,98.216
3657,98.22
3656,98.223
3655,98.226
3654,98.23
3653,98.232
3652,98.233
3651,98.236
3650,98.24
3649,98.242
3648,98.241
3647,98.242
3646,98.243
3645,98.243
3644,98.244
3643,98.247
3642,98.252
3641,98.256
3640,98.259
3639,98.261
3638,98.264
3637,98.269
3636,98.277
3635,98.286
3634,98.294
3633,98.298
3632,98.3
3631,98.3
3630,98.3
3629,98.3
3628,98.297
3627,98.293
3626,98.293
3625,98.294
3624,98.293
3623,98.288
3622,98.282
3621,98.276
3620,98.275
3619,98.28
3618,98.286
3617,98.289
3616,98.289
3615,98.287
3614,98.287
3613,98.289
3612,98.292
3611,98.295
3610,98.298
3609,98.302
3608,98.304
3607,98.305
3606,98.304
3605,98.303
3604,98.302
3603,98.303
3602,98.305
3601,98.307
3600,98.307
3599,98.306
3598,98.305
3597,98.306
3596,98.307
3595,98.307
3594,98.306
3593,98.305
3592,98.303
3591,98.3
3590,98.294
3589,98.289
3588,98.288
3587,98.289
3586,98.289
3585,98.285
3584,98.279
3583,98.273
3582,98.267
3581,98.263
3580,98.258
3579,98.254
3578,98.25
3577,98.246
3576,98.241
3575,98.238
3574,98.236
3573,98.237
3572,98.238
3571,98.238
3570,98.235
3569,98.227
3568,98.219
3567,98.216
3566,98.217
3565,98.216
3564,98.214
3563,98.211
3562,98.207
3561,98.202
3560,98.198
3559,98.195
3558,98.192
3557,98.189
