Wavenumber [cm-1],% Transmittance
4000,98.97
3999,98.971
3998,98.971
3997,98.972
3996,98.972
3995,98.972
3994,98.972
3993,98.972
3992,98.97
3991,98.968
3990,98.966
3989,98.965
3988,98.965
3987,98.964
3986,98.964
3985,98.965
3984,98.964
3983,98.963
3982,98.962
3981,98.96
3980,98.96
3979,98.961
3978,98.962
3977,98.963
3976,98.965
3975,98.967
3974,98.968
3973,98.967
3972,98.965
3971,98.963
3970,98.96
3969,98.958
3968,98.957
3967,98.956
3966,98.957
3965,98.956
3964,98.955
3963,98.955
3962,98.956
3961,98.958
3960,98.96
3959,98.961
3958,98.959
3957,98.957
3956,98.958
3955,98.961
3954,98.966
3953,98.971
3952,98.972
3951,98.968
3950,98.959
3949,98.952
3948,98.949
3947,98.954
3946,98.963
3945,98.969
3944,98.969
3943,98.966
3942,98.963
3941,98.961
3940,98.957
3939,98.952
3938,98.947
3937,98.944
3936,98.944
3935,98.943
3934,98.941
3933,98.941
3932,98.948
3931,98.957
3930,98.966
3929,98.974
3928,98.983
3927,98.987
3926,98.983
3925,98.974
3924,98.965
3923,98.959
3922,98.951
3921,98.939
3920,98.927
3919,98.921
3918,98.921
3917,98.924
3916,98.929
3915,98.936
3914,98.941
3913,98.941
3912,98.939
3911,98.939
3910,98.942
3909,98.946
3908,98.953
3907,98.961
3906,98.96
3905,98.944
3904,98.922
3903,98.912
3902,98.92
3901,98.935
3900,98.945
3899,98.946
3898,98.944
3897,98.941
3896,98.937
3895,98.938
3894,98.945
3893,98.951
3892,98.946
3891,98.926
3890,98.904
3889,98.896
3888,98.901
3887,98.903
3886,98.905
3885,98.914
3884,98.932
3883,98.951
3882,98.955
3881,98.946
3880,98.937
3879,98.934
3878,98.94
3877,98.95
3876,98.948
3875,98.934
3874,98.923
3873,98.925
3872,98.929
3871,98.92
3870,98.902
3869,98.899
3868,98.917
3867,98.937
3866,98.938
3865,98.927
3864,98.922
3863,98.924
3862,98.924
3861,98.917
3860,98.897
3859,98.866
3858,98.842
3857,98.849
3856,98.887
3855,98.9
3854,98.866
3853,98.834
3852,98.839
3851,98.867
3850,98.894
3849,98.911
3848,98.919
3847,98.924
3846,98.928
3845,98.93
3844,98.929
3843,98.922
3842,98.909
3841,98.901
3840,98.905
3839,98.915
3838,98.923
3837,98.925
3836,98.926
3835,98.93
3834,98.934
3833,98.932
3832,98.927
3831,98.926
3830,98.931
3829,98.939
3828,98.942
3827,98.934
3826,98.92
3825,98.917
3824,98.927
3823,98.932
3822,98.918
3821,98.9
3820,98.889
3819,98.891
3818,98.898
3817,98.893
3816,98.885
3815,98.89
3814,98.908
3813,98.923
3812,98.918
3811,98.903
3810,98.897
3809,98.902
3808,98.899
3807,98.883
3806,98.867
3805,98.868
3804,98.885
3803,98.899
3802,98.908
3801,98.918
3800,98.93
3799,98.941
3798,98.944
3797,98.939
3796,98.938
3795,98.943
3794,98.951
3793,98.956
3792,98.957
3791,98.959
3790,98.965
3789,98.972
3788,98.975
3787,98.976
3786,98.975
3785,98.972
3784,98.972
3783,98.974
3782,98.974
3781,98.967
3780,98.958
3779,98.957
3778,98.964
3777,98.971
3776,98.972
3775,98.965
3774,98.958
3773,98.957
3772,98.956
3771,98.951
3770,98.947
3769,98.952
3768,98.961
3767,98.965
3766,98.962
3765,98.958
3764,98.96
3763,98.968
3762,98.972
3761,98.968
3760,98.968
3759,98.972
3758,98.965
3757,98.944
3756,98.917
3755,98.893
3754,98.864
3753,98.83
3752,98.812
3751,98.815
3750,98.814
3749,98.799
3748,98.797
3747,98.824
3746,98.849
3745,98.845
3744,98.836
3743,98.845
3742,98.865
3741,98.875
3740,98.87
3739,98.865
3738,98.862
3737,98.859
3736,98.878
3735,98.928
3734,98.974
3733,98.986
3732,98.965
3731,98.935
3730,98.913
3729,98.901
3728,98.893
3727,98.894
3726,98.91
3725,98.933
3724,98.951
3723,98.964
3722,98.974
3721,98.982
3720,98.989
3719,98.99
3718,98.981
3717,98.963
3716,98.947
3715,98.935
3714,98.916
3713,98.884
3712,98.856
3711,98.851
3710,98.865
3709,98.888
3708,98.906
3707,98.913
3706,98.915
3705,98.921
3704,98.929
3703,98.933
3702,98.926
3701,98.908
3700,98.885
3699,98.864
3698,98.844
3697,98.825
3696,98.812
3695,98.803
3694,98.792
3693,98.783
3692,98.793
3691,98.821
3690,98.844
3689,98.842
3688,98.821
3687,98.804
3686,98.802
3685,98.808
3684,98.81
3683,98.807
3682,98.8
3681,98.784
3680,98.76
3679,98.747
3678,98.748
3677,98.744
3676,98.731
3675,98.722
3674,98.724
3673,98.736
3672,98.743
3671,98.732
3670,98.724
3669,98.729
3668,98.739
3667,98.745
3666,98.745
3665,98.74
3664,98.736
3663,98.734
3662,98.728
3661,98.715
3660,98.705
3659,98.703
3658,98.703
3657,98.697
3656,98.687
3655,98.682
3654,98.684
3653,98.686
3652,98.675
3651,98.664
3650,98.665
3649,98.671
3648,98.676
3647,98.685
3646,98.698
3645,98.706
3644,98.707
3643,98.705
3642,98.706
3641,98.706
3640,98.701
3639,98.689
3638,98.678
3637,98.673
3636,98.67
3635,98.66
3634,98.644
3633,98.634
3632,98.638
3631,98.636
3630,98.615
3629,98.595
3628,98.589
3627,98.593
3626,98.603
3625,98.611
3624,98.62
3623,98.643
3622,98.681
3621,98.714
3620,98.716
3619,98.686
3618,98.645
3617,98.611
3616,98.591
3615,98.574
3614,98.554
3613,98.535
3612,98.52
3611,98.507
3610,98.488
3609,98.472
3608,98.47
3607,98.483
3606,98.5
3605,98.508
3604,98.505
3603,98.494
3602,98.481
3601,98.473
3600,98.471
3599,98.47
3598,98.463
3597,98.445
3596,98.42
3595,98.394
3594,98.37
3593,98.35
3592,98.339
3591,98.336
3590,98.333
3589,98.324
3588,98.31
3587,98.293
3586,98.271
3585,98.246
3584,98.223
3583,98.203
3582,98.185
3581,98.17
3580,98.154
3579,98.137
3578,98.116
3577,98.092
3576,98.065
3575,98.038
3574,98.011
3573,97.986
3572,97.964
3571,97.945
3570,97.927
3569,97.904
3568,97.879
3567,97.859
3566,97.84
3565,97.813
3564,97.78
3563,97.745
3562,97.712
3561,97.683
3560,97.655
3559,97.629
3558,97.603
3557,97.58
3556,97.558
3555,97.534
3554,97.508
3553,97.48
3552,97.452
3551,97.427
3550,97.401
3549,97.373
3548,97.342
3547,97.314
3546,97.291
3545,97.269
3544,97.246
3543,97.222
3542,97.198
3541,97.175
3540,97.153
3539,97.132
3538,97.111
3537,97.088
3536,97.065
3535,97.044
3534,97.023
3533,97.003
3532,96.984
3531,96.967
3530,96.95
3529,96.929
3528,96.906
3527,96.883
3526,96.86
3525,96.837
3524,96.814
3523,96.794
3522,96.774
3521,96.754
3520,96.732
3519,96.711
3518,96.691
3517,96.671
3516,96.652
3515,96.634
3514,96.618
3513,96.603
3512,96.588
3511,96.571
3510,96.552
3509,96.532
3508,96.513
3507,96.496
3506,96.478
3505,96.458
3504,96.438
3503,96.42
3502,96.402
3501,96.383
3500,96.363
3499,96.345
3498,96.328
3497,96.31
3496,96.293
3495,96.277
3494,96.261
3493,96.245
3492,96.229
3491,96.213
3490,96.197
3489,96.179
3488,96.163
3487,96.149
3486,96.136
3485,96.122
3484,96.108
3483,96.092
3482,96.076
3481,96.058
3480,96.041
3479,96.024
3478,96.009
3477,95.994
3476,95.98
3475,95.967
3474,95.954
3473,95.941
3472,95.931
3471,95.921
3470,95.911
3469,95.898
3468,95.881
3467,95.864
3466,95.848
3465,95.834
3464,95.822
3463,95.811
3462,95.799
3461,95.786
3460,95.772
3459,95.758
3458,95.746
3457,95.734
3456,95.721
3455,95.709
3454,95.698
3453,95.687
3452,95.678
3451,95.673
3450,95.668
3449,95.661
3448,95.651
3447,95.641
3446,95.631
3445,95.621
3444,95.611
3443,95.602
3442,95.595
3441,95.591
3440,95.589
3439,95.589
3438,95.59
3437,95.586
3436,95.577
3435,95.563
3434,95.548
3433,95.536
3432,95.527
3431,95.521
3430,95.512
3429,95.499
3428,95.483
3427,95.467
3426,95.454
3425,95.444
3424,95.437
3423,95.432
3422,95.427
3421,95.42
3420,95.41
3419,95.4
3418,95.391
3417,95.388
3416,95.391
3415,95.399
3414,95.405
3413,95.404
3412,95.399
3411,95.393
3410,95.386
3409,95.374
3408,95.36
3407,95.351
3406,95.352
3405,95.368
3404,95.397
3403,95.429
3402,95.45
3401,95.449
3400,95.426
3399,95.394
3398,95.369
3397,95.358
3396,95.363
3395,95.381
3394,95.402
3393,95.417
3392,95.415
3391,95.396
3390,95.371
3389,95.35
3388,95.34
3387,95.34
3386,95.344
3385,95.35
3384,95.357
3383,95.366
3382,95.376
3381,95.384
3380,95.391
3379,95.397
3378,95.402
3377,95.405
3376,95.407
3375,95.411
3374,95.422
3373,95.443
3372,95.47
3371,95.497
3370,95.516
3369,95.521
3368,95.515
3367,95.503
3366,95.491
3365,95.484
3364,95.484
3363,95.489
3362,95.496
3361,95.501
3360,95.505
3359,95.508
3358,95.512
3357,95.516
3356,95.522
3355,95.531
3354,95.543
3353,95.557
3352,95.568
3351,95.574
3350,95.574
3349,95.57
3348,95.569
3347,95.573
3346,95.581
3345,95.589
3344,95.596
3343,95.602
3342,95.609
3341,95.616
3340,95.623
3339,95.627
3338,95.628
3337,95.626
3336,95.626
3335,95.628
3334,95.631
3333,95.635
3332,95.639
3331,95.644
3330,95.65
3329,95.656
3328,95.664
3327,95.67
3326,95.674
3325,95.674
3324,95.675
3323,95.677
3322,95.68
3321,95.684
3320,95.687
3319,95.691
3318,95.694
3317,95.696
3316,95.699
3315,95.702
3314,95.706
3313,95.712
3312,95.719
3311,95.728
3310,95.739
3309,95.749
3308,95.758
3307,95.764
3306,95.763
3305,95.758
3304,95.751
3303,95.747
3302,95.747
3301,95.748
3300,95.752
3299,95.757
3298,95.763
3297,95.768
3296,95.773
3295,95.778
3294,95.782
3293,95.785
3292,95.786
3291,95.785
3290,95.785
3289,95.786
3288,95.789
3287,95.793
3286,95.796
3285,95.798
3284,95.799
3283,95.802
3282,95.806
3281,95.81
3280,95.814
3279,95.82
3278,95.826
3277,95.833
3276,95.841
3275,95.85
3274,95.86
3273,95.871
3272,95.879
3271,95.883
3270,95.882
3269,95.881
3268,95.882
3267,95.888
3266,95.896
3265,95.903
3264,95.909
3263,95.917
3262,95.924
3261,95.931
3260,95.938
3259,95.945
3258,95.953
3257,95.961
3256,95.968
3255,95.975
3254,95.982
3253,95.989
3252,95.996
3251,96.004
3250,96.012
3249,96.02
3248,96.026
3247,96.032
3246,96.036
3245,96.04
3244,96.045
