Wavenumber [cm-1],% Transmittance
4000,98.688
3999,98.686
3998,98.685
3997,98.684
3996,98.683
3995,98.683
3994,98.682
3993,98.681
3992,98.679
3991,98.679
3990,98.679
3989,98.679
3988,98.679
3987,98.678
3986,98.677
3985,98.675
3984,98.673
3983,98.672
3982,98.671
3981,98.67
3980,98.669
3979,98.668
3978,98.665
3977,98.664
3976,98.663
3975,98.662
3974,98.662
3973,98.661
3972,98.66
3971,98.66
3970,98.66
3969,98.661
3968,98.662
3967,98.661
3966,98.658
3965,98.655
3964,98.653
3963,98.652
3962,98.654
3961,98.656
3960,98.656
3959,98.654
3958,98.652
3957,98.651
3956,98.65
3955,98.65
3954,98.648
3953,98.645
3952,98.642
3951,98.639
3950,98.639
3949,98.641
3948,98.644
3947,98.644
3946,98.642
3945,98.639
3944,98.639
3943,98.642
3942,98.644
3941,98.643
3940,98.64
3939,98.637
3938,98.636
3937,98.635
3936,98.633
3935,98.63
3934,98.63
3933,98.633
3932,98.636
3931,98.637
3930,98.635
3929,98.632
3928,98.629
3927,98.627
3926,98.628
3925,98.632
3924,98.635
3923,98.637
3922,98.636
3921,98.633
3920,98.631
3919,98.629
3918,98.629
3917,98.631
3916,98.633
3915,98.633
3914,98.631
3913,98.629
3912,98.628
3911,98.627
3910,98.626
3909,98.623
3908,98.62
3907,98.619
3906,98.621
3905,98.625
3904,98.629
3903,98.63
3902,98.629
3901,98.628
3900,98.628
3899,98.628
3898,98.626
3897,98.622
3896,98.618
3895,98.616
3894,98.617
3893,98.62
3892,98.624
3891,98.624
3890,98.621
3889,98.615
3888,98.609
3887,98.609
3886,98.612
3885,98.613
3884,98.61
3883,98.606
3882,98.606
3881,98.611
3880,98.617
3879,98.619
3878,98.615
3877,98.609
3876,98.606
3875,98.606
3874,98.607
3873,98.607
3872,98.607
3871,98.611
3870,98.615
3869,98.615
3868,98.61
3867,98.606
3866,98.607
3865,98.61
3864,98.613
3863,98.612
3862,98.61
3861,98.609
3860,98.607
3859,98.606
3858,98.603
3857,98.597
3856,98.593
3855,98.595
3854,98.597
3853,98.595
3852,98.593
3851,98.594
3850,98.598
3849,98.602
3848,98.605
3847,98.605
3846,98.603
3845,98.602
3844,98.603
3843,98.605
3842,98.607
3841,98.609
3840,98.612
3839,98.612
3838,98.608
3837,98.602
3836,98.599
3835,98.598
3834,98.598
3833,98.598
3832,98.598
3831,98.598
3830,98.597
3829,98.596
3828,98.597
3827,98.597
3826,98.597
3825,98.594
3824,98.59
3823,98.589
3822,98.59
3821,98.589
3820,98.587
3819,98.587
3818,98.588
3817,98.59
3816,98.589
3815,98.587
3814,98.587
3813,98.589
3812,98.592
3811,98.593
3810,98.592
3809,98.59
3808,98.589
3807,98.59
3806,98.589
3805,98.587
3804,98.584
3803,98.584
3802,98.582
3801,98.577
3800,98.573
3799,98.573
3798,98.577
3797,98.581
3796,98.583
3795,98.583
3794,98.583
3793,98.583
3792,98.584
3791,98.583
3790,98.581
3789,98.577
3788,98.574
3787,98.573
3786,98.574
3785,98.576
3784,98.577
3783,98.576
3782,98.573
3781,98.571
3780,98.571
3779,98.571
3778,98.571
3777,98.573
3776,98.575
3775,98.577
3774,98.577
3773,98.575
3772,98.572
3771,98.572
3770,98.572
3769,98.569
3768,98.566
3767,98.566
3766,98.569
3765,98.572
3764,98.573
3763,98.57
3762,98.566
3761,98.564
3760,98.565
3759,98.567
3758,98.571
3757,98.573
3756,98.572
3755,98.569
3754,98.567
3753,98.571
3752,98.574
3751,98.57
3750,98.565
3749,98.561
3748,98.557
3747,98.55
3746,98.548
3745,98.553
3744,98.558
3743,98.562
3742,98.564
3741,98.568
3740,98.573
3739,98.576
3738,98.577
3737,98.58
3736,98.585
3735,98.587
3734,98.582
3733,98.574
3732,98.569
3731,98.57
3730,98.575
3729,98.58
3728,98.585
3727,98.588
3726,98.59
3725,98.589
3724,98.588
3723,98.587
3722,98.586
3721,98.585
3720,98.585
3719,98.586
3718,98.586
3717,98.586
3716,98.582
3715,98.579
3714,98.58
3713,98.587
3712,98.594
3711,98.598
3710,98.6
3709,98.602
3708,98.605
3707,98.61
3706,98.615
3705,98.619
3704,98.621
3703,98.624
3702,98.63
3701,98.639
3700,98.647
3699,98.655
3698,98.664
3697,98.673
3696,98.68
3695,98.686
3694,98.691
3693,98.694
3692,98.696
3691,98.694
3690,98.689
3689,98.684
3688,98.683
3687,98.685
3686,98.688
3685,98.689
3684,98.685
3683,98.678
3682,98.671
3681,98.667
3680,98.67
3679,98.678
3678,98.687
3677,98.691
3676,98.685
3675,98.671
3674,98.66
3673,98.652
3672,98.646
3671,98.643
3670,98.639
3669,98.633
3668,98.627
3667,98.622
3666,98.619
3665,98.616
3664,98.612
3663,98.606
3662,98.598
3661,98.589
3660,98.581
3659,98.571
3658,98.559
3657,98.544
3656,98.529
3655,98.516
3654,98.504
3653,98.494
3652,98.487
3651,98.48
3650,98.467
3649,98.445
3648,98.424
3647,98.409
3646,98.398
3645,98.386
3644,98.374
3643,98.364
3642,98.354
3641,98.344
3640,98.332
3639,98.318
3638,98.305
3637,98.293
3636,98.284
3635,98.278
3634,98.271
3633,98.263
3632,98.252
3631,98.243
3630,98.234
3629,98.219
3628,98.2
3627,98.183
3626,98.17
3625,98.159
3624,98.147
3623,98.133
3622,98.117
3621,98.101
3620,98.087
3619,98.075
3618,98.062
3617,98.049
3616,98.036
3615,98.024
3614,98.014
3613,98.004
3612,97.991
3611,97.978
3610,97.964
3609,97.951
3608,97.937
3607,97.922
3606,97.907
3605,97.891
3604,97.876
3603,97.862
3602,97.848
3601,97.834
3600,97.818
3599,97.803
3598,97.789
3597,97.777
3596,97.766
3595,97.753
3594,97.739
3593,97.723
3592,97.706
3591,97.69
3590,97.673
3589,97.657
3588,97.642
3587,97.628
3586,97.613
3585,97.594
3584,97.576
3583,97.558
3582,97.542
3581,97.528
3580,97.513
3579,97.498
3578,97.482
3577,97.463
3576,97.444
3575,97.425
3574,97.408
3573,97.391
3572,97.375
3571,97.36
3570,97.341
3569,97.319
3568,97.297
3567,97.279
3566,97.264
3565,97.247
3564,97.229
3563,97.211
3562,97.193
3561,97.176
3560,97.16
3559,97.144
3558,97.126
3557,97.106
3556,97.085
3555,97.065
3554,97.046
3553,97.028
3552,97.011
3551,96.992
3550,96.973
3549,96.951
3548,96.93
3547,96.91
3546,96.892
3545,96.876
3544,96.859
3543,96.842
3542,96.825
3541,96.807
3540,96.787
3539,96.767
3538,96.748
3537,96.73
3536,96.714
3535,96.699
3534,96.682
3533,96.663
3532,96.644
3531,96.625
3530,96.605
3529,96.583
3528,96.562
3527,96.541
3526,96.521
3525,96.502
3524,96.486
3523,96.472
3522,96.457
3521,96.441
3520,96.425
3519,96.41
3518,96.394
3517,96.376
3516,96.357
3515,96.337
3514,96.318
3513,96.3
3512,96.283
3511,96.268
3510,96.253
3509,96.238
3508,96.222
3507,96.204
3506,96.184
3505,96.161
3504,96.14
3503,96.122
3502,96.107
3501,96.094
3500,96.08
3499,96.065
3498,96.047
3497,96.03
3496,96.014
3495,96
3494,95.987
3493,95.973
3492,95.958
3491,95.942
3490,95.925
3489,95.907
3488,95.89
3487,95.874
3486,95.861
3485,95.847
3484,95.832
3483,95.816
3482,95.798
3481,95.781
3480,95.765
3479,95.753
3478,95.741
3477,95.728
3476,95.715
3475,95.7
3474,95.684
3473,95.665
3472,95.646
3471,95.628
3470,95.61
3469,95.593
3468,95.579
3467,95.567
3466,95.556
3465,95.544
3464,95.531
3463,95.516
3462,95.499
3461,95.483
3460,95.47
3459,95.458
3458,95.445
3457,95.43
3456,95.415
3455,95.4
3454,95.385
3453,95.37
3452,95.354
3451,95.338
3450,95.321
3449,95.304
3448,95.287
3447,95.27
3446,95.254
3445,95.238
3444,95.223
3443,95.207
3442,95.191
3441,95.174
3440,95.155
3439,95.135
3438,95.114
3437,95.095
3436,95.078
3435,95.062
3434,95.047
3433,95.029
3432,95.011
3431,94.992
3430,94.975
3429,94.958
3428,94.942
3427,94.927
3426,94.91
3425,94.892
3424,94.873
3423,94.854
3422,94.834
3421,94.815
3420,94.797
3419,94.78
3418,94.761
3417,94.742
3416,94.722
3415,94.702
3414,94.682
3413,94.662
3412,94.644
3411,94.626
3410,94.608
3409,94.589
3408,94.57
3407,94.553
3406,94.535
3405,94.516
3404,94.496
3403,94.476
3402,94.457
3401,94.437
3400,94.419
3399,94.402
3398,94.386
3397,94.368
3396,94.35
3395,94.332
3394,94.314
3393,94.295
3392,94.278
3391,94.261
3390,94.244
3389,94.227
3388,94.209
3387,94.192
3386,94.174
