Wavenumber [cm-1],% Transmittance
4000,96.763
3999,96.762
3998,96.76
3997,96.759
3996,96.758
3995,96.757
3994,96.755
3993,96.753
3992,96.75
3991,96.749
3990,96.749
3989,96.748
3988,96.747
3987,96.746
3986,96.744
3985,96.743
3984,96.742
3983,96.741
3982,96.74
3981,96.739
3980,96.738
3979,96.737
3978,96.735
3977,96.733
3976,96.732
3975,96.732
3974,96.731
3973,96.73
3972,96.728
3971,96.727
3970,96.727
3969,96.727
3968,96.728
3967,96.726
3966,96.724
3965,96.72
3964,96.716
3963,96.715
3962,96.717
3961,96.719
3960,96.719
3959,96.718
3958,96.716
3957,96.715
3956,96.715
3955,96.715
3954,96.715
3953,96.714
3952,96.712
3951,96.707
3950,96.704
3949,96.703
3948,96.703
3947,96.705
3946,96.705
3945,96.704
3944,96.705
3943,96.707
3942,96.708
3941,96.706
3940,96.702
3939,96.7
3938,96.699
3937,96.699
3936,96.696
3935,96.692
3934,96.689
3933,96.689
3932,96.691
3931,96.695
3930,96.698
3929,96.701
3928,96.702
3927,96.701
3926,96.7
3925,96.7
3924,96.701
3923,96.701
3922,96.699
3921,96.695
3920,96.689
3919,96.684
3918,96.682
3917,96.684
3916,96.686
3915,96.687
3914,96.688
3913,96.689
3912,96.69
3911,96.692
3910,96.693
3909,96.692
3908,96.691
3907,96.69
3906,96.691
3905,96.691
3904,96.687
3903,96.683
3902,96.681
3901,96.682
3900,96.685
3899,96.686
3898,96.684
3897,96.682
3896,96.68
3895,96.68
3894,96.682
3893,96.687
3892,96.69
3891,96.686
3890,96.677
3889,96.669
3888,96.666
3887,96.669
3886,96.674
3885,96.676
3884,96.675
3883,96.675
3882,96.679
3881,96.686
3880,96.689
3879,96.686
3878,96.682
3877,96.681
3876,96.682
3875,96.681
3874,96.677
3873,96.67
3872,96.666
3871,96.668
3870,96.671
3869,96.67
3868,96.668
3867,96.669
3866,96.674
3865,96.678
3864,96.681
3863,96.681
3862,96.679
3861,96.677
3860,96.672
3859,96.663
3858,96.652
3857,96.642
3856,96.636
3855,96.634
3854,96.628
3853,96.62
3852,96.621
3851,96.634
3850,96.651
3849,96.667
3848,96.675
3847,96.678
3846,96.678
3845,96.679
3844,96.679
3843,96.677
3842,96.672
3841,96.668
3840,96.669
3839,96.672
3838,96.672
3837,96.668
3836,96.666
3835,96.667
3834,96.67
3833,96.672
3832,96.673
3831,96.673
3830,96.673
3829,96.675
3828,96.678
3827,96.679
3826,96.675
3825,96.668
3824,96.662
3823,96.662
3822,96.664
3821,96.662
3820,96.654
3819,96.649
3818,96.651
3817,96.656
3816,96.657
3815,96.656
3814,96.66
3813,96.666
3812,96.67
3811,96.667
3810,96.662
3809,96.66
3808,96.662
3807,96.661
3806,96.656
3805,96.649
3804,96.647
3803,96.653
3802,96.66
3801,96.66
3800,96.656
3799,96.657
3798,96.665
3797,96.674
3796,96.678
3795,96.678
3794,96.678
3793,96.68
3792,96.682
3791,96.683
3790,96.682
3789,96.679
3788,96.677
3787,96.675
3786,96.677
3785,96.678
3784,96.678
3783,96.676
3782,96.674
3781,96.673
3780,96.673
3779,96.674
3778,96.674
3777,96.675
3776,96.677
3775,96.678
3774,96.676
3773,96.672
3772,96.67
3771,96.672
3770,96.673
3769,96.672
3768,96.669
3767,96.67
3766,96.673
3765,96.676
3764,96.675
3763,96.673
3762,96.671
3761,96.67
3760,96.671
3759,96.674
3758,96.676
3757,96.672
3756,96.663
3755,96.651
3754,96.637
3753,96.625
3752,96.621
3751,96.621
3750,96.619
3749,96.614
3748,96.611
3747,96.614
3746,96.624
3745,96.632
3744,96.631
3743,96.63
3742,96.637
3741,96.648
3740,96.658
3739,96.663
3738,96.665
3737,96.667
3736,96.676
3735,96.688
3734,96.694
3733,96.69
3732,96.684
3731,96.679
3730,96.679
3729,96.681
3728,96.684
3727,96.687
3726,96.69
3725,96.692
3724,96.695
3723,96.7
3722,96.705
3721,96.708
3720,96.709
3719,96.71
3718,96.708
3717,96.701
3716,96.691
3715,96.681
3714,96.675
3713,96.674
3712,96.68
3711,96.688
3710,96.696
3709,96.706
3708,96.714
3707,96.722
3706,96.729
3705,96.735
3704,96.742
3703,96.75
3702,96.757
3701,96.761
3700,96.762
3699,96.763
3698,96.765
3697,96.768
3696,96.769
3695,96.768
3694,96.766
3693,96.764
3692,96.763
3691,96.764
3690,96.76
3689,96.751
3688,96.737
3687,96.728
3686,96.726
3685,96.724
3684,96.718
3683,96.707
3682,96.695
3681,96.684
3680,96.676
3679,96.67
3678,96.665
3677,96.658
3676,96.644
3675,96.624
3674,96.604
3673,96.591
3672,96.582
3671,96.575
3670,96.567
3669,96.556
3668,96.546
3667,96.538
3666,96.53
3665,96.521
3664,96.51
3663,96.497
3662,96.484
3661,96.468
3660,96.45
3659,96.433
3658,96.414
3657,96.393
3656,96.372
3655,96.355
3654,96.341
3653,96.328
3652,96.31
3651,96.288
3650,96.263
3649,96.235
3648,96.212
3647,96.196
3646,96.184
3645,96.172
3644,96.158
3643,96.145
3642,96.132
3641,96.116
3640,96.097
3639,96.076
3638,96.055
3637,96.038
3636,96.025
3635,96.014
3634,96.001
3633,95.986
3632,95.97
3631,95.948
3630,95.919
3629,95.884
3628,95.851
3627,95.83
3626,95.82
3625,95.815
3624,95.807
3623,95.799
3622,95.789
3621,95.776
3620,95.753
3619,95.721
3618,95.686
3617,95.654
3616,95.628
3615,95.605
3614,95.582
3613,95.557
3612,95.532
3611,95.505
3610,95.478
3609,95.45
3608,95.425
3607,95.405
3606,95.388
3605,95.371
3604,95.351
3603,95.328
3602,95.303
3601,95.278
3600,95.254
3599,95.231
3598,95.208
3597,95.182
3596,95.153
3595,95.124
3594,95.096
3593,95.071
3592,95.05
3591,95.03
3590,95.006
3589,94.974
3588,94.938
3587,94.902
3586,94.868
3585,94.838
3584,94.811
3583,94.788
3582,94.765
3581,94.742
3580,94.717
3579,94.69
3578,94.66
3577,94.628
3576,94.596
3575,94.564
3574,94.534
3573,94.506
3572,94.482
3571,94.46
3570,94.435
3569,94.398
3568,94.355
3567,94.315
3566,94.281
3565,94.25
3564,94.22
3563,94.191
3562,94.163
3561,94.135
3560,94.107
3559,94.078
3558,94.049
3557,94.019
3556,93.989
3555,93.958
3554,93.926
3553,93.893
3552,93.861
3551,93.83
3550,93.8
3549,93.767
3548,93.73
3547,93.692
3546,93.656
3545,93.624
3544,93.596
3543,93.57
3542,93.545
3541,93.52
3540,93.492
3539,93.461
3538,93.429
3537,93.396
3536,93.366
3535,93.34
3534,93.314
3533,93.287
3532,93.26
3531,93.232
3530,93.202
3529,93.167
3528,93.131
3527,93.095
3526,93.06
3525,93.028
3524,92.999
3523,92.974
3522,92.951
3521,92.926
3520,92.9
3519,92.874
3518,92.847
3517,92.818
3516,92.788
3515,92.76
3514,92.733
3513,92.707
3512,92.681
3511,92.654
3510,92.625
3509,92.596
3508,92.569
3507,92.543
3506,92.514
3505,92.481
3504,92.445
3503,92.412
3502,92.384
3501,92.359
3500,92.335
3499,92.309
3498,92.281
3497,92.252
3496,92.225
3495,92.199
3494,92.174
3493,92.148
3492,92.123
3491,92.096
3490,92.066
3489,92.036
3488,92.006
3487,91.98
3486,91.956
3485,91.933
3484,91.907
3483,91.876
3482,91.842
3481,91.808
3480,91.78
3479,91.757
3478,91.735
3477,91.712
3476,91.687
3475,91.659
3474,91.63
3473,91.599
3472,91.565
3471,91.531
3470,91.499
3469,91.469
3468,91.443
3467,91.422
3466,91.404
3465,91.386
3464,91.364
3463,91.337
3462,91.308
3461,91.28
3460,91.255
3459,91.234
3458,91.212
3457,91.188
3456,91.162
3455,91.137
3454,91.111
3453,91.085
3452,91.059
3451,91.034
3450,91.008
3449,90.979
3448,90.948
3447,90.917
3446,90.888
3445,90.861
3444,90.835
3443,90.808
3442,90.778
3441,90.745
3440,90.71
3439,90.674
3438,90.638
3437,90.604
3436,90.575
3435,90.548
3434,90.521
3433,90.492
3432,90.46
3431,90.428
3430,90.398
3429,90.369
3428,90.343
3427,90.317
3426,90.291
3425,90.263
3424,90.232
3423,90.198
3422,90.162
3421,90.126
3420,90.092
3419,90.061
3418,90.03
3417,89.998
3416,89.963
3415,89.927
3414,89.891
3413,89.857
3412,89.824
3411,89.793
3410,89.761
3409,89.73
3408,89.7
3407,89.671
3406,89.639
3405,89.605
3404,89.568
3403,89.53
3402,89.492
3401,89.457
3400,89.426
3399,89.395
3398,89.364
3397,89.332
3396,89.298
3395,89.266
3394,89.231
3393,89.195
3392,89.158
3391,89.122
3390,89.087
3389,89.052
3388,89.018
3387,88.983
3386,88.945
3385,88.906
3384,88.867
3383,88.83
3382,88.792
3381,88.754
3380,88.714
3379,88.675
3378,88.635
3377,88.594
3376,88.553
3375,88.514
3374,88.477
3373,88.443
3372,88.41
3371,88.376
3370,88.336
3369,88.291
3368,88.241
3367,88.189
3366,88.136
3365,88.084
3364,88.037
3363,87.995
3362,87.951
3361,87.905
3360,87.857
3359,87.807
3358,87.758
3357,87.71
3356,87.664
3355,87.621
3354,87.584
3353,87.548
3352,87.506
3351,87.454
3350,87.393
3349,87.33
3348,87.273
3347,87.223
3346,87.179
3345,87.134
3344,87.086
3343,87.036
3342,86.986
3341,86.938
3340,86.889
3339,86.833
3338,86.765
3337,86.691
3336,86.617
3335,86.55
3334,86.486
3333,86.424
3332,86.363
3331,86.304
3330,86.249
3329,86.197
3328,86.147
3327,86.092
3326,86.025
3325,85.948
3324,85.867
3323,85.79
3322,85.716
3321,85.644
3320,85.575
3319,85.507
3318,85.441
3317,85.374
3316,85.308
3315,85.245
3314,85.183
3313,85.127
3312,85.081
3311,85.044
3310,85.008
3309,84.966
3308,84.917
3307,84.855
3306,84.777
3305,84.685
3304,84.589
3303,84.499
3302,84.423
3301,84.362
3300,84.315
3299,84.28
3298,84.248
3297,84.214
3296,84.176
3295,84.135
3294,84.091
3293,84.038
3292,83.975
3291,83.907
3290,83.843
3289,83.792
3288,83.753
3287,83.723
3286,83.696
3285,83.671
3284,83.648
3283,83.629
3282,83.614
3281,83.601
3280,83.593
3279,83.595
3278,83.606
3277,83.622
3276,83.641
3275,83.662
3274,83.691
3273,83.724
3272,83.749
3271,83.753
3270,83.737
3269,83.718
3268,83.712
3267,83.724
3266,83.748
3265,83.777
3264,83.811
3263,83.848
3262,83.888
3261,83.932
3260,83.983
3259,84.044
3258,84.108
3257,84.165
3256,84.21
3255,84.242
3254,84.27
3253,84.305
3252,84.354
3251,84.416
3250,84.487
3249,84.557
3248,84.616
3247,84.654
3246,84.675
3245,84.692
3244,84.717
3243,84.751
3242,84.791
3241,84.833
3240,84.876
3239,84.923
3238,84.976
3237,85.038
3236,85.106
3235,85.164
3234,85.2
3233,85.211
3232,85.213
3231,85.219
3230,85.237
3229,85.262
3228,85.291
3227,85.32
3226,85.348
3225,85.377
3224,85.406
3223,85.437
3222,85.468
3221,85.497
3220,85.525
3219,85.55
3218,85.573
3217,85.597
3216,85.622
3215,85.648
3214,85.67
3213,85.691
3212,85.714
3211,85.738
3210,85.762
3209,85.787
3208,85.812
3207,85.838
3206,85.862
3205,85.885
3204,85.909
3203,85.933
3202,85.957
3201,85.982
3200,86.008
3199,86.034
3198,86.06
3197,86.086
3196,86.115
3195,86.147
3194,86.179
3193,86.211
3192,86.243
3191,86.275
3190,86.306
3189,86.337
3188,86.368
3187,86.4
3186,86.433
3185,86.467
3184,86.501
3183,86.536
3182,86.572
3181,86.608
3180,86.645
3179,86.68
3178,86.715
3177,86.75
3176,86.788
3175,86.827
3174,86.866
3173,86.904
3172,86.943
3171,86.981
3170,87.019
3169,87.056
3168,87.094
3167,87.133
3166,87.171
3165,87.21
3164,87.248
3163,87.287
3162,87.325
3161,87.362
3160,87.401
3159,87.44
3158,87.483
3157,87.531
3156,87.588
3155,87.648
3154,87.701
3153,87.738
3152,87.757
3151,87.768
3150,87.782
3149,87.803
3148,87.832
3147,87.864
3146,87.896
3145,87.931
3144,87.971
3143,88.019
3142,88.072
3141,88.12
3140,88.156
3139,88.174
3138,88.181
3137,88.188
3136,88.203
3135,88.225
3134,88.255
3133,88.289
3132,88.325
3131,88.356
3130,88.377
3129,88.388
3128,88.398
3127,88.413
3126,88.436
3125,88.47
3124,88.515
3123,88.569
3122,88.621
3121,88.662
3120,88.69
3119,88.708
3118,88.718
3117,88.716
3116,88.699
3115,88.67
3114,88.644
3113,88.633
3112,88.644
3111,88.667
3110,88.684
3109,88.681
3108,88.658
3107,88.631
3106,88.611
3105,88.605
3104,88.61
3103,88.625
3102,88.639
3101,88.641
3100,88.625
3099,88.596
3098,88.566
