Wavenumber [cm-1],% Transmittance
4000,99.422
3999,99.421
3998,99.42
3997,99.42
3996,99.419
3995,99.417
3994,99.415
3993,99.412
3992,99.408
3991,99.405
3990,99.402
3989,99.401
3988,99.399
3987,99.397
3986,99.395
3985,99.392
3984,99.391
3983,99.389
3982,99.388
3981,99.387
3980,99.386
3979,99.385
3978,99.385
3977,99.386
3976,99.389
3975,99.394
3974,99.397
3973,99.399
3972,99.399
3971,99.398
3970,99.398
3969,99.399
3968,99.401
3967,99.403
3966,99.404
3965,99.403
3964,99.401
3963,99.401
3962,99.402
3961,99.405
3960,99.407
3959,99.408
3958,99.407
3957,99.407
3956,99.41
3955,99.415
3954,99.419
3953,99.422
3952,99.419
3951,99.411
3950,99.4
3949,99.393
3948,99.393
3947,99.399
3946,99.406
3945,99.409
3944,99.407
3943,99.402
3942,99.398
3941,99.392
3940,99.386
3939,99.38
3938,99.376
3937,99.373
3936,99.369
3935,99.363
3934,99.356
3933,99.352
3932,99.353
3931,99.357
3930,99.36
3929,99.363
3928,99.367
3927,99.366
3926,99.359
3925,99.347
3924,99.338
3923,99.33
3922,99.321
3921,99.309
3920,99.297
3919,99.289
3918,99.288
3917,99.288
3916,99.29
3915,99.293
3914,99.295
3913,99.296
3912,99.297
3911,99.302
3910,99.309
3909,99.316
3908,99.321
3907,99.325
3906,99.323
3905,99.313
3904,99.3
3903,99.298
3902,99.307
3901,99.32
3900,99.326
3899,99.324
3898,99.319
3897,99.315
3896,99.312
3895,99.311
3894,99.314
3893,99.317
3892,99.315
3891,99.302
3890,99.288
3889,99.286
3888,99.293
3887,99.3
3886,99.305
3885,99.313
3884,99.328
3883,99.343
3882,99.349
3881,99.344
3880,99.337
3879,99.332
3878,99.335
3877,99.346
3876,99.35
3875,99.343
3874,99.333
3873,99.328
3872,99.327
3871,99.321
3870,99.311
3869,99.309
3868,99.319
3867,99.334
3866,99.339
3865,99.335
3864,99.335
3863,99.336
3862,99.334
3861,99.329
3860,99.316
3859,99.292
3858,99.266
3857,99.254
3856,99.263
3855,99.269
3854,99.257
3853,99.251
3852,99.264
3851,99.287
3850,99.308
