Wavenumber [cm-1],% Transmittance
4000,99.656
3999,99.655
3998,99.654
3997,99.653
3996,99.653
3995,99.651
3994,99.65
3993,99.649
3992,99.649
3991,99.65
3990,99.651
3989,99.652
3988,99.652
3987,99.651
3986,99.65
3985,99.65
3984,99.649
3983,99.649
3982,99.649
3981,99.649
3980,99.648
3979,99.647
3978,99.647
3977,99.646
3976,99.645
3975,99.644
3974,99.644
3973,99.644
3972,99.646
3971,99.647
3970,99.648
3969,99.648
3968,99.648
3967,99.647
3966,99.647
3965,99.647
3964,99.646
3963,99.646
3962,99.645
3961,99.644
3960,99.643
3959,99.643
3958,99.643
3957,99.643
3956,99.644
3955,99.643
3954,99.643
3953,99.642
3952,99.642
3951,99.643
3950,99.644
3949,99.646
3948,99.646
3947,99.645
3946,99.642
3945,99.64
3944,99.639
3943,99.639
3942,99.641
3941,99.642
3940,99.643
3939,99.644
3938,99.646
3937,99.647
3936,99.646
3935,99.644
3934,99.643
3933,99.643
3932,99.642
3931,99.641
3930,99.641
3929,99.64
3928,99.639
3927,99.637
3926,99.637
3925,99.638
3924,99.639
3923,99.64
3922,99.641
3921,99.644
3920,99.647
3919,99.647
3918,99.647
3917,99.647
3916,99.647
3915,99.647
3914,99.646
3913,99.647
3912,99.648
3911,99.648
3910,99.648
3909,99.647
3908,99.645
3907,99.641
3906,99.639
3905,99.641
3904,99.645
3903,99.647
3902,99.645
3901,99.642
3900,99.642
3899,99.644
3898,99.646
3897,99.646
3896,99.646
3895,99.646
3894,99.644
3893,99.642
3892,99.644
3891,99.65
3890,99.656
3889,99.657
3888,99.654
3887,99.653
3886,99.653
3885,99.651
3884,99.646
3883,99.641
3882,99.641
3881,99.644
3880,99.648
3879,99.649
3878,99.647
3877,99.644
3876,99.644
3875,99.647
3874,99.649
3873,99.647
3872,99.644
3871,99.645
3870,99.65
3869,99.653
3868,99.649
3867,99.643
3866,99.642
3865,99.645
3864,99.645
3863,99.644
3862,99.645
3861,99.648
3860,99.652
3859,99.658
3858,99.661
3857,99.659
3856,99.651
3855,99.649
3854,99.655
3853,99.662
3852,99.662
3851,99.656
3850,99.651
3849,99.649
3848,99.649
3847,99.649
3846,99.649
3845,99.648
3844,99.647
3843,99.646
3842,99.646
3841,99.646
3840,99.645
3839,99.644
3838,99.645
3837,99.647
3836,99.647
3835,99.646
3834,99.645
3833,99.646
3832,99.647
3831,99.648
3830,99.647
3829,99.644
3828,99.642
3827,99.644
3826,99.648
3825,99.649
3824,99.647
3823,99.646
3822,99.649
3821,99.653
3820,99.655
3819,99.652
3818,99.649
3817,99.65
3816,99.653
3815,99.653
3814,99.649
3813,99.646
3812,99.648
3811,99.653
3810,99.655
3809,99.653
3808,99.653
3807,99.658
3806,99.662
3805,99.66
3804,99.655
3803,99.651
3802,99.65
3801,99.648
3800,99.645
3799,99.642
3798,99.643
3797,99.647
3796,99.649
3795,99.648
3794,99.646
3793,99.644
3792,99.644
3791,99.643
3790,99.64
3789,99.638
3788,99.636
3787,99.635
3786,99.635
3785,99.635
3784,99.635
3783,99.635
3782,99.636
3781,99.637
3780,99.639
3779,99.64
3778,99.638
3777,99.636
3776,99.636
3775,99.638
3774,99.641
3773,99.641
3772,99.64
3771,99.64
3770,99.639
3769,99.636
3768,99.633
3767,99.631
3766,99.633
3765,99.635
3764,99.635
3763,99.633
3762,99.633
3761,99.634
3760,99.633
3759,99.63
3758,99.63
3757,99.634
3756,99.639
3755,99.644
3754,99.65
3753,99.657
3752,99.659
3751,99.655
3750,99.653
3749,99.656
3748,99.655
3747,99.648
3746,99.642
3745,99.643
3744,99.646
3743,99.645
3742,99.641
3741,99.64
3740,99.643
3739,99.646
3738,99.645
3737,99.645
3736,99.644
3735,99.643
3734,99.643
3733,99.645
3732,99.648
3731,99.649
3730,99.647
3729,99.643
3728,99.641
3727,99.641
3726,99.639
3725,99.635
3724,99.63
3723,99.627
3722,99.626
3721,99.624
3720,99.623
3719,99.622
3718,99.622
3717,99.623
3716,99.622
3715,99.62
3714,99.619
3713,99.619
3712,99.618
3711,99.617
3710,99.617
3709,99.615
3708,99.613
3707,99.612
3706,99.611
3705,99.609
3704,99.605
3703,99.601
3702,99.597
3701,99.593
3700,99.589
3699,99.585
3698,99.584
3697,99.583
3696,99.582
3695,99.578
3694,99.574
3693,99.571
3692,99.566
3691,99.559
3690,99.551
3689,99.545
3688,99.539
3687,99.533
3686,99.524
3685,99.514
3684,99.505
3683,99.497
3682,99.488
3681,99.481
3680,99.475
3679,99.467
3678,99.454
3677,99.441
3676,99.43
3675,99.418
3674,99.404
3673,99.388
3672,99.374
3671,99.364
3670,99.351
3669,99.333
3668,99.314
3667,99.296
3666,99.281
3665,99.266
3664,99.25
3663,99.235
3662,99.22
3661,99.206
3660,99.191
3659,99.173
3658,99.155
3657,99.136
3656,99.118
3655,99.098
3654,99.078
3653,99.059
3652,99.045
3651,99.029
3650,99.005
3649,98.977
3648,98.95
3647,98.927
3646,98.905
3645,98.883
3644,98.862
3643,98.842
3642,98.822
3641,98.799
3640,98.777
3639,98.755
3638,98.733
3637,98.709
3636,98.685
3635,98.664
3634,98.643
3633,98.619
3632,98.594
3631,98.572
3630,98.554
