Wavenumber [cm-1],% Transmittance
4000,99.443
3999,99.442
3998,99.441
3997,99.441
3996,99.441
3995,99.441
3994,99.441
3993,99.44
3992,99.439
3991,99.438
3990,99.437
3989,99.437
3988,99.437
3987,99.436
3986,99.435
3985,99.435
3984,99.434
3983,99.434
3982,99.434
3981,99.433
3980,99.432
3979,99.431
3978,99.431
3977,99.431
3976,99.433
3975,99.434
3974,99.435
3973,99.434
3972,99.434
3971,99.433
3970,99.433
3969,99.432
3968,99.431
3967,99.43
3966,99.429
3965,99.428
3964,99.428
3963,99.429
3962,99.43
3961,99.431
3960,99.432
3959,99.432
3958,99.431
3957,99.43
3956,99.43
3955,99.432
3954,99.434
3953,99.436
3952,99.436
3951,99.435
3950,99.433
3949,99.431
3948,99.429
3947,99.429
3946,99.432
3945,99.435
3944,99.438
3943,99.44
3942,99.439
3941,99.436
3940,99.433
3939,99.429
3938,99.426
3937,99.424
3936,99.423
3935,99.423
3934,99.424
3933,99.426
3932,99.432
3931,99.438
3930,99.442
3929,99.444
3928,99.446
3927,99.448
3926,99.448
3925,99.446
3924,99.444
3923,99.441
3922,99.437
3921,99.43
3920,99.423
3919,99.421
3918,99.424
3917,99.428
3916,99.43
3915,99.432
3914,99.434
3913,99.433
3912,99.432
3911,99.431
3910,99.43
3909,99.43
3908,99.432
3907,99.437
3906,99.441
3905,99.438
3904,99.428
3903,99.422
3902,99.428
3901,99.44
3900,99.448
3899,99.448
3898,99.442
3897,99.436
3896,99.431
3895,99.431
3894,99.438
3893,99.449
3892,99.452
3891,99.44
3890,99.421
3889,99.413
3888,99.416
3887,99.421
3886,99.422
3885,99.421
3884,99.426
3883,99.439
3882,99.451
3881,99.456
3880,99.452
3879,99.443
3878,99.438
3877,99.441
3876,99.442
3875,99.436
3874,99.429
3873,99.429
3872,99.435
3871,99.436
3870,99.428
3869,99.421
3868,99.424
3867,99.434
3866,99.437
3865,99.434
3864,99.434
3863,99.437
3862,99.436
3861,99.429
3860,99.416
3859,99.4
3858,99.388
3857,99.391
3856,99.409
3855,99.418
3854,99.4
3853,99.375
3852,99.37
3851,99.386
3850,99.406
3849,99.419
3848,99.424
3847,99.426
3846,99.427
3845,99.429
3844,99.43
3843,99.425
3842,99.417
3841,99.412
3840,99.416
3839,99.424
3838,99.429
3837,99.429
3836,99.431
3835,99.436
3834,99.441
3833,99.443
3832,99.44
3831,99.435
3830,99.433
3829,99.436
3828,99.439
3827,99.436
3826,99.428
3825,99.423
3824,99.428
3823,99.435
3822,99.435
3821,99.426
3820,99.413
3819,99.408
3818,99.414
3817,99.416
