Wavenumber [cm-1],% Transmittance
4000,98.416
3999,98.417
3998,98.418
3997,98.418
3996,98.418
3995,98.418
3994,98.418
3993,98.418
3992,98.417
3991,98.416
3990,98.416
3989,98.416
3988,98.416
3987,98.415
3986,98.415
3985,98.414
3984,98.414
3983,98.414
3982,98.413
3981,98.413
3980,98.413
3979,98.412
3978,98.412
3977,98.412
3976,98.412
3975,98.413
3974,98.414
3973,98.413
3972,98.412
3971,98.409
3970,98.408
3969,98.407
3968,98.407
3967,98.408
3966,98.408
3965,98.407
3964,98.405
3963,98.403
3962,98.403
3961,98.404
3960,98.405
3959,98.405
3958,98.404
3957,98.404
3956,98.405
3955,98.408
3954,98.412
3953,98.415
3952,98.414
3951,98.41
3950,98.402
3949,98.397
3948,98.398
3947,98.405
3946,98.413
3945,98.417
3944,98.416
3943,98.411
3942,98.406
3941,98.402
3940,98.397
3939,98.393
3938,98.391
3937,98.392
3936,98.394
3935,98.395
3934,98.394
3933,98.394
3932,98.399
3931,98.406
3930,98.413
3929,98.421
3928,98.427
3927,98.431
3926,98.427
3925,98.42
3924,98.414
3923,98.41
3922,98.406
3921,98.399
3920,98.39
3919,98.386
3918,98.386
3917,98.387
3916,98.39
3915,98.393
3914,98.395
3913,98.394
3912,98.395
3911,98.399
3910,98.405
3909,98.411
3908,98.417
3907,98.421
3906,98.418
3905,98.405
3904,98.39
3903,98.386
3902,98.393
3901,98.405
3900,98.412
3899,98.414
3898,98.413
3897,98.411
3896,98.408
3895,98.407
3894,98.409
3893,98.411
3892,98.407
3891,98.395
3890,98.381
3889,98.377
3888,98.381
3887,98.385
3886,98.39
3885,98.399
3884,98.413
3883,98.425
3882,98.426
3881,98.419
3880,98.411
3879,98.407
3878,98.41
3877,98.419
3876,98.422
3875,98.417
3874,98.41
3873,98.409
3872,98.408
3871,98.4
3870,98.391
3869,98.39
3868,98.401
3867,98.415
3866,98.417
3865,98.412
3864,98.409
3863,98.408
3862,98.406
3861,98.401
3860,98.39
3859,98.37
3858,98.349
3857,98.344
3856,98.358
3855,98.363
3854,98.35
3853,98.344
3852,98.354
3851,98.372
3850,98.388
3849,98.396
3848,98.401
3847,98.406
3846,98.409
3845,98.413
3844,98.415
3843,98.414
3842,98.409
3841,98.406
3840,98.408
3839,98.412
3838,98.413
3837,98.409
3836,98.404
3835,98.402
3834,98.402
3833,98.401
3832,98.399
3831,98.401
3830,98.408
3829,98.416
3828,98.419
3827,98.413
3826,98.402
3825,98.396
3824,98.401
3823,98.406
3822,98.402
3821,98.393
3820,98.386
3819,98.386
3818,98.389
3817,98.386
3816,98.38
3815,98.38
3814,98.388
3813,98.393
3812,98.388
3811,98.377
3810,98.372
3809,98.376
3808,98.378
3807,98.374
3806,98.37
3805,98.375
3804,98.388
3803,98.397
3802,98.402
3801,98.406
3800,98.408
3799,98.41
3798,98.407
3797,98.402
3796,98.398
3795,98.398
3794,98.401
3793,98.402
3792,98.401
3791,98.403
3790,98.407
3789,98.412
3788,98.415
3787,98.417
3786,98.416
3785,98.415
3784,98.414
3783,98.416
3782,98.418
3781,98.414
3780,98.407
3779,98.403
3778,98.402
3777,98.404
3776,98.403
3775,98.399
3774,98.395
3773,98.395
3772,98.395
3771,98.393
3770,98.393
3769,98.395
3768,98.399
3767,98.4
3766,98.398
3765,98.396
3764,98.398
3763,98.405
3762,98.41
3761,98.411
3760,98.412
3759,98.416
3758,98.413
3757,98.4
3756,98.383
3755,98.367
3754,98.348
3753,98.324
3752,98.309
3751,98.311
3750,98.311
3749,98.301
3748,98.298
3747,98.311
3746,98.327
3745,98.332
3744,98.335
3743,98.345
3742,98.358
3741,98.366
3740,98.367
3739,98.373
3738,98.38
3737,98.381
3736,98.384
3735,98.395
3734,98.403
3733,98.402
