Wavenumber [cm-1],% Transmittance
4000,99.715
3999,99.715
3998,99.715
3997,99.715
3996,99.714
3995,99.714
3994,99.714
3993,99.714
3992,99.713
3991,99.71
3990,99.708
3989,99.707
3988,99.707
3987,99.706
3986,99.705
3985,99.705
3984,99.704
3983,99.704
3982,99.703
3981,99.703
3980,99.703
3979,99.703
3978,99.703
3977,99.703
3976,99.704
3975,99.706
3974,99.707
3973,99.707
3972,99.706
3971,99.704
3970,99.703
3969,99.701
3968,99.701
3967,99.701
3966,99.701
3965,99.7
3964,99.7
3963,99.699
3962,99.699
3961,99.699
3960,99.7
3959,99.7
3958,99.7
3957,99.701
3956,99.703
3955,99.707
3954,99.712
3953,99.716
3952,99.717
3951,99.712
3950,99.703
3949,99.695
3948,99.694
3947,99.7
3946,99.71
3945,99.716
3944,99.714
3943,99.707
3942,99.7
3941,99.696
3940,99.694
3939,99.692
3938,99.691
3937,99.692
3936,99.695
3935,99.696
3934,99.696
3933,99.695
3932,99.698
3931,99.702
3930,99.708
3929,99.716
3928,99.726
3927,99.731
3926,99.728
3925,99.719
3924,99.71
3923,99.705
3922,99.7
3921,99.692
3920,99.684
3919,99.679
3918,99.678
3917,99.678
3916,99.68
3915,99.685
3914,99.689
3913,99.69
3912,99.69
3911,99.693
3910,99.697
3909,99.703
3908,99.709
3907,99.714
3906,99.709
3905,99.694
3904,99.677
3903,99.672
3902,99.68
3901,99.692
3900,99.699
3899,99.7
3898,99.7
3897,99.7
3896,99.699
3895,99.7
3894,99.702
3893,99.702
3892,99.693
3891,99.678
3890,99.666
3889,99.665
3888,99.674
3887,99.679
3886,99.682
3885,99.691
3884,99.707
3883,99.722
3882,99.723
3881,99.711
3880,99.701
3879,99.7
3878,99.709
3877,99.722
3876,99.725
3875,99.715
3874,99.704
3873,99.701
3872,99.7
3871,99.689
3870,99.676
3869,99.676
3868,99.691
3867,99.707
3866,99.709
3865,99.701
3864,99.695
3863,99.695
3862,99.696
3861,99.693
3860,99.682
3859,99.659
3858,99.635
3857,99.63
3856,99.648
3855,99.652
3854,99.629
3853,99.618
3852,99.632
3851,99.655
3850,99.674
3849,99.684
3848,99.691
3847,99.697
3846,99.704
3845,99.71
3844,99.714
3843,99.713
3842,99.708
3841,99.702
3840,99.7
3839,99.7
3838,99.7
3837,99.696
3836,99.694
3835,99.694
3834,99.696
3833,99.694
3832,99.692
3831,99.695
3830,99.703
3829,99.713
3828,99.717
3827,99.709
3826,99.695
3825,99.69
3824,99.697
3823,99.701
3822,99.689
3821,99.675
3820,99.669
3819,99.674
3818,99.68
3817,99.675
3816,99.666
3815,99.668
3814,99.678
3813,99.686
3812,99.682
3811,99.671
3810,99.668
3809,99.671
3808,99.67
3807,99.662
3806,99.657
3805,99.665
3804,99.681
3803,99.689
3802,99.691
3801,99.697
3800,99.705
3799,99.71
3798,99.707
3797,99.697
3796,99.691
3795,99.692
3794,99.697
3793,99.701
3792,99.702
3791,99.705
3790,99.709
3789,99.715
3788,99.72
3787,99.721
3786,99.719
3785,99.715
3784,99.713
3783,99.716
3782,99.719
3781,99.715
3780,99.706
3779,99.7
3778,99.699
3777,99.701
3776,99.7
3775,99.694
3774,99.689
3773,99.688
3772,99.687
3771,99.681
3770,99.677
3769,99.68
3768,99.686
3767,99.688
3766,99.684
3765,99.68
3764,99.683
3763,99.693
3762,99.7
3761,99.7
3760,99.698
3759,99.697
3758,99.688
3757,99.67
3756,99.652
3755,99.637
3754,99.618
3753,99.591
3752,99.569
3751,99.563
3750,99.56
3749,99.55
3748,99.548
3747,99.567
3746,99.583
3745,99.583
3744,99.583
3743,99.595
3742,99.612
3741,99.621
3740,99.622
3739,99.625
3738,99.627
3737,99.62
3736,99.619
3735,99.633
3734,99.645
3733,99.641
3732,99.627
3731,99.612
3730,99.605
3729,99.603
3728,99.602
3727,99.605
3726,99.617
3725,99.633
3724,99.646
3723,99.653
3722,99.659
3721,99.665
3720,99.671
3719,99.672
3718,99.666
3717,99.654
3716,99.645
3715,99.64
3714,99.63
3713,99.609
3712,99.586
3711,99.576
3710,99.582
3709,99.597
3708,99.611
3707,99.619
3706,99.626
3705,99.636
3704,99.648
3703,99.654
3702,99.651
3701,99.64
3700,99.628
3699,99.619
3698,99.612
3697,99.605
3696,99.599
3695,99.595
3694,99.591
3693,99.591
3692,99.6
3691,99.616
3690,99.622
3689,99.612
3688,99.593
3687,99.579
3686,99.574
3685,99.574
3684,99.573
3683,99.571
3682,99.567
3681,99.555
3680,99.536
3679,99.525
3678,99.524
3677,99.517
3676,99.503
3675,99.493
3674,99.49
3673,99.494
3672,99.492
3671,99.477
3670,99.463
3669,99.458
3668,99.457
3667,99.454
3666,99.447
3665,99.438
3664,99.428
3663,99.418
3662,99.404
3661,99.384
3660,99.364
3659,99.35
3658,99.339
3657,99.324
3656,99.309
3655,99.295
3654,99.286
3653,99.278
3652,99.266
3651,99.253
3650,99.244
3649,99.235
3648,99.221
3647,99.206
3646,99.193
3645,99.178
3644,99.16
3643,99.14
3642,99.123
3641,99.106
3640,99.089
3639,99.069
3638,99.048
3637,99.028
3636,99.004
3635,98.972
3634,98.935
3633,98.901
3632,98.879
3631,98.863
3630,98.842
3629,98.829
3628,98.821
3627,98.812
3626,98.801
3625,98.788
3624,98.777
3623,98.779
3622,98.795
3621,98.812
3620,98.81
3619,98.783
3618,98.74
3617,98.697
3616,98.66
3615,98.626
3614,98.592
3613,98.558
3612,98.527
3611,98.498
3610,98.473
3609,98.454
3608,98.443
3607,98.437
3606,98.427
3605,98.411
3604,98.391
3603,98.369
3602,98.348
3601,98.331
3600,98.317
3599,98.301
3598,98.279
3597,98.252
3596,98.22
3595,98.188
3594,98.155
3593,98.122
3592,98.093
3591,98.072
3590,98.061
3589,98.055
3588,98.049
3587,98.034
3586,98.004
3585,97.966
3584,97.929
3583,97.897
3582,97.873
3581,97.853
3580,97.834
3579,97.813
3578,97.788
3577,97.761
3576,97.733
3575,97.705
3574,97.676
3573,97.645
3572,97.614
3571,97.586
3570,97.568
3569,97.558
3568,97.553
3567,97.548
3566,97.528
3565,97.492
3564,97.446
3563,97.403
3562,97.365
3561,97.334
3560,97.306
3559,97.278
3558,97.248
3557,97.219
3556,97.192
3555,97.167
3554,97.143
3553,97.12
3552,97.095
3551,97.064
3550,97.031
3549,96.997
3548,96.968
3547,96.946
3546,96.925
3545,96.903
3544,96.876
3543,96.846
3542,96.815
3541,96.784
3540,96.755
3539,96.728
3538,96.702
3537,96.677
3536,96.654
3535,96.629
3534,96.602
3533,96.574
3532,96.55
3531,96.53
3530,96.51
3529,96.487
3528,96.461
3527,96.433
3526,96.402
3525,96.373
3524,96.349
3523,96.329
3522,96.306
3521,96.28
3520,96.252
3519,96.225
3518,96.198
3517,96.171
3516,96.143
3515,96.117
3514,96.095
3513,96.074
3512,96.056
3511,96.039
3510,96.022
3509,96.001
3508,95.976
3507,95.949
3506,95.922
3505,95.899
3504,95.88
3503,95.863
3502,95.842
3501,95.816
3500,95.787
3499,95.76
3498,95.737
3497,95.717
3496,95.699
3495,95.681
3494,95.66
3493,95.638
3492,95.616
3491,95.595
3490,95.574
3489,95.554
3488,95.535
3487,95.517
3486,95.499
3485,95.48
3484,95.461
3483,95.443
3482,95.423
3481,95.402
3480,95.38
3479,95.36
3478,95.341
3477,95.324
3476,95.307
3475,95.29
3474,95.27
3473,95.247
3472,95.223
3471,95.199
3470,95.176
3469,95.155
3468,95.139
3467,95.126
3466,95.113
3465,95.1
3464,95.084
3463,95.067
3462,95.048
3461,95.028
3460,95.009
3459,94.992
3458,94.977
3457,94.96
3456,94.943
3455,94.926
3454,94.908
3453,94.889
3452,94.87
3451,94.851
3450,94.833
3449,94.818
3448,94.806
3447,94.793
3446,94.775
3445,94.752
3444,94.728
3443,94.708
3442,94.69
3441,94.668
3440,94.644
3439,94.618
3438,94.595
3437,94.575
3436,94.557
3435,94.541
3434,94.526
3433,94.509
3432,94.491
3431,94.473
3430,94.454
3429,94.436
3428,94.419
3427,94.403
3426,94.387
3425,94.37
3424,94.351
3423,94.334
3422,94.318
3421,94.303
3420,94.285
3419,94.264
3418,94.24
3417,94.214
3416,94.189
3415,94.166
3414,94.146
3413,94.127
3412,94.109
3411,94.092
3410,94.075
3409,94.058
3408,94.041
3407,94.024
3406,94.005
3405,93.984
3404,93.963
3403,93.943
3402,93.924
3401,93.905
3400,93.887
3399,93.871
3398,93.854
3397,93.836
3396,93.817
3395,93.799
