Wavenumber [cm-1],% Transmittance
4000,98.849
3999,98.849
3998,98.849
3997,98.848
3996,98.848
3995,98.848
3994,98.848
3993,98.847
3992,98.845
3991,98.844
3990,98.843
3989,98.844
3988,98.843
3987,98.842
3986,98.842
3985,98.842
3984,98.843
3983,98.844
3982,98.844
3981,98.844
3980,98.844
3979,98.843
3978,98.841
3977,98.839
3976,98.839
3975,98.84
3974,98.841
3973,98.84
3972,98.838
3971,98.835
3970,98.834
3969,98.833
3968,98.832
3967,98.831
3966,98.829
3965,98.826
3964,98.823
3963,98.821
3962,98.821
3961,98.823
3960,98.822
3959,98.82
3958,98.816
3957,98.814
3956,98.814
3955,98.816
3954,98.82
3953,98.823
3952,98.821
3951,98.816
3950,98.809
3949,98.805
3948,98.806
3947,98.81
3946,98.815
3945,98.818
3944,98.819
3943,98.818
3942,98.816
3941,98.811
3940,98.807
3939,98.804
3938,98.805
3937,98.806
3936,98.805
3935,98.8
3934,98.796
3933,98.795
3932,98.8
3931,98.808
3930,98.816
3929,98.821
3928,98.825
3927,98.827
3926,98.827
3925,98.825
3924,98.822
3923,98.819
3922,98.814
3921,98.806
3920,98.797
3919,98.792
3918,98.792
3917,98.796
3916,98.801
3915,98.804
3914,98.806
3913,98.806
3912,98.806
3911,98.809
3910,98.811
3909,98.811
3908,98.808
3907,98.805
3906,98.798
3905,98.785
3904,98.77
3903,98.762
3902,98.766
3901,98.779
3900,98.794
3899,98.801
3898,98.802
3897,98.8
3896,98.795
3895,98.79
3894,98.788
3893,98.793
3892,98.798
3891,98.792
3890,98.774
3889,98.759
3888,98.758
3887,98.767
3886,98.777
3885,98.78
3884,98.778
3883,98.78
3882,98.786
3881,98.795
3880,98.798
3879,98.791
3878,98.784
3877,98.785
3876,98.79
3875,98.79
3874,98.78
3873,98.766
3872,98.759
3871,98.76
3870,98.761
3869,98.756
3868,98.752
3867,98.755
3866,98.76
3865,98.763
3864,98.767
3863,98.77
3862,98.772
3861,98.773
3860,98.77
3859,98.759
3858,98.742
3857,98.728
3856,98.719
3855,98.712
3854,98.706
3853,98.699
3852,98.701
3851,98.717
3850,98.742
3849,98.764
3848,98.776
3847,98.78
3846,98.779
3845,98.778
3844,98.776
3843,98.77
3842,98.76
3841,98.755
3840,98.759
3839,98.768
3838,98.769
3837,98.759
3836,98.745
3835,98.739
3834,98.744
3833,98.754
3832,98.763
3831,98.767
3830,98.77
3829,98.776
3828,98.785
3827,98.787
3826,98.773
3825,98.75
3824,98.73
3823,98.724
3822,98.731
3821,98.736
3820,98.728
3819,98.724
3818,98.735
3817,98.751
3816,98.759
3815,98.757
3814,98.758
3813,98.765
3812,98.766
3811,98.756
3810,98.745
3809,98.742
3808,98.745
3807,98.743
3806,98.73
3805,98.718
3804,98.72
3803,98.737
3802,98.757
3801,98.76
3800,98.747
3799,98.741
3798,98.749
3797,98.762
3796,98.773
3795,98.777
3794,98.78
3793,98.785
3792,98.789
3791,98.795
3790,98.799
3789,98.799
3788,98.797
3787,98.797
3786,98.8
3785,98.802
3784,98.798
3783,98.791
3782,98.784
3781,98.782
3780,98.785
3779,98.79
3778,98.795
3777,98.8
3776,98.802
3775,98.799
3774,98.79
3773,98.779
3772,98.772
3771,98.773
3770,98.777
3769,98.779
3768,98.78
3767,98.787
3766,98.798
3765,98.802
3764,98.799
3763,98.795
3762,98.793
3761,98.792
3760,98.795
3759,98.803
3758,98.807
3757,98.8
3756,98.787
3755,98.77
3754,98.745
3753,98.714
3752,98.696
3751,98.699
3750,98.703
3749,98.692
3748,98.682
3747,98.69
3746,98.712
3745,98.731
3744,98.732
3743,98.725
3742,98.732
3741,98.744
3740,98.752
3739,98.756
3738,98.753
3737,98.743
3736,98.743
3735,98.758
3734,98.774
3733,98.782
3732,98.781
3731,98.776
3730,98.773
3729,98.774
3728,98.779
3727,98.788
3726,98.801
3725,98.812
3724,98.823
3723,98.835
3722,98.847
3721,98.856
3720,98.864
3719,98.873
3718,98.875
3717,98.865
3716,98.845
3715,98.821
3714,98.793
3713,98.763
3712,98.739
3711,98.729
3710,98.729
3709,98.729
3708,98.72
3707,98.696
3706,98.651
3705,98.579
3704,98.468
3703,98.299
3702,98.059
3701,97.746
3700,97.366
3699,96.909
3698,96.349
3697,95.678
3696,94.923
3695,94.105
3694,93.205
3693,92.19
3692,91.049
3691,89.809
3690,88.575
3689,87.57
3688,87.017
3687,86.984
3686,87.411
3685,88.183
3684,89.157
3683,90.19
3682,91.192
3681,92.109
3680,92.897
3679,93.543
3678,94.111
3677,94.682
3676,95.219
3675,95.589
3674,95.801
3673,95.98
3672,96.203
3671,96.459
3670,96.688
3669,96.856
3668,96.987
3667,97.108
3666,97.223
3665,97.331
3664,97.427
3663,97.51
3662,97.574
3661,97.62
3660,97.655
3659,97.68
3658,97.696
3657,97.701
3656,97.688
3655,97.657
3654,97.616
3653,97.563
3652,97.477
3651,97.326
3650,97.094
3649,96.79
3648,96.451
3647,96.117
3646,95.813
3645,95.543
3644,95.309
3643,95.12
3642,94.995
3641,94.947
3640,94.973
3639,95.055
3638,95.172
3637,95.31
3636,95.464
3635,95.622
3634,95.766
3633,95.893
3632,96.019
3631,96.16
3630,96.316
3629,96.456
3628,96.554
3627,96.635
3626,96.726
3625,96.826
3624,96.92
3623,97.006
3622,97.089
3621,97.169
3620,97.231
3619,97.264
3618,97.275
3617,97.285
3616,97.307
3615,97.335
3614,97.362
3613,97.381
3612,97.392
3611,97.4
3610,97.409
3609,97.426
3608,97.449
3607,97.475
3606,97.499
3605,97.52
3604,97.536
3603,97.547
3602,97.557
3601,97.569
3600,97.583
3599,97.596
3598,97.605
3597,97.609
3596,97.611
3595,97.611
3594,97.61
3593,97.613
3592,97.619
3591,97.627
3590,97.637
3589,97.646
3588,97.655
3587,97.658
3586,97.653
3585,97.648
3584,97.649
3583,97.652
3582,97.658
3581,97.664
3580,97.671
3579,97.674
3578,97.675
3577,97.675
3576,97.675
3575,97.675
3574,97.675
3573,97.677
3572,97.678
