Wavenumber [cm-1],% Transmittance
4000,99.398
3999,99.398
3998,99.398
3997,99.397
3996,99.396
3995,99.395
3994,99.394
3993,99.395
3992,99.397
3991,99.399
3990,99.4
3989,99.401
3988,99.4
3987,99.399
3986,99.398
3985,99.398
3984,99.397
3983,99.396
3982,99.395
3981,99.395
3980,99.395
3979,99.395
3978,99.395
3977,99.395
3976,99.394
3975,99.393
3974,99.391
3973,99.389
3972,99.388
3971,99.389
3970,99.39
3969,99.392
3968,99.393
3967,99.392
3966,99.391
3965,99.389
3964,99.387
3963,99.385
3962,99.385
3961,99.385
3960,99.385
3959,99.385
3958,99.386
3957,99.387
3956,99.387
3955,99.386
3954,99.383
3953,99.38
3952,99.378
3951,99.377
3950,99.378
3949,99.381
3948,99.384
3947,99.386
3946,99.385
3945,99.382
3944,99.379
3943,99.38
3942,99.382
3941,99.382
3940,99.381
3939,99.379
3938,99.38
3937,99.382
3936,99.383
3935,99.383
3934,99.383
3933,99.384
3932,99.385
3931,99.384
3930,99.382
3929,99.38
3928,99.377
3927,99.374
3926,99.373
3925,99.375
3924,99.378
3923,99.381
3922,99.383
3921,99.384
3920,99.385
3919,99.386
3918,99.386
3917,99.387
3916,99.388
3915,99.387
3914,99.384
3913,99.381
3912,99.381
3911,99.382
3910,99.382
3909,99.383
3908,99.382
3907,99.381
3906,99.38
3905,99.382
3904,99.388
3903,99.394
3902,99.396
3901,99.395
3900,99.392
3899,99.39
3898,99.388
3897,99.385
3896,99.382
3895,99.38
3894,99.378
3893,99.375
3892,99.374
3891,99.379
3890,99.387
3889,99.388
3888,99.384
3887,99.38
3886,99.382
3885,99.386
3884,99.384
3883,99.375
3882,99.366
3881,99.363
3880,99.368
3879,99.374
3878,99.376
3877,99.372
3876,99.367
3875,99.367
3874,99.371
3873,99.373
3872,99.371
3871,99.37
3870,99.376
3869,99.383
3868,99.384
3867,99.377
3866,99.372
3865,99.372
3864,99.371
3863,99.369
3862,99.368
3861,99.371
3860,99.376
3859,99.381
3858,99.383
3857,99.382
3856,99.38
3855,99.384
3854,99.389
3853,99.389
3852,99.388
3851,99.38
3850,99.371
3849,99.365
3848,99.365
3847,99.365
3846,99.364
3845,99.363
3844,99.362
3843,99.363
3842,99.366
3841,99.367
3840,99.364
3839,99.36
3838,99.358
3837,99.357
3836,99.357
3835,99.355
3834,99.351
3833,99.349
3832,99.35
3831,99.353
3830,99.355
3829,99.353
3828,99.349
3827,99.348
3826,99.353
3825,99.358
3824,99.358
3823,99.355
3822,99.351
3821,99.349
3820,99.352
3819,99.352
3818,99.347
3817,99.344
3816,99.345
3815,99.348
3814,99.347
3813,99.342
3812,99.341
3811,99.346
3810,99.35
3809,99.349
3808,99.346
3807,99.348
3806,99.356
3805,99.36
3804,99.355
3803,99.346
3802,99.337
3801,99.332
3800,99.331
3799,99.326
3798,99.32
3797,99.318
3796,99.319
3795,99.321
3794,99.321
3793,99.32
3792,99.318
3791,99.317
3790,99.316
3789,99.315
3788,99.315
3787,99.314
3786,99.312
3785,99.31
3784,99.311
3783,99.313
3782,99.313
3781,99.312
3780,99.308
3779,99.306
3778,99.305
3777,99.306
3776,99.308
3775,99.312
3774,99.317
3773,99.32
3772,99.319
3771,99.317
3770,99.316
3769,99.315
3768,99.312
3767,99.307
3766,99.306
3765,99.309
3764,99.313
3763,99.312
3762,99.31
3761,99.308
3760,99.306
3759,99.305
3758,99.307
3757,99.314
3756,99.32
3755,99.325
3754,99.333
3753,99.348
3752,99.358
3751,99.358
3750,99.358
3749,99.361
3748,99.36
3747,99.35
3746,99.347
3745,99.364
3744,99.385
3743,99.391
3742,99.382
3741,99.372
3740,99.374
3739,99.386
3738,99.404
3737,99.416
3736,99.404
3735,99.367
3734,99.329
3733,99.315
3732,99.332
3731,99.363
3730,99.392
3729,99.412
3728,99.423
3727,99.426
3726,99.42
3725,99.407
3724,99.391
