Wavenumber [cm-1],% Transmittance
4000,99.007
3999,99.008
3998,99.009
3997,99.009
3996,99.009
3995,99.008
3994,99.008
3993,99.008
3992,99.008
3991,99.006
3990,99.005
3989,99.005
3988,99.005
3987,99.005
3986,99.004
3985,99.004
3984,99.003
3983,99.002
3982,99.001
3981,99
3980,99
3979,98.999
3978,98.998
3977,98.998
3976,98.999
3975,99
3974,99
3973,98.999
3972,98.998
3971,98.997
3970,98.997
3969,98.997
3968,98.997
3967,98.997
3966,98.996
3965,98.994
3964,98.992
3963,98.991
3962,98.992
3961,98.994
3960,98.995
3959,98.996
3958,98.996
3957,98.996
3956,98.997
3955,98.999
3954,99.002
3953,99.004
3952,99.004
3951,99.001
3950,98.996
3949,98.992
3948,98.992
3947,98.997
3946,99.003
3945,99.007
3944,99.007
3943,99.004
3942,99.001
3941,98.998
3940,98.995
3939,98.993
3938,98.991
3937,98.99
3936,98.989
3935,98.988
3934,98.987
3933,98.989
3932,98.994
3931,99.001
3930,99.006
3929,99.011
3928,99.016
3927,99.019
3926,99.016
3925,99.01
3924,99.004
3923,99.001
3922,98.996
3921,98.989
3920,98.982
3919,98.978
3918,98.979
3917,98.98
3916,98.983
3915,98.986
3914,98.989
3913,98.99
3912,98.99
3911,98.993
3910,98.997
3909,99
3908,99.003
3907,99.005
3906,99.002
3905,98.991
3904,98.978
3903,98.973
3902,98.98
3901,98.991
3900,98.999
3899,99.001
3898,99
3897,98.998
3896,98.995
3895,98.994
3894,98.996
3893,99
3892,98.999
3891,98.988
3890,98.974
3889,98.971
3888,98.976
3887,98.98
3886,98.982
3885,98.986
3884,98.995
3883,99.007
3882,99.011
3881,99.007
3880,99
3879,98.995
3878,98.998
3877,99.007
3876,99.012
3875,99.006
3874,98.997
3873,98.992
3872,98.992
3871,98.987
3870,98.979
3869,98.976
3868,98.985
3867,98.998
3866,99
3865,98.996
3864,98.994
3863,98.995
3862,98.995
3861,98.991
3860,98.981
3859,98.963
3858,98.944
3857,98.939
3856,98.95
3855,98.952
3854,98.937
3853,98.926
3852,98.933
3851,98.951
3850,98.968
3849,98.979
3848,98.985
3847,98.99
3846,98.995
3845,98.999
3844,99.001
3843,98.997
3842,98.99
3841,98.986
3840,98.986
3839,98.989
3838,98.991
3837,98.99
3836,98.988
3835,98.989
3834,98.992
3833,98.993
3832,98.991
3831,98.99
3830,98.994
3829,99.001
3828,99.005
3827,99.001
3826,98.99
3825,98.986
3824,98.992
3823,98.999
3822,98.996
