Wavenumber [cm-1],% Transmittance
4000,99.059
3999,99.059
3998,99.058
3997,99.058
3996,99.058
3995,99.057
3994,99.056
3993,99.054
3992,99.053
3991,99.052
3990,99.051
3989,99.051
3988,99.052
3987,99.052
3986,99.052
3985,99.052
3984,99.052
3983,99.052
3982,99.052
3981,99.052
3980,99.051
3979,99.05
3978,99.048
3977,99.048
3976,99.048
3975,99.049
3974,99.049
3973,99.049
3972,99.049
3971,99.049
3970,99.049
3969,99.049
3968,99.048
3967,99.048
3966,99.047
3965,99.047
3964,99.047
3963,99.048
3962,99.049
3961,99.05
3960,99.051
3959,99.051
3958,99.05
3957,99.049
3956,99.049
3955,99.049
3954,99.05
3953,99.051
3952,99.051
3951,99.05
3950,99.048
3949,99.046
3948,99.046
3947,99.046
3946,99.048
3945,99.051
3944,99.053
3943,99.055
3942,99.054
3941,99.053
3940,99.05
3939,99.048
3938,99.047
3937,99.045
3936,99.044
3935,99.042
3934,99.042
3933,99.044
3932,99.048
3931,99.054
3930,99.057
3929,99.06
3928,99.061
3927,99.063
3926,99.063
3925,99.062
3924,99.06
3923,99.058
3922,99.055
3921,99.05
3920,99.044
3919,99.042
3918,99.044
3917,99.047
3916,99.05
3915,99.051
3914,99.053
3913,99.053
3912,99.052
3911,99.052
3910,99.051
3909,99.05
3908,99.051
3907,99.054
3906,99.056
3905,99.053
3904,99.046
3903,99.041
3902,99.046
3901,99.055
3900,99.063
3899,99.063
3898,99.059
3897,99.054
3896,99.051
3895,99.051
3894,99.056
3893,99.064
3892,99.067
3891,99.058
3890,99.043
3889,99.034
3888,99.035
3887,99.04
3886,99.042
3885,99.042
3884,99.044
3883,99.053
3882,99.062
3881,99.067
3880,99.066
3879,99.06
3878,99.057
3877,99.059
3876,99.061
3875,99.057
3874,99.05
3873,99.046
3872,99.048
3871,99.05
3870,99.046
3869,99.041
3868,99.042
3867,99.049
3866,99.052
3865,99.052
3864,99.053
3863,99.054
3862,99.054
3861,99.05
3860,99.041
3859,99.028
3858,99.016
3857,99.016
3856,99.027
3855,99.034
3854,99.022
3853,99.003
3852,98.997
3851,99.01
3850,99.028
3849,99.041
3848,99.047
3847,99.049
3846,99.05
3845,99.051
3844,99.05
3843,99.045
3842,99.037
3841,99.032
3840,99.035
3839,99.043
3838,99.048
3837,99.049
3836,99.05
3835,99.053
3834,99.057
3833,99.059
3832,99.057
3831,99.052
3830,99.05
3829,99.052
3828,99.056
3827,99.056
3826,99.05
3825,99.047
3824,99.049
3823,99.055
3822,99.056
3821,99.048
3820,99.034
3819,99.026
3818,99.028
3817,99.032
3816,99.031
3815,99.032
3814,99.038
3813,99.047
3812,99.048
3811,99.041
3810,99.037
3809,99.039
3808,99.04
3807,99.032
3806,99.019
3805,99.012
3804,99.016
3803,99.026
3802,99.036
3801,99.039
3800,99.039
3799,99.044
3798,99.052
3797,99.057
3796,99.058
3795,99.057
3794,99.058
3793,99.058
3792,99.058
3791,99.059
3790,99.06
3789,99.06
3788,99.059
3787,99.059
3786,99.061
3785,99.061
3784,99.06
3783,99.059
3782,99.058
3781,99.058
3780,99.057
3779,99.058
3778,99.06
3777,99.061
3776,99.061
3775,99.058
3774,99.052
3773,99.05
3772,99.05
3771,99.052
3770,99.051
3769,99.05
3768,99.051
3767,99.054
3766,99.054
3765,99.052
3764,99.048
3763,99.048
3762,99.049
3761,99.05
3760,99.052
3759,99.055
3758,99.053
3757,99.041
3756,99.025
3755,99.008
3754,98.988
3753,98.969
3752,98.962
3751,98.967
3750,98.967
3749,98.958
3748,98.955
3747,98.968
3746,98.986
3745,98.989
3744,98.979
3743,98.975
3742,98.984
3741,98.992
3740,98.989
3739,98.982
3738,98.975
3737,98.976
3736,98.998
3735,99.036
3734,99.068
3733,99.075
3732,99.059
3731,99.034
3730,99.014
3729,99.001
3728,98.996
3727,98.996
3726,99.005
3725,99.017
3724,99.029
3723,99.04
3722,99.048
3721,99.054
3720,99.058
3719,99.06
3718,99.057
3717,99.048
3716,99.039
3715,99.031
3714,99.017
3713,99
3712,98.988
3711,98.989
3710,99
3709,99.014
3708,99.027
3707,99.034
3706,99.038
3705,99.045
3704,99.056
3703,99.066
3702,99.069
3701,99.062
3700,99.049
3699,99.038
3698,99.03
3697,99.023
3696,99.016
3695,99.008
3694,98.999
3693,98.993
3692,98.997
3691,99.011
3690,99.022
3689,99.015
3688,98.991
3687,98.971
3686,98.962
3685,98.961
3684,98.958
3683,98.95
3682,98.941
3681,98.929
3680,98.913
3679,98.899
3678,98.893
3677,98.89
3676,98.883
3675,98.871
3674,98.858
3673,98.853
3672,98.85
3671,98.842
3670,98.832
3669,98.822
3668,98.814
3667,98.808
3666,98.799
3665,98.788
3664,98.777
3663,98.766
3662,98.752
3661,98.736
3660,98.721
3659,98.71
3658,98.699
3657,98.682
3656,98.66
3655,98.642
3654,98.631
3653,98.62
3652,98.6
3651,98.573
3650,98.548
3649,98.527
3648,98.508
3647,98.494
3646,98.484
3645,98.473
3644,98.46
3643,98.444
3642,98.426
3641,98.408
3640,98.388
3639,98.367
3638,98.345
3637,98.323
3636,98.3
3635,98.274
3634,98.25
3633,98.233
3632,98.224
3631,98.204
3630,98.16
3629,98.107
3628,98.069
3627,98.054
3626,98.053
3625,98.054
3624,98.053
3623,98.058
3622,98.067
3621,98.064
3620,98.034
3619,97.981
3618,97.927
3617,97.886
3616,97.86
3615,97.837
3614,97.808
3613,97.774
3612,97.743
3611,97.712
3610,97.677
3609,97.637
3608,97.606
3607,97.588
3606,97.579
3605,97.568
3604,97.551
3603,97.526
3602,97.496
3601,97.466
3600,97.44
3599,97.418
3598,97.394
3597,97.362
3596,97.323
3595,97.282
3594,97.247
3593,97.222
3592,97.209
3591,97.2
3590,97.18
3589,97.14
3588,97.087
3587,97.037
3586,96.998
3585,96.971
3584,96.95
3583,96.929
3582,96.904
3581,96.876
3580,96.847
3579,96.817
3578,96.786
3577,96.752
3576,96.717
3575,96.682
3574,96.649
3573,96.621
3572,96.6
3571,96.582
3570,96.556
3569,96.511
3568,96.451
3567,96.393
3566,96.35
3565,96.32
3564,96.296
3563,96.271
3562,96.241
3561,96.208
3560,96.174
3559,96.141
3558,96.11
3557,96.081
3556,96.053
3555,96.021
3554,95.981
3553,95.937
3552,95.897
3551,95.866
3550,95.84
3549,95.811
3548,95.771
3547,95.723
3546,95.676
3545,95.635
3544,95.603
3543,95.577
3542,95.553
3541,95.528
3540,95.502
3539,95.472
3538,95.436
3537,95.397
3536,95.361
3535,95.331
3534,95.304
3533,95.279
3532,95.251
3531,95.221
3530,95.188
3529,95.15
3528,95.112
3527,95.076
3526,95.043
3525,95.008
3524,94.972
3523,94.939
3522,94.911
3521,94.886
3520,94.86
3519,94.833
3518,94.803
3517,94.773
3516,94.745
3515,94.717
3514,94.692
3513,94.668
3512,94.643
3511,94.614
3510,94.58
3509,94.547
3508,94.521
3507,94.501
3506,94.478
3505,94.445
3504,94.404
3503,94.365
3502,94.333
3501,94.311
3500,94.293
3499,94.274
3498,94.251
3497,94.223
3496,94.195
3495,94.17
3494,94.148
3493,94.127
3492,94.106
3491,94.083
3490,94.057
3489,94.028
3488,93.999
3487,93.974
3486,93.955
3485,93.938
3484,93.916
3483,93.886
3482,93.851
3481,93.819
3480,93.794
3479,93.778
3478,93.763
3477,93.745
3476,93.723
3475,93.698
3474,93.673
3473,93.647
3472,93.62
3471,93.593
3470,93.566
3469,93.541
3468,93.518
3467,93.498
3466,93.481
3465,93.465
3464,93.445
3463,93.422
3462,93.395
3461,93.37
3460,93.348
3459,93.33
3458,93.312
3457,93.292
3456,93.27
3455,93.247
3454,93.224
3453,93.201
3452,93.181
3451,93.164
3450,93.146
3449,93.12
3448,93.087
3447,93.052
3446,93.024
3445,93.002
3444,92.982
3443,92.96
3442,92.933
3441,92.906
3440,92.879
3439,92.852
3438,92.823
3437,92.794
3436,92.768
3435,92.746
3434,92.723
3433,92.699
3432,92.674
3431,92.648
3430,92.623
3429,92.599
3428,92.576
3427,92.554
3426,92.533
3425,92.511
3424,92.487
3423,92.461
3422,92.429
3421,92.396
3420,92.365
3419,92.338
3418,92.314
3417,92.289
3416,92.262
3415,92.233
3414,92.204
3413,92.176
3412,92.15
3411,92.124
3410,92.097
3409,92.071
3408,92.046
3407,92.022
3406,91.999
3405,91.974
3404,91.948
3403,91.921
3402,91.893
3401,91.866
3400,91.84
3399,91.814
3398,91.789
3397,91.764
3396,91.743
3395,91.722
3394,91.698
3393,91.669
3392,91.639
3391,91.612
3390,91.589
3389,91.568
3388,91.547
3387,91.524
3386,91.498
3385,91.471
3384,91.444
3383,91.418
3382,91.393
3381,91.367
3380,91.34
3379,91.314
3378,91.286
3377,91.257
3376,91.227
3375,91.199
3374,91.172
3373,91.147
3372,91.123
3371,91.098
3370,91.067
3369,91.031
3368,90.991
3367,90.949
3366,90.909
3365,90.871
3364,90.838
3363,90.806
3362,90.773
3361,90.737
