Wavenumber [cm-1],% Transmittance
4000,99.986
3999,99.986
3998,99.986
3997,99.986
3996,99.985
3995,99.984
3994,99.983
3993,99.981
3992,99.98
3991,99.978
3990,99.979
3989,99.98
3988,99.981
3987,99.981
3986,99.982
3985,99.982
3984,99.981
3983,99.981
3982,99.98
3981,99.979
3980,99.978
3979,99.977
3978,99.975
3977,99.975
3976,99.976
3975,99.979
3974,99.98
3973,99.98
3972,99.978
3971,99.976
3970,99.974
3969,99.974
3968,99.975
3967,99.976
3966,99.976
3965,99.975
3964,99.974
3963,99.972
3962,99.973
3961,99.974
3960,99.975
3959,99.975
3958,99.974
3957,99.975
3956,99.977
3955,99.981
3954,99.985
3953,99.987
3952,99.985
3951,99.979
3950,99.972
3949,99.968
3948,99.97
3947,99.975
3946,99.98
3945,99.982
3944,99.98
3943,99.978
3942,99.976
3941,99.975
3940,99.973
3939,99.971
3938,99.97
3937,99.97
3936,99.97
3935,99.969
3934,99.968
3933,99.969
3932,99.974
3931,99.98
3930,99.985
3929,99.989
3928,99.993
3927,99.994
3926,99.991
3925,99.985
3924,99.982
3923,99.98
3922,99.977
3921,99.972
3920,99.967
3919,99.964
3918,99.963
3917,99.964
3916,99.965
3915,99.968
3914,99.969
3913,99.97
3912,99.97
3911,99.973
3910,99.977
3909,99.981
3908,99.984
3907,99.986
3906,99.983
3905,99.975
3904,99.966
3903,99.966
3902,99.972
3901,99.98
3900,99.982
3899,99.98
3898,99.977
3897,99.975
3896,99.974
3895,99.974
3894,99.976
3893,99.978
3892,99.975
3891,99.965
3890,99.955
3889,99.954
3888,99.959
3887,99.963
3886,99.966
3885,99.97
3884,99.979
3883,99.986
3882,99.988
3881,99.985
3880,99.981
3879,99.978
3878,99.981
3877,99.988
3876,99.99
3875,99.984
3874,99.976
3873,99.973
3872,99.971
3871,99.966
3870,99.961
3869,99.96
3868,99.968
3867,99.978
3866,99.98
3865,99.977
3864,99.976
3863,99.976
3862,99.976
3861,99.974
3860,99.968
3859,99.953
3858,99.937
3857,99.929
3856,99.935
3855,99.936
3854,99.926
3853,99.92
3852,99.927
3851,99.942
3850,99.956
3849,99.965
3848,99.971
3847,99.976
3846,99.98
3845,99.984
3844,99.987
3843,99.987
3842,99.983
3841,99.98
3840,99.981
3839,99.982
3838,99.981
3837,99.976
3836,99.972
3835,99.972
3834,99.974
3833,99.974
3832,99.974
3831,99.974
3830,99.978
3829,99.984
3828,99.988
3827,99.985
3826,99.977
3825,99.973
3824,99.977
3823,99.981
3822,99.977
3821,99.967
3820,99.958
3819,99.958
3818,99.963
3817,99.962
3816,99.957
3815,99.956
3814,99.962
3813,99.968
3812,99.966
3811,99.959
3810,99.956
3809,99.96
3808,99.962
3807,99.958
3806,99.954
3805,99.958
3804,99.968
3803,99.975
3802,99.977
3801,99.975
3800,99.974
3799,99.977
3798,99.978
3797,99.976
3796,99.974
3795,99.974
3794,99.976
3793,99.977
3792,99.978
3791,99.98
3790,99.983
3789,99.985
3788,99.987
3787,99.988
3786,99.988
3785,99.986
3784,99.985
3783,99.986
3782,99.988
3781,99.987
3780,99.983
3779,99.979
3778,99.978
3777,99.978
3776,99.978
3775,99.974
3774,99.971
3773,99.972
3772,99.973
3771,99.974
3770,99.974
3769,99.977
3768,99.98
3767,99.981
3766,99.979
3765,99.976
3764,99.977
3763,99.982
3762,99.986
3761,99.986
3760,99.985
3759,99.986
3758,99.982
3757,99.971
3756,99.957
3755,99.945
3754,99.93
3753,99.912
3752,99.902
3751,99.903
3750,99.901
3749,99.892
3748,99.892
3747,99.906
3746,99.92
3745,99.923
3744,99.92
3743,99.925
3742,99.938
3741,99.947
3740,99.953
3739,99.959
3738,99.961
3737,99.957
3736,99.962
3735,99.979
3734,99.992
3733,99.988
3732,99.973
3731,99.957
3730,99.948
3729,99.944
3728,99.941
3727,99.942
3726,99.95
3725,99.961
3724,99.969
3723,99.975
3722,99.978
3721,99.979
3720,99.98
3719,99.979
3718,99.974
3717,99.965
3716,99.957
3715,99.953
3714,99.947
3713,99.936
3712,99.926
3711,99.924
3710,99.93
3709,99.942
3708,99.952
3707,99.958
3706,99.963
3705,99.97
3704,99.978
3703,99.982
3702,99.979
3701,99.97
3700,99.96
3699,99.953
3698,99.947
3697,99.942
3696,99.937
3695,99.933
3694,99.929
3693,99.926
3692,99.931
3691,99.939
3690,99.943
3689,99.934
3688,99.917
3687,99.904
3686,99.899
3685,99.9
3684,99.901
3683,99.902
3682,99.902
3681,99.896
3680,99.883
3679,99.871
3678,99.867
3677,99.864
3676,99.862
3675,99.86
3674,99.859
3673,99.864
3672,99.867
3671,99.864
3670,99.862
3669,99.862
3668,99.861
3667,99.861
3666,99.859
3665,99.856
3664,99.855
3663,99.854
3662,99.852
3661,99.846
3660,99.84
3659,99.837
3658,99.836
3657,99.834
3656,99.831
3655,99.829
3654,99.832
3653,99.836
3652,99.836
3651,99.834
3650,99.836
3649,99.837
3648,99.836
3647,99.833
3646,99.83
3645,99.825
3644,99.819
3643,99.814
3642,99.811
3641,99.81
3640,99.807
3639,99.802
3638,99.797
3637,99.793
