Wavenumber [cm-1],% Transmittance
4000,99.978
3999,99.978
3998,99.978
3997,99.978
3996,99.978
3995,99.978
3994,99.978
3993,99.978
3992,99.977
3991,99.977
3990,99.977
3989,99.977
3988,99.976
3987,99.976
3986,99.975
3985,99.975
3984,99.976
3983,99.977
3982,99.977
3981,99.976
3980,99.974
3979,99.973
3978,99.972
3977,99.972
3976,99.973
3975,99.974
3974,99.974
3973,99.974
3972,99.974
3971,99.973
3970,99.972
3969,99.972
3968,99.972
3967,99.972
3966,99.973
3965,99.974
3964,99.974
3963,99.974
3962,99.974
3961,99.974
3960,99.974
3959,99.973
3958,99.972
3957,99.972
3956,99.972
3955,99.971
3954,99.97
3953,99.97
3952,99.969
3951,99.969
3950,99.969
3949,99.97
3948,99.97
3947,99.97
3946,99.97
3945,99.971
3944,99.971
3943,99.971
3942,99.97
3941,99.968
3940,99.966
3939,99.965
3938,99.965
3937,99.967
3936,99.968
3935,99.969
3934,99.969
3933,99.969
3932,99.969
3931,99.969
3930,99.97
3929,99.97
3928,99.97
3927,99.969
3926,99.969
3925,99.968
3924,99.968
3923,99.968
3922,99.967
3921,99.967
3920,99.967
3919,99.967
3918,99.968
3917,99.968
3916,99.968
3915,99.969
3914,99.969
3913,99.969
3912,99.968
3911,99.968
3910,99.967
3909,99.966
3908,99.966
3907,99.966
3906,99.966
3905,99.966
3904,99.966
3903,99.966
3902,99.967
3901,99.968
3900,99.969
3899,99.969
3898,99.968
3897,99.967
3896,99.967
3895,99.967
3894,99.966
3893,99.965
3892,99.965
3891,99.966
3890,99.966
3889,99.965
3888,99.964
3887,99.963
3886,99.963
3885,99.965
3884,99.966
3883,99.967
3882,99.966
3881,99.966
3880,99.966
3879,99.967
3878,99.968
3877,99.967
3876,99.966
3875,99.965
3874,99.964
3873,99.963
3872,99.962
3871,99.961
3870,99.962
3869,99.963
3868,99.963
3867,99.963
3866,99.963
3865,99.964
3864,99.965
3863,99.965
3862,99.965
3861,99.964
3860,99.963
3859,99.963
3858,99.963
3857,99.964
3856,99.964
3855,99.963
3854,99.961
3853,99.959
3852,99.959
3851,99.959
3850,99.96
3849,99.961
3848,99.962
3847,99.962
3846,99.962
3845,99.961
3844,99.961
3843,99.961
3842,99.961
3841,99.962
3840,99.962
3839,99.962
3838,99.962
3837,99.962
3836,99.962
