Wavenumber [cm-1],% Transmittance
4000,99.632
3999,99.632
3998,99.632
3997,99.633
3996,99.634
3995,99.634
3994,99.634
3993,99.633
3992,99.632
3991,99.631
3990,99.632
3989,99.633
3988,99.633
3987,99.632
3986,99.631
3985,99.631
3984,99.631
3983,99.631
3982,99.631
3981,99.631
3980,99.63
3979,99.628
3978,99.626
3977,99.626
3976,99.627
3975,99.629
3974,99.631
3973,99.632
3972,99.631
3971,99.63
3970,99.63
3969,99.63
3968,99.63
3967,99.63
3966,99.629
3965,99.628
3964,99.627
3963,99.626
3962,99.627
3961,99.627
3960,99.628
3959,99.627
3958,99.627
3957,99.627
3956,99.628
3955,99.629
3954,99.631
3953,99.631
3952,99.629
3951,99.627
3950,99.625
3949,99.625
3948,99.626
3947,99.628
3946,99.629
3945,99.629
3944,99.627
3943,99.626
3942,99.626
3941,99.625
3940,99.623
3939,99.623
3938,99.624
3937,99.626
3936,99.627
3935,99.627
3934,99.626
3933,99.626
3932,99.628
3931,99.63
3930,99.632
3929,99.634
3928,99.635
3927,99.635
3926,99.633
3925,99.631
3924,99.63
3923,99.63
3922,99.63
3921,99.629
3920,99.628
3919,99.627
3918,99.627
3917,99.626
3916,99.626
3915,99.625
3914,99.625
3913,99.625
3912,99.625
3911,99.626
3910,99.627
3909,99.628
3908,99.63
3907,99.631
3906,99.632
3905,99.632
3904,99.632
3903,99.632
3902,99.634
3901,99.636
3900,99.636
3899,99.634
3898,99.631
3897,99.628
3896,99.626
3895,99.625
3894,99.625
3893,99.627
3892,99.628
3891,99.626
3890,99.622
3889,99.621
3888,99.623
3887,99.625
3886,99.626
3885,99.627
3884,99.629
3883,99.631
3882,99.632
3881,99.633
3880,99.632
3879,99.63
3878,99.629
3877,99.629
3876,99.63
3875,99.628
3874,99.624
3873,99.622
3872,99.621
3871,99.622
3870,99.622
3869,99.621
3868,99.622
3867,99.625
3866,99.626
3865,99.627
3864,99.629
3863,99.631
3862,99.63
3861,99.629
3860,99.625
3859,99.619
3858,99.613
3857,99.608
3856,99.607
3855,99.608
3854,99.608
3853,99.607
3852,99.608
3851,99.612
3850,99.618
3849,99.621
3848,99.623
3847,99.624
3846,99.625
3845,99.626
3844,99.628
3843,99.628
3842,99.626
3841,99.625
3840,99.626
3839,99.627
3838,99.627
3837,99.625
3836,99.622
3835,99.622
3834,99.624
3833,99.626
3832,99.627
3831,99.627
3830,99.627
3829,99.628
3828,99.63
3827,99.63
3826,99.627
3825,99.624
3824,99.624
3823,99.625
3822,99.625
3821,99.622
3820,99.616
3819,99.614
3818,99.616
3817,99.618
3816,99.618
3815,99.618
3814,99.621
3813,99.623
3812,99.622
3811,99.618
3810,99.614
3809,99.614
3808,99.616
3807,99.616
3806,99.614
3805,99.613
3804,99.615
3803,99.62
3802,99.623
3801,99.623
3800,99.621
3799,99.622
3798,99.624
3797,99.626
3796,99.626
3795,99.626
3794,99.626
3793,99.626
3792,99.627
3791,99.628
3790,99.629
3789,99.629
3788,99.628
3787,99.627
3786,99.628
3785,99.628
3784,99.627
3783,99.625
3782,99.625
3781,99.625
3780,99.626
