Wavenumber [cm-1],% Transmittance
4000,99.84
3999,99.838
3998,99.836
3997,99.833
3996,99.831
3995,99.829
3994,99.825
3993,99.822
3992,99.818
3991,99.813
3990,99.809
3989,99.804
3988,99.799
3987,99.793
3986,99.788
3985,99.784
3984,99.779
3983,99.775
3982,99.772
3981,99.77
3980,99.769
3979,99.767
3978,99.765
3977,99.763
3976,99.762
3975,99.761
3974,99.761
3973,99.761
3972,99.76
3971,99.758
3970,99.757
3969,99.756
3968,99.756
3967,99.756
3966,99.756
3965,99.755
3964,99.755
3963,99.754
3962,99.752
3961,99.751
3960,99.749
3959,99.747
3958,99.745
3957,99.743
3956,99.741
3955,99.74
3954,99.739
3953,99.739
3952,99.737
3951,99.733
3950,99.729
3949,99.725
3948,99.723
3947,99.722
3946,99.72
3945,99.717
3944,99.714
3943,99.711
3942,99.709
3941,99.706
3940,99.702
3939,99.696
3938,99.691
3937,99.686
3936,99.681
3935,99.673
3934,99.664
3933,99.655
3932,99.649
3931,99.645
3930,99.643
3929,99.641
3928,99.639
3927,99.635
3926,99.63
3925,99.625
3924,99.622
3923,99.619
3922,99.617
3921,99.613
3920,99.608
3919,99.603
3918,99.599
3917,99.596
3916,99.593
3915,99.59
3914,99.587
3913,99.585
3912,99.584
3911,99.584
3910,99.586
3909,99.588
3908,99.592
3907,99.595
3906,99.598
3905,99.598
3904,99.598
3903,99.598
3902,99.597
3901,99.596
3900,99.593
3899,99.59
3898,99.587
3897,99.584
3896,99.581
3895,99.578
3894,99.574
3893,99.572
3892,99.571
3891,99.571
3890,99.571
3889,99.571
3888,99.571
3887,99.57
3886,99.569
3885,99.57
3884,99.571
3883,99.571
3882,99.568
3881,99.565
3880,99.563
3879,99.56
3878,99.558
3877,99.555
3876,99.552
3875,99.55
3874,99.55
3873,99.551
3872,99.552
3871,99.553
3870,99.555
3869,99.558
3868,99.561
3867,99.562
3866,99.56
3865,99.559
3864,99.559
3863,99.56
3862,99.56
3861,99.559
3860,99.556
3859,99.554
3858,99.552
3857,99.552
3856,99.551
3855,99.547
3854,99.545
3853,99.544
3852,99.542
3851,99.54
3850,99.538
3849,99.537
3848,99.535
3847,99.533
3846,99.531
3845,99.53
3844,99.529
3843,99.528
3842,99.527
3841,99.525
3840,99.524
3839,99.523
3838,99.521
3837,99.519
3836,99.516
3835,99.512
3834,99.509
3833,99.505
3832,99.502
3831,99.498
3830,99.495
3829,99.492
3828,99.49
3827,99.488
3826,99.486
3825,99.484
3824,99.482
3823,99.479
3822,99.477
3821,99.475
3820,99.472
3819,99.471
3818,99.47
3817,99.467
3816,99.465
3815,99.463
3814,99.463
3813,99.463
3812,99.462
3811,99.459
3810,99.458
3809,99.459
3808,99.461
3807,99.463
3806,99.464
