Wavenumber [cm-1],Raman Intensity
160.07,13770.33
162.55,13885.33
165.03,14049
167.5,14233.33
169.97,14421.67
172.45,14547.33
174.92,14699
177.39,14849.67
179.86,14926
182.33,15096
184.8,15248
187.27,15436.33
189.74,15467.33
192.2,15545.67
194.67,15663
197.14,15682.67
199.6,15713.67
202.06,15677.33
204.53,15749.33
206.99,15753.33
209.45,15522.1
211.91,15581.72
214.37,15636.93
216.83,15689.05
219.29,15736.86
221.74,15779.5
224.2,15819.72
226.65,15857.06
229.11,15889.67
231.56,15921.02
234.02,15947.68
236.47,15970.02
238.92,15987.99
241.37,16003.54
243.82,16017.54
246.27,16028.84
248.72,16040.14
251.16,16048.54
253.61,16058.25
256.06,16066.11
258.5,16072.91
260.95,16078.44
263.39,16083.72
265.83,16087.81
268.27,16094.11
270.71,16101.39
273.15,16107.06
275.59,16112.22
278.03,16117.36
280.47,16121.08
282.91,16122.8
285.34,16121.98
287.78,16121.83
290.21,16121.93
292.64,16117.15
295.08,16115.06
297.51,16110.57
299.94,16106.98
302.37,16101.15
304.8,16096.24
307.23,16089.85
309.66,16083.43
312.08,16076.46
314.51,16072.61
316.94,16065.79
319.36,16058.99
321.78,16053.91
324.21,16047.72
326.63,16040.98
329.05,16038.22
331.47,16032.87
333.89,16028.8
336.31,16025.46
338.73,16021.36
341.15,16018.54
343.56,16015.83
345.98,16013.35
348.39,16008.68
350.81,16007.42
353.22,16005.46
355.63,16003.31
358.04,16000.45
360.46,15998.19
362.87,15994.6
365.27,15992.23
367.68,15986.13
370.09,15980.32
372.5,15976.16
374.9,15970.38
377.31,15964.61
379.71,15959.09
382.12,15953.02
384.52,15948.56
386.92,15940.46
389.32,15933.14
391.72,15927.75
394.12,15920.67
396.52,15916.61
398.92,15909.13
401.32,15904.79
403.71,15898.92
406.11,15893.85
408.5,15888.67
410.9,15884.6
413.29,15876.89
415.68,15871.81
418.07,15864.79
420.46,15856.13
422.85,15847.75
425.24,15839.56
427.63,15826.76
430.02,15818.12
432.4,15807.1
434.79,15794.89
437.17,15784.15
439.56,15773.14
441.94,15760.28
444.32,15747.59
446.71,15736.23
449.09,15723.65
451.47,15711.48
453.85,15699.64
456.22,15690.09
458.6,15678.32
460.98,15668.68
463.35,15656.8
465.73,15648.1
468.1,15638.28
470.48,15627.85
472.85,15619.7
475.22,15608.5
477.59,15594.77
479.96,15582.73
482.33,15568.54
484.7,15556.88
487.07,15541.23
489.44,15528.47
491.8,15514.93
494.17,15499.51
496.53,15487.39
498.9,15471.6
501.26,15458.12
503.62,15439.83
505.98,15423.71
508.34,15406.32
510.7,15392.7
513.06,15377.05
515.42,15363.06
517.78,15348.76
520.14,15333.15
522.49,15316.78
524.85,15303.2
527.2,15284.36
529.55,15268.2
531.91,15253.41
534.26,15238.62
536.61,15222.41
538.96,15206.84
541.31,15189.9
543.66,15173.05
546,15154.01
548.35,15134.19
550.7,15113.25
553.04,15093.34
555.39,15073.82
557.73,15052.61
560.07,15032.96
562.41,15011.3
564.76,14991.1
567.1,14968.47
569.44,14947.09
571.77,14928.76
574.11,14910.46
576.45,14892.38
578.79,14871.81
581.12,14851.11
583.46,14835.38
585.79,14814.54
588.12,14795.63
590.46,14775.93
592.79,14754.88
595.12,14732.98
597.45,14712.8
599.78,14693.92
602.1,14674.22
604.43,14654.43
606.76,14633.46
609.08,14614.04
611.41,14594.85
613.73,14575.2
616.06,14555.43
618.38,14535.53
620.7,14512.57
623.02,14492.49
625.34,14470.48
627.66,14447.65
629.98,14423.93
632.3,14403.24
634.61,14382.85
636.93,14362.95
639.25,14343.41
641.56,14323.21
643.87,14304.45
646.19,14287.76
648.5,14268.15
650.81,14251.96
653.12,14235.74
655.43,14218.68
657.74,14200.76
660.05,14182.75
662.35,14163.72
664.66,14145.69
666.97,14124.69
669.27,14106.09
671.57,14084.42
673.88,14065.85
676.18,14048.45
678.48,14027.1
680.78,14007.76
683.08,13987.99
685.38,13968.8
687.68,13949.53
689.98,13931.63
692.27,13912.24
694.57,13892.43
696.86,13871.45
699.16,13850.26
701.45,13828.22
703.74,13808.07
706.04,13787.89
708.33,13767.23
710.62,13748.65
712.91,13729.75
715.2,13712.15
717.48,13695.13
719.77,13678.24
722.06,13663.26
724.34,13645.98
726.63,13627.76
728.91,13611.47
731.19,13594.28
733.48,13576.61
735.76,13560.86
738.04,13543.67
740.32,13524.56
742.6,13507.27
744.87,13486.41
747.15,13466.44
749.43,13448.09
751.7,13429.8
753.98,13411.8
756.25,13394.2
758.53,13374.79
760.8,13356.59
763.07,13336.85
765.34,13320.22
767.61,13302.1
769.88,13284.02
772.15,13265.97
774.42,13248.53
776.68,13230.53
778.95,13212.91
781.21,13195.25
783.48,13179.04
785.74,13161.63
788,13143.88
790.27,13127.71
792.53,13112.59
794.79,13097.38
797.05,13080.17
799.31,13062.95
801.56,13047.8
803.82,13031.51
806.08,13016.88
808.33,13001.06
810.59,12984.77
812.84,12968.27
815.1,12951.31
817.35,12936.02
819.6,12921.65
821.85,12905.8
824.1,12889.83
826.35,12871.67
828.6,12853.78
830.84,12837.37
833.09,12819.66
835.34,12802.33
837.58,12788.77
839.83,12772.89
842.07,12754.8
844.31,12736.49
846.55,12718.48
848.8,12703.81
851.04,12686.56
853.27,12670.78
855.51,12654.92
857.75,12636.89
859.99,12618.42
862.22,12599.78
864.46,12583.85
866.69,12565.78
868.93,12550.04
871.16,12532.58
873.39,12517.6
875.63,12501.33
877.86,12484.76
880.09,12469.18
882.31,12453.75
884.54,12437.32
886.77,12423.46
889,12408.53
891.22,12393.52
893.45,12376.74
895.67,12358.38
897.9,12336.64
900.12,12318.35
902.34,12300.98
904.56,12284.34
906.78,12267.45
909,12249.22
911.22,12229.02
913.44,12208.36
915.65,12185.68
917.87,12166.15
920.08,12147.19
922.3,12129.19
924.51,12114.41
926.73,12098.02
928.94,12078.35
931.15,12059.17
933.36,12039.51
935.57,12022.54
937.78,12004.4
939.99,11986.04
942.19,11970.09
944.4,11954.36
946.61,11936.55
948.81,11921.1
951.02,11906.17
953.22,11889.86
955.42,11872.83
957.62,11855.98
959.82,11837.58
962.02,11822.02
964.22,11803.9
966.42,11787.49
968.62,11770.23
970.82,11753.13
973.01,11736.02
975.21,11719.16
977.4,11700.24
979.6,11683.31
981.79,11665.68
983.98,11650.5
986.17,11635.89
988.36,11623.37
990.55,11609.62
992.74,11594.22
994.93,11577.08
997.12,11559.44
999.3,11542.77
1001.49,11528.72
1003.67,11513.51
1005.86,11503.59
1008.04,11491.2
1010.22,11478.99
1012.41,11463.47
1014.59,11446.98
1016.77,11431.04
1018.95,11416.81
1021.12,11404.63
1023.3,11393.71
1025.48,11381.03
1027.66,11367.74
1029.83,11354.81
1032.01,11338.84
1034.18,11322.91
1036.35,11308.12
1038.52,11293.09
1040.7,11279.91
1042.87,11265.8
1045.04,11251.47
1047.2,11237.39
1049.37,11222.97
1051.54,11207.88
1053.71,11191.88
1055.87,11176.16
1058.04,11160.24
1060.2,11147.54
1062.36,11133.58
1064.53,11119.2
1066.69,11104.64
1068.85,11086.56
1071.01,11070.12
1073.17,11051.2
1075.33,11033.44
1077.49,11016.32
1079.64,10998.63
1081.8,10981.2
1083.95,10964.12
1086.11,10950.59
1088.26,10935.41
1090.42,10918.7
1092.57,10901.8
1094.72,10880.83
1096.87,10863.74
1099.02,10846.43
1101.17,10829.59
1103.32,10814.39
1105.47,10800.07
1107.61,10784.41
1109.76,10767.67
1111.9,10752.66
1114.05,10737.3
1116.19,10722.24
1118.33,10706.06
1120.47,10692.01
1122.62,10676.23
1124.76,10662.36
1126.9,10646.67
1129.03,10630.27
1131.17,10615.17
1133.31,10600.51
1135.45,10586.16
1137.58,10571.69
1139.72,10556.8
1141.85,10542.6
1143.98,10526.78
1146.12,10513.37
1148.25,10498.58
1150.38,10483.94
1152.51,10471.17
1154.64,10458.82
1156.77,10448.15
1158.89,10435.09
1161.02,10422.45
1163.15,10410.33
1165.27,10396.98
1167.4,10383.75
1169.52,10372.3
1171.64,10361.39
1173.76,10348.08
1175.88,10335.63
1178.01,10322.85
1180.13,10311.67
1182.24,10303.4
1184.36,10292.14
1186.48,10282.33
1188.6,10270.9
1190.71,10260.5
1192.83,10248.12
1194.94,10237.64
1197.05,10228.05
1199.17,10216.93
1201.28,10206.93
1203.39,10197.75
1205.5,10187.93
1207.61,10177.92
1209.72,10170.01
1211.82,10159.4
1213.93,10149.47
1216.04,10139.89
1218.14,10130.28
1220.25,10119.76
1222.35,10108.02
1224.45,10096.92
1226.56,10086.31
1228.66,10076.76
1230.76,10066.42
1232.86,10055.59
1234.96,10042.27
1237.06,10029.13
1239.15,10017.14
1241.25,10003.29
1243.35,9991.45
1245.44,9981.16
1247.54,9970.06
1249.63,9958.45
1251.72,9948.19
1253.81,9938.56
1255.91,9926.01
1258,9914.8
1260.09,9899.64
1262.17,9886.49
1264.26,9874.22
1266.35,9862.88
1268.44,9850.46
1270.52,9837.57
1272.61,9823.65
1274.69,9811.77
1276.77,9795.33
1278.86,9781.64
1280.94,9766.66
1283.02,9750.63
1285.1,9735.58
1287.18,9719.7
1289.26,9702.96
1291.34,9688.55
1293.41,9673.07
1295.49,9655.02
1297.56,9640.11
1299.64,9624.59
1301.71,9608.62
1303.79,9590.94
1305.86,9574.78
1307.93,9560.07
1310,9541.95
1312.07,9524.33
1314.14,9507.41
1316.21,9490.1
1318.28,9474.24
1320.34,9458.89
1322.41,9443.53
1324.47,9426.37
1326.54,9409.64
1328.6,9390.94
1330.66,9372.5
1332.73,9356
1334.79,9339.28
1336.85,9322.49
1338.91,9305.07
1340.97,9289.2
1343.03,9272.54
1345.08,9258.29
1347.14,9243.17
1349.19,9226.87
1351.25,9209.11
1353.3,9191.8
1355.36,9173.93
1357.41,9157.37
1359.46,9140.07
1361.51,9124.25
1363.56,9106.37
1365.61,9088.1
1367.66,9070.73
1369.71,9053.83
1371.76,9037.08
1373.8,9020.65
1375.85,9002.93
1377.89,8986.13
1379.94,8970.76
1381.98,8954.89
1384.02,8939.22
1386.07,8920.1
1388.11,8906.86
1390.15,8891.69
1392.19,8877.48
1394.22,8865.75
1396.26,8852.33
1398.3,8837.86
1400.34,8824.52
1402.37,8810.35
1404.41,8797.44
1406.44,8784.12
1408.47,8770.74
1410.51,8758.85
1412.54,8746.69
1414.57,8734.85
1416.6,8721.55
1418.63,8707.89
1420.66,8694.17
1422.68,8680.93
1424.71,8667.94
1426.74,8653.56
1428.76,8638.97
1430.79,8624.62
1432.81,8608.02
1434.83,8592
1436.85,8575.11
1438.88,8558.84
1440.9,8539.49
1442.92,8523.16
1444.94,8506.34
1446.95,8489.04
1448.97,8471.97
1450.99,8454.97
1453,8436.5
1455.02,8417.52
1457.03,8399.75
1459.05,8380.66
1461.06,8362.41
1463.07,8343.98
1465.08,8325.15
1467.09,8307.01
1469.1,8289.93
1471.11,8269.96
1473.12,8250.51
1475.13,8231.42
1477.13,8210.55
1479.14,8191.21
1481.15,8171.67
1483.15,8150.23
1485.15,8127.33
1487.16,8105.53
1489.16,8083.73
1491.16,8062.23
1493.16,8039.75
1495.16,8018.07
1497.16,7994.6
1499.16,7972.13
1501.15,7950.99
1503.15,7929.58
1505.15,7907.47
1507.14,7885.77
1509.14,7865.71
1511.13,7845.55
1513.12,7826.31
1515.11,7809.37
1517.1,7790.8
1519.09,7772.72
1521.08,7755
1523.07,7739.02
1525.06,7720.41
1527.05,7701.03
1529.03,7684.17
1531.02,7665.51
1533.01,7646.93
1534.99,7630.2
1536.97,7612
1538.96,7593.29
1540.94,7576.15
1542.92,7557.35
1544.9,7540.04
1546.88,7522.44
1548.86,7503.57
1550.84,7488.8
1552.81,7471.83
1554.79,7454.57
1556.76,7437.2
1558.74,7422.56
1560.71,7405.48
1562.69,7390.27
1564.66,7375.11
1566.63,7360.37
1568.6,7345.85
1570.57,7330.16
1572.54,7313.82
1574.51,7297.35
1576.48,7280.21
1578.45,7263.94
1580.41,7246.95
1582.38,7230.79
1584.34,7214.27
1586.31,7198.61
1588.27,7182.54
1590.23,7167.3
1592.19,7150.33
1594.16,7133.13
1596.12,7116.18
1598.07,7102.09
1600.03,7087.55
1601.99,7073.67
1603.95,7058.76
1605.9,7045.28
1607.86,7031.86
1609.82,7017.98
1611.77,7004.37
1613.72,6991.07
1615.68,6977.26
1617.63,6963.14
1619.58,6949
1621.53,6933.02
1623.48,6918.9
1625.43,6903.24
1627.37,6887.03
1629.32,6874.25
1631.27,6859.11
1633.21,6842.8
1635.16,6828.98
1637.1,6813.74
1639.05,6797.49
1640.99,6782.43
1642.93,6766.07
1644.87,6750.38
1646.81,6734.15
1648.75,6718.09
1650.69,6702.32
1652.63,6685.8
1654.56,6669.86
1656.5,6652.98
1658.44,6636.07
1660.37,6620.11
1662.31,6602.07
1664.24,6583.25
1666.17,6563.59
1668.1,6541.93
1670.03,6521.15
1671.96,6501.83
1673.89,6480.24
1675.82,6459.46
1677.75,6438.2
1679.68,6418.02
1681.6,6397.67
1683.53,6377.89
1685.46,6357.5
1687.38,6339.3
1689.3,6319.42
1691.23,6301.3
1693.15,6282.21
1695.07,6261.34
1696.99,6242.65
1698.91,6223.96
1700.83,6204.63
1702.75,6183.82
1704.66,6163.69
1706.58,6144.31
1708.5,6122.5
1710.41,6101.62
1712.32,6081.32
1714.24,6059.2
1716.15,6038.61
1718.06,6017.9
1719.97,5997.81
1721.88,5977.39
1723.79,5958.37
1725.7,5940.75
1727.61,5921.5
1729.52,5903.37
1731.43,5886.49
1733.33,5870.02
1735.24,5854.75
1737.14,5838.98
1739.04,5823.33
1740.95,5808.64
1742.85,5793.13
1744.75,5777.67
1746.65,5764.53
1748.55,5748.12
1750.45,5731.15
1752.35,5716.43
1754.25,5701.76
1756.14,5685.58
1758.04,5667.92
1759.93,5650.63
1761.83,5632.88
1763.72,5615.95
1765.61,5598.89
1767.51,5581.8
1769.4,5565.27
1771.29,5547.97
1773.18,5531.67
1775.07,5517.02
1776.96,5501.91
1778.84,5489.15
1780.73,5476.76
1782.62,5464.18
1784.5,5450.28
1786.39,5436.57
1788.27,5422.41
1790.15,5409.93
1792.04,5395.01
1793.92,5379.98
1795.8,5364.76
1797.68,5349.11
1799.56,5333.8
1801.44,5317.47
1803.32,5301.63
1805.19,5285.81
1807.07,5269.08
1808.94,5251.89
1810.82,5234.59
1812.69,5217.45
1814.57,5201.46
1816.44,5186.36
1818.31,5171.41
1820.18,5156.1
1822.05,5142.25
1823.92,5127.19
1825.79,5115.07
1827.66,5103.07
1829.53,5089.24
1831.39,5075.27
1833.26,5061.85
1835.12,5048.98
1836.99,5035.87
1838.85,5020.76
1840.71,5005.71
1842.58,4989.37
1844.44,4974.11
1846.3,4957.15
1848.16,4942.46
1850.02,4927.46
1851.87,4911.15
1853.73,4895.16
1855.59,4879.74
1857.44,4863.98
1859.3,4848.35
1861.15,4832.68
1863.01,4818.72
1864.86,4804.89
1866.71,4790.69
1868.56,4777.94
1870.41,4763.39
1872.26,4750.46
1874.11,4736.37
1875.96,4722.45
1877.81,4709.76
1879.66,4694.72
1881.5,4679.02
1883.35,4664.69
1885.19,4650.72
1887.04,4636.85
1888.88,4623.98
1890.72,4609.75
1892.56,4595.15
1894.41,4580.6
1896.25,4567.59
1898.09,4553.05
1899.92,4538.83
1901.76,4523.61
1903.6,4509.5
1905.44,4496.9
1907.27,4482.76
1909.11,4469.02
1910.94,4455.59
1912.77,4441.44
1914.61,4430.35
1916.44,4416.72
1918.27,4404.11
1920.1,4389.53
1921.93,4377.09
1923.76,4364.12
1925.59,4350.52
1927.41,4337.11
1929.24,4323.15
1931.07,4309.49
1932.89,4295.11
1934.72,4281.53
1936.54,4268.18
1938.36,4253.97
1940.19,4239.04
1942.01,4226.67
1943.83,4213.45
1945.65,4201.48
1947.47,4187.53
1949.29,4174.91
1951.1,4162.67
1952.92,4149.85
1954.74,4138.25
1956.55,4126.71
1958.37,4113.85
1960.18,4101.55
1961.99,4089.32
1963.81,4075.72
1965.62,4061.54
1967.43,4048.66
1969.24,4035.07
1971.05,4021.46
1972.86,4007.07
1974.67,3992.81
1976.47,3978.11
1978.28,3963.8
1980.09,3949.84
1981.89,3937.04
1983.7,3923.36
1985.5,3909.12
1987.3,3896.73
1989.11,3884.12
1990.91,3873.02
1992.71,3861.02
1994.51,3849.59
1996.31,3837.53
1998.11,3825.86
1999.9,3814.65
2001.7,3802.03
2003.5,3789.56
2005.29,3775.66
2007.09,3762.98
2008.88,3749.24
2010.67,3735.57
2012.47,3721.81
2014.26,3708.2
2016.05,3692.21
2017.84,3677.94
2019.63,3663.63
2021.42,3651.39
2023.21,3638.7
2024.99,3625.04
2026.78,3612.69
2028.57,3599.25
2030.35,3587.3
2032.14,3576.48
2033.92,3564.37
2035.7,3552.31
2037.48,3540.93
2039.27,3530.29
2041.05,3518.03
2042.83,3505.11
2044.61,3492.59
2046.38,3480.28
2048.16,3468.02
2049.94,3455.72
2051.71,3443.4
2053.49,3429.6
2055.27,3416.11
2057.04,3402.8
2058.81,3391.21
2060.59,3378.69
2062.36,3365.26
2064.13,3352.62
2065.9,3340.27
2067.67,3328.89
2069.44,3317.56
2071.21,3305.23
2072.97,3294.22
2074.74,3283.77
2076.51,3273.16
2078.27,3262.07
2080.04,3251.01
2081.8,3238.87
2083.56,3228.46
2085.32,3216.51
2087.09,3205.62
2088.85,3196.04
2090.61,3185.28
2092.37,3173.27
2094.12,3161.41
2095.88,3147.96
2097.64,3134.87
2099.4,3121.08
2101.15,3109.84
2102.91,3098.63
2104.66,3085.99
2106.41,3074.72
2108.17,3063.33
2109.92,3051.93
2111.67,3040.89
2113.42,3029.44
2115.17,3018.59
