Wavenumber [cm-1],Raman Intensity
160.07,48769
162.55,49461
165.03,49884
167.5,50477.33
169.97,50842
172.45,51076
174.92,51693.33
177.39,52056.67
179.86,52513
182.33,53149.67
184.8,53546.33
187.27,53912
189.74,54237
192.2,54653.67
194.67,54874.67
197.14,55047.67
199.6,55167.33
202.06,55249.67
204.53,55245
206.99,55181
209.45,53798.94
211.91,53928.21
214.37,54032.78
216.83,54125.37
219.29,54200.58
221.74,54265.5
224.2,54322.82
226.65,54362.29
229.11,54392.2
231.56,54406.07
234.02,54402.18
236.47,54384.75
238.92,54353.68
241.37,54313.04
243.82,54258.73
246.27,54195.27
248.72,54124.56
251.16,54049.8
253.61,53967.58
256.06,53884.55
258.5,53794.46
260.95,53709.08
263.39,53624.29
265.83,53531.77
268.27,53442.82
270.71,53356.02
273.15,53262.99
275.59,53167.63
278.03,53071.95
280.47,52971.53
282.91,52869.82
285.34,52768.23
287.78,52664.1
290.21,52559.77
292.64,52452.89
295.08,52346.18
297.51,52239.93
299.94,52132.55
302.37,52028.18
304.8,51918.17
307.23,51810.36
309.66,51699.5
312.08,51584.34
314.51,51475.55
316.94,51366.24
319.36,51256.63
321.78,51147.83
324.21,51040.43
326.63,50932.44
329.05,50827.99
331.47,50724.27
333.89,50618.29
336.31,50519.44
338.73,50427.89
341.15,50332.84
343.56,50239.67
345.98,50150.92
348.39,50063.41
350.81,49975.32
353.22,49888.35
355.63,49798.44
358.04,49714.2
360.46,49628.45
362.87,49536.2
365.27,49451.6
367.68,49362.13
370.09,49270.39
372.5,49177.75
374.9,49086.85
377.31,49000.26
379.71,48914.93
382.12,48828.7
384.52,48738.95
386.92,48664.86
389.32,48580.15
391.72,48495.23
394.12,48410.99
396.52,48329.73
398.92,48245.07
401.32,48162.5
403.71,48082.55
406.11,48001.15
408.5,47922.14
410.9,47840.71
413.29,47759.03
415.68,47674.57
418.07,47587.91
420.46,47501.34
422.85,47411.66
425.24,47320.97
427.63,47230.13
430.02,47137.76
432.4,47051
434.79,46953.59
437.17,46854.85
439.56,46764.11
441.94,46672.05
444.32,46577.41
446.71,46477.76
449.09,46380.28
451.47,46283.81
453.85,46189.51
456.22,46095.21
458.6,45999.99
460.98,45905.17
463.35,45814.53
465.73,45719.46
468.1,45628.54
470.48,45538.62
472.85,45442.8
475.22,45347.77
477.59,45250.46
479.96,45150.51
482.33,45053.66
484.7,44943.39
487.07,44847.47
489.44,44741.64
491.8,44634.68
494.17,44525.77
496.53,44421.09
498.9,44316.75
501.26,44208.02
503.62,44102.7
505.98,43996.89
508.34,43895.2
510.7,43788.55
513.06,43687.69
515.42,43589.02
517.78,43490.32
520.14,43392.63
522.49,43294.68
524.85,43194.76
527.2,43101.82
529.55,43006.12
531.91,42913.1
534.26,42815.22
536.61,42714.3
538.96,42609.76
541.31,42505.86
543.66,42406.39
546,42304.63
548.35,42206.31
550.7,42111.16
553.04,42005.47
555.39,41903.02
557.73,41805.41
560.07,41699.19
562.41,41602.76
564.76,41503.67
567.1,41411.3
569.44,41323
571.77,41231.67
574.11,41141.81
576.45,41053.16
578.79,40966.25
581.12,40876.55
583.46,40777.54
585.79,40683.32
588.12,40590.76
590.46,40497.07
592.79,40404.46
595.12,40307.2
597.45,40214.47
599.78,40119.15
602.1,40024.41
604.43,39926.63
606.76,39830.01
609.08,39729.82
611.41,39631.41
613.73,39539.13
616.06,39442.49
618.38,39348.94
620.7,39257.37
623.02,39161.14
625.34,39060.39
627.66,38965.52
629.98,38872.4
632.3,38776.24
634.61,38685.7
636.93,38594.45
639.25,38504.47
641.56,38414.91
643.87,38322.24
646.19,38225.47
648.5,38144.86
650.81,38057.8
653.12,37970.88
655.43,37890.76
657.74,37806.5
660.05,37722.46
662.35,37636.77
664.66,37547.32
666.97,37464.97
669.27,37380.85
671.57,37301.1
673.88,37214.14
676.18,37126.98
678.48,37046.55
680.78,36969.33
683.08,36891.32
685.38,36810.21
687.68,36729
689.98,36646.33
692.27,36569.42
694.57,36489.88
696.86,36411.02
699.16,36336.78
701.45,36265.76
703.74,36197.08
706.04,36126.42
708.33,36053
710.62,35982.89
712.91,35915.17
715.2,35840.75
717.48,35773.26
