Wavenumber [cm-1],Raman Intensity
160.07,7753
162.55,7806
165.03,7885.33
167.5,8008
169.97,8097.33
172.45,8208.33
174.92,8264
177.39,8385
179.86,8453.67
182.33,8537.67
184.8,8634
187.27,8728.67
189.74,8765.33
192.2,8855.67
194.67,8919.67
197.14,8956.67
199.6,8942.67
202.06,8940.33
204.53,8937
206.99,9028
209.45,8843.33
211.91,8880.47
214.37,8915.59
216.83,8950.92
219.29,8983.68
221.74,9013.05
224.2,9038.82
226.65,9063.11
229.11,9083.74
231.56,9103.84
234.02,9121.12
236.47,9137.72
238.92,9150.93
241.37,9164.43
243.82,9175.73
246.27,9184.12
248.72,9191.33
251.16,9199.39
253.61,9206.87
256.06,9214.99
258.5,9220.07
260.95,9225.43
263.39,9229.27
265.83,9234.75
268.27,9239.43
270.71,9244.2
273.15,9247.77
275.59,9251.27
278.03,9256.06
280.47,9259.75
282.91,9263.51
285.34,9264.89
287.78,9265.87
290.21,9267.47
292.64,9268.45
295.08,9268.19
297.51,9268.49
299.94,9269.15
302.37,9266.49
304.8,9266.77
307.23,9265.66
309.66,9263.57
312.08,9263.6
314.51,9263.63
316.94,9260.37
319.36,9256.82
321.78,9254.7
324.21,9254.03
326.63,9254.06
329.05,9253.96
331.47,9252.57
333.89,9253.24
336.31,9251.67
338.73,9250.91
341.15,9249.29
343.56,9248.8
345.98,9249.29
348.39,9249.15
350.81,9249.12
353.22,9247.63
355.63,9246.2
358.04,9246.95
360.46,9246.33
362.87,9246.37
365.27,9246.47
367.68,9246.73
370.09,9245.72
372.5,9244.65
374.9,9243.27
377.31,9239.9
379.71,9235.78
382.12,9232.6
384.52,9230.15
386.92,9225.7
389.32,9221.86
391.72,9219.09
394.12,9218.32
396.52,9214.33
398.92,9210.17
401.32,9207.89
403.71,9204.22
406.11,9201.72
408.5,9200.57
410.9,9195.19
413.29,9190.44
415.68,9187.48
418.07,9183.72
420.46,9179.93
422.85,9175.46
425.24,9169.78
427.63,9165.68
430.02,9159.76
432.4,9154.01
434.79,9147.98
437.17,9142.42
439.56,9136.26
441.94,9128.84
444.32,9120.53
446.71,9113.14
449.09,9105.44
451.47,9100.79
453.85,9095.9
456.22,9089.61
458.6,9082.88
460.98,9077.55
463.35,9068.98
465.73,9061.55
468.1,9053.76
470.48,9047.88
472.85,9041.89
475.22,9036.27
477.59,9032.37
479.96,9024.72
482.33,9019.37
484.7,9013.2
487.07,9003.99
489.44,8996.43
491.8,8986.51
494.17,8978.72
496.53,8970.07
498.9,8960.41
501.26,8952.02
503.62,8942.42
505.98,8932.06
508.34,8924.03
510.7,8917.06
513.06,8907.49
515.42,8899.86
517.78,8890.59
520.14,8881.87
522.49,8874.19
524.85,8864.47
527.2,8856.14
529.55,8845.61
531.91,8836.72
534.26,8828.03
536.61,8819.37
538.96,8809.44
541.31,8801.14
543.66,8792.01
546,8780.44
548.35,8767.43
550.7,8754.63
553.04,8743.18
555.39,8732.29
557.73,8719.02
560.07,8709.45
562.41,8696.67
564.76,8684.72
567.1,8671.85
569.44,8660.61
571.77,8649.98
574.11,8636.92
576.45,8626.57
578.79,8613.25
581.12,8602.26
583.46,8592.98
585.79,8579.8
588.12,8568.46
590.46,8556.23
592.79,8546.19
595.12,8534.77
597.45,8522.54
599.78,8511.87
602.1,8501.98
604.43,8490.5
606.76,8477.79
609.08,8466.36
611.41,8455.3
613.73,8443.92
616.06,8431.58
618.38,8417.76
620.7,8402.89
623.02,8390.09
625.34,8379.33
627.66,8366.05
629.98,8352.34
632.3,8338.26
634.61,8325.77
636.93,8313.68
639.25,8301.47
641.56,8290.54
643.87,8280.5
646.19,8269.36
648.5,8255.59
650.81,8244.98
653.12,8235.65
655.43,8224.4
657.74,8215
660.05,8205.78
662.35,8194.6
664.66,8182.28
666.97,8168.2
669.27,8157.55
671.57,8144.03
673.88,8131.93
676.18,8119.73
678.48,8107.5
680.78,8097.02
683.08,8084.67
685.38,8073.32
687.68,8060.72
689.98,8048.85
692.27,8036.6
694.57,8024.44
696.86,8010.16
699.16,7996.98
701.45,7983.54
703.74,7970.16
706.04,7955.94
708.33,7942.61
710.62,7930.17
712.91,7919.37
715.2,7909.6
717.48,7898.33
719.77,7886.27
722.06,7876.13
724.34,7864.68
726.63,7852.93
728.91,7842.33
731.19,7832.24
733.48,7819.81
735.76,7808.63
738.04,7796.85
740.32,7784.69
742.6,7774.76
744.87,7761.43
747.15,7748.82
749.43,7735.76
751.7,7722.73
753.98,7710.41
756.25,7696.69
758.53,7684.99
760.8,7673.2
763.07,7661.24
765.34,7650.55
767.61,7639
769.88,7627.41
772.15,7616.14
774.42,7603.93
776.68,7592.63
778.95,7579.51
781.21,7567.98
783.48,7555.86
785.74,7544.13
788,7531.45
790.27,7521.45
792.53,7510.85
794.79,7501.13
797.05,7491.44
799.31,7480.87
801.56,7470.98
803.82,7461.36
806.08,7452.02
808.33,7440.8
810.59,7431.1
812.84,7419.77
815.1,7407.24
817.35,7396.97
819.6,7387.77
821.85,7377.4
824.1,7364.37
826.35,7355.3
828.6,7344.19
830.84,7333.26
833.09,7322.72
835.34,7310.59
837.58,7300.46
839.83,7288.51
842.07,7278.19
844.31,7267
846.55,7255.14
848.8,7246.99
851.04,7236.38
853.27,7226.13
855.51,7214.07
857.75,7203.2
859.99,7189.59
862.22,7177.24
864.46,7165.28
866.69,7155.07
868.93,7143.95
871.16,7134
873.39,7123.36
875.63,7113.85
877.86,7103.78
880.09,7093.63
882.31,7082.15
884.54,7070.81
886.77,7059.33
889,7047.83
891.22,7037.05
893.45,7026.32
895.67,7013.89
897.9,6999.78
900.12,6989.28
902.34,6977.05
904.56,6966.51
906.78,6955.95
909,6945.09
911.22,6931.98
913.44,6918.2
915.65,6904.76
917.87,6891.72
920.08,6880.22
922.3,6868.2
924.51,6858.83
926.73,6848.25
928.94,6836.69
931.15,6825.96
933.36,6813.2
935.57,6802.07
937.78,6791.29
939.99,6778.41
942.19,6766.33
944.4,6755.23
946.61,6744.83
948.81,6734.46
951.02,6726.74
953.22,6717.86
955.42,6707.08
957.62,6694.52
959.82,6683.08
962.02,6672.46
964.22,6662.42
966.42,6652.07
968.62,6641.37
970.82,6631.28
973.01,6621.89
975.21,6612.28
977.4,6602.25
979.6,6592.24
981.79,6581.11
983.98,6571.09
986.17,6561.4
988.36,6552.05
990.55,6541.72
992.74,6530.76
994.93,6519.68
997.12,6510
999.3,6499.05
1001.49,6490.61
1003.67,6482.09
1005.86,6474.84
1008.04,6466.59
1010.22,6457.97
1012.41,6449.46
1014.59,6438.02
1016.77,6428.07
1018.95,6418.63
1021.12,6409.91
1023.3,6402.11
1025.48,6394.19
1027.66,6385.09
1029.83,6377.87
1032.01,6368.41
1034.18,6359.24
1036.35,6349.07
1038.52,6337.82
1040.7,6328.25
1042.87,6317.67
1045.04,6309.15
1047.2,6300.16
1049.37,6291.17
1051.54,6281.64
1053.71,6270.59
1055.87,6259.61
1058.04,6249.19
1060.2,6238.48
1062.36,6228.12
1064.53,6218.71
1066.69,6209.44
1068.85,6199.46
1071.01,6189.97
1073.17,6179.15
1075.33,6169.77
1077.49,6159.15
1079.64,6149.39
1081.8,6139.94
1083.95,6130.15
1086.11,6120.39
1088.26,6110.39
1090.42,6100.63
1092.57,6089.77
1094.72,6078.95
1096.87,6067.85
1099.02,6056.39
1101.17,6044.36
1103.32,6035.38
1105.47,6025.53
1107.61,6015.91
1109.76,6006.8
1111.9,5997.29
1114.05,5987.46
1116.19,5977.68
1118.33,5968.15
1120.47,5958.04
1122.62,5947.73
1124.76,5938.16
1126.9,5929.86
1129.03,5920.14
1131.17,5911.95
1133.31,5903.04
1135.45,5895.48
1137.58,5887.26
1139.72,5878.54
1141.85,5870.2
1143.98,5862.64
1146.12,5854.18
1148.25,5846.78
1150.38,5837.38
1152.51,5828.77
1154.64,5820.54
1156.77,5812.84
1158.89,5805.04
1161.02,5796.9
1163.15,5788.49
1165.27,5782.66
1167.4,5774.93
1169.52,5767.9
1171.64,5761.02
1173.76,5752.97
1175.88,5746.56
1178.01,5738.57
1180.13,5731.65
1182.24,5724.17
1184.36,5716.05
1186.48,5709.55
1188.6,5703.85
1190.71,5695.8
1192.83,5689.02
1194.94,5680.8
1197.05,5673.03
1199.17,5664.95
1201.28,5658.24
1203.39,5652.82
1205.5,5644.72
1207.61,5640.28
1209.72,5634.86
1211.82,5629.53
1213.93,5622.5
1216.04,5614.96
1218.14,5607.78
1220.25,5599.88
1222.35,5591.91
1224.45,5584.44
1226.56,5578.94
1228.66,5571.12
1230.76,5563.67
1232.86,5557.72
1234.96,5548.73
1237.06,5542.15
1239.15,5533.76
1241.25,5526.63
1243.35,5519
1245.44,5510.74
1247.54,5505.12
1249.63,5497.79
1251.72,5489.7
1253.81,5483.02
1255.91,5474.98
1258,5466.19
1260.09,5457.74
1262.17,5448.24
1264.26,5441.06
1266.35,5434.02
1268.44,5427.02
1270.52,5420.7
1272.61,5412.79
1274.69,5405.22
1276.77,5396.84
1278.86,5389.12
1280.94,5381.47
1283.02,5373.62
1285.1,5365.47
1287.18,5357.02
1289.26,5347.6
1291.34,5339.52
1293.41,5330.22
1295.49,5322.13
1297.56,5312.83
1299.64,5304.57
1301.71,5296.89
1303.79,5286.93
1305.86,5278.14
1307.93,5268.72
1310,5258.16
1312.07,5246.91
1314.14,5238.53
1316.21,5230.16
1318.28,5220.16
1320.34,5212.14
1322.41,5203.26
1324.47,5194.41
1326.54,5184.11
1328.6,5175.24
1330.66,5166.28
1332.73,5155.57
1334.79,5145.07
1336.85,5135.86
1338.91,5126.86
1340.97,5117.67
1343.03,5108.96
1345.08,5101.33
1347.14,5093.2
1349.19,5083.37
1351.25,5074.03
1353.3,5064.72
1355.36,5055.31
1357.41,5046.06
1359.46,5036.11
1361.51,5027.7
1363.56,5017.76
1365.61,5008.85
1367.66,4998.09
1369.71,4988.74
1371.76,4978.24
1373.8,4967.92
1375.85,4958.76
1377.89,4949.32
1379.94,4939.42
1381.98,4930.24
1384.02,4921.82
1386.07,4910.02
1388.11,4901.67
1390.15,4893.67
1392.19,4886.5
1394.22,4879.33
1396.26,4870.63
1398.3,4862.6
1400.34,4854.27
1402.37,4845.72
1404.41,4837.93
1406.44,4830.25
1408.47,4822.94
1410.51,4815.59
1412.54,4807.74
1414.57,4800.21
1416.6,4792.59
1418.63,4784.73
1420.66,4776.57
1422.68,4768.72
1424.71,4762.1
1426.74,4755.01
1428.76,4746.4
1430.79,4737.46
1432.81,4729.32
1434.83,4720.72
1436.85,4711.47
1438.88,4702.2
1440.9,4691.28
1442.92,4683.75
1444.94,4673.99
1446.95,4663.98
1448.97,4653.07
1450.99,4643.63
1453,4635.11
1455.02,4625.1
1457.03,4615.11
1459.05,4604.89
1461.06,4595
1463.07,4584.93
1465.08,4575.7
1467.09,4566.25
1469.1,4559.13
1471.11,4550.54
1473.12,4539.28
1475.13,4527.78
1477.13,4517.43
1479.14,4507.44
1481.15,4496.49
1483.15,4484.77
1485.15,4473.43
1487.16,4461.67
1489.16,4449.23
1491.16,4437.68
1493.16,4426.57
1495.16,4415.09
1497.16,4403.12
1499.16,4391.37
1501.15,4380.72
1503.15,4368.2
1505.15,4356.76
1507.14,4344.19
1509.14,4333.43
1511.13,4323.32
1513.12,4313.26
1515.11,4302.77
1517.1,4291.68
1519.09,4282.37
1521.08,4272.19
1523.07,4264.36
1525.06,4253.21
1527.05,4242.9
1529.03,4233.53
1531.02,4225.03
1533.01,4216.39
1534.99,4206.09
1536.97,4197.12
1538.96,4187.67
1540.94,4176.89
1542.92,4166.11
1544.9,4156.14
1546.88,4145.41
1548.86,4135.07
1550.84,4125.03
1552.81,4114.94
1554.79,4105.6
1556.76,4097.02
1558.74,4088.75
1560.71,4079.25
1562.69,4069.84
1564.66,4061.26
1566.63,4053.14
1568.6,4045.6
1570.57,4037.43
1572.54,4028.19
1574.51,4018.56
1576.48,4008.83
1578.45,4000.21
1580.41,3991.59
1582.38,3982.24
1584.34,3973.5
1586.31,3963.5
1588.27,3954.71
1590.23,3945.94
1592.19,3934.76
1594.16,3925.62
1596.12,3915.7
1598.07,3907.28
1600.03,3899.37
1601.99,3890.76
1603.95,3881.56
1605.9,3873.37
1607.86,3865.51
1609.82,3857.68
1611.77,3848.75
1613.72,3840.49
