Wavenumber [cm-1],Raman Intensity
160.07,21689.67
162.55,22044.67
165.03,22092.67
167.5,22298.33
169.97,22452.67
172.45,22353.67
174.92,22648.67
177.39,22746
179.86,22855.67
182.33,23051.33
184.8,23207.67
187.27,23185.33
189.74,23307.67
192.2,23344.67
194.67,23447.33
197.14,23497.33
199.6,23416.67
202.06,23532
204.53,23539.33
206.99,23501
209.45,23284.71
211.91,23343.52
214.37,23391.31
216.83,23436.52
219.29,23480.77
221.74,23519.85
224.2,23559.87
226.65,23593.21
229.11,23627.72
231.56,23658.93
234.02,23683.9
236.47,23704.95
238.92,23729.52
241.37,23749.28
243.82,23769.17
246.27,23781.11
248.72,23793.57
251.16,23808.25
253.61,23820.08
256.06,23833.68
258.5,23843.75
260.95,23855.51
263.39,23872
265.83,23883.89
268.27,23902.46
270.71,23928.08
273.15,23945.07
275.59,23965.41
278.03,23989.01
280.47,24012.5
282.91,24033.72
285.34,24057.28
287.78,24080.96
290.21,24108.75
292.64,24137.42
295.08,24161.84
297.51,24185.75
299.94,24210.51
302.37,24233.28
304.8,24253.94
307.23,24272.3
309.66,24295.31
312.08,24309.82
314.51,24329.14
316.94,24352.22
319.36,24367.42
321.78,24385.33
324.21,24402.36
326.63,24417.4
329.05,24433.51
331.47,24449.1
333.89,24463.56
336.31,24478.28
338.73,24494.35
341.15,24507.73
343.56,24518.93
345.98,24537.52
348.39,24556.49
350.81,24573.09
353.22,24589.32
355.63,24603.07
358.04,24618.63
360.46,24637.25
362.87,24650.86
365.27,24669.3
367.68,24681.16
370.09,24690.89
372.5,24703.47
374.9,24713.2
377.31,24724.96
379.71,24732.76
382.12,24741.37
384.52,24743.89
386.92,24758.43
389.32,24764.14
391.72,24767.41
394.12,24769.59
396.52,24777.24
398.92,24787.08
401.32,24796.92
403.71,24808.68
406.11,24824.05
408.5,24836.22
410.9,24850.31
413.29,24863.76
415.68,24868.25
418.07,24876.96
420.46,24884.11
422.85,24892.11
425.24,24899.66
427.63,24904.56
430.02,24906.53
432.4,24915.02
434.79,24923.67
437.17,24923.2
439.56,24933.19
441.94,24940.92
444.32,24948.42
446.71,24948.29
