Wavenumber [cm-1],Raman Intensity
160.07,8551.33
162.55,8574
165.03,8636
167.5,8701.67
169.97,8753
172.45,8862
174.92,8896.33
177.39,8925.67
179.86,9005.33
182.33,8992.67
184.8,9113.33
187.27,9170
189.74,9199.33
192.2,9227.33
194.67,9205.67
197.14,9245
199.6,9282.67
202.06,9289.67
204.53,9298.67
206.99,9211.67
209.45,9152.51
211.91,9172.14
214.37,9190.52
216.83,9209
219.29,9226.47
221.74,9243.59
224.2,9257.66
226.65,9272.13
229.11,9285.64
231.56,9295.08
234.02,9304.74
236.47,9309.61
238.92,9311.39
241.37,9311.78
243.82,9308.65
246.27,9304.34
248.72,9299.32
251.16,9290.84
253.61,9281.97
256.06,9272.13
258.5,9264.6
260.95,9255.45
263.39,9245.43
265.83,9236.25
268.27,9226.77
270.71,9217.5
273.15,9209.54
275.59,9202.07
278.03,9194.26
280.47,9185.65
282.91,9177.08
285.34,9166.72
287.78,9156.22
290.21,9146.48
292.64,9136.87
295.08,9129.25
297.51,9123.97
299.94,9120.2
302.37,9117.93
304.8,9118.85
307.23,9120.76
309.66,9122.12
312.08,9123.76
314.51,9123.72
316.94,9118.39
319.36,9109.96
321.78,9098.43
324.21,9084.19
326.63,9068.9
329.05,9053.54
331.47,9037.03
333.89,9021.35
336.31,9007.28
338.73,8994.76
341.15,8981.85
343.56,8973.07
345.98,8964.98
348.39,8957.57
350.81,8951.26
353.22,8943.36
355.63,8935.46
358.04,8929.55
360.46,8921.46
362.87,8916.59
365.27,8910.67
367.68,8904.3
370.09,8898.71
372.5,8892.15
374.9,8887.61
377.31,8881.15
379.71,8876.18
382.12,8872.46
384.52,8871.69
386.92,8869.38
389.32,8869.74
391.72,8869.25
394.12,8867.67
396.52,8863.35
398.92,8854.93
401.32,8842.76
403.71,8826.13
406.11,8804.9
408.5,8784.2
410.9,8763.5
413.29,8743.07
415.68,8725.87
418.07,8709.8
420.46,8696.76
422.85,8686.2
425.24,8674.93
427.63,8662.3
430.02,8654.33
432.4,8644.68
434.79,8634.67
437.17,8625.46
439.56,8616.27
441.94,8606.11
444.32,8596.92
446.71,8587.65
449.09,8578.8
451.47,8571.13
453.85,8564.43
456.22,8555.2
458.6,8547.59
460.98,8538.7
463.35,8529.96
465.73,8521.38
468.1,8513.46
470.48,8504.66
472.85,8495.15
475.22,8483.38
477.59,8470.62
479.96,8456.76
482.33,8440.93
484.7,8426.87
487.07,8406.45
489.44,8387.98
491.8,8368.41
494.17,8349.46
496.53,8331.31
498.9,8314.76
501.26,8299.63
503.62,8286.15
505.98,8273.2
508.34,8260.82
510.7,8251.42
513.06,8240.82
515.42,8232.12
517.78,8222.8
520.14,8214.1
522.49,8205.39
524.85,8197.23
527.2,8188.14
529.55,8181.1
531.91,8173.31
534.26,8166.25
536.61,8157.59
538.96,8149.06
541.31,8140.5
543.66,8130.89
546,8122.16
548.35,8113.55
550.7,8103.6
553.04,8095.77
555.39,8087.92
557.73,8078.93
560.07,8070.21
562.41,8061.52
564.76,8053.42
567.1,8045.56
569.44,8036.39
571.77,8030.88
574.11,8025.37
576.45,8020.12
578.79,8013.83
581.12,8007.01
