Wavenumber [cm-1],Raman Intensity
160.07,37621.33
162.55,38196
165.03,38589.67
167.5,38903.33
169.97,39259.67
172.45,39400.67
174.92,40019
177.39,40341.67
179.86,40670
182.33,41212.33
184.8,41519
187.27,41861
189.74,42119.67
192.2,42442.67
194.67,42734.67
197.14,42870
199.6,42921.67
202.06,43092
204.53,43093.67
206.99,43095.33
209.45,41895.43
211.91,42010.19
214.37,42104.36
216.83,42188.84
219.29,42263.41
221.74,42328.54
224.2,42385.06
226.65,42426.79
229.11,42462.48
231.56,42486.25
234.02,42492.59
236.47,42489.98
238.92,42479.58
241.37,42459.8
243.82,42429.66
246.27,42387.93
248.72,42342.21
251.16,42290.84
253.61,42235.2
256.06,42177.75
258.5,42115.77
260.95,42055.79
263.39,41999.36
265.83,41935.87
268.27,41878.77
270.71,41826.36
273.15,41775.17
275.59,41729.39
278.03,41691.02
280.47,41649.58
282.91,41607.07
285.34,41564.67
287.78,41513.5
290.21,41453.27
292.64,41389.94
295.08,41318.09
297.51,41247.68
299.94,41179.23
302.37,41109.33
304.8,41036.67
307.23,40966.17
309.66,40892.7
312.08,40814.28
314.51,40743.24
316.94,40675.64
319.36,40602.9
321.78,40533.57
324.21,40467.95
326.63,40399.52
329.05,40333.02
331.47,40271.38
333.89,40213.74
336.31,40164.04
338.73,40127.37
341.15,40109.72
343.56,40121.51
345.98,40173.06
348.39,40256.57
350.81,40379.59
353.22,40549.03
355.63,40781.35
358.04,41090.07
360.46,41454.26
362.87,41844.5
365.27,42234.58
367.68,42582.66
370.09,42834.1
372.5,42953.45
374.9,42988.43
377.31,42973.38
379.71,42936.5
382.12,42886.11
384.52,42825.72
386.92,42776.29
389.32,42722.85
391.72,42670.18
394.12,42622.5
396.52,42574.58
398.92,42525.62
401.32,42478.37
403.71,42429.28
406.11,42382.91
408.5,42338.17
410.9,42293.81
413.29,42248.8
415.68,42193.01
418.07,42144.2
420.46,42093.57
422.85,42039.09
425.24,41982.39
427.63,41928.99
430.02,41868.77
432.4,41808.37
434.79,41738.98
437.17,41654.09
439.56,41556.2
441.94,41429.61
444.32,41265.53
446.71,41066.57
449.09,40832.79
451.47,40550.24
453.85,40202.24
456.22,39784.33
458.6,39311.03
460.98,38808.67
463.35,38312.33
465.73,37850.97
468.1,37490.47
470.48,37268.2
472.85,37133.67
475.22,37062.45
477.59,37032.73
479.96,37018.8
482.33,37016.01
484.7,36998.47
487.07,36983.74
489.44,36937.47
491.8,36880.7
494.17,36815.56
496.53,36749.09
498.9,36682.41
501.26,36609.67
503.62,36539.34
505.98,36467.06
508.34,36397.59
510.7,36322.12
513.06,36254.6
515.42,36185.91
517.78,36113.87
520.14,36047.2
522.49,35979.94
524.85,35908.59
527.2,35844.55
529.55,35776.41
531.91,35709.98
534.26,35643.85
536.61,35574.54
538.96,35501.37
541.31,35427.86
543.66,35359.41
546,35285.63
548.35,35218.88
550.7,35153.81
553.04,35078.17
555.39,35005.89
557.73,34933.99
560.07,34857.36
562.41,34784.7
564.76,34707.38
567.1,34622.8
569.44,34529.11
571.77,34416.8
574.11,34287.55
576.45,34158.79
578.79,34038.52
581.12,33942.25
583.46,33871.85
585.79,33851.45
588.12,33854.6
590.46,33870.78
592.79,33884.89
595.12,33879.43
597.45,33853.39
599.78,33806.18
602.1,33749.12
604.43,33687.7
606.76,33629.29
609.08,33572.14
611.41,33518.98
613.73,33473.89
616.06,33428.72
618.38,33385.01
620.7,33335.64
623.02,33277.41
625.34,33218.1
627.66,33167.85
629.98,33135.94
632.3,33126.73
634.61,33160.43
636.93,33232.71
639.25,33323.91
641.56,33429.97
643.87,33518.64
646.19,33577.53
648.5,33597.54
650.81,33576.96
653.12,33537.33
655.43,33495.35
657.74,33444.22
660.05,33385.72
662.35,33323.33
664.66,33259.5
666.97,33196.28
669.27,33127.74
671.57,33060.74
673.88,32979.51
676.18,32879.38
678.48,32763.75
680.78,32632.9
683.08,32486.01
685.38,32335.24
687.68,32188.63
689.98,32058.16
692.27,31958.2
694.57,31873.91
696.86,31803.06
699.16,31736.93
701.45,31673.11
703.74,31607.63
706.04,31538.98
708.33,31464.8
710.62,31387.28
712.91,31315.33
715.2,31243.6
717.48,31182.74
719.77,31121.94
722.06,31047.88
724.34,30959.29
726.63,30855.79
728.91,30703.88
731.19,30513.54
733.48,30307.05
735.76,30087.28
738.04,29879.6
740.32,29703.53
742.6,29575.17
744.87,29481.59
747.15,29412.07
749.43,29344.21
751.7,29281.67
753.98,29224.16
756.25,29177.93
758.53,29120.18
760.8,29064.51
763.07,29008.91
765.34,28950.4
767.61,28897.85
769.88,28846.74
772.15,28796.13
774.42,28746.2
776.68,28697.35
778.95,28652.3
781.21,28603.54
783.48,28563.19
785.74,28524.8
788,28486.78
790.27,28452.26
792.53,28422.74
794.79,28392.95
797.05,28365.43
799.31,28334.85
801.56,28303.64
803.82,28279.23
806.08,28249.12
808.33,28223.92
810.59,28196.56
812.84,28175.24
815.1,28163.83
817.35,28157.07
819.6,28144.7
821.85,28140.09
824.1,28137.29
826.35,28123.45
828.6,28105.5
830.84,28079.67
833.09,28050.37
835.34,28018.12
837.58,27984.5
839.83,27944.82
842.07,27907.7
844.31,27876.12
846.55,27839.08
848.8,27790.26
851.04,27757.21
853.27,27721.51
855.51,27686.35
857.75,27648.39
859.99,27621.41
862.22,27589.24
864.46,27555.39
866.69,27519.11
868.93,27487.3
871.16,27456
873.39,27422.93
875.63,27384.59
877.86,27342.01
880.09,27300.69
882.31,27255.33
884.54,27210.25
886.77,27162.04
889,27111.15
891.22,27062.81
893.45,27013.45
895.67,26963.19
897.9,26917.63
900.12,26868.14
902.34,26817.59
904.56,26763.19
906.78,26703.66
909,26637.04
911.22,26567.36
913.44,26496.79
915.65,26424.74
917.87,26362.17
920.08,26308.75
