Wavenumber [cm-1],Raman Intensity
160.07,40408
162.55,41107.33
165.03,41676.33
167.5,42255.67
169.97,42731.33
172.45,43266.67
174.92,43829.33
177.39,44253
179.86,44865.67
182.33,45388.33
184.8,45913.67
187.27,46495.67
189.74,46918.67
192.2,47341.33
194.67,47651.67
197.14,47963.33
199.6,47993.33
202.06,48126.33
204.53,48241.33
206.99,48359.67
209.45,47227.72
211.91,47457.98
214.37,47666.41
216.83,47862.84
219.29,48043.05
221.74,48212.72
224.2,48370.51
226.65,48511.87
229.11,48644.02
231.56,48759.75
234.02,48860.64
236.47,48951.24
238.92,49026.87
241.37,49092.42
243.82,49145.15
246.27,49189.8
248.72,49223.59
251.16,49258.03
253.61,49289.7
256.06,49316.5
258.5,49336.54
260.95,49357.43
263.39,49377.59
265.83,49397.53
268.27,49420.51
270.71,49437.15
273.15,49458.12
275.59,49473.67
278.03,49484.5
280.47,49491.42
282.91,49495.06
285.34,49493.67
287.78,49490.54
290.21,49482.76
292.64,49467.67
295.08,49453.23
297.51,49435.19
299.94,49418.58
302.37,49399.48
304.8,49377.46
307.23,49355.02
309.66,49330
312.08,49307.63
314.51,49285.35
316.94,49258.3
319.36,49231.63
321.78,49202.51
324.21,49175.17
326.63,49149.28
329.05,49123.18
331.47,49099.87
333.89,49079.45
336.31,49059.19
338.73,49039.45
341.15,49019.47
343.56,49002.37
345.98,48986.01
348.39,48969.41
350.81,48948.41
353.22,48929.12
355.63,48908.35
358.04,48888.67
360.46,48865.93
362.87,48845.01
365.27,48818.59
367.68,48787.28
370.09,48758.31
372.5,48726.59
374.9,48693.47
377.31,48662.2
379.71,48629.54
382.12,48596.9
384.52,48563.9
386.92,48529.77
389.32,48498.94
391.72,48469.53
394.12,48437.25
396.52,48406.59
398.92,48374.18
401.32,48341.06
403.71,48306.62
406.11,48273.15
408.5,48238.72
410.9,48200.61
413.29,48163.15
415.68,48125.96
418.07,48089.37
420.46,48052.44
422.85,48010.89
425.24,47970.26
427.63,47925.99
430.02,47880.22
432.4,47834.48
434.79,47786.13
437.17,47737.35
439.56,47686.19
441.94,47635.09
444.32,47580.62
446.71,47529.5
449.09,47480.41
451.47,47428.81
453.85,47376.47
456.22,47323.65
458.6,47272.9
460.98,47222.11
463.35,47170.43
465.73,47122.88
468.1,47074.72
470.48,47023.27
472.85,46973.39
475.22,46922.03
477.59,46868.96
479.96,46810.37
482.33,46756.67
484.7,46698.06
487.07,46633.1
489.44,46567.97
491.8,46503.51
494.17,46436.76
496.53,46368.38
498.9,46298.22
501.26,46233.28
503.62,46163.2
505.98,46096.93
508.34,46028.54
510.7,45964.25
513.06,45900.28
515.42,45834.42
517.78,45771.5
520.14,45707.2
522.49,45642.21
524.85,45576.5
527.2,45509.88
529.55,45443.76
531.91,45372.94
534.26,45301.88
536.61,45230.46
538.96,45157.37
541.31,45082.75
543.66,45005.67
546,44927.5
548.35,44845.77
550.7,44764.02
553.04,44685.53
555.39,44606.23
557.73,44524.01
560.07,44445.46
562.41,44363.67
564.76,44285.89
567.1,44207.04
569.44,44132.63
571.77,44057.52
574.11,43984.26
576.45,43909.55
578.79,43832.89
581.12,43761.3
583.46,43691.02
585.79,43619.14
588.12,43545.11
590.46,43473.26
592.79,43398.72
595.12,43326.36
597.45,43249.68
599.78,43176.27
602.1,43100.06
604.43,43020.5
606.76,42941.9
609.08,42864.59
611.41,42788.88
613.73,42708.76
616.06,42632.2
618.38,42553.52
620.7,42473.32
623.02,42393.24
625.34,42315.04
627.66,42236.15
629.98,42156.41
632.3,42079.17
634.61,42000.85
636.93,41926.93
639.25,41852.08
641.56,41775.52
643.87,41702.37
646.19,41632.54
648.5,41559.98
650.81,41489.9
653.12,41418.43
655.43,41349.44
657.74,41281.01
660.05,41210.79
662.35,41143.19
664.66,41068.51
666.97,40993.58
669.27,40919.2
671.57,40845.8
673.88,40772.84
676.18,40695.57
678.48,40617.43
680.78,40538.37
683.08,40462.25
685.38,40384.28
687.68,40308.24
689.98,40231.81
692.27,40157.9
694.57,40081.61
696.86,40005.67
699.16,39933.34
701.45,39859.72
703.74,39784.48
706.04,39711.28
708.33,39640.48
710.62,39569
712.91,39499.5
715.2,39432.02
717.48,39364.93
719.77,39294.51
722.06,39228.47
724.34,39160.81
726.63,39094.12
728.91,39024.65
731.19,38955.92
733.48,38886.81
735.76,38819.93
738.04,38751.39
740.32,38680.57
742.6,38609.53
744.87,38538.06
747.15,38469.4
749.43,38398.12
751.7,38328.26
753.98,38256.42
756.25,38179.51
758.53,38109.42
760.8,38039.21
763.07,37967.97
765.34,37896.73
767.61,37822.94
769.88,37753.32
772.15,37684.67
774.42,37615.75
776.68,37545.92
778.95,37476.75
781.21,37406.6
783.48,37338.13
785.74,37268.1
788,37203.58
790.27,37141.12
792.53,37077.96
794.79,37011.59
797.05,36947.89
799.31,36882.11
801.56,36817.13
803.82,36750.54
806.08,36686.63
808.33,36623.32
810.59,36559.38
812.84,36494.28
815.1,36426.46
817.35,36360.89
819.6,36290.96
821.85,36228.42
824.1,36162.66
826.35,36096.52
828.6,36029.91
830.84,35963.59
833.09,35896.11
835.34,35830.72
837.58,35763.2
839.83,35695.56
842.07,35629.19
844.31,35560.81
846.55,35493.93
848.8,35432.21
851.04,35364.91
853.27,35299.89
855.51,35234.13
857.75,35172.19
859.99,35108.98
862.22,35043.59
864.46,34981.6
866.69,34921.11
868.93,34858.62
871.16,34793.36
873.39,34730.9
875.63,34668.56
877.86,34606.25
880.09,34541.52
882.31,34474.97
884.54,34408.52
886.77,34344.51
889,34280.96
891.22,34215.08
893.45,34149.25
895.67,34084.05
897.9,34015.77
900.12,33950.11
902.34,33884.05
904.56,33818.76
906.78,33755.9
909,33693.08
911.22,33631.4
913.44,33567.11
915.65,33501.67
917.87,33439.1
920.08,33378.21
922.3,33314.69
924.51,33253.97
926.73,33192.56
928.94,33130.11
931.15,33069.24
933.36,33006.63
935.57,32948.89
937.78,32892.32
939.99,32832.81
942.19,32777.91
944.4,32719.57
946.61,32664.72
948.81,32608.76
951.02,32556.44
953.22,32504.5
955.42,32449.19
957.62,32394.23
959.82,32340.55
962.02,32285.18
964.22,32228.4
966.42,32171.8
968.62,32114.35
970.82,32058.93
973.01,32004.34
975.21,31954.2
977.4,31901.3
979.6,31849.2
981.79,31800.46
983.98,31751.45
986.17,31704.59
988.36,31653.96
990.55,31606.4
992.74,31557.07
994.93,31506.33
997.12,31452.08
999.3,31399.33
1001.49,31347.1
1003.67,31292.46
1005.86,31240.12
1008.04,31190.44
1010.22,31139.61
1012.41,31092.18
1014.59,31045.22
1016.77,31000.33
1018.95,30959.13
1021.12,30917.46
1023.3,30877.15
1025.48,30832.41
1027.66,30787.31
1029.83,30743.71
1032.01,30696.59
1034.18,30650.31
1036.35,30601.98
1038.52,30548.87
1040.7,30493.62
1042.87,30441.22
1045.04,30384.28
1047.2,30327.41
1049.37,30272.57
1051.54,30223.29
1053.71,30175.75
1055.87,30127.08
1058.04,30083.25
1060.2,30035.39
1062.36,29989.5
1064.53,29940.72
1066.69,29896.19
1068.85,29848.94
1071.01,29801.5
1073.17,29752.53
1075.33,29702.6
1077.49,29655.44
1079.64,29602.97
1081.8,29554.41
1083.95,29502.77
1086.11,29454.96
1088.26,29403.9
1090.42,29355.79
1092.57,29306.92
1094.72,29257.36
1096.87,29207.17
1099.02,29156.89
1101.17,29106.22
1103.32,29058.67
1105.47,29008.21
1107.61,28958.76
1109.76,28909.49
1111.9,28860.16
1114.05,28813.51
1116.19,28765.16
1118.33,28718.33
1120.47,28672.77
1122.62,28625.2
1124.76,28579.84
1126.9,28538.41
1129.03,28496.92
1131.17,28453.1
1133.31,28416.39
1135.45,28376.64
1137.58,28335.38
1139.72,28292.06
1141.85,28248.89
1143.98,28204.99
1146.12,28158.53
1148.25,28114.9
1150.38,28070.27
1152.51,28025.25
1154.64,27980.67
1156.77,27934.78
1158.89,27892.91
1161.02,27851.19
1163.15,27808.59
1165.27,27766.77
1167.4,27725.96
1169.52,27685.13
1171.64,27648.14
1173.76,27609.72
1175.88,27575.14
1178.01,27535.89
1180.13,27498.88
1182.24,27463.52
1184.36,27424.94
1186.48,27388.41
1188.6,27349.27
1190.71,27307.49
1192.83,27268.28
1194.94,27224.58
1197.05,27181.11
1199.17,27138.46
1201.28,27093.4
1203.39,27051
1205.5,27006.65
1207.61,26964.14
1209.72,26926
1211.82,26887.62
1213.93,26846.93
1216.04,26807.78
1218.14,26769.87
1220.25,26728.85
1222.35,26690.96
1224.45,26654.12
1226.56,26618.5
1228.66,26580.46
1230.76,26542.16
1232.86,26504.86
1234.96,26466.44
1237.06,26425.77
1239.15,26385.5
1241.25,26343.89
1243.35,26304.32
1245.44,26261.3
1247.54,26221.4
1249.63,26181.02
1251.72,26142.67
1253.81,26105.2
1255.91,26064.87
1258,26027.58
1260.09,25990.76
1262.17,25954.04
1264.26,25919.52
1266.35,25884.63
1268.44,25848.54
1270.52,25811.42
1272.61,25774.46
1274.69,25740.63
1276.77,25704.29
1278.86,25665.31
1280.94,25626.09
1283.02,25588.49
1285.1,25546.8
1287.18,25508.62
1289.26,25468.75
1291.34,25429.15
1293.41,25386.74
1295.49,25344.79
1297.56,25303.2
1299.64,25263.35
1301.71,25225.06
1303.79,25184.98
1305.86,25146.16
1307.93,25107.78
1310,25067.41
1312.07,25027.61
1314.14,24990.08
1316.21,24954.73
1318.28,24917.22
1320.34,24878.45
1322.41,24841.01
1324.47,24802.47
1326.54,24759.87
1328.6,24719.3
1330.66,24678.8
1332.73,24633.76
1334.79,24588.67
1336.85,24544.37
1338.91,24499.65
1340.97,24457
1343.03,24410.63
1345.08,24365.27
1347.14,24319.57
1349.19,24274.37
1351.25,24230.42
1353.3,24186.33
1355.36,24145.37
1357.41,24103.51
1359.46,24060.38
1361.51,24018.9
1363.56,23978.88
1365.61,23939.58
1367.66,23897.24
1369.71,23856.06
1371.76,23813.8
1373.8,23769.98
1375.85,23725.95
1377.89,23683.35
1379.94,23638.96
1381.98,23593.5
1384.02,23551.04
1386.07,23505.59
1388.11,23462.76
1390.15,23424.11
1392.19,23383.5
1394.22,23346.93
1396.26,23311.49
1398.3,23275.45
1400.34,23237.02
1402.37,23199.93
1404.41,23162.41
1406.44,23125.07
1408.47,23087.61
1410.51,23051.88
1412.54,23015.05
1414.57,22976.84
1416.6,22937.58
1418.63,22899.87
1420.66,22859.46
1422.68,22818.33
1424.71,22778.46
1426.74,22737.84
1428.76,22699.19
1430.79,22658.02
1432.81,22617.41
1434.83,22576.9
1436.85,22534.92
1438.88,22492.67
1440.9,22448.31
1442.92,22405.11
1444.94,22363.19
1446.95,22319.34
1448.97,22275.76
1450.99,22230.5
1453,22185.63
1455.02,22139.16
1457.03,22095.31
1459.05,22050.55
1461.06,22006.45
1463.07,21962.06
1465.08,21917.57
1467.09,21872.33
1469.1,21828.46
1471.11,21785.6
1473.12,21736.67
1475.13,21688.37
1477.13,21639.3
1479.14,21588.15
1481.15,21538.83
1483.15,21489.31
1485.15,21438.66
1487.16,21390.25
1489.16,21339.23
1491.16,21289.68
1493.16,21240.22
1495.16,21189.04
1497.16,21139.74
1499.16,21090.64
1501.15,21041.18
1503.15,20991.02
1505.15,20943.49
1507.14,20893.15
1509.14,20845.54
1511.13,20796.84
1513.12,20749.78
1515.11,20703.18
1517.1,20655.34
1519.09,20610.92
1521.08,20565.75
1523.07,20521.93
1525.06,20479.02
1527.05,20434.72
1529.03,20393.8
1531.02,20349.44
1533.01,20306.62
1534.99,20266.58
1536.97,20225.05
1538.96,20180.83
1540.94,20137.12
1542.92,20089.74
1544.9,20044.01
1546.88,19998.45
1548.86,19950.74
1550.84,19903.32
1552.81,19853.72
1554.79,19807.36
1556.76,19763.96
1558.74,19717.81
1560.71,19673.3
1562.69,19626.89
1564.66,19582.2
1566.63,19537.94
1568.6,19495.91
1570.57,19453.74
1572.54,19411.7
1574.51,19370.33
1576.48,19327.25
1578.45,19281.09
1580.41,19236.47
1582.38,19191.25
1584.34,19145.62
1586.31,19097.7
1588.27,19050.95
1590.23,19003.44
1592.19,18955.03
1594.16,18906.82
1596.12,18857.15
1598.07,18809.31
1600.03,18760.72
1601.99,18713.69
1603.95,18668.02
1605.9,18621.18
1607.86,18576.54
1609.82,18530.61
1611.77,18489.25
1613.72,18447.28
1615.68,18402.87
