Wavenumber [cm-1],Raman Intensity
160.07,14303.67
162.55,14397
165.03,14598.67
167.5,14769.67
169.97,14885.67
172.45,15104.67
174.92,15300.33
177.39,15383.33
179.86,15538.67
182.33,15659.33
184.8,15800.67
187.27,15974
189.74,16044.67
192.2,16186.33
194.67,16250.33
197.14,16297
199.6,16361.33
202.06,16364.67
204.53,16471.67
206.99,16449.33
209.45,16163.43
211.91,16227.14
214.37,16289.33
216.83,16348.12
219.29,16400.29
221.74,16449.46
224.2,16494.89
226.65,16534.68
229.11,16572.56
231.56,16607.91
234.02,16639.55
236.47,16667.56
238.92,16691.46
241.37,16711.98
243.82,16730.21
246.27,16747.64
248.72,16761.34
251.16,16774.95
253.61,16788.36
256.06,16796.2
258.5,16805.08
260.95,16814.4
263.39,16825.11
265.83,16832.95
268.27,16841.68
270.71,16850.26
273.15,16861.21
275.59,16869.17
278.03,16879.73
280.47,16887.07
282.91,16894.58
285.34,16900.05
287.78,16905.93
290.21,16905.7
292.64,16907.45
295.08,16908.08
297.51,16908.42
299.94,16907.99
302.37,16906.85
304.8,16908.49
307.23,16907.53
309.66,16904.76
312.08,16904.15
314.51,16902.81
316.94,16898.44
319.36,16897.37
321.78,16896.89
324.21,16895.46
326.63,16895.23
329.05,16893.79
331.47,16891.98
333.89,16891.76
336.31,16892.52
338.73,16893.36
341.15,16896.04
343.56,16898.04
345.98,16899.67
348.39,16901.64
350.81,16902.74
353.22,16903.59
355.63,16907.2
358.04,16909.58
360.46,16912.47
362.87,16914.19
365.27,16918.86
367.68,16919.98
370.09,16919.98
372.5,16920.77
374.9,16919.07
377.31,16914.68
379.71,16910.17
382.12,16908.28
384.52,16906.73
386.92,16901.41
389.32,16902.59
391.72,16901.81
394.12,16900.33
396.52,16900.74
398.92,16898.04
401.32,16898.34
403.71,16894.85
406.11,16893.01
408.5,16893.11
410.9,16889.86
413.29,16885.58
415.68,16883.73
418.07,16879.33
420.46,16876.55
422.85,16872.57
425.24,16866.68
427.63,16861.2
430.02,16854.05
432.4,16846.26
434.79,16837.56
437.17,16829.65
439.56,16820.94
441.94,16811.46
444.32,16800.02
446.71,16791.15
449.09,16782
451.47,16772.61
453.85,16763.95
456.22,16755.67
458.6,16747.68
460.98,16739.34
463.35,16727.5
465.73,16720.18
468.1,16713.17
470.48,16703.59
472.85,16695.27
475.22,16687.73
477.59,16678.98
479.96,16667.35
482.33,16655.51
484.7,16643.65
487.07,16629.63
489.44,16617.5
491.8,16604.59
494.17,16589.83
496.53,16575.28
498.9,16562.24
501.26,16548.89
503.62,16535.76
505.98,16520.88
508.34,16507.49
510.7,16496.59
513.06,16482.84
515.42,16470.47
517.78,16455.96
520.14,16441.63
522.49,16429.41
524.85,16416.51
527.2,16402.21
529.55,16388.01
531.91,16374.06
534.26,16358.64
536.61,16343.42
538.96,16327.06
541.31,16312.31
543.66,16297.77
546,16281.24
548.35,16263.09
550.7,16242.67
553.04,16224.28
555.39,16204.63
557.73,16183.44
560.07,16166.44
562.41,16146.08
564.76,16125.81
567.1,16106.53
569.44,16086.18
571.77,16067.37
574.11,16050.4
576.45,16032.68
578.79,16016.15
581.12,15999.78
583.46,15981.86
585.79,15961.93
588.12,15942.93
590.46,15925.28
592.79,15908.2
595.12,15887.68
597.45,15868.75
599.78,15849.46
602.1,15829.23
604.43,15810.34
606.76,15789.24
609.08,15769.39
611.41,15749.8
613.73,15727.85
616.06,15706.32
618.38,15684.5
620.7,15662.06
623.02,15641.53
625.34,15621.85
627.66,15598.97
629.98,15576.96
632.3,15556.82
634.61,15537.5
636.93,15517.49
639.25,15496.36
641.56,15476.77
643.87,15458.44
646.19,15441.56
648.5,15424.46
650.81,15406.44
653.12,15388.72
655.43,15370.64
657.74,15351.69
660.05,15333.96
662.35,15315.59
664.66,15298.73
666.97,15278.9
669.27,15257.98
671.57,15237.01
673.88,15216.38
676.18,15197.01
678.48,15178.41
680.78,15158.93
683.08,15138.41
685.38,15116.21
687.68,15096.14
689.98,15073.8
692.27,15051.35
694.57,15027.44
696.86,15006.22
699.16,14983.47
701.45,14962.28
703.74,14940.98
706.04,14919.37
708.33,14899.79
710.62,14879.72
712.91,14859.56
715.2,14841.94
717.48,14822.8
719.77,14803.65
722.06,14788.5
724.34,14769.87
726.63,14748.45
728.91,14729.32
731.19,14710.07
733.48,14690.89
735.76,14671.46
738.04,14652.65
740.32,14633.54
742.6,14612.44
744.87,14594.53
747.15,14576.83
749.43,14556.59
751.7,14538.6
753.98,14518.29
756.25,14496.41
758.53,14475.24
760.8,14455.32
763.07,14435.63
765.34,14418
767.61,14396.3
769.88,14376.86
772.15,14356.89
774.42,14336.09
776.68,14317.35
778.95,14296.8
781.21,14277.03
783.48,14260.47
785.74,14243.82
788,14226.96
790.27,14209.41
792.53,14190.93
794.79,14174.25
797.05,14156.05
799.31,14137.48
801.56,14120.66
803.82,14104.28
806.08,14086.51
808.33,14069.21
810.59,14051.2
812.84,14032.93
815.1,14013.81
817.35,13996.89
819.6,13982.11
821.85,13964.54
824.1,13946.38
826.35,13927.63
828.6,13909.65
830.84,13891.29
833.09,13871.5
835.34,13853.07
837.58,13833.15
839.83,13813.36
842.07,13794.69
844.31,13775.03
846.55,13755.11
848.8,13739.14
851.04,13721.01
853.27,13701.91
855.51,13682.64
857.75,13661.98
859.99,13643.5
862.22,13623.02
864.46,13604.05
866.69,13587.02
868.93,13570.71
871.16,13554.5
873.39,13537.74
875.63,13518.99
877.86,13499.28
880.09,13482.02
882.31,13462.64
884.54,13447.17
886.77,13429.67
889,13413.46
891.22,13397.1
893.45,13378.63
895.67,13358.06
897.9,13337.17
900.12,13316.36
902.34,13297.85
904.56,13278.98
906.78,13257.76
909,13237.23
911.22,13214.37
913.44,13191.57
915.65,13169.76
917.87,13149.1
920.08,13129.1
922.3,13110.31
924.51,13093.71
926.73,13074.46
928.94,13053.71
931.15,13032.88
933.36,13010.19
935.57,12988.99
937.78,12970.56
939.99,12950.76
942.19,12932.22
944.4,12914.03
946.61,12896.03
948.81,12876.86
951.02,12859.4
953.22,12840.08
955.42,12821.98
957.62,12804.58
959.82,12784.85
962.02,12767.86
964.22,12748.89
966.42,12731.36
968.62,12712.91
970.82,12694.17
973.01,12676.28
975.21,12658.08
977.4,12637.83
979.6,12620.02
981.79,12600.78
983.98,12582.62
986.17,12565.22
988.36,12550.28
990.55,12532.97
992.74,12514.41
994.93,12496.62
997.12,12481.4
999.3,12466.62
1001.49,12452.95
1003.67,12438.6
1005.86,12424.2
1008.04,12408.78
1010.22,12391.77
1012.41,12374.15
1014.59,12355.88
1016.77,12339.07
1018.95,12323.46
1021.12,12310.49
1023.3,12297.97
1025.48,12284.39
1027.66,12269.25
1029.83,12252.93
1032.01,12234.97
1034.18,12219.78
1036.35,12204.01
1038.52,12189.37
1040.7,12176.23
1042.87,12164.07
1045.04,12149.6
1047.2,12132.26
1049.37,12116.28
1051.54,12098.97
1053.71,12082.2
1055.87,12065.48
1058.04,12050.33
1060.2,12035.77
1062.36,12020.74
1064.53,12004.68
1066.69,11988.86
1068.85,11968.96
1071.01,11952.01
1073.17,11934.2
1075.33,11918.89
1077.49,11901.27
1079.64,11883.98
1081.8,11866.97
1083.95,11848.76
1086.11,11832.2
1088.26,11812.82
1090.42,11794.2
1092.57,11776.15
1094.72,11757.07
1096.87,11740.41
1099.02,11723.5
1101.17,11707.41
1103.32,11691.93
1105.47,11676.62
1107.61,11660.67
1109.76,11642.97
1111.9,11626.04
1114.05,11609.48
1116.19,11593.4
1118.33,11578.09
1120.47,11563.23
1122.62,11546.15
1124.76,11528.75
1126.9,11514.26
1129.03,11496.79
1131.17,11480.64
1133.31,11463.27
1135.45,11446.76
1137.58,11430.04
1139.72,11413.72
1141.85,11398.92
1143.98,11384.77
1146.12,11370.8
1148.25,11356.57
1150.38,11341.45
1152.51,11326.53
1154.64,11312.15
1156.77,11299.4
1158.89,11286.63
1161.02,11273.02
1163.15,11258.75
1165.27,11245.61
1167.4,11232.76
1169.52,11221.56
1171.64,11209.03
1173.76,11193.35
1175.88,11179.94
1178.01,11166.11
1180.13,11154.16
1182.24,11143.06
1184.36,11129.31
1186.48,11117.76
1188.6,11104.2
1190.71,11091.38
1192.83,11078.78
1194.94,11067.9
1197.05,11056.89
1199.17,11046.16
1201.28,11037.16
1203.39,11025.6
1205.5,11014.46
1207.61,11003.6
1209.72,10994.59
1211.82,10986.12
1213.93,10973.58
1216.04,10961.91
1218.14,10949.31
1220.25,10937.95
1222.35,10927.57
1224.45,10916.39
1226.56,10904.73
1228.66,10893.02
1230.76,10879.68
1232.86,10866.54
1234.96,10851.8
1237.06,10840.54
1239.15,10827.85
1241.25,10813.91
1243.35,10802.81
1245.44,10791.63
1247.54,10779.46
1249.63,10768.4
1251.72,10757.2
1253.81,10745.22
1255.91,10731.52
1258,10718.53
1260.09,10706.02
1262.17,10693.44
1264.26,10682.36
1266.35,10666.98
1268.44,10653.75
1270.52,10641.14
1272.61,10627.5
1274.69,10614.67
1276.77,10598.94
1278.86,10583.73
1280.94,10567
1283.02,10551.46
1285.1,10534.5
1287.18,10517.61
1289.26,10502.46
1291.34,10485.56
1293.41,10470.54
1295.49,10454.55
1297.56,10437.83
1299.64,10422.54
1301.71,10408.48
1303.79,10389.78
1305.86,10374
1307.93,10357.85
1310,10341.14
1312.07,10325.63
1314.14,10309.72
1316.21,10293.93
1318.28,10278.24
1320.34,10261.85
1322.41,10243.63
1324.47,10226.2
1326.54,10210.19
1328.6,10191.83
1330.66,10172.66
1332.73,10156.51
1334.79,10137.77
1336.85,10120.24
1338.91,10103.45
1340.97,10086.91
1343.03,10070.85
1345.08,10057.02
1347.14,10042.2
1349.19,10025.24
1351.25,10011.24
1353.3,9995.76
1355.36,9978.98
1357.41,9961.93
1359.46,9945.66
1361.51,9930.59
1363.56,9913.69
1365.61,9898.93
1367.66,9882.71
1369.71,9866.86
1371.76,9850.18
1373.8,9833.74
1375.85,9819.93
1377.89,9804.43
1379.94,9787.19
1381.98,9770.82
1384.02,9754.85
1386.07,9735.72
1388.11,9722.36
1390.15,9707.41
1392.19,9693.44
1394.22,9679.95
1396.26,9665.2
1398.3,9649.67
1400.34,9634.3
1402.37,9619.54
1404.41,9605.32
1406.44,9594.09
1408.47,9580.4
1410.51,9567.75
1412.54,9554.83
1414.57,9542.05
1416.6,9527.49
1418.63,9514.56
1420.66,9500.41
1422.68,9486.85
1424.71,9473.44
1426.74,9459.47
1428.76,9442.55
1430.79,9425.75
1432.81,9409.65
1434.83,9393.01
1436.85,9375.47
1438.88,9359.89
1440.9,9341.85
1442.92,9323.97
1444.94,9305.74
1446.95,9288.37
1448.97,9269.07
1450.99,9250.5
1453,9232.42
1455.02,9214.03
1457.03,9194.93
1459.05,9175.14
1461.06,9154.5
1463.07,9135.54
1465.08,9117.08
1467.09,9099.89
1469.1,9082.97
1471.11,9063.76
1473.12,9045.83
1475.13,9024.76
1477.13,9003.94
1479.14,8983.24
1481.15,8962.1
1483.15,8942.2
1485.15,8921.15
1487.16,8900.25
1489.16,8876.32
1491.16,8855.07
1493.16,8833.85
1495.16,8812.65
1497.16,8790.11
1499.16,8768.38
1501.15,8746.92
1503.15,8724.7
1505.15,8702.33
1507.14,8681.14
1509.14,8660.33
1511.13,8642.2
1513.12,8622.53
1515.11,8602.12
1517.1,8582.63
1519.09,8564.24
1521.08,8545.17
1523.07,8527.75
1525.06,8509.11
1527.05,8492.59
1529.03,8474.68
1531.02,8456.67
1533.01,8436.82
1534.99,8419.76
