Energy [keV],Net Count Rate
0,9683
0.02,7649
0.04,4695
0.06,2737
0.08,1259
0.1,285
0.12,47
0.14,6
0.161,5
0.181,0
0.201,1
0.221,2
0.241,1
0.261,4
0.281,1
0.301,3
0.321,2
0.341,1
0.361,2
0.381,1
0.401,2
0.421,1
0.442,3
0.462,0
0.482,0
0.502,1
0.522,0
0.542,0
0.562,0
0.582,0
0.602,0
0.622,18
0.642,201
0.662,692
0.682,1151
0.702,1477
0.723,1683
0.743,1729
0.763,1679
0.783,1637
0.803,1718
0.823,1707
0.843,1779
0.863,1821
0.883,1899
0.903,1919
0.923,1916
0.943,1874
0.963,1871
0.983,1795
1.003,1621
1.024,1597
1.044,1712
1.064,1654
1.084,1671
1.104,1649
1.124,1624
1.144,1580
1.164,1627
1.184,1600
1.204,1654
1.224,1570
1.244,1518
1.264,1374
1.284,1463
1.305,1322
1.325,1416
1.345,1270
1.365,1396
1.385,1428
1.405,1418
1.425,1459
1.445,1499
1.465,1487
1.485,1598
1.505,1534
1.525,1627
1.545,1654
1.565,1613
1.585,1629
1.606,1554
1.626,1519
1.646,1399
1.666,1566
1.686,1456
1.706,1527
1.726,1651
1.746,1686
1.766,1619
1.786,1617
1.806,1437
1.826,1389
1.846,1440
1.866,1458
1.887,1420
1.907,1525
1.927,1456
1.947,1577
1.967,1591
1.987,1643
2.007,1619
2.027,1745
2.047,1691
2.067,1644
2.087,1607
2.107,1548
2.127,1614
2.147,1664
2.168,1768
2.188,2087
2.208,2571
2.228,3576
2.248,5242
2.268,7112
2.288,8869
2.308,9845
2.328,9704
2.348,8146
2.368,6255
2.388,4787
2.408,3648
2.428,3160
2.448,3008
2.469,3277
2.489,3371
2.509,3706
2.529,4764
2.549,6653
2.569,9593
2.589,13509
2.609,17673
2.629,21933
2.649,24895
2.669,27121
2.689,27405
2.709,25622
2.729,22732
2.75,19683
2.77,17391
2.79,16627
2.81,17217
2.83,18300
2.85,18772
2.87,18649
2.89,18081
2.91,18408
2.93,19146
2.95,19873
2.97,19337
2.99,17240
3.01,14314
3.031,10665
3.051,7613
3.071,5706
3.091,4391
3.111,3975
3.131,3982
3.151,4261
3.171,4683
3.191,5474
3.211,6825
3.231,9404
3.251,13863
3.271,18987
3.291,24511
3.311,28397
3.332,28899
3.352,26121
3.372,20525
3.392,14427
3.412,9535
3.432,6027
3.452,4131
3.472,3229
3.492,3172
3.512,3519
3.532,4420
3.552,5160
3.572,6283
3.592,7195
3.613,7700
3.633,8031
3.653,8135
3.673,8027
3.693,7693
3.713,7317
3.733,6441
3.753,5584
3.773,4431
3.793,3761
3.813,3279
3.833,2883
3.853,2868
3.873,2815
3.894,2987
3.914,2917
3.934,3124
3.954,3342
3.974,3434
3.994,3663
4.014,3724
4.034,3791
4.054,3779
4.074,3729
4.094,3528
4.114,3454
4.134,3420
4.154,3439
4.174,3387
4.195,3404
4.215,3444
4.235,3473
4.255,3504
4.275,3747
4.295,3683
4.315,3606
4.335,3733
4.355,3737
4.375,3825
4.395,4022
4.415,4157
4.435,4288
4.455,4344
4.476,4646
4.496,4885
4.516,4903
4.536,4854
4.556,4792
4.576,4671
4.596,4519
4.616,4385
4.636,4256
4.656,4327
4.676,4331
4.696,4284
4.716,4419
4.736,4360
4.756,4415
4.777,4538
4.797,4592
4.817,4585
4.837,4783
4.857,4776
4.877,4817
4.897,4778
4.917,5081
4.937,5071
4.957,5075
4.977,5011
4.997,5109
5.017,5128
5.037,5228
5.058,5275
5.078,5534
5.098,5378
5.118,5404
5.138,5523
5.158,5541
5.178,5521
5.198,5559
5.218,5730
5.238,5916
5.258,5825
5.278,5881
5.298,5955
5.318,6054
5.339,5997
5.359,6300
5.379,6515
5.399,6522
5.419,6552
5.439,6683
5.459,6546
5.479,6710
5.499,6741
5.519,6881
5.539,6880
5.559,6975
5.579,7074
5.599,7118
5.619,7160
5.64,7381
5.66,7405
5.68,7252
5.7,7691
5.72,7654
5.74,7743
5.76,7607
5.78,7925
5.8,7978
5.82,8051
5.84,7942
5.86,8154
5.88,8150
5.9,8313
5.921,8355
5.941,8442
5.961,8336
5.981,8561
6.001,8314
6.021,8550
6.041,8729
6.061,8807
6.081,8792
6.101,8787
6.121,9156
6.141,9420
6.161,9262
6.181,9708
6.202,9842
6.222,10250
6.242,10614
6.262,10954
6.282,11256
6.302,11507
6.322,12039
6.342,12637
6.362,13140
6.382,13480
6.402,13879
6.422,13613
6.442,13478
6.462,12784
6.482,11911
6.503,11151
6.523,10619
6.543,10361
6.563,9961
6.583,9909
6.603,9923
6.623,9942
6.643,9703
6.663,10121
6.683,10057
6.703,10045
6.723,10239
6.743,10259
6.763,10533
6.784,10304
6.804,10884
6.824,10858
6.844,10979
6.864,11028
6.884,11374
6.904,11362
6.924,11496
6.944,11571
6.964,11902
6.984,11712
7.004,11572
7.024,11851
7.044,11886
7.064,12065
7.085,12129
7.105,12820
7.125,13326
7.145,13677
7.165,14687
7.185,15775
7.205,16856
7.225,18540
7.245,20319
7.265,21659
7.285,23068
7.305,23866
7.325,24772
7.345,25634
7.366,25944
7.386,26449
7.406,27082
7.426,28093
7.446,29248
7.466,29686
7.486,29880
7.506,28525
7.526,26473
7.546,23610
7.566,20702
7.586,17416
7.606,14867
7.626,13384
7.647,11946
7.667,10977
7.687,10646
7.707,10549
7.727,10530
7.747,10635
7.767,10577
7.787,10649
7.807,10847
7.827,10826
7.847,11018
7.867,11030
7.887,11189
7.907,11412
7.927,11756
7.948,12154
7.968,12250
7.988,12747
8.008,13083
8.028,13666
8.048,13790
8.068,13898
8.088,14081
8.108,13929
8.128,13605
8.148,13515
8.168,13144
8.188,13055
8.208,13272
8.229,13299
8.249,13238
8.269,13160
8.289,13109
8.309,13145
8.329,12797
8.349,12489
8.369,11705
8.389,11635
8.409,11468
8.429,10999
8.449,10915
8.469,10801
8.489,10789
8.51,10793
8.53,10724
8.55,10845
8.57,10665
8.59,11080
8.61,10962
8.63,11152
8.65,11223
8.67,11206
8.69,11258
8.71,10870
8.73,11262
8.75,11080
8.77,11000
8.79,10822
8.811,11063
8.831,11138
8.851,11065
8.871,11035
8.891,11004
8.911,11282
8.931,11161
8.951,11439
8.971,11132
8.991,10991
9.011,11152
9.031,11052
9.051,11210
9.071,11182
9.092,11141
9.112,10986
9.132,11010
9.152,11032
9.172,11008
9.192,11187
9.212,11312
9.232,11289
9.252,11054
9.272,11288
9.292,11258
9.312,11265
9.332,11325
9.352,11319
9.373,11250
9.393,11356
9.413,11229
9.433,11358
9.453,11184
9.473,11292
9.493,11443
9.513,11415
9.533,11297
9.553,11265
9.573,11209
9.593,11181
9.613,11277
9.633,11265
9.653,11466
9.674,11313
9.694,11254
9.714,11274
9.734,11412
9.754,11261
9.774,11318
9.794,11425
9.814,11265
9.834,11035
9.854,11070
9.874,11286
9.894,10988
9.914,11152
9.934,11162
9.955,11095
9.975,11287
9.995,11178
10.015,11430
10.035,11163
10.055,11189
10.075,11084
10.095,11189
10.115,11306
10.135,11156
10.155,11103
10.175,11239
10.195,11130
10.215,11178
10.235,11083
10.256,10939
10.276,10985
10.296,11050
10.316,11055
10.336,11035
10.356,11017
10.376,11072
10.396,11057
10.416,11150
10.436,10894
10.456,10929
10.476,11060
10.496,10971
10.516,10991
10.537,10827
10.557,10935
10.577,10799
