Energy [keV],Net Count Rate
0,8943
0.02,7009
0.04,4648
0.06,2887
0.08,1277
0.1,346
0.121,58
0.141,17
0.161,4
0.181,14
0.201,4
0.221,4
0.241,4
0.261,1
0.281,0
0.301,2
0.321,3
0.341,2
0.362,1
0.382,0
0.402,2
0.422,0
0.442,2
0.462,0
0.482,0
0.502,1
0.522,0
0.542,0
0.562,2
0.582,1
0.603,3
0.623,32
0.643,294
0.663,1043
0.683,1587
0.703,1932
0.723,2143
0.743,2201
0.763,2228
0.783,2124
0.803,2176
0.823,2219
0.844,2214
0.864,2139
0.884,2160
0.904,2187
0.924,2223
0.944,2361
0.964,2267
0.984,2223
1.004,2140
1.024,2071
1.044,2074
1.065,2061
1.085,2055
1.105,2084
1.125,2085
1.145,2037
1.165,1936
1.185,1996
1.205,2028
1.225,1938
1.245,1985
1.265,1772
1.285,1726
1.306,1697
1.326,1661
1.346,1658
1.366,1632
1.386,1718
1.406,1640
1.426,1693
1.446,1720
1.466,1734
1.486,1771
1.506,1724
1.526,1719
1.547,1652
1.567,1525
1.587,1584
1.607,1522
1.627,1539
1.647,1586
1.667,1572
1.687,1551
1.707,1723
1.727,1837
1.747,1784
1.768,1783
1.788,1679
1.808,1636
1.828,1521
1.848,1465
1.868,1545
1.888,1400
1.908,1491
1.928,1474
1.948,1556
1.968,1585
1.988,1578
2.009,1572
2.029,1627
2.049,1541
2.069,1527
2.089,1575
2.109,1574
2.129,1488
2.149,1544
2.169,1620
2.189,1644
2.209,1726
2.229,1735
2.25,2010
2.27,2210
2.29,2445
2.31,2588
2.33,2690
2.35,2681
2.37,2453
2.39,2408
2.41,2350
2.43,2252
2.45,2160
2.47,2286
2.491,2250
2.511,2407
2.531,2758
2.551,3127
2.571,3841
2.591,5447
2.611,7461
2.631,10352
2.651,14397
2.671,18107
2.691,21140
2.712,21763
2.732,20275
2.752,17822
2.772,16136
2.792,15270
2.812,15923
2.832,16582
2.852,17319
2.872,17521
2.892,17586
2.912,17846
2.932,18407
2.953,19408
2.973,18943
2.993,17270
3.013,14497
3.033,11152
3.053,8162
3.073,5991
3.093,4575
3.113,4084
3.133,3972
3.153,3995
3.173,4138
3.194,4266
3.214,3894
3.234,3672
3.254,3371
3.274,3124
3.294,3006
3.314,3050
3.334,3096
3.354,3160
3.374,3062
3.394,2973
3.415,2957
3.435,2699
3.455,2593
3.475,2596
3.495,2481
3.515,2495
3.535,2532
3.555,2642
3.575,2672
3.595,2826
3.615,3019
3.635,3240
3.656,3517
3.676,3967
3.696,3912
3.716,4069
3.736,4005
3.756,3711
3.776,3637
3.796,3518
3.816,3244
3.836,3142
3.856,3364
3.876,3226
3.897,3378
3.917,3552
3.937,3583
3.957,3824
3.977,3826
3.997,3896
4.017,3852
4.037,4002
4.057,4030
4.077,4235
4.097,4108
4.117,4120
4.138,4160
4.158,4269
4.178,4435
4.198,4368
4.218,4466
4.238,4578
4.258,4494
4.278,4622
4.298,4806
4.318,4819
4.338,4737
4.359,4860
4.379,5186
4.399,4982
4.419,5383
4.439,5557
4.459,5852
4.479,6013
4.499,6285
4.519,6241
4.539,6125
4.559,6109
4.579,6173
4.6,5970
4.62,5650
4.64,5649
4.66,5700
4.68,5650
4.7,5679
4.72,5852
4.74,6034
4.76,5915
4.78,6050
4.8,6195
4.82,6414
4.841,6290
4.861,6430
4.881,6402
4.901,6672
4.921,6701
4.941,6770
4.961,6871
4.981,6950
5.001,7100
5.021,7089
5.041,7140
5.061,7046
5.082,7339
5.102,7263
5.122,7670
5.142,7706
5.162,7885
5.182,7808
5.202,8193
5.222,8310
5.242,8340
5.262,8519
5.282,8684
5.303,8762
5.323,8963
5.343,9315
5.363,9421
5.383,9692
5.403,10001
5.423,9951
5.443,10361
5.463,10376
5.483,10433
5.503,10632
5.523,10843
5.544,11018
5.564,11233
5.584,11220
5.604,11215
5.624,11675
5.644,11687
5.664,11872
5.684,12066
5.704,12385
