Energy [keV],Net Count Rate
0,9661
0.02,7528
0.04,4578
0.06,2819
0.08,1133
0.1,292
0.121,52
0.141,13
0.161,4
0.181,5
0.201,2
0.221,4
0.241,0
0.261,3
0.281,3
0.301,2
0.321,2
0.341,1
0.362,0
0.382,3
0.402,1
0.422,0
0.442,0
0.462,1
0.482,0
0.502,0
0.522,1
0.542,0
0.562,1
0.582,0
0.603,4
0.623,25
0.643,206
0.663,743
0.683,1219
0.703,1442
0.723,1655
0.743,1707
0.763,1610
0.783,1689
0.803,1658
0.823,1636
0.844,1625
0.864,1644
0.884,1667
0.904,1716
0.924,1822
0.944,1803
0.964,1784
0.984,1765
1.004,1711
1.024,1627
1.044,1632
1.065,1585
1.085,1725
1.105,1627
1.125,1616
1.145,1531
1.165,1558
1.185,1591
1.205,1572
1.225,1507
1.245,1482
1.265,1459
1.285,1410
1.306,1366
1.326,1327
1.346,1358
1.366,1303
1.386,1333
1.406,1366
1.426,1417
1.446,1474
1.466,1488
1.486,1557
1.506,1636
1.526,1695
1.547,1670
1.567,1734
1.587,1675
1.607,1574
1.627,1491
1.647,1520
1.667,1448
1.687,1696
1.707,1878
1.727,1931
1.747,2035
1.768,1862
1.788,1802
1.808,1616
1.828,1518
1.848,1504
1.868,1523
1.888,1691
1.908,1826
1.928,1883
1.948,2043
1.968,2015
1.988,1910
2.009,1828
2.029,1620
2.049,1554
2.069,1498
2.089,1421
2.109,1416
2.129,1408
2.149,1503
2.169,1494
2.189,1546
2.209,1705
2.229,1892
2.25,2221
2.27,2507
2.29,2811
2.31,2930
2.33,2846
2.35,2772
2.37,2666
2.39,2391
2.41,2373
2.43,2211
2.45,2288
2.47,2277
2.491,2392
2.511,2544
2.531,2884
2.551,3355
2.571,4323
2.591,5943
2.611,8517
2.631,12219
2.651,16737
2.671,20713
2.691,23432
2.712,23874
2.732,21649
2.752,19268
2.772,17047
2.792,16472
2.812,17058
2.832,18057
2.852,18821
2.872,18512
2.892,18484
2.912,18531
2.932,19220
2.953,19770
2.973,18796
2.993,16924
3.013,13913
3.033,10412
3.053,7802
3.073,5846
3.093,4783
3.113,4402
3.133,4491
3.153,4775
3.173,5315
3.194,6355
3.214,8468
3.234,12120
3.254,17964
3.274,24946
3.294,32307
3.314,36472
3.334,36123
3.354,31958
3.374,24951
3.394,17474
3.415,11212
3.435,7160
3.455,5063
3.475,4426
3.495,4403
3.515,5183
3.535,6669
3.555,8847
3.575,12482
3.595,17776
3.615,26311
3.635,36931
3.656,50041
3.676,61150
3.696,66701
3.716,65298
3.736,56345
3.756,42941
3.776,28794
3.796,17820
3.816,10498
3.836,6580
3.856,4696
3.876,4142
3.897,4265
3.917,5119
3.937,6550
3.957,8213
3.977,10579
3.997,12515
4.017,13861
4.037,13682
4.057,12666
4.077,10402
4.097,8376
4.117,6488
4.138,5076
4.158,4318
4.178,3874
4.198,3596
4.218,3696
4.238,3642
4.258,3801
4.278,3718
4.298,3765
4.318,3781
4.338,3816
4.359,3889
4.379,4190
4.399,4137
4.419,4568
4.439,4611
4.459,4956
4.479,5135
4.499,5133
4.519,5414
4.539,5131
4.559,5056
4.579,4955
4.6,4711
4.62,4568
4.64,4595
4.66,4533
4.68,4481
4.7,4547
4.72,4534
4.74,4682
4.76,4721
4.78,4934
4.8,4908
4.82,5117
4.841,5067
4.861,5242
4.881,5296
4.901,5349
4.921,5280
4.941,5328
4.961,5365
4.981,5348
5.001,5364
5.021,5536
5.041,5486
5.061,5690
5.082,5626
5.102,5674
5.122,5683
5.142,5899
5.162,5932
5.182,6002
5.202,6177
5.222,6209
5.242,6167
5.262,6296
5.282,6207
5.303,6596
5.323,6506
5.343,6664
5.363,6758
5.383,6813
5.403,7044
5.423,6983
5.443,7143
5.463,7189
5.483,7272
5.503,7371
5.523,7428
5.544,7604
5.564,7737
5.584,7700
5.604,7554
5.624,8009
5.644,7832
5.664,7858
5.684,8206
5.704,8170
5.724,8261
5.744,8298
5.764,8437
5.785,8500
5.805,8782
5.825,8855
5.845,8967
5.865,9253
5.885,9439
5.905,9479
5.925,9551
5.945,9560
5.965,9687
5.985,9330
6.006,9355
6.026,9443
6.046,9608
6.066,9579
6.086,9612
6.106,9797
6.126,9877
6.146,10108
6.166,10392
6.186,10490
6.206,10949
6.226,11242
6.247,11535
6.267,11993
6.287,12492
6.307,12869
6.327,13758
6.347,14189
6.367,15127
6.387,15495
6.407,15972
6.427,15791
6.447,15398
6.467,14669
6.488,13504
6.508,12645
6.528,11824
6.548,11056
6.568,10948
6.588,10882
6.608,10756
6.628,10568
6.648,10690
6.668,10609
6.688,10750
6.708,10848
6.729,11065
6.749,10995
6.769,11185
6.789,11581
6.809,11408
6.829,11657
6.849,11966
6.869,12174
6.889,12295
6.909,12124
6.929,12529
6.95,12603
6.97,12524
6.99,12660
7.01,12683
7.03,12924
7.05,12647
7.07,12912
7.09,13414
7.11,13649
7.13,14211
7.15,15015
7.17,16010
7.191,17112
7.211,18449
7.231,19835
7.251,21737
7.271,23531
7.291,24302
7.311,25835
7.331,26275
7.351,26925
7.371,27627
7.391,28157
7.411,29094
7.432,30031
7.452,30906
7.472,31162
7.492,30838
7.512,29240
7.532,26663
7.552,23515
7.572,20485
7.592,17429
7.612,14944
7.632,13391
7.652,12350
7.673,11677
7.693,11342
7.713,11267
7.733,11402
7.753,11259
7.773,11261
7.793,11149
7.813,11469
7.833,11363
7.853,11843
7.873,11829
7.894,11894
7.914,12116
7.934,12511
7.954,12693
7.974,13261
7.994,13522
8.014,14074
8.034,14473
8.054,14618
8.074,14741
8.094,14840
8.114,14485
8.135,14228
8.155,14180
8.175,13908
8.195,13999
8.215,13620
8.235,13837
8.255,13782
8.275,14003
8.295,13863
8.315,13342
8.335,13278
8.355,12463
8.376,12272
8.396,11974
8.416,11553
8.436,11685
8.456,11278
8.476,11111
8.496,11326
8.516,11324
8.536,11299
8.556,11521
8.576,11521
8.597,11347
8.617,11429
8.637,11723
8.657,11578
8.677,11698
8.697,11684
8.717,11645
8.737,11476
8.757,11561
8.777,11567
8.797,11559
8.817,11526
8.838,11606
8.858,11546
8.878,11513
8.898,11773
8.918,11837
8.938,11584
8.958,11794
8.978,11764
8.998,11505
9.018,11712
9.038,11637
9.058,11688
9.079,11642
9.099,11710
9.119,11472
9.139,11405
9.159,11810
9.179,11662
9.199,11615
9.219,11665
9.239,11699
9.259,11938
9.279,11735
9.299,11833
9.32,11902
9.34,11738
9.36,11858
9.38,11814
9.4,12074
9.42,11882
9.44,11840
9.46,11799
9.48,12022
9.5,12081
9.52,11930
9.541,11949
9.561,11863
9.581,11960
9.601,12164
9.621,11887
