Energy [keV],Net Count Rate
0,9316
0.02,7218
0.04,4694
0.06,2862
0.08,1244
0.1,275
0.121,44
0.141,14
0.161,7
0.181,5
0.201,2
0.221,5
0.241,2
0.261,3
0.281,3
0.301,2
0.321,1
0.341,0
0.362,0
0.382,1
0.402,0
0.422,0
0.442,1
0.462,3
0.482,0
0.502,1
0.522,1
0.542,2
0.562,1
0.582,0
0.603,3
0.623,28
0.643,268
0.663,904
0.683,1546
0.703,1797
0.723,1976
0.743,1999
0.763,2017
0.783,1975
0.803,1922
0.824,1899
0.844,1921
0.864,1867
0.884,1893
0.904,2095
0.924,2061
0.944,2042
0.964,2134
0.984,2025
1.004,1929
1.024,1854
1.044,1904
1.065,1992
1.085,1913
1.105,1974
1.125,1933
1.145,1772
1.165,1843
1.185,1883
1.205,1865
1.225,1813
1.245,1695
1.265,1658
1.285,1626
1.306,1563
1.326,1557
1.346,1599
1.366,1536
1.386,1558
1.406,1576
1.426,1646
1.446,1648
1.466,1694
1.486,1703
1.506,1685
1.527,1705
1.547,1630
1.567,1556
1.587,1577
1.607,1575
1.627,1523
1.647,1547
1.667,1664
1.687,1756
1.707,2015
1.727,2103
1.747,2079
1.768,2012
1.788,1907
1.808,1706
1.828,1658
1.848,1681
1.868,1747
1.888,1887
1.908,2106
1.928,2303
1.948,2362
1.968,2292
1.988,2166
2.009,2006
2.029,1841
2.049,1735
2.069,1622
2.089,1565
2.109,1533
2.129,1619
2.149,1673
2.169,1739
2.189,1753
2.209,1847
2.23,2183
2.25,2595
2.27,3057
2.29,3446
2.31,3731
2.33,3599
2.35,3337
2.37,2911
2.39,2695
2.41,2506
2.43,2427
2.45,2351
2.471,2450
2.491,2495
2.511,2713
2.531,3036
2.551,3661
2.571,4526
2.591,6211
2.611,8922
2.631,12472
2.651,16557
2.671,20406
2.691,22573
2.712,22577
2.732,20739
2.752,18146
2.772,16115
2.792,15781
2.812,16689
2.832,17427
2.852,18440
2.872,18212
2.892,17683
2.912,18507
2.933,19316
2.953,19630
2.973,18741
2.993,16574
3.013,13536
3.033,10275
3.053,7419
3.073,5650
3.093,4677
3.113,4255
3.133,4360
3.153,4591
3.174,4704
3.194,5133
3.214,5776
3.234,6784
3.254,8560
3.274,11145
3.294,13522
3.314,14680
3.334,14269
3.354,12939
3.374,10372
3.395,7888
3.415,5773
3.435,4463
3.455,3831
3.475,3677
3.495,3744
3.515,4391
3.535,5402
3.555,7682
3.575,11441
3.595,18458
3.615,29924
3.636,45145
3.656,62618
3.676,77476
3.696,84357
3.716,81077
3.736,68678
3.756,51381
3.776,34317
3.796,20820
3.816,12049
3.836,7307
3.856,5179
3.877,4603
3.897,4985
3.917,6009
3.937,7849
3.957,10561
3.977,13028
3.997,15556
4.017,16994
4.037,16702
4.057,14896
4.077,12119
4.098,9456
4.118,7135
4.138,5462
4.158,4443
4.178,3921
4.198,3878
4.218,3663
4.238,3783
4.258,3864
4.278,3774
4.298,3879
4.318,4045
4.339,4111
4.359,4184
4.379,4360
4.399,4670
4.419,4919
4.439,5429
4.459,5450
4.479,5703
4.499,5824
4.519,6046
4.539,5757
4.559,5477
4.58,5200
4.6,4929
4.62,4777
4.64,4681
4.66,4701
4.68,4650
4.7,4730
4.72,4842
4.74,4891
4.76,4940
4.78,5182
4.801,5298
4.821,5558
4.841,5669
4.861,5791
4.881,5640
4.901,5753
4.921,5713
4.941,5706
4.961,5650
4.981,5590
5.001,5803
5.021,5587
5.042,5665
5.062,5779
5.082,5983
5.102,5763
5.122,5971
5.142,6143
5.162,6179
5.182,6200
5.202,6269
5.222,6413
5.242,6520
5.262,6464
5.283,6490
5.303,6518
5.323,6606
5.343,6795
5.363,6947
5.383,7154
5.403,7008
5.423,7148
5.443,7319
5.463,7516
5.483,7512
5.504,7558
5.524,7594
5.544,7717
