Energy [keV],Net Count Rate
0,9135
0.02,7066
0.04,4522
0.06,2805
0.08,1300
0.1,311
0.12,57
0.14,17
0.16,12
0.18,5
0.2,7
0.22,5
0.24,1
0.26,2
0.28,0
0.3,1
0.32,0
0.34,1
0.36,0
0.38,4
0.4,1
0.42,3
0.44,1
0.46,2
0.48,0
0.5,1
0.519,0
0.539,0
0.559,3
0.579,0
0.599,3
0.619,44
0.639,309
0.659,1048
0.679,1691
0.699,2021
0.719,2262
0.739,2406
0.759,2228
0.779,2240
0.799,2191
0.819,2287
0.839,2314
0.859,2311
0.879,2291
0.899,2275
0.919,2443
0.939,2483
0.959,2342
0.979,2272
0.999,2145
1.019,2133
1.039,2090
1.059,2232
1.079,2105
1.099,2158
1.119,2097
1.139,2039
1.159,2015
1.179,2095
1.199,2085
1.219,2022
1.239,1960
1.259,1886
1.279,1914
1.299,1820
1.319,1847
1.339,1748
1.359,1716
1.379,1759
1.399,1718
1.419,1769
1.439,1792
1.459,1811
1.479,1750
1.499,1735
1.519,1687
1.539,1656
1.558,1631
1.578,1652
1.598,1587
1.618,1583
1.638,1664
1.658,1654
1.678,1701
1.698,1776
1.718,1838
1.738,1865
1.758,1824
1.778,1731
1.798,1667
1.818,1604
1.838,1625
1.858,1643
1.878,1629
1.898,1702
1.918,1734
1.938,1853
1.958,1918
1.978,1912
1.998,1774
2.018,1788
2.038,1687
2.058,1628
2.078,1661
2.098,1664
2.118,1662
2.138,1599
2.158,1707
2.178,1827
2.198,1921
2.218,2234
2.238,2599
2.258,3021
2.278,3619
2.298,3912
2.318,3918
2.338,3664
2.358,3302
2.378,2985
2.398,2583
2.418,2497
2.438,2440
2.458,2539
2.478,2619
2.498,2753
2.518,3043
2.538,3718
2.558,4911
2.578,6637
2.597,9086
2.617,12295
2.637,16130
2.657,19394
2.677,21810
2.697,22537
2.717,21083
2.737,18568
2.757,16290
2.777,15361
2.797,15611
2.817,16848
2.837,17549
2.857,17658
2.877,17564
2.897,17794
2.917,18646
2.937,19132
2.957,19204
2.977,17725
2.997,14782
3.017,11288
3.037,8443
3.057,5935
3.077,4690
3.097,4041
3.117,3816
3.137,3920
3.157,4115
3.177,4200
3.197,4035
3.217,3788
3.237,3393
3.257,3097
3.277,3087
3.297,3171
3.317,3106
3.337,3103
3.357,3049
3.377,3040
3.397,2770
3.417,2703
3.437,2600
3.457,2623
3.477,2635
3.497,2645
3.517,2824
3.537,3242
3.557,3998
3.577,5803
3.597,8653
3.617,13294
3.636,18958
3.656,25114
3.676,28972
3.696,30073
3.716,27426
3.736,22086
3.756,16488
3.776,11195
3.796,7470
3.816,5007
3.836,3815
3.856,3350
3.876,3434
3.896,3691
3.916,4062
3.936,4967
3.956,5823
3.976,6923
3.996,7457
4.016,7790
4.036,7651
4.056,6884
4.076,5811
4.096,5013
4.116,4374
4.136,3841
4.156,3565
4.176,3520
4.196,3466
4.216,3516
4.236,3514
4.256,3586
4.276,3540
4.296,3714
4.316,3652
4.336,3773
4.356,3915
4.376,3873
4.396,3939
4.416,4190
4.436,4456
4.456,4648
4.476,4820
4.496,4736
4.516,4813
4.536,4759
4.556,4696
4.576,4547
4.596,4411
4.616,4253
4.636,4276
4.656,4329
4.675,4270
4.695,4348
4.715,4459
4.735,4389
4.755,4427
4.775,4489
4.795,4429
4.815,4598
4.835,4730
4.855,4709
4.875,4745
4.895,4818
4.915,4865
4.935,4985
4.955,4877
4.975,5064
4.995,5079
5.015,4980
5.035,5022
5.055,5034
5.075,5206
5.095,5119
5.115,5360
5.135,5380
5.155,5507
5.175,5474
5.195,5592
5.215,5489
5.235,5714
5.255,5672
5.275,5822
5.295,5785
5.315,5931
5.335,5915
5.355,6212
5.375,6311
5.395,6422
5.415,6502
5.435,6412
5.455,6501
5.475,6379
5.495,6641
5.515,6611
5.535,6566
5.555,6841
5.575,6781
5.595,6987
5.615,6938
5.635,6967
5.655,7322
5.675,7103
5.694,7345
5.714,7311
5.734,7590
5.754,7566
5.774,7621
5.794,7849
5.814,7855
5.834,8159
5.854,8202
5.874,8242
5.894,8371
5.914,8312
5.934,8364
5.954,8293
5.974,8430
5.994,8390
6.014,8445
6.034,8486
6.054,8485
6.074,8558
6.094,8672
6.114,8723
6.134,9070
6.154,9217
6.174,9449
6.194,9877
6.214,10252
6.234,10418
6.254,11125
6.274,11918
6.294,12740
6.314,14222
6.334,15683
6.354,17150
6.374,17950
6.394,18986
6.414,18719
6.434,17713
6.454,16450
6.474,14435
6.494,12779
6.514,11737
6.534,10701
6.554,10067
6.574,9775
6.594,9818
6.614,9831
6.634,9682
6.654,9657
6.674,9850
6.694,9999
6.714,10164
6.733,10388
6.753,10405
6.773,10846
6.793,10815
6.813,11076
6.833,11128
6.853,11477
6.873,11536
6.893,11728
6.913,11879
6.933,12010
6.953,12040
6.973,12277
6.993,12364
7.013,12606
7.033,12901
7.053,13038
7.073,13257
7.093,13581
7.113,14045
7.133,14305
7.153,15110
7.173,16481
7.193,18035
7.213,19173
7.233,20963
7.253,22529
7.273,23804
7.293,24679
7.313,25479
7.333,25964
7.353,26471
7.373,26642
7.393,27745
7.413,28317
7.433,28871
7.453,29357
7.473,29041
7.493,27356
7.513,25110
7.533,22379
7.553,19567
7.573,16547
7.593,14444
7.613,13045
7.633,12077
7.653,11529
7.673,11181
7.693,10972
7.713,11144
7.733,11145
7.753,11139
7.772,11146
7.792,11199
7.812,11517
7.832,11435
7.852,11952
7.872,12161
7.892,12479
7.912,12437
7.932,12982
7.952,13462
7.972,13686
7.992,14268
8.012,14522
8.032,14795
8.052,15010
8.072,14902
8.092,14926
8.112,14634
8.132,14605
8.152,14366
8.172,14589
8.192,14595
8.212,14859
8.232,14727
8.252,15054
8.272,14992
8.292,15013
8.312,14957
8.332,14688
8.352,14498
8.372,14245
8.392,14989
8.412,15939
8.432,17748
8.452,21492
8.472,28066
8.492,39190
8.512,55809
8.532,78167
8.552,105969
8.572,137123
8.592,165914
8.612,187543
8.632,198383
8.652,195749
8.672,179302
8.692,153409
8.712,123019
8.732,93060
8.752,67199
8.772,46637
8.792,32742
8.811,23618
8.831,18231
8.851,15435
8.871,13856
8.891,13379
8.911,13236
8.931,13140
8.951,13180
8.971,12970
8.991,12828
9.011,13039
9.031,12865
9.051,12940
9.071,13035
9.091,12836
9.111,13126
9.131,13043
9.151,13143
9.171,13339
9.191,13452
9.211,13434
9.231,13610
9.251,13708
9.271,13555
9.291,13863
9.311,13670
9.331,14098
9.351,14334
9.371,14788
9.391,15484
9.411,16252
9.431,18337
9.451,20928
9.471,24031
9.491,28221
9.511,32669
9.531,37069
9.551,40042
9.571,42262
9.591,41529
9.611,39079
9.631,35611
9.651,30928
9.671,26375
9.691,22351
9.711,19472
9.731,16793
9.751,15047
9.771,13933
9.791,13498
9.811,13135
9.831,13087
9.85,12950
9.87,12983
9.89,12898
9.91,12675
9.93,12929
9.95,12654
9.97,12955
9.99,12874
10.01,12928
10.03,12967
10.05,12872
10.07,13072
10.09,13112
10.11,13043
10.13,13003
10.15,13173
10.17,12878
10.19,12849
10.21,12913
10.23,13127
10.25,13082
10.27,13151
10.29,13118
10.31,13086
10.33,13373
10.35,12936
10.37,13245
10.39,13268
10.41,13212
10.43,12918
10.45,13059
10.47,13064
10.49,13228
10.51,13193
10.53,13352
10.55,13379
10.57,13022
10.59,13240
10.61,13503
10.63,13217
10.65,13206
10.67,13124
10.69,13128
10.71,13085
10.73,13084
10.75,13176
10.77,13166
10.79,13010
10.81,13271
10.83,13283
10.85,13194
10.87,13171
10.889,13324
10.909,13311
10.929,13276
10.949,13499
10.969,13172
10.989,13289
11.009,13094
11.029,13206
11.049,13390
11.069,13093
11.089,13253
11.109,13028
11.129,13159
11.149,13198
11.169,13140
11.189,13145
11.209,13066
11.229,13310
11.249,13186
11.269,13347
11.289,13299
11.309,13266
11.329,13332
11.349,13277
11.369,13284
11.389,13346
11.409,13216
11.429,13576
11.449,13070
11.469,13341
11.489,12951
11.509,13494
11.529,13248
11.549,13120
11.569,13274
11.589,13063
11.609,13228
11.629,13044
11.649,13084
11.669,13331
11.689,13125
11.709,13090
11.729,13190
11.749,13279
11.769,13213
11.789,13307
11.809,13401
11.829,13363
11.849,13503
11.869,13462
11.889,13711
11.908,13568
11.928,13725
11.948,13736
11.968,13214
11.988,13256
12.008,13361
12.028,12990
12.048,13083
12.068,13038
12.088,12839
12.108,13038
12.128,13013
12.148,12910
12.168,12836
12.188,12891
12.208,12752
12.228,12494
12.248,12682
12.268,12668
12.288,12658
12.308,12608
12.328,12841
12.348,12785
12.368,12596
12.388,12571
12.408,12569
12.428,12568
12.448,12447
12.468,12346
12.488,12511
12.508,12309
12.528,12288
12.548,12371
12.568,12440
12.588,12319
12.608,12316
12.628,12471
12.648,12416
12.668,12249
12.688,12463
12.708,12319
12.728,12265
12.748,12211
12.768,12143
12.788,12278
12.808,12271
12.828,11985
12.848,12071
12.868,12015
12.888,11975
12.908,11848
12.928,11961
12.947,11828
12.967,12098
12.987,11740
13.007,11768
13.027,11701
13.047,11875
13.067,11630
13.087,11693
13.107,11772
13.127,11814
13.147,11554
13.167,11646
13.187,11920
13.207,11745
13.227,11659
13.247,11577
13.267,11833
13.287,11609
13.307,11609
13.327,11746
13.347,11475
13.367,11546
13.387,11551
13.407,11402
13.427,11561
13.447,11179
13.467,11497
13.487,11337
13.507,11367
13.527,11454
13.547,11278
13.567,11300
13.587,11324
13.607,11154
13.627,11082
13.647,11130
13.667,11099
13.687,10863
13.707,11081
13.727,10985
13.747,11076
13.767,10994
13.787,10875
13.807,10881
13.827,10961
13.847,11037
13.867,10840
13.887,10848
13.907,10938
13.927,10722
13.947,10814
13.967,10811
13.986,10754
14.006,10717
14.026,10868
14.046,10966
14.066,11246
14.086,10871
14.106,11058
14.126,11083
14.146,11104
14.166,10938
14.186,11054
14.206,10912
14.226,10842
14.246,10557
14.266,10687
14.286,10470
14.306,10529
14.326,10414
14.346,10351
14.366,10272
14.386,10082
14.406,10077
14.426,10016
14.446,10172
14.466,10141
14.486,10061
14.506,10048
14.526,9970
14.546,10096
14.566,10076
14.586,9927
14.606,9891
14.626,9879
14.646,10017
14.666,9901
14.686,9777
14.706,9623
14.726,9745
14.746,9731
14.766,10005
14.786,9749
14.806,9858
14.826,9808
14.846,9660
14.866,9646
14.886,9605
14.906,9642
14.926,9563
14.946,9621
14.966,9635
14.986,9479
15.006,9285
15.025,9314
15.045,9447
15.065,9442
15.085,9280
15.105,9504
15.125,9188
15.145,9526
15.165,9097
15.185,9165
15.205,9266
15.225,8996
15.245,9171
15.265,9277
15.285,8979
15.305,8848
15.325,9060
15.345,9010
15.365,8861
15.385,8788
15.405,8830
15.425,8741
15.445,8823
15.465,8775
15.485,8905
15.505,8771
15.525,8789
15.545,8668
15.565,8921
15.585,8816
15.605,8606
15.625,8643
15.645,8611
15.665,8638
15.685,8354
15.705,8441
15.725,8378
15.745,8614
15.765,8618
15.785,8346
15.805,8399
15.825,8309
15.845,8223
15.865,8331
15.885,8364
15.905,8422
15.925,8182
15.945,8322
15.965,8422
15.985,8200
16.005,8145
16.025,8204
16.045,8112
16.064,8144
16.084,7958
16.104,8110
16.124,7944
16.144,7862
16.164,8042
16.184,8146
16.204,7988
16.224,7801
16.244,7914
16.264,7881
16.284,7708
16.304,7959
16.324,7658
16.344,7760
16.364,7740
16.384,7677
16.404,7626
16.424,7694
16.444,7513
16.464,7662
16.484,7525
16.504,7396
16.524,7485
16.544,7644
16.564,7425
16.584,7505
16.604,7518
16.624,7273
16.644,7446
16.664,7372
16.684,7299
16.704,7329
16.724,7294
16.744,7351
16.764,7306
16.784,7370
16.804,7143
16.824,7256
16.844,7290
16.864,7262
16.884,7206
16.904,7264
16.924,7171
16.944,7161
16.964,7003
16.984,7146
17.004,7090
17.024,7239
17.044,7171
17.064,7075
17.083,7031
17.103,7059
17.123,7010
17.143,6951
17.163,7073
17.183,7085
17.203,6946
17.223,7077
17.243,6979
17.263,7062
17.283,6963
17.303,6993
17.323,7078
17.343,7124
17.363,7177
17.383,6825
17.403,7035
17.423,6887
17.443,6847
17.463,6917
17.483,6777
17.503,6895
17.523,6952
17.543,6859
17.563,6990
17.583,6847
17.603,7007
17.623,6890
17.643,6884
17.663,6848
17.683,6828
17.703,6935
17.723,6959
17.743,6928
17.763,7051
17.783,7102
17.803,6914
17.823,7111
17.843,7077
17.863,7036
17.883,7193
17.903,7111
17.923,7025
17.943,7147
17.963,7286
17.983,7333
18.003,7346
18.023,7320
18.043,7249
18.063,7436
18.083,7410
18.103,7450
18.122,7447
18.142,7591
18.162,7672
18.182,7888
18.202,7884
18.222,7944
18.242,8049
18.262,8048
18.282,8274
18.302,8319
18.322,8647
18.342,8697
18.362,8937
18.382,9052
18.402,9350
18.422,9685
18.442,10223
18.462,10335
18.482,10627
18.502,10974
18.522,11769
18.542,12304
18.562,13065
18.582,13563
18.602,14265
18.622,15102
18.642,15925
18.662,16895
18.682,17578
18.702,18786
18.722,19641
18.742,20632
18.762,21474
18.782,22172
18.802,23362
18.822,24066
18.842,25078
18.862,25877
18.882,26353
18.902,26471
18.922,27165
18.942,27326
18.962,27306
18.982,27172
19.002,26894
19.022,26406
19.042,25990
19.062,25445
19.082,24972
19.102,23995
19.122,23346
19.142,22496
19.161,21303
19.181,20360
19.201,19561
19.221,18375
19.241,17452
19.261,16262
19.281,15198
19.301,14492
19.321,13280
19.341,12856
19.361,12061
19.381,11248
19.401,10638
19.421,10246
19.441,9562
19.461,9292
19.481,8793
19.501,8356
19.521,8054
19.541,7609
19.561,7367
19.581,7142
19.601,6855
19.621,6814
19.641,6533
19.661,6372
19.681,6052
19.701,6122
19.721,6025
19.741,5786
19.761,5605
19.781,5570
19.801,5486
19.821,5431
19.841,5357
19.861,5417
19.881,5337
19.901,5505
19.921,5413
19.941,5600
19.961,5797
19.981,6064
20.001,6423
20.021,6775
20.041,7103
20.061,7512
20.081,7730
20.101,8462
20.121,8386
20.141,8852
20.161,8903
20.181,9080
20.2,9106
20.22,8875
20.24,8681
20.26,8489
20.28,7853
20.3,7484
20.32,6963
20.34,6521
20.36,5864
20.38,5514
20.4,5100
20.42,4968
20.44,4641
20.46,4523
20.48,4435
20.5,4250
20.52,4224
20.54,4226
20.56,4178
20.58,4316
20.6,4230
20.62,4288
20.64,4375
20.66,4483
20.68,4363
20.7,4502
20.72,4605
20.74,4602
20.76,4677
20.78,4752
20.8,4817
20.82,4997
20.84,5128
20.86,5327
20.88,5406
20.9,5625
20.92,5813
20.94,5819
20.96,6090
20.98,6234
21,6590
21.02,6726
21.04,7111
21.06,7277
21.08,7491
21.1,7523
21.12,7573
21.14,7612
21.16,7876
21.18,7677
21.2,7833
21.22,7742
21.239,7607
21.259,7326
21.279,7038
21.299,6891
21.319,6648
21.339,6283
21.359,6213
21.379,6123
21.399,5715
21.419,5665
21.439,5562
21.459,5398
21.479,5270
21.499,5065
21.519,5027
21.539,4784
21.559,4826
21.579,4719
21.599,4623
21.619,4387
21.639,4357
21.659,4217
21.679,4133
21.699,4056
21.719,3905
21.739,3811
21.759,3852
21.779,3703
21.799,3641
21.819,3611
21.839,3519
21.859,3302
21.879,3515
21.899,3435
21.919,3305
21.939,3043
21.959,3238
21.979,3204
21.999,3140
22.019,3165
22.039,3107
22.059,3010
22.079,2986
22.099,3056
22.119,2834
22.139,2900
22.159,2855
22.179,2906
22.199,2941
22.219,2734
22.239,2757
22.258,2753
22.278,2762
22.298,2566
22.318,2683
22.338,2690
22.358,2662
22.378,2672
22.398,2688
22.418,2589
22.438,2528
22.458,2633
22.478,2591
22.498,2572
22.518,2649
22.538,2634
22.558,2594
22.578,2587
22.598,2887
22.618,2921
22.638,2860
22.658,2884
22.678,2881
22.698,2967
22.718,2912
22.738,2972
22.758,2885
22.778,2983
22.798,2767
22.818,2762
22.838,2660
22.858,2707
22.878,2568
22.898,2506
22.918,2478
22.938,2423
22.958,2321
22.978,2316
22.998,2328
23.018,2347
23.038,2281
23.058,2240
23.078,2328
23.098,2223
23.118,2158
23.138,2337
23.158,2304
23.178,2182
23.198,2314
23.218,2290
23.238,2252
23.258,2201
23.278,2182
23.297,2237
23.317,2205
23.337,2120
23.357,2177
23.377,2092
23.397,2141
23.417,2112
23.437,2137
23.457,2052
23.477,2069
23.497,2088
23.517,2032
23.537,2029
23.557,2086
23.577,2049
23.597,2078
23.617,2066
23.637,2070
23.657,2080
23.677,2108
23.697,2079
23.717,2147
23.737,2201
23.757,2227
23.777,2203
23.797,2222
23.817,2148
23.837,2255
23.857,2197
23.877,2216
23.897,2266
23.917,2052
23.937,2047
23.957,2027
23.977,1974
23.997,1953
24.017,1943
24.037,1867
24.057,1917
24.077,1855
24.097,1855
24.117,1830
24.137,1869
24.157,1799
24.177,1859
24.197,1879
24.217,1979
24.237,1837
24.257,1807
24.277,1879
24.297,1776
24.317,1832
24.336,1875
24.356,1825
24.376,1794
24.396,1775
24.416,1733
24.436,1793
24.456,1711
24.476,1782
24.496,1736
24.516,1737
24.536,1745
24.556,1706
24.576,1687
24.596,1733
24.616,1719
24.636,1637
24.656,1603
24.676,1662
24.696,1602
24.716,1681
24.736,1640
24.756,1707
24.776,1675
24.796,1612
24.816,1604
24.836,1613
24.856,1573
24.876,1657
24.896,1594
24.916,1608
24.936,1610
24.956,1611
24.976,1543
24.996,1576
25.016,1506
25.036,1609
25.056,1541
25.076,1644
25.096,1540
25.116,1541
25.136,1546
25.156,1452
25.176,1550
25.196,1530
25.216,1582
25.236,1591
25.256,1544
25.276,1549
25.296,1431
25.316,1523
25.336,1515
25.356,1413
25.375,1472
25.395,1514
25.415,1428
25.435,1419
25.455,1480
25.475,1428
25.495,1437
25.515,1416
25.535,1405
25.555,1435
25.575,1386
25.595,1416
25.615,1334
25.635,1362
25.655,1367
25.675,1346
25.695,1347
25.715,1367
25.735,1375
25.755,1389
25.775,1312
25.795,1365
25.815,1342
25.835,1364
25.855,1319
25.875,1333
25.895,1344
25.915,1274
25.935,1345
25.955,1309
25.975,1365
25.995,1281
26.015,1326
26.035,1272
26.055,1280
26.075,1291
26.095,1252
26.115,1297
26.135,1239
26.155,1234
26.175,1257
26.195,1174
26.215,1242
26.235,1163
26.255,1263
26.275,1294
26.295,1260
26.315,1203
26.335,1235
26.355,1223
26.375,1187
26.395,1225
26.414,1200
26.434,1202
26.454,1215
26.474,1243
26.494,1218
26.514,1172
26.534,1168
26.554,1191
26.574,1154
26.594,1168
26.614,1159
26.634,1159
26.654,1159
26.674,1145
26.694,1174
26.714,1147
26.734,1091
26.754,1102
26.774,1106
26.794,1180
26.814,1196
26.834,1145
26.854,1189
26.874,1153
26.894,1108
26.914,1091
26.934,1063
26.954,1042
26.974,1083
26.994,1062
27.014,1090
27.034,1097
27.054,1065
27.074,1024
27.094,1066
27.114,1035
27.134,1107
27.154,1068
27.174,1077
27.194,1001
27.214,1035
27.234,1005
27.254,1046
27.274,1057
27.294,1030
27.314,1072
27.334,1016
27.354,1079
27.374,1024
27.394,981
27.414,961
27.434,1049
27.453,1020
27.473,1039
27.493,984
27.513,1034
27.533,954
27.553,973
27.573,988
27.593,946
27.613,980
27.633,935
27.653,981
27.673,891
27.693,945
27.713,944
27.733,920
27.753,924
27.773,948
27.793,925
27.813,931
27.833,926
27.853,886
27.873,885
27.893,949
27.913,910
27.933,928
27.953,852
27.973,910
27.993,894
28.013,841
28.033,904
28.053,873
28.073,842
28.093,861
28.113,852
28.133,872
28.153,872
28.173,854
28.193,862
28.213,903
28.233,863
28.253,858
28.273,842
28.293,816
28.313,803
28.333,841
28.353,860
28.373,839
28.393,819
28.413,808
28.433,835
28.453,822
28.472,814
28.492,847
28.512,814
28.532,838
28.552,778
28.572,806
28.592,797
28.612,797
28.632,754
28.652,762
28.672,822
28.692,782
28.712,736
28.732,773
28.752,747
28.772,792
28.792,750
28.812,741
28.832,733
28.852,730
28.872,695
28.892,755
28.912,742
28.932,705
28.952,733
28.972,756
28.992,730
29.012,702
29.032,707
29.052,697
29.072,679
29.092,731
29.112,665
29.132,713
29.152,705
29.172,678
29.192,710
29.212,758
29.232,716
29.252,658
29.272,643
29.292,663
29.312,661
29.332,669
29.352,724
29.372,651
29.392,715
29.412,618
29.432,674
29.452,662
29.472,626
29.492,623
29.511,629
29.531,616
29.551,710
29.571,614
29.591,639
29.611,651
29.631,593
29.651,615
29.671,634
29.691,626
29.711,611
29.731,610
29.751,626
29.771,601
29.791,660
29.811,608
29.831,668
29.851,627
29.871,597
29.891,606
29.911,589
29.931,644
29.951,572
29.971,576
29.991,571
30.011,576
30.031,605
30.051,580
30.071,553
30.091,570
30.111,541
30.131,595
30.151,569
30.171,574
30.191,566
30.211,534
30.231,591
30.251,520
30.271,491
30.291,513
30.311,512
30.331,511
30.351,547
30.371,548
30.391,537
30.411,541
30.431,511
30.451,571
30.471,525
30.491,510
30.511,546
30.531,529
30.55,482
30.57,510
30.59,502
30.61,496
30.63,503
30.65,449
30.67,474
30.69,497
30.71,494
30.73,508
30.75,505
30.77,463
30.79,439
30.81,537
30.83,466
30.85,498
30.87,500
30.89,456
30.91,461
30.93,471
30.95,439
30.97,471
30.99,444
31.01,445
31.03,473
31.05,445
31.07,438
31.09,491
31.11,426
31.13,398
31.15,445
31.17,420
31.19,464
31.21,427
31.23,441
31.25,412
31.27,404
31.29,397
31.31,463
31.33,400
31.35,396
31.37,406
31.39,439
31.41,382
31.43,435
31.45,397
31.47,386
31.49,426
31.51,401
31.53,387
31.55,373
31.57,376
31.589,420
31.609,423
31.629,419
31.649,394
31.669,386
31.689,364
31.709,362
31.729,378
31.749,366
31.769,387
31.789,362
31.809,363
31.829,365
31.849,362
31.869,395
31.889,349
31.909,375
31.929,371
31.949,334
31.969,333
31.989,373
32.009,347
32.029,319
32.049,337
32.069,345
