Energy [keV],Net Count Rate
0,9417
0.02,7470
0.04,4619
0.06,2768
0.08,1248
0.1,296
0.12,48
0.14,12
0.161,8
0.181,1
0.201,6
0.221,3
0.241,0
0.261,2
0.281,7
0.301,1
0.321,2
0.341,0
0.361,3
0.381,0
0.401,0
0.421,1
0.441,0
0.461,0
0.482,0
0.502,0
0.522,1
0.542,1
0.562,0
0.582,2
0.602,1
0.622,17
0.642,221
0.662,758
0.682,1333
0.702,1732
0.722,1799
0.742,1888
0.762,1838
0.782,1876
0.803,1831
0.823,1879
0.843,1968
0.863,1978
0.883,2069
0.903,1986
0.923,2109
0.943,2018
0.963,1953
0.983,1924
1.003,1849
1.023,1809
1.043,1810
1.063,1818
1.083,1856
1.104,1829
1.124,1754
1.144,1716
1.164,1695
1.184,1705
1.204,1785
1.224,1684
1.244,1649
1.264,1596
1.284,1541
1.304,1529
1.324,1474
1.344,1466
1.364,1525
1.384,1450
1.404,1514
1.425,1527
1.445,1602
1.465,1543
1.485,1589
1.505,1537
1.525,1481
1.545,1415
1.565,1366
1.585,1363
1.605,1389
1.625,1439
1.645,1396
1.665,1454
1.685,1523
1.705,1626
1.726,1688
1.746,1703
1.766,1687
1.786,1586
1.806,1461
1.826,1351
1.846,1348
1.866,1464
1.886,1450
1.906,1497
1.926,1552
1.946,1617
1.966,1660
1.986,1721
2.006,1620
2.026,1602
2.047,1534
2.067,1540
2.087,1479
2.107,1488
2.127,1514
2.147,1570
2.167,1576
2.187,1674
2.207,1893
2.227,2138
2.247,2730
2.267,3240
2.287,3959
2.307,4143
2.327,4260
2.347,3828
2.368,3259
2.388,2935
2.408,2663
2.428,2442
2.448,2485
2.468,2594
2.488,2819
2.508,3394
2.528,4532
2.548,6569
2.568,9595
2.588,13591
2.608,17659
2.628,22083
2.648,25029
2.669,26267
2.689,26494
2.709,24819
2.729,22009
2.749,18579
2.769,16623
2.789,16393
2.809,17014
2.829,18115
2.849,18287
2.869,18515
2.889,18021
2.909,18270
2.929,18824
2.949,19599
2.969,19024
2.99,17376
3.01,13870
3.03,10502
3.05,7457
3.07,5314
3.09,4179
3.11,3777
3.13,3649
3.15,3798
3.17,3907
3.19,4068
3.21,3812
3.23,3524
3.25,3375
3.27,3201
3.29,3101
3.311,3195
3.331,3294
3.351,3211
3.371,3050
3.391,2891
3.411,2653
3.431,2582
3.451,2386
3.471,2455
3.491,2396
3.511,2432
3.531,2765
3.551,3019
3.571,3781
3.591,5327
3.612,7680
3.632,11272
3.652,15516
3.672,19327
3.692,21772
3.712,21411
3.732,19093
3.752,15336
3.772,11093
3.792,7680
3.812,5240
3.832,3934
3.852,3519
3.872,3166
3.892,3210
3.912,3487
3.933,3886
3.953,4604
3.973,5216
3.993,5892
4.013,6254
4.033,6413
4.053,6201
4.073,5576
4.093,4793
4.113,4293
4.133,3940
4.153,3637
4.173,3565
4.193,3509
4.213,3513
4.234,3523
4.254,3558
4.274,3619
4.294,3681
4.314,3745
4.334,3752
4.354,3865
4.374,4085
4.394,4130
4.414,4200
4.434,4405
4.454,4622
4.474,4871
4.494,5019
4.514,5096
4.534,5087
4.555,4838
4.575,4764
4.595,4713
4.615,4464
4.635,4426
4.655,4375
4.675,4391
4.695,4511
4.715,4569
4.735,4588
4.755,4615
4.775,4599
4.795,4780
4.815,4744
4.835,4831
4.855,4737
4.876,4989
4.896,5119
4.916,5146
4.936,5198
4.956,5160
4.976,5356
4.996,5254
5.016,5452
5.036,5371
5.056,5451
5.076,5500
5.096,5649
5.116,5504
5.136,5631
5.156,5672
5.177,5760
5.197,5868
5.217,5826
5.237,5928
5.257,6015
5.277,5981
5.297,6327
5.317,6290
5.337,6365
5.357,6566
5.377,6662
5.397,6708
5.417,6999
5.437,7061
5.457,7041
5.477,7123
5.498,7095
5.518,7170
5.538,7197
5.558,7320
5.578,7331
5.598,7489
5.618,7570
5.638,7556
5.658,7656
5.678,7882
5.698,7764
5.718,7650
5.738,7892
5.758,8207
5.778,8202
5.798,8266
5.819,8628
5.839,8622
5.859,8675
5.879,8893
5.899,9311
5.919,9274
5.939,9100
5.959,9218
5.979,9229
5.999,9231
6.019,9201
6.039,9250
6.059,9193
6.079,9337
6.099,9392
6.12,9439
6.14,9615
6.16,10066
6.18,10126
6.2,10596
6.22,10959
6.24,11432
6.26,11943
6.28,12654
6.3,13483
6.32,14851
6.34,16369
6.36,17832
6.38,19171
6.4,20123
6.42,20483
6.441,19963
6.461,18243
6.481,16616
6.501,14706
6.521,13094
6.541,11914
6.561,11332
6.581,10902
6.601,10893
6.621,10576
6.641,10653
6.661,10780
6.681,10713
6.701,11122
6.721,11024
6.742,11065
6.762,11259
6.782,11460
6.802,11595
6.822,11955
6.842,11976
6.862,12235
6.882,12286
6.902,12362
6.922,12580
6.942,12839
6.962,13159
6.982,13314
7.002,13349
7.022,13649
7.042,13671
7.063,14039
7.083,14043
7.103,14589
7.123,14786
7.143,15757
7.163,16442
7.183,17661
7.203,18850
7.223,20377
7.243,22124
7.263,23667
7.283,25413
7.303,26740
7.323,27604
7.343,28294
7.363,28936
7.384,29169
7.404,30253
7.424,31474
7.444,31983
7.464,32777
7.484,32400
7.504,31168
7.524,28762
7.544,25767
7.564,22244
7.584,19027
7.604,16550
7.624,14295
7.644,13108
7.664,12422
7.685,12106
7.705,11874
7.725,11834
7.745,11604
7.765,11906
7.785,11875
7.805,11888
7.825,12253
7.845,12148
7.865,12197
7.885,12477
7.905,13025
7.925,13025
7.945,13567
7.965,13777
7.985,14397
8.006,14623
8.026,15013
8.046,15524
8.066,15642
8.086,15617
8.106,15734
8.126,15560
8.146,14987
8.166,15135
8.186,14909
8.206,14642
8.226,14740
8.246,14874
8.266,14845
8.286,14770
8.306,14568
8.327,14174
8.347,13938
8.367,13292
8.387,12903
8.407,12830
8.427,12509
8.447,12304
8.467,12260
8.487,12287
8.507,12142
8.527,12312
8.547,12672
8.567,12761
8.587,13132
8.607,13098
8.628,13293
8.648,13497
8.668,13389
8.688,13429
8.708,13168
8.728,13046
8.748,12869
8.768,12727
8.788,12755
8.808,12607
8.828,12758
8.848,12686
8.868,12691
8.888,12821
8.908,12886
8.928,12690
8.949,12889
8.969,12672
8.989,12912
9.009,12926
9.029,12963
9.049,12812
9.069,12674
9.089,12880
9.109,12762
9.129,12764
9.149,12890
9.169,12964
9.189,12981
9.209,12876
