Energy [keV],Net Count Rate
0,9414
0.02,7396
0.04,4715
0.06,2800
0.08,1308
0.1,283
0.12,47
0.14,17
0.16,5
0.181,4
0.201,3
0.221,3
0.241,3
0.261,1
0.281,1
0.301,2
0.321,1
0.341,2
0.361,2
0.381,1
0.401,0
0.421,2
0.441,1
0.461,2
0.481,1
0.502,2
0.522,2
0.542,0
0.562,2
0.582,0
0.602,0
0.622,30
0.642,245
0.662,867
0.682,1517
0.702,1771
0.722,1903
0.742,1948
0.762,1939
0.782,2049
0.802,2076
0.823,2059
0.843,2139
0.863,2165
0.883,2189
0.903,2336
0.923,2158
0.943,2250
0.963,2124
0.983,2051
1.003,2019
1.023,1890
1.043,1983
1.063,1899
1.083,1919
1.103,1874
1.123,1945
1.143,1858
1.164,1840
1.184,1922
1.204,1877
1.224,1846
1.244,1741
1.264,1753
1.284,1645
1.304,1639
1.324,1644
1.344,1592
1.364,1480
1.384,1620
1.404,1552
1.424,1602
1.444,1600
1.464,1629
1.485,1626
1.505,1589
1.525,1589
1.545,1483
1.565,1484
1.585,1433
1.605,1413
1.625,1516
1.645,1480
1.665,1564
1.685,1562
1.705,1687
1.725,1716
1.745,1757
1.765,1787
1.785,1632
1.806,1562
1.826,1467
1.846,1414
1.866,1435
1.886,1532
1.906,1492
1.926,1646
1.946,1587
1.966,1645
1.986,1623
2.006,1699
2.026,1562
2.046,1591
2.066,1554
2.086,1585
2.106,1603
2.127,1512
2.147,1499
2.167,1642
2.187,1728
2.207,1811
2.227,2149
2.247,2506
2.267,3006
2.287,3537
2.307,3750
2.327,3774
2.347,3577
2.367,3177
2.387,2798
2.407,2587
2.427,2467
2.447,2412
2.468,2661
2.488,2961
2.508,3656
2.528,5085
2.548,7614
2.568,11404
2.588,16117
2.608,21223
2.628,25473
2.648,28067
2.668,29250
2.688,28737
2.708,26156
2.728,22956
2.748,19571
2.768,17386
2.789,16991
2.809,17749
2.829,19019
2.849,19347
2.869,18961
2.889,18274
2.909,18584
2.929,19365
2.949,19685
2.969,18928
2.989,16896
3.009,13886
3.029,10536
3.049,7468
3.069,5434
3.089,4224
3.11,3732
3.13,3605
3.15,3841
3.17,3905
3.19,3859
3.21,3713
3.23,3358
3.25,3208
3.27,2938
3.29,2972
3.31,2943
3.33,2861
3.35,2897
3.37,2882
3.39,2632
3.41,2575
3.43,2487
3.451,2371
3.471,2267
3.491,2290
3.511,2379
3.531,2439
3.551,2732
3.571,3282
3.591,4323
3.611,6012
3.631,8461
3.651,11295
3.671,14311
3.691,15814
3.711,15749
3.731,13893
3.751,11315
3.772,8438
3.792,6068
3.812,4468
3.832,3640
3.852,3071
3.872,3023
3.892,3059
3.912,3177
3.932,3433
3.952,3928
3.972,4413
3.992,4928
4.012,5222
4.032,5172
4.052,5041
4.072,4676
4.093,4135
4.113,3888
4.133,3485
4.153,3191
4.173,3398
4.193,3395
4.213,3339
4.233,3315
4.253,3379
4.273,3431
4.293,3541
4.313,3449
4.333,3458
4.353,3535
4.373,3802
4.393,3877
4.414,4060
4.434,4139
4.454,4370
4.474,4575
4.494,4795
4.514,4829
4.534,4792
4.554,4543
4.574,4494
4.594,4413
4.614,4206
4.634,4117
4.654,4046
4.674,4021
4.694,4035
4.714,4094
4.734,4092
4.755,4238
4.775,4279
4.795,4270
4.815,4294
4.835,4305
4.855,4443
4.875,4530
4.895,4521
4.915,4621
4.935,4668
4.955,4657
4.975,4733
4.995,4759
5.015,4815
5.035,4761
5.055,4698
5.076,4825
5.096,4926
5.116,4931
5.136,4977
5.156,5103
5.176,5000
5.196,5130
5.216,5239
5.236,5275
5.256,5215
5.276,5577
5.296,5616
5.316,5625
5.336,5623
5.356,5813
5.376,5982
5.397,5976
5.417,6113
5.437,6081
5.457,6311
5.477,6192
5.497,6207
5.517,6246
5.537,6268
5.557,6438
5.577,6320
5.597,6571
5.617,6519
5.637,6493
5.657,6636
5.677,6752
5.697,6648
5.717,6904
5.738,6863
5.758,7029
5.778,7037
5.798,7132
5.818,7190
5.838,7307
5.858,7548
5.878,7653
5.898,7759
5.918,7760
5.938,7691
5.958,7872
5.978,7770
5.998,7835
6.018,7737
6.038,7774
6.059,7839
6.079,7788
6.099,8013
6.119,8184
6.139,8284
6.159,8402
6.179,8757
6.199,8849
6.219,9203
6.239,9477
6.259,10067
6.279,10482
6.299,11005
6.319,12450
6.339,13699
6.359,15051
6.38,15997
6.4,16955
6.42,16744
6.44,16454
6.46,15496
6.48,13727
6.5,12199
6.52,11005
6.54,9885
6.56,9381
6.58,9085
6.6,8846
6.62,8777
6.64,8870
6.66,8796
6.68,9078
6.701,9182
6.721,9190
6.741,9238
6.761,9278
6.781,9524
6.801,9590
6.821,9926
6.841,9820
6.861,10059
6.881,10252
6.901,10290
6.921,10405
6.941,10519
6.961,10608
6.981,11015
7.001,10627
7.021,10924
7.042,11199
7.062,11396
7.082,11880
7.102,11942
7.122,12231
7.142,12795
7.162,13538
7.182,14249
7.202,15344
7.222,16785
7.242,18142
7.262,19274
7.282,20663
7.302,21727
7.322,22753
7.342,23112
7.363,23334
7.383,24234
7.403,24472
7.423,25506
7.443,26165
7.463,26736
7.483,26417
7.503,25392
7.523,23676
7.543,20848
7.563,18150
7.583,15596
7.603,13608
7.623,11687
7.643,10724
7.663,10255
7.684,9928
7.704,9758
7.724,9493
7.744,9686
7.764,9861
7.784,9846
7.804,9764
7.824,9941
7.844,10060
7.864,10177
7.884,10363
7.904,10451
7.924,10812
7.944,10978
7.964,11636
7.984,11982
8.004,12249
8.025,12750
8.045,13071
8.065,13015
8.085,13010
8.105,13085
8.125,12947
8.145,12614
8.165,12441
8.185,12457
8.205,12367
8.225,12333
8.245,12687
8.265,12522
8.285,12568
8.305,12043
8.325,11808
8.346,11756
8.366,11408
8.386,10994
8.406,10592
8.426,10423
8.446,10214
8.466,10328
8.486,10148
8.506,10423
8.526,10400
8.546,10607
8.566,10712
8.586,10956
8.606,11159
8.626,11278
8.646,11469
8.667,11473
8.687,11439
8.707,11300
8.727,11274
8.747,10729
8.767,10916
8.787,10565
8.807,10667
8.827,10659
8.847,10871
8.867,10689
8.887,11078
8.907,11115
8.927,11048
8.947,11079
8.967,10895
8.988,10835
9.008,11183
9.028,10911
9.048,10962
9.068,11087
9.088,11059
9.108,11211
9.128,11091
9.148,11203
9.168,11164
9.188,11132
9.208,11133
9.228,11451
9.248,11450
9.268,11330
9.288,11458
9.308,11257
9.329,11432
9.349,11414
9.369,11423
9.389,11475
9.409,11327
9.429,11501
9.449,11274
9.469,11669
9.489,11551
9.509,11465
9.529,11936
9.549,11767
9.569,11907
9.589,11782
9.609,11811
9.629,11864
9.65,11813
9.67,11772
9.69,11827
9.71,11921
9.73,11658
9.75,11885
9.77,11617
9.79,11807
9.81,11941
9.83,11767
9.85,11761
9.87,11785
