Energy [keV],Net Count Rate
0,9100
0.02,7028
0.04,4457
0.06,2957
0.08,1376
0.1,312
0.12,49
0.14,20
0.16,14
0.18,3
0.2,3
0.22,4
0.24,5
0.26,3
0.28,3
0.3,7
0.32,0
0.34,2
0.36,3
0.381,2
0.401,0
0.421,2
0.441,0
0.461,0
0.481,0
0.501,0
0.521,2
0.541,0
0.561,0
0.581,1
0.601,3
0.621,55
0.641,376
0.661,1282
0.681,1963
0.701,2326
0.721,2556
0.741,2659
0.761,2584
0.781,2607
0.801,2607
0.821,2452
0.841,2507
0.861,2426
0.881,2531
0.901,2574
0.921,2671
0.941,2598
0.961,2653
0.981,2481
1.001,2419
1.021,2423
1.041,2368
1.061,2370
1.081,2438
1.101,2347
1.122,2298
1.142,2281
1.162,2306
1.182,2351
1.202,2293
1.222,2198
1.242,2226
1.262,2083
1.282,2016
1.302,2035
1.322,2000
1.342,1951
1.362,1921
1.382,1934
1.402,1879
1.422,1990
1.442,2009
1.462,2019
1.482,2008
1.502,1834
1.522,1896
1.542,1828
1.562,1733
1.582,1732
1.602,1737
1.622,1759
1.642,1754
1.662,1876
1.682,1999
1.702,2025
1.722,2049
1.742,2168
1.762,1983
1.782,1939
1.802,1796
1.822,1766
1.842,1713
1.863,1696
1.883,1614
1.903,1699
1.923,1764
1.943,1818
1.963,1771
1.983,1845
2.003,1791
2.023,1806
2.043,1816
2.063,1707
2.083,1710
2.103,1696
2.123,1758
2.143,1749
2.163,1710
2.183,1730
2.203,1875
2.223,1947
2.243,2236
2.263,2450
2.283,2674
2.303,2868
2.323,2911
2.343,2849
2.363,2707
2.383,2472
2.403,2462
2.423,2258
2.443,2331
2.463,2370
2.483,2471
2.503,2621
2.523,2778
2.543,3302
2.563,4151
2.583,5432
2.603,7842
2.624,10911
2.644,14833
2.664,18577
2.684,21109
2.704,21330
2.724,20106
2.744,17220
2.764,15627
2.784,15046
2.804,15880
2.824,16784
2.844,17428
2.864,17438
2.884,17502
2.904,17896
2.924,18553
2.944,19137
2.964,18857
2.984,16536
3.004,13589
3.024,10342
3.044,7576
3.064,5586
3.084,4464
3.104,4083
3.124,4015
3.144,4203
3.164,4244
3.184,4252
3.204,4305
3.224,4261
3.244,4522
3.264,4890
3.284,5689
3.304,5862
3.324,6158
3.344,5608
3.365,5029
3.385,4200
3.405,3474
3.425,3078
3.445,2787
3.465,2669
3.485,2589
3.505,2703
3.525,2841
3.545,2968
3.565,3304
3.585,3689
3.605,4411
3.625,5075
3.645,5818
3.665,6722
3.685,7046
3.705,6946
3.725,6522
3.745,5618
3.765,4686
3.785,3901
3.805,3511
3.825,3295
3.845,3205
3.865,3374
3.885,3192
3.905,3320
3.925,3616
3.945,3594
3.965,3868
3.985,3950
4.005,4154
4.025,4153
4.045,4054
4.065,3983
4.085,3989
4.106,3850
4.126,3795
4.146,3753
4.166,3778
4.186,3868
4.206,3946
4.226,3978
4.246,4062
4.266,4094
4.286,4140
4.306,4234
4.326,4309
4.346,4297
4.366,4523
4.386,4709
4.406,4979
4.426,5400
4.446,5554
4.466,6125
4.486,6289
4.506,6541
4.526,6582
4.546,6225
4.566,5806
4.586,5662
4.606,5145
4.626,5170
4.646,5213
4.666,4992
4.686,5103
4.706,5283
4.726,5225
4.746,5174
4.766,5296
4.786,5328
4.806,5363
4.826,5523
4.847,5643
4.867,5875
4.887,5752
4.907,6034
4.927,6106
4.947,5931
4.967,6094
4.987,6083
5.007,6180
5.027,6222
5.047,6276
5.067,6240
5.087,6336
5.107,6314
5.127,6288
5.147,6488
5.167,6629
5.187,6653
5.207,6773
5.227,6784
5.247,7062
5.267,7093
5.287,7189
5.307,7268
5.327,7459
5.347,7673
5.367,7693
5.387,7951
5.407,7986
5.427,7952
5.447,8068
5.467,8135
5.487,8219
5.507,8275
5.527,8343
5.547,8700
5.567,8579
5.588,8634
5.608,8856
5.628,8849
5.648,9000
5.668,9187
5.688,9266
5.708,9252
5.728,9749
5.748,9551
5.768,9799
5.788,9871
5.808,10165
5.828,10292
5.848,10474
5.868,10614
