Energy [keV],Net Count Rate
0,9180
0.02,7219
0.04,4669
0.06,2879
0.08,1300
0.1,317
0.12,51
0.14,15
0.16,8
0.18,5
0.2,1
0.22,3
0.241,4
0.261,2
0.281,2
0.301,1
0.321,1
0.341,3
0.361,0
0.381,1
0.401,0
0.421,0
0.441,1
0.461,1
0.481,2
0.501,0
0.521,0
0.541,1
0.561,1
0.581,0
0.601,2
0.621,24
0.641,265
0.661,913
0.682,1521
0.702,1975
0.722,2138
0.742,2121
0.762,2220
0.782,2298
0.802,2302
0.822,2484
0.842,2601
0.862,2712
0.882,2764
0.902,2703
0.922,2616
0.942,2443
0.962,2355
0.982,2230
1.002,2074
1.022,2108
1.042,2125
1.062,2189
1.082,2065
1.102,2102
1.123,2082
1.143,2016
1.163,2040
1.183,2003
1.203,1968
1.223,1908
1.243,1970
1.263,1882
1.283,1790
1.303,1788
1.323,1711
1.343,1809
1.363,1817
1.383,1786
1.403,1767
1.423,1833
1.443,1868
1.463,1914
1.483,1794
1.503,1822
1.523,1760
1.543,1714
1.564,1750
1.584,1696
1.604,1660
1.624,1730
1.644,1765
1.664,1782
1.684,1896
1.704,2046
1.724,2048
1.744,2113
1.764,2015
1.784,1967
1.804,1821
1.824,1906
1.844,1893
1.864,2031
1.884,2207
1.904,2484
1.924,2704
1.944,2872
1.964,2766
1.984,2726
2.005,2470
2.025,2256
2.045,2138
2.065,2001
2.085,1873
2.105,1940
2.125,1994
2.145,2072
2.165,2053
2.185,2202
2.205,2339
2.225,2781
2.245,3323
2.265,4085
2.285,4583
2.305,4948
2.325,4861
2.345,4459
2.365,4081
2.385,3577
2.405,3409
2.425,3328
2.445,3405
2.466,3729
2.486,4342
2.506,6236
2.526,9537
2.546,15570
2.566,24349
2.586,34809
2.606,44659
2.626,50318
2.646,51558
2.666,48585
2.686,41427
2.706,34157
2.726,27766
2.746,22843
2.766,20106
2.786,20165
2.806,21387
2.826,22324
2.846,22148
2.866,21012
2.886,19829
2.907,19278
2.927,19476
2.947,19838
2.967,18900
2.987,16966
3.007,14202
3.027,10562
3.047,7856
3.067,5801
3.087,4502
3.107,4052
3.127,4194
3.147,4262
3.167,4241
3.187,4428
3.207,4215
3.227,3933
3.247,3712
3.267,3591
3.287,3508
3.307,3581
3.327,3735
3.348,3669
3.368,3588
3.388,3579
3.408,3430
3.428,3305
3.448,3309
3.468,3272
3.488,3543
3.508,3821
3.528,4422
3.548,6195
3.568,10015
3.588,17085
3.608,29689
3.628,47906
3.648,69375
3.668,89385
3.688,101260
3.708,101260
3.728,87848
3.748,68533
3.768,46680
3.789,28473
3.809,16348
3.829,9136
3.849,5965
3.869,4914
3.889,5052
3.909,6198
3.929,8165
3.949,11145
3.969,14175
3.989,17552
4.009,19704
4.029,19987
4.049,18116
4.069,15098
4.089,11452
4.109,8450
4.129,6124
4.149,4824
4.169,3966
4.189,3665
4.209,3569
4.229,3586
4.25,3562
4.27,3625
4.29,3620
4.31,3638
4.33,3685
4.35,3721
4.37,3935
4.39,3977
4.41,4173
4.43,4445
4.45,4510
4.47,4607
4.49,4841
4.51,5032
4.53,4868
4.55,4762
4.57,4813
4.59,4484
4.61,4371
4.63,4433
4.65,4338
4.67,4469
4.691,4317
4.711,4436
4.731,4337
4.751,4410
4.771,4600
4.791,4554
4.811,4541
4.831,4740
4.851,4626
4.871,4807
4.891,4882
4.911,4917
4.931,5106
4.951,4925
4.971,5061
4.991,5082
5.011,5195
5.031,5133
5.051,5163
5.071,5287
5.091,5352
5.111,5386
5.132,5237
5.152,5500
5.172,5304
5.192,5485
5.212,5662
5.232,5574
