Wavenumber [cm-1],Raman Intensity
160.07,24909.33
162.55,24948.33
165.03,24806.67
167.5,24780.33
169.97,24706.33
172.45,24455.67
174.92,24453.67
177.39,24405
179.86,24268.67
182.33,24354.33
184.8,24265
187.27,24118.33
189.74,24181.67
192.2,24169
194.67,24080
197.14,24044.33
199.6,23783
202.06,23697
204.53,23660.67
206.99,23451.67
209.45,23324.01
211.91,23244.81
214.37,23159.8
216.83,23073.7
219.29,22986.33
221.74,22901.11
224.2,22820.38
226.65,22737.07
229.11,22654.66
231.56,22571.95
234.02,22485.28
236.47,22397.7
238.92,22315.39
241.37,22230
243.82,22142.67
246.27,22051.65
248.72,21963.96
251.16,21879.71
253.61,21795.09
256.06,21713.29
258.5,21632.2
260.95,21553.18
263.39,21480.31
265.83,21403.31
268.27,21330.46
270.71,21263.39
273.15,21192.74
275.59,21126.31
278.03,21057.93
280.47,20989.51
282.91,20923.08
285.34,20858.98
287.78,20792.85
290.21,20727.42
292.64,20665.36
295.08,20598.55
297.51,20533.27
299.94,20470.34
302.37,20406.89
304.8,20343.42
307.23,20281.28
309.66,20220.19
312.08,20155.07
314.51,20094.62
316.94,20041.89
319.36,19984.65
321.78,19928.54
324.21,19873.33
326.63,19817.76
329.05,19765.44
331.47,19714.76
333.89,19664.65
336.31,19617.33
338.73,19572.91
341.15,19525.63
343.56,19481.93
345.98,19448.25
348.39,19412.51
350.81,19378.21
353.22,19345.91
355.63,19309.8
358.04,19277.63
360.46,19248.56
362.87,19218.2
365.27,19191.53
367.68,19164.3
370.09,19136.21
372.5,19110.46
374.9,19082.42
377.31,19061.6
379.71,19039.8
382.12,19016.45
384.52,18991.88
386.92,18978.06
389.32,18956.41
391.72,18933.65
394.12,18913.93
396.52,18897.73
398.92,18879.1
401.32,18862.37
403.71,18846.78
406.11,18837.24
408.5,18826.3
410.9,18815.1
413.29,18804.77
415.68,18788.47
418.07,18776.78
420.46,18764.23
422.85,18749.8
425.24,18736.56
427.63,18726.52
430.02,18712.13
432.4,18702.94
434.79,18693.84
437.17,18678.51
439.56,18673.91
441.94,18664.99
444.32,18654.37
446.71,18641.02
449.09,18631.78
451.47,18621.09
453.85,18614.41
456.22,18609.16
458.6,18604.11
460.98,18596
463.35,18591.52
465.73,18580.91
468.1,18575.39
470.48,18568.25
472.85,18560.72
475.22,18551.73
477.59,18542.11
479.96,18529.44
482.33,18516.69
484.7,18495.98
487.07,18490.9
489.44,18474.85
491.8,18458.96
494.17,18441.03
496.53,18424.37
498.9,18413.85
501.26,18394.12
503.62,18375.72
505.98,18356.7
508.34,18341.03
510.7,18319.59
513.06,18304.02
515.42,18288.1
517.78,18269.55
520.14,18254.5
522.49,18237.85
524.85,18214.59
527.2,18199.68
529.55,18181.19
531.91,18159.39
534.26,18135.32
536.61,18105.02
538.96,18074.67
541.31,18043.52
543.66,18014.8
546,17978.76
548.35,17950.65
550.7,17919.81
553.04,17881.67
555.39,17846.23
557.73,17812.02
560.07,17774.24
562.41,17742.45
564.76,17709.26
567.1,17681.41
569.44,17655.2
571.77,17629.24
574.11,17603.33
576.45,17580.29
578.79,17559.82
581.12,17536.39
583.46,17501.97
