Wavenumber [cm-1],Raman Intensity
160.07,12189.33
162.55,12290.33
165.03,12465.67
167.5,12519.67
169.97,12729.67
172.45,12931
174.92,12986.33
177.39,13152.67
179.86,13288.33
182.33,13349
184.8,13519.33
187.27,13649.67
189.74,13809.67
192.2,13871
194.67,13874.67
197.14,14004.67
199.6,14069.33
202.06,14039.67
204.53,14019
206.99,14082.67
209.45,13830.89
211.91,13885.56
214.37,13936.05
216.83,13983.68
219.29,14030.15
221.74,14071.77
224.2,14109.21
226.65,14143.33
229.11,14173.33
231.56,14200.26
234.02,14224.69
236.47,14247.12
238.92,14264.76
241.37,14279.16
243.82,14290.36
246.27,14300.68
248.72,14306.9
251.16,14312.22
253.61,14317.46
256.06,14322.71
258.5,14327.37
260.95,14330.56
263.39,14333.51
265.83,14336.74
268.27,14340.93
270.71,14343.24
273.15,14347.18
275.59,14349.95
278.03,14350.6
280.47,14350.82
282.91,14350.67
285.34,14349.3
287.78,14347
290.21,14342.43
292.64,14336.49
295.08,14330.24
297.51,14322.17
299.94,14315.89
302.37,14309.86
304.8,14302.64
307.23,14296.17
309.66,14290.63
312.08,14283.48
314.51,14278.09
316.94,14270.61
319.36,14263.58
321.78,14255.38
324.21,14246.01
326.63,14239.18
329.05,14231.85
331.47,14224.18
333.89,14218.38
336.31,14210.91
338.73,14204.54
341.15,14196.94
343.56,14192.67
345.98,14188.24
348.39,14183.24
350.81,14178.7
353.22,14173.8
355.63,14168.51
358.04,14162.09
360.46,14156.84
362.87,14149.95
365.27,14144.54
367.68,14134.21
370.09,14126.41
372.5,14116.14
374.9,14106.72
377.31,14097.42
379.71,14087.18
382.12,14076.4
384.52,14067.46
386.92,14055.53
389.32,14045.14
391.72,14038.97
394.12,14028.9
396.52,14021.46
398.92,14012.26
401.32,14002.98
403.71,13992.07
406.11,13979.99
408.5,13968.4
410.9,13957.73
413.29,13946.54
415.68,13935.83
418.07,13923.21
420.46,13912.2
422.85,13899.73
425.24,13887.12
427.63,13875.19
430.02,13863.53
432.4,13849.2
434.79,13834.84
437.17,13820.46
439.56,13806.16
441.94,13791.12
444.32,13775.56
446.71,13762.19
449.09,13746.73
451.47,13731.15
453.85,13716.3
456.22,13702.25
458.6,13686.15
460.98,13670.07
463.35,13653.76
465.73,13641.76
468.1,13628.42
470.48,13614.15
472.85,13598.04
475.22,13582.64
477.59,13566.47
479.96,13549.75
482.33,13531.92
484.7,13515.83
487.07,13496.54
489.44,13477.92
491.8,13459.44
494.17,13440.75
496.53,13420.94
498.9,13399.46
501.26,13379.98
503.62,13359.98
505.98,13341.68
508.34,13321.7
510.7,13303.21
513.06,13284.15
515.42,13265.39
517.78,13246.02
520.14,13226.59
522.49,13208.12
524.85,13186.88
527.2,13165.65
529.55,13145.87
531.91,13123.93
534.26,13103.32
536.61,13081.72
538.96,13059.15
541.31,13037.23
543.66,13014.28
546,12991.78
548.35,12967.18
550.7,12944.15
553.04,12921.2
555.39,12899.09
557.73,12877.85
560.07,12854.69
562.41,12828.91
564.76,12804.86
567.1,12782.02
569.44,12761.33
571.77,12739.62
574.11,12718.81
576.45,12697.54
578.79,12675.63
581.12,12653.71
583.46,12634.85
585.79,12612.33
588.12,12591.31
590.46,12569.21
592.79,12547.64
595.12,12526.55
597.45,12506.07
599.78,12486.28
602.1,12463.45
604.43,12441.89
606.76,12419.04
609.08,12396.21
611.41,12375
613.73,12351.65
616.06,12330.01
618.38,12305.4
620.7,12282.66
623.02,12259.37
625.34,12237.72
627.66,12214.57
629.98,12191.2
632.3,12169.28
634.61,12147.54
636.93,12126.03
639.25,12104.11
641.56,12081.49
643.87,12062.58
646.19,12042.62
648.5,12021.09
650.81,12000.76
653.12,11979.28
655.43,11958.98
657.74,11939.49
660.05,11917.63
662.35,11895.99
664.66,11873.72
666.97,11852.67
669.27,11831.44
671.57,11808.96
673.88,11788.79
676.18,11766.41
678.48,11743.86
680.78,11720.39
683.08,11698.29
685.38,11675.43
687.68,11653.67
689.98,11631.35
692.27,11606.62
694.57,11582.98
696.86,11559
699.16,11536.52
701.45,11513.45
703.74,11491.48
706.04,11467.88
708.33,11445.63
710.62,11424.76
712.91,11404.28
715.2,11383.27
717.48,11362.62
719.77,11340.71
722.06,11321.98
724.34,11303.6
726.63,11283.02
728.91,11261.67
731.19,11242.8
733.48,11222.52
735.76,11202.9
738.04,11183.6
740.32,11162.33
742.6,11141.85
744.87,11121.75
747.15,11103.47
749.43,11082.82
751.7,11063.58
753.98,11044.59
756.25,11023.97
758.53,11003.15
760.8,10981.72
763.07,10960.59
765.34,10940.22
767.61,10918.15
769.88,10899.31
772.15,10879.28
774.42,10859.28
776.68,10840.62
778.95,10822.03
781.21,10802.73
783.48,10784.98
785.74,10768.38
788,10751.12
790.27,10735.25
792.53,10717.85
794.79,10700.11
797.05,10681.66
799.31,10664.06
801.56,10647.19
803.82,10628.33
806.08,10612.59
808.33,10595.45
810.59,10578.5
812.84,10562.15
815.1,10543.6
817.35,10525.25
819.6,10507.97
821.85,10491.36
824.1,10472.77
826.35,10456.28
828.6,10438.98
830.84,10420.4
833.09,10402.32
835.34,10384.22
837.58,10367.45
839.83,10349.71
842.07,10332.5
844.31,10313.65
846.55,10296.34
848.8,10280.53
851.04,10264.01
853.27,10247.66
855.51,10231.77
857.75,10216.35
859.99,10198.55
862.22,10179.88
864.46,10163.45
866.69,10147.95
868.93,10132.98
871.16,10115.41
873.39,10099.15
875.63,10080.4
877.86,10061.21
880.09,10041.94
882.31,10024.11
884.54,10005.13
886.77,9989.77
889,9972.98
891.22,9956.02
893.45,9938.02
895.67,9919.46
897.9,9899.03
900.12,9881.89
902.34,9863.95
904.56,9845.63
906.78,9829.06
909,9809.86
911.22,9792.28
913.44,9774.28
915.65,9755.18
917.87,9735.91
920.08,9718.22
922.3,9701.48
924.51,9686.19
926.73,9670.37
928.94,9651.93
931.15,9632.76
933.36,9614.53
935.57,9598.07
937.78,9582.02
939.99,9563.99
942.19,9547.06
944.4,9531.65
946.61,9513.19
948.81,9495.76
951.02,9480.28
953.22,9464.76
955.42,9448.73
957.62,9431.99
959.82,9413.98
962.02,9399.65
964.22,9383.87
966.42,9371.78
968.62,9357.39
970.82,9344.16
973.01,9330.05
975.21,9317.57
977.4,9301.47
979.6,9288.36
981.79,9272.93
983.98,9260.95
986.17,9248.95
988.36,9237.07
990.55,9224.89
992.74,9212.07
994.93,9199.39
997.12,9186.36
999.3,9175.14
1001.49,9164.19
1003.67,9155.5
1005.86,9147.46
1008.04,9140.8
1010.22,9135.24
1012.41,9130.91
1014.59,9127.9
1016.77,9126.07
1018.95,9126.2
1021.12,9127.93
1023.3,9125.9
1025.48,9122.2
1027.66,9115.44
1029.83,9108.95
1032.01,9099.46
1034.18,9089.45
1036.35,9080.92
1038.52,9071.44
1040.7,9064
1042.87,9054.45
1045.04,9044.65
1047.2,9033.87
1049.37,9023.5
1051.54,9012.63
1053.71,9001.72
1055.87,8990.37
1058.04,8981.75
1060.2,8972.2
1062.36,8962.98
1064.53,8954.05
1066.69,8945.3
1068.85,8934.8
1071.01,8927.75
1073.17,8918.39
1075.33,8911.27
1077.49,8905.14
1079.64,8900.98
1081.8,8899.84
1083.95,8899.01
1086.11,8899.1
1088.26,8899.85
1090.42,8896.37
1092.57,8888.37
1094.72,8878.58
1096.87,8865.17
1099.02,8850.24
1101.17,8831.12
1103.32,8810.85
1105.47,8790.98
1107.61,8769.37
1109.76,8747.47
1111.9,8729.07
1114.05,8710.72
1116.19,8695.64
1118.33,8682.34
1120.47,8670.58
1122.62,8658.66
1124.76,8648.1
1126.9,8637.8
1129.03,8625.29
1131.17,8616.5
1133.31,8606.47
1135.45,8596.85
1137.58,8586.8
1139.72,8575.86
1141.85,8565.53
1143.98,8553.8
1146.12,8541.74
1148.25,8530.8
1150.38,8519.59
1152.51,8507.59
1154.64,8496.22
1156.77,8485.46
1158.89,8472.88
1161.02,8460.07
1163.15,8446.71
1165.27,8431.76
1167.4,8414.37
1169.52,8395.62
1171.64,8375.86
1173.76,8355.42
1175.88,8333.02
1178.01,8314.48
1180.13,8297.73
1182.24,8284.65
1184.36,8273.27
1186.48,8261.68
1188.6,8253.05
1190.71,8243.19
1192.83,8232.68
1194.94,8223.11
1197.05,8213.9
1199.17,8203.93
1201.28,8194.38
1203.39,8184.55
1205.5,8174.92
1207.61,8166.68
1209.72,8157.94
1211.82,8147.51
1213.93,8136.97
1216.04,8127.33
1218.14,8117.14
1220.25,8108.08
1222.35,8099.26
1224.45,8090.4
1226.56,8083.16
1228.66,8075.68
1230.76,8068.37
1232.86,8062.24
1234.96,8053.71
1237.06,8047.1
1239.15,8040.49
1241.25,8034.97
1243.35,8032.78
1245.44,8035.24
1247.54,8041.34
1249.63,8050.41
1251.72,8058.66
1253.81,8066.44
1255.91,8071.8
1258,8075.48
1260.09,8075.89
1262.17,8075.54
1264.26,8072.93
1266.35,8069.76
1268.44,8064.73
1270.52,8056.11
1272.61,8049.77
1274.69,8042.54
1276.77,8035.1
1278.86,8027.08
1280.94,8018.55
1283.02,8009.5
1285.1,8000.93
1287.18,7993.67
1289.26,7985.94
1291.34,7976.07
1293.41,7966.33
1295.49,7958.16
1297.56,7950.5
1299.64,7942.07
1301.71,7933.78
1303.79,7923.85
1305.86,7914.28
1307.93,7905.37
1310,7895.37
1312.07,7885.36
1314.14,7876.35
1316.21,7866.43
1318.28,7856.76
1320.34,7848.63
1322.41,7837.81
1324.47,7826.94
1326.54,7816.36
1328.6,7801.07
1330.66,7782.61
1332.73,7758.89
1334.79,7732.3
1336.85,7707.51
1338.91,7682.53
1340.97,7658.76
1343.03,7636.83
1345.08,7618.85
1347.14,7601.88
1349.19,7587.59
1351.25,7573.55
1353.3,7560.87
1355.36,7551.1
1357.41,7539.11
1359.46,7527.05
1361.51,7516.15
1363.56,7506.84
1365.61,7497.82
1367.66,7488.68
1369.71,7483.54
1371.76,7478.14
1373.8,7473.72
1375.85,7470.05
1377.89,7465.75
1379.94,7459.93
1381.98,7455.8
1384.02,7453.05
1386.07,7449.5
1388.11,7448.87
1390.15,7449.18
1392.19,7452.63
1394.22,7458.72
1396.26,7464.88
1398.3,7471.33
1400.34,7478.96
1402.37,7484
1404.41,7485.98
1406.44,7487.51
1408.47,7489.45
1410.51,7489.5
1412.54,7490.95
1414.57,7491.96
1416.6,7494.44
1418.63,7495.8
1420.66,7496.73
1422.68,7497.24
1424.71,7498.83
1426.74,7499.04
1428.76,7496.14
1430.79,7493.07
1432.81,7487.6
1434.83,7482.02
1436.85,7474.24
1438.88,7465.89
1440.9,7456.31
1442.92,7447.24
1444.94,7438.04
1446.95,7426.32
1448.97,7414.39
1450.99,7402.15
1453,7386.05
1455.02,7369.46
1457.03,7352.29
1459.05,7335.07
1461.06,7317.76
1463.07,7301.24
1465.08,7283.36
1467.09,7265.57
1469.1,7248.21
1471.11,7226.95
1473.12,7204.46
1475.13,7178.46
1477.13,7150.39
1479.14,7121.49
1481.15,7090.93
1483.15,7059.86
1485.15,7030.31
1487.16,7002.04
1489.16,6975.65
1491.16,6949.07
1493.16,6923.62
1495.16,6897.43
1497.16,6870.86
1499.16,6844.24
1501.15,6817.12
1503.15,6791.22
1505.15,6766
1507.14,6739.84
1509.14,6716.51
1511.13,6696.09
1513.12,6675.5
1515.11,6656.18
1517.1,6636.05
1519.09,6618.36
1521.08,6602.93
1523.07,6588.94
1525.06,6573.2
1527.05,6556.47
1529.03,6542.18
1531.02,6527.89
1533.01,6513.43
1534.99,6499.54
1536.97,6485.07
1538.96,6470.29
1540.94,6456.35
1542.92,6441.33
1544.9,6426.57
1546.88,6413.7
1548.86,6398.81
1550.84,6384.1
1552.81,6371.36
1554.79,6358.42
1556.76,6345.1
1558.74,6332.74
1560.71,6318.82
1562.69,6305.91
1564.66,6292.62
1566.63,6279.29
1568.6,6269.37
1570.57,6256.94
1572.54,6244.07
1574.51,6229.73
1576.48,6215.2
1578.45,6201.36
1580.41,6186.97
1582.38,6172.88
1584.34,6157.07
1586.31,6143.5
1588.27,6130.15
1590.23,6116.09
1592.19,6100.28
1594.16,6086.67
1596.12,6071.53
1598.07,6058.97
1600.03,6045.51
1601.99,6032.12
1603.95,6017.2
1605.9,6004.95
1607.86,5991.95
1609.82,5977.89
1611.77,5964.11
1613.72,5950.79
1615.68,5937.46
1617.63,5923.29
1619.58,5908.7
1621.53,5893.54
1623.48,5880.22
1625.43,5865.38
1627.37,5848.15
1629.32,5833.71
1631.27,5818.68
1633.21,5802.24
1635.16,5786.89
1637.1,5773.15
1639.05,5756.83
1640.99,5744.15
1642.93,5729.68
1644.87,5716.24
1646.81,5700.79
1648.75,5683.78
1650.69,5669.5
1652.63,5654.99
1654.56,5642.15
1656.5,5628.62
1658.44,5613.96
1660.37,5599.62
1662.31,5586.31
1664.24,5572.32
1666.17,5556.81
1668.1,5540.8
1670.03,5524.77
1671.96,5509.54
1673.89,5492.93
1675.82,5478.84
1677.75,5464.11
1679.68,5449.67
1681.6,5435.1
