Wavenumber [cm-1],Raman Intensity
160.07,7824
162.55,8118.33
165.03,8089.33
167.5,8255
169.97,8351.67
172.45,8190
174.92,8469
177.39,8496
179.86,8477
182.33,8698.67
184.8,8707.67
187.27,8736.67
189.74,8893.67
192.2,8930.33
194.67,8978
197.14,8971.33
199.6,8935.33
202.06,9051.67
204.53,9122.67
206.99,9037.33
209.45,8953.28
211.91,8996.54
214.37,9029.47
216.83,9063.72
219.29,9094.66
221.74,9123.54
224.2,9157.83
226.65,9184.55
229.11,9212.49
231.56,9240.06
234.02,9261.76
236.47,9281.43
238.92,9303.46
241.37,9321.38
243.82,9339.63
246.27,9353.33
248.72,9370.71
251.16,9389.43
253.61,9405.37
256.06,9422.98
258.5,9439.33
260.95,9454.96
263.39,9475.98
265.83,9492.07
268.27,9509.73
270.71,9533.01
273.15,9549.54
275.59,9570.33
278.03,9590.07
280.47,9606.2
282.91,9620.65
285.34,9641.35
287.78,9658.86
290.21,9676.1
292.64,9697.09
295.08,9713.58
297.51,9731.24
299.94,9748.72
302.37,9769.63
304.8,9785.61
307.23,9800.29
309.66,9819.82
312.08,9832.05
314.51,9850.15
316.94,9872.4
319.36,9890.81
321.78,9913.94
324.21,9933.61
326.63,9954.37
329.05,9977.72
331.47,9999.7
333.89,10019.14
336.31,10042.07
338.73,10062.46
341.15,10078.21
343.56,10091.23
345.98,10108.02
348.39,10120.41
350.81,10132.53
353.22,10143.87
355.63,10151.8
358.04,10159.72
360.46,10168.8
362.87,10176.03
365.27,10185.25
367.68,10193.78
370.09,10200.27
372.5,10207.76
374.9,10213.98
377.31,10226.55
379.71,10240.11
382.12,10253.82
384.52,10263.46
386.92,10286.65
389.32,10300.75
391.72,10308.97
394.12,10316.64
396.52,10326.6
398.92,10335.97
401.32,10341.51
403.71,10347.16
406.11,10360.25
408.5,10367.38
410.9,10376.58
413.29,10385.27
415.68,10383.95
418.07,10384.5
420.46,10380.15
422.85,10376.42
425.24,10371.15
427.63,10364.26
430.02,10357.37
432.4,10354.24
434.79,10348.48
437.17,10339.97
439.56,10342.66
441.94,10346.14
444.32,10349.96
446.71,10351.24
449.09,10355.09
451.47,10356.24
453.85,10358.65
456.22,10366.28
458.6,10373.5
460.98,10377.99
463.35,10387.5
465.73,10390.37
468.1,10394.89
470.48,10400.01
472.85,10399.9
475.22,10397.75
477.59,10395.57
479.96,10388.59
482.33,10379.29
484.7,10360.41
487.07,10357.71
489.44,10345.25
491.8,10336.34
494.17,10324.95
496.53,10314.06
498.9,10310.03
501.26,10297.2
503.62,10285.15
505.98,10273.13
508.34,10264.3
510.7,10249.46
513.06,10242.12
515.42,10237.31
517.78,10229.34
520.14,10226.59
522.49,10219.65
524.85,10210.54
527.2,10207.21
529.55,10204.39
531.91,10200.82
534.26,10197.48
536.61,10186.22
538.96,10176.13
541.31,10166.33
543.66,10160.82
546,10149.63
548.35,10149.5
550.7,10145.81
553.04,10133.17
555.39,10122.99
557.73,10114.28
560.07,10099.24
562.41,10090.43
564.76,10080.05
567.1,10071.17
569.44,10062.25
571.77,10050.85
574.11,10037.82
576.45,10028.47
