Wavenumber [cm-1],Raman Intensity
160.07,18160.67
162.55,18376.33
165.03,18394.67
167.5,18448
169.97,18687
172.45,18684
174.92,18752.33
177.39,18895
179.86,18937.33
182.33,19054.67
184.8,19114.67
187.27,19230.33
189.74,19375.33
192.2,19495.67
194.67,19438.33
197.14,19441.67
199.6,19368.67
202.06,19416.67
204.53,19416.33
206.99,19355
209.45,19106.24
211.91,19127.21
214.37,19141.54
216.83,19155.85
219.29,19168.14
221.74,19173.69
224.2,19179.36
226.65,19181.75
229.11,19179.92
231.56,19176.75
234.02,19169.63
236.47,19159.61
238.92,19144.33
241.37,19127.35
243.82,19104.89
246.27,19082.79
248.72,19059.9
251.16,19038.12
253.61,19015.46
256.06,18990.21
258.5,18965.47
260.95,18940.98
263.39,18916.75
265.83,18892.87
268.27,18869.15
270.71,18846.46
273.15,18824.89
275.59,18802.52
278.03,18780.85
280.47,18757.64
282.91,18735.33
285.34,18711.12
287.78,18686.39
290.21,18659.33
292.64,18631.5
295.08,18601.45
297.51,18573.3
299.94,18544.93
302.37,18517.2
304.8,18489.97
307.23,18461.89
309.66,18433.64
312.08,18406.02
314.51,18378.75
316.94,18349.92
319.36,18322.44
321.78,18295.24
324.21,18269.24
326.63,18242.7
329.05,18218.15
331.47,18192.88
333.89,18167.85
336.31,18146.15
338.73,18128.11
341.15,18105.46
343.56,18086.56
345.98,18068.69
348.39,18050.83
350.81,18033.86
353.22,18014.73
355.63,17997.88
358.04,17980.97
360.46,17966.1
362.87,17950.65
365.27,17934.56
367.68,17918.3
370.09,17902.41
372.5,17885.27
374.9,17867.18
377.31,17848.86
379.71,17829.96
382.12,17810.25
384.52,17790.9
386.92,17772.91
389.32,17756.75
391.72,17740.78
394.12,17727.22
396.52,17712.37
398.92,17696.38
401.32,17680.48
403.71,17666.63
406.11,17654.27
408.5,17641.35
410.9,17628.07
413.29,17615.63
415.68,17602.95
418.07,17588.32
420.46,17575.02
422.85,17558.64
425.24,17544.85
427.63,17529.43
430.02,17512.31
432.4,17497.82
434.79,17482.28
437.17,17465.41
439.56,17450.91
441.94,17435.25
444.32,17417.34
446.71,17400.24
449.09,17383.54
451.47,17366.95
453.85,17351.22
456.22,17334.6
458.6,17318.77
460.98,17302.93
463.35,17286.11
465.73,17270.06
468.1,17255.16
