Wavenumber [cm-1],Raman Intensity
160.07,44113.33
162.55,44813.33
165.03,45062.67
167.5,45638
169.97,46093.33
172.45,46295.67
174.92,46940.33
177.39,47232.67
179.86,47568
182.33,48096.67
184.8,48425.67
187.27,48772.67
189.74,49191.33
192.2,49448
194.67,49590
197.14,49803
199.6,49812.33
202.06,49890
204.53,50089
206.99,49889.67
209.45,49135.1
211.91,49299.23
214.37,49443.46
216.83,49585.62
219.29,49712.39
221.74,49827.22
224.2,49936.63
226.65,50031.97
229.11,50122.98
231.56,50203.93
234.02,50272.42
236.47,50328.14
238.92,50378.63
241.37,50419.36
243.82,50451.42
246.27,50475.79
248.72,50494.21
251.16,50513.8
253.61,50529.01
256.06,50542.38
258.5,50554.96
260.95,50564.93
263.39,50582.52
265.83,50593.54
268.27,50608.87
270.71,50631.26
273.15,50646.81
275.59,50664.41
278.03,50683.36
280.47,50696.6
282.91,50705.45
285.34,50723.07
287.78,50735.66
290.21,50746.93
292.64,50759.18
295.08,50767.56
297.51,50776.7
299.94,50786.32
302.37,50792.11
304.8,50795.4
307.23,50798.09
309.66,50805.21
312.08,50805.2
314.51,50807.63
316.94,50810.37
319.36,50808.34
321.78,50811.33
324.21,50815.03
326.63,50813.5
329.05,50810.46
331.47,50806.89
333.89,50801.2
336.31,50803.97
338.73,50806.2
341.15,50803.41
343.56,50804.15
345.98,50809.42
348.39,50816.65
350.81,50818.96
353.22,50823.59
355.63,50824.08
358.04,50828
360.46,50835.12
362.87,50831.94
365.27,50836.02
367.68,50835.8
370.09,50831.47
372.5,50829.33
374.9,50823.77
377.31,50818.09
379.71,50812.49
382.12,50807.86
384.52,50796.15
386.92,50798.64
389.32,50791.21
391.72,50783.85
394.12,50777.28
396.52,50773.24
398.92,50771.98
401.32,50769.67
403.71,50764.18
406.11,50765.21
408.5,50761.1
410.9,50761.89
413.29,50760.8
415.68,50748.14
418.07,50740.47
420.46,50728.73
422.85,50712.18
425.24,50697.96
427.63,50686.08
430.02,50670.89
432.4,50658.38
434.79,50639.85
437.17,50615.54
439.56,50598.1
441.94,50576.17
444.32,50554.02
446.71,50526.07
449.09,50503.36
451.47,50474.01
453.85,50446.11
456.22,50420.67
458.6,50400.49
460.98,50373.46
463.35,50351.6
465.73,50321.67
468.1,50298.41
470.48,50276.72
472.85,50249.67
475.22,50224.89
477.59,50201.26
479.96,50170.99
482.33,50143.09
484.7,50102.65
487.07,50076.45
489.44,50037.11
491.8,49997.8
494.17,49953.65
496.53,49906.68
498.9,49867.43
501.26,49821.15
503.62,49773.08
505.98,49722.89
508.34,49671.31
510.7,49617.18
513.06,49568.34
515.42,49517.33
517.78,49462.99
520.14,49416.41
522.49,49363.28
524.85,49305.91
527.2,49253.38
529.55,49200.54
531.91,49145.83
534.26,49094.39
536.61,49035.15
538.96,48977.18
541.31,48917.28
543.66,48859.41
546,48797.86
548.35,48745.63
550.7,48689.59
553.04,48629.85
555.39,48565.75
557.73,48510.18
560.07,48443.18
562.41,48385.79
564.76,48327.08
567.1,48268.93
569.44,48208.75
571.77,48145.85
574.11,48080.34
576.45,48019.3
578.79,47956.41
581.12,47893.37
583.46,47822.28
585.79,47760.61
588.12,47692.01
590.46,47626.2
592.79,47565.45
595.12,47494.73
597.45,47430.72
599.78,47364.74
602.1,47301.03
604.43,47235.34
606.76,47172.92
609.08,47109.79
611.41,47045.37
613.73,46986.1
616.06,46923.11
618.38,46865.63
620.7,46810.67
623.02,46750.37
625.34,46686.32
627.66,46625.54
629.98,46567.82
632.3,46512.8
634.61,46457
636.93,46400.26
639.25,46346.21
641.56,46294.34
643.87,46238.6
646.19,46180.07
648.5,46131.06
650.81,46079.28
653.12,46027.3
655.43,45983.87
657.74,45936.74
660.05,45880.07
662.35,45819.8
664.66,45764.83
666.97,45710.63
669.27,45652.33
671.57,45597.28
673.88,45535.09
676.18,45466.61
678.48,45396.2
680.78,45325.98
683.08,45256.56
685.38,45181.33
687.68,45102.25
689.98,45023.53
692.27,44944.3
694.57,44862.35
696.86,44781.22
699.16,44703.2
701.45,44626.92
703.74,44551.86
706.04,44479.47
708.33,44407.72
710.62,44334.89
712.91,44264.27
715.2,44194.4
717.48,44132.21
719.77,44074.34
722.06,44010.95
724.34,43948.21
726.63,43890.75
728.91,43830.53
731.19,43772.62
733.48,43715.28
735.76,43655.29
738.04,43592.76
740.32,43536.72
742.6,43470.95
744.87,43403.94
747.15,43339.89
749.43,43267.88
751.7,43194.67
753.98,43128.23
756.25,43071.39
758.53,43003.67
760.8,42936.04
763.07,42872.02
765.34,42804.12
767.61,42744.18
769.88,42688.38
772.15,42637.07
774.42,42585.83
776.68,42536.11
778.95,42492.06
