Wavenumber [cm-1],Raman Intensity
160.07,25679
162.55,26064.33
165.03,26438
167.5,26796.33
169.97,27178
172.45,27460
174.92,27604.33
177.39,28037
179.86,28400.33
182.33,28695.33
184.8,28996.67
187.27,29268.33
189.74,29522.67
192.2,29834.67
194.67,30033.67
197.14,30185.33
199.6,30318
202.06,30260.67
204.53,30437
206.99,30346
209.45,29756.5
211.91,29892.85
214.37,30019.82
216.83,30138.53
219.29,30246.93
221.74,30346.08
224.2,30437.5
226.65,30526.19
229.11,30605.28
231.56,30675.1
234.02,30738.07
236.47,30794.59
238.92,30842.41
241.37,30883.88
243.82,30916.72
246.27,30944.04
248.72,30966.89
251.16,30985.75
253.61,31006.15
256.06,31019.83
258.5,31034.85
260.95,31048.74
263.39,31063.7
265.83,31079.07
268.27,31094.5
270.71,31107.72
273.15,31120.67
275.59,31135.5
278.03,31147.26
280.47,31158.48
282.91,31166.98
285.34,31170.83
287.78,31173.44
290.21,31169.37
292.64,31168.76
295.08,31163
297.51,31157.42
299.94,31151.09
302.37,31142.18
304.8,31135.54
307.23,31125.65
309.66,31113.31
312.08,31104.37
314.51,31094.93
316.94,31084.44
319.36,31076.39
321.78,31069.15
324.21,31062.93
326.63,31055.74
329.05,31048.13
331.47,31041.73
333.89,31034.56
336.31,31027.81
338.73,31021.87
341.15,31017.95
343.56,31015.62
345.98,31013.88
348.39,31013.61
350.81,31011.64
353.22,31008.69
355.63,31006.64
358.04,31006.28
360.46,31006.2
362.87,31002.59
365.27,30997.33
367.68,30988.67
370.09,30981.67
372.5,30974.51
374.9,30964.76
377.31,30950.09
379.71,30938.42
382.12,30928.17
384.52,30920.56
386.92,30909.74
389.32,30903.99
391.72,30893.46
394.12,30886.41
396.52,30876.48
398.92,30867.02
401.32,30857.84
403.71,30848.04
406.11,30836.17
408.5,30828.67
410.9,30820.24
413.29,30808.91
415.68,30798.44
418.07,30786.26
420.46,30773.95
422.85,30758.5
425.24,30743.1
427.63,30725.67
430.02,30708.89
432.4,30692.23
434.79,30673.46
437.17,30654.16
439.56,30633.21
441.94,30611.5
444.32,30591.08
446.71,30569.52
449.09,30547.41
451.47,30525.59
