Wavenumber [cm-1],Raman Intensity
160.07,11861.33
162.55,12173.67
165.03,12099.67
167.5,12210.33
169.97,12333.33
172.45,12128.33
174.92,12480.67
177.39,12515.67
179.86,12539.67
182.33,12721.33
184.8,12815
187.27,12804.33
189.74,13017.67
192.2,13086
194.67,13137.33
197.14,13237.67
199.6,13155
202.06,13235.33
204.53,13332.67
206.99,13293
209.45,12789.41
211.91,12799.31
214.37,12797.85
216.83,12796.41
219.29,12791.26
221.74,12784.32
224.2,12780.91
226.65,12768.54
229.11,12755.71
231.56,12741.72
234.02,12719.75
236.47,12693.39
238.92,12666.98
241.37,12633.2
243.82,12598.24
246.27,12556.73
248.72,12512.2
251.16,12467.99
253.61,12421.51
256.06,12372.98
258.5,12323.31
260.95,12270.92
263.39,12221.91
265.83,12167.66
268.27,12112.85
270.71,12066.11
273.15,12011.15
275.59,11959.04
278.03,11906.66
280.47,11856.72
282.91,11804.84
285.34,11758.21
287.78,11712.71
290.21,11669.93
292.64,11630.24
295.08,11588.92
297.51,11549.73
299.94,11513.28
302.37,11478.96
304.8,11440.82
307.23,11403.76
309.66,11371.36
312.08,11332.76
314.51,11299.93
316.94,11272.16
319.36,11240.82
321.78,11210.5
324.21,11180.82
326.63,11150.13
329.05,11120.54
331.47,11089.93
333.89,11060.76
336.31,11035.28
338.73,11013.46
341.15,10989.88
343.56,10965.78
345.98,10947.67
348.39,10931.35
350.81,10915.83
353.22,10900.09
355.63,10882.04
358.04,10863.5
360.46,10849.46
362.87,10830.24
365.27,10813.66
367.68,10797.91
370.09,10777.66
372.5,10761.18
374.9,10742.74
377.31,10728.83
379.71,10714.46
382.12,10699.41
384.52,10682.72
386.92,10678.94
389.32,10664.9
391.72,10649.3
394.12,10633.42
396.52,10619.98
398.92,10603.63
401.32,10587.52
403.71,10572.2
406.11,10560.5
408.5,10544.24
410.9,10529.7
413.29,10516.69
415.68,10493.74
418.07,10475.92
420.46,10455.44
422.85,10432.28
425.24,10409.75
427.63,10390.98
430.02,10367.36
432.4,10347.93
434.79,10325.54
437.17,10295.99
439.56,10276.72
441.94,10253.95
444.32,10231.8
446.71,10204.51
449.09,10179.07
451.47,10150.2
453.85,10125.69
456.22,10102.82
458.6,10078.84
460.98,10054.44
463.35,10035.69
465.73,10010.57
468.1,9989.04
470.48,9967.28
472.85,9942.1
475.22,9917.76
477.59,9893.5
479.96,9867.29
482.33,9841.14
484.7,9806.73
487.07,9787.38
489.44,9757.8
491.8,9729.72
494.17,9700.07
496.53,9671.96
498.9,9648.38
501.26,9618.67
503.62,9591.28
505.98,9562.32
508.34,9538.21
510.7,9505.98
513.06,9482.04
515.42,9456.56
517.78,9429.82
520.14,9409.99
522.49,9384.98
524.85,9356.4
527.2,9338.23
529.55,9318.41
531.91,9296.89
534.26,9277.66
536.61,9252.44
538.96,9228.39
541.31,9204.93
543.66,9186.73
546,9164.96
548.35,9153.7
550.7,9139.37
553.04,9119.2
555.39,9101.15
557.73,9085.4
560.07,9062.68
562.41,9047.2
564.76,9030.33
567.1,9020.55
569.44,9012.76
571.77,9003.81
574.11,8993.48
576.45,8985.63
578.79,8975.48
581.12,8960.94
583.46,8937.5
585.79,8918.78
588.12,8899.43
590.46,8880.69
592.79,8862.95
595.12,8839.15
597.45,8819.16
599.78,8795.07
602.1,8773.6
604.43,8748.84
606.76,8727.64
609.08,8702.59
611.41,8678.14
613.73,8658.58
616.06,8633.85
618.38,8615.49
620.7,8598.26
623.02,8574.07
625.34,8547.46
627.66,8527.31
629.98,8508.85
632.3,8488.46
634.61,8467.13
636.93,8443.46
639.25,8420.76
641.56,8400.25
643.87,8371.89
646.19,8341.68
648.5,8323.59
650.81,8301.88
653.12,8278.11
655.43,8261.12
657.74,8243.61
660.05,8221.68
662.35,8197.33
664.66,8173.38
666.97,8151.07
669.27,8129.5
671.57,8113.67
673.88,8095.15
676.18,8078.1
678.48,8065.6
680.78,8057.87
683.08,8049.38
685.38,8039.28
687.68,8030.34
689.98,8019.99
692.27,8015.99
694.57,8009.48
696.86,8003.81
699.16,8000.56
701.45,7998.74
703.74,7998.07
706.04,7999.05
708.33,7999.01
710.62,7998.38
712.91,7996.91
715.2,7992.55
717.48,7995.23
719.77,7996.89
722.06,7990.24
724.34,7987.37
726.63,7990.84
728.91,7991.11
731.19,7988.89
733.48,7988.92
735.76,7987.94
738.04,7987.79
740.32,7991.38
742.6,7990.99
744.87,7990.73
747.15,7995.83
749.43,7995.98
751.7,7991.46
753.98,7992.24
756.25,7998.82
758.53,7994.15
760.8,7990.07
763.07,7982.93
765.34,7975.25
767.61,7973.01
769.88,7968.44
772.15,7965.55
774.42,7964.33
776.68,7965.7
778.95,7973.46
781.21,7978
783.48,7992.35
785.74,8007.88
788,8026.65
790.27,8047.99
792.53,8069.83
794.79,8093.44
797.05,8120.28
799.31,8143.88
801.56,8161.88
803.82,8185.11
806.08,8203.8
808.33,8225.61
810.59,8241.76
