Wavenumber [cm-1],Raman Intensity
160.07,21367.67
162.55,21732.33
165.03,21996.67
167.5,22358.33
169.97,22532
172.45,22799
174.92,23039
177.39,23241.33
179.86,23538
182.33,23705
184.8,24024
187.27,24227
189.74,24398.33
192.2,24650
194.67,24723.67
197.14,24873.33
199.6,24973
202.06,24964
204.53,24993
206.99,25063.33
209.45,24606.8
211.91,24717.63
214.37,24817.02
216.83,24910.42
219.29,24996.29
221.74,25077.37
224.2,25150.11
226.65,25217.75
229.11,25278.8
231.56,25333.19
234.02,25385.96
236.47,25430.55
238.92,25469.36
241.37,25504.29
243.82,25532.47
246.27,25558.21
248.72,25578.91
251.16,25597
253.61,25616.46
256.06,25633.85
258.5,25649.64
260.95,25663.68
263.39,25673.78
265.83,25686.11
268.27,25702.45
270.71,25715.13
273.15,25727.33
275.59,25741.46
278.03,25752.99
280.47,25764.15
282.91,25772.67
285.34,25777.24
287.78,25782.63
290.21,25784.51
292.64,25785.31
295.08,25784.92
297.51,25781.96
299.94,25779.25
302.37,25773.97
304.8,25768.24
307.23,25761.77
309.66,25757.98
312.08,25750.95
314.51,25746.2
316.94,25740.38
319.36,25733.6
321.78,25729.84
324.21,25725.89
326.63,25721.63
329.05,25720.44
331.47,25717.78
333.89,25714.49
336.31,25710.39
338.73,25709.62
341.15,25706.91
343.56,25705.41
345.98,25704.91
348.39,25706.74
350.81,25707.63
353.22,25706.67
355.63,25707.23
358.04,25703.97
360.46,25701.76
362.87,25702.28
365.27,25700.91
367.68,25696.65
370.09,25693.86
372.5,25688.51
374.9,25680.07
377.31,25669.32
379.71,25661.76
382.12,25653.65
384.52,25647.02
386.92,25634.76
389.32,25627.89
391.72,25621.36
394.12,25614.93
396.52,25605.3
398.92,25598.17
401.32,25592.32
403.71,25586.76
406.11,25579.49
408.5,25570.55
410.9,25564.9
413.29,25556.11
415.68,25547.44
418.07,25536.85
420.46,25524.8
422.85,25514.55
425.24,25500.58
427.63,25485.67
