Wavenumber [cm-1],% Transmittance
4000,98.483
3999,98.483
3998,98.482
3997,98.482
3996,98.482
3995,98.481
3994,98.48
3993,98.48
3992,98.481
3991,98.481
3990,98.481
3989,98.481
3988,98.48
3987,98.479
3986,98.479
3985,98.479
3984,98.478
3983,98.478
3982,98.478
3981,98.478
3980,98.478
3979,98.477
3978,98.477
3977,98.476
3976,98.476
3975,98.477
3974,98.477
3973,98.478
3972,98.478
3971,98.478
3970,98.478
3969,98.478
3968,98.478
3967,98.478
3966,98.478
3965,98.477
3964,98.477
3963,98.477
3962,98.477
3961,98.477
3960,98.475
3959,98.474
3958,98.474
3957,98.473
3956,98.473
3955,98.473
3954,98.473
3953,98.474
3952,98.475
3951,98.477
3950,98.477
3949,98.478
3948,98.478
3947,98.478
3946,98.479
3945,98.48
3944,98.481
3943,98.483
3942,98.482
3941,98.481
3940,98.478
3939,98.476
3938,98.474
3937,98.472
3936,98.471
3935,98.47
3934,98.472
3933,98.475
3932,98.478
3931,98.481
3930,98.481
3929,98.48
3928,98.479
3927,98.48
3926,98.482
3925,98.483
3924,98.483
3923,98.482
3922,98.48
3921,98.478
3920,98.477
3919,98.477
3918,98.478
3917,98.48
3916,98.481
3915,98.48
3914,98.479
3913,98.478
3912,98.477
3911,98.476
3910,98.476
3909,98.476
3908,98.476
3907,98.477
3906,98.479
3905,98.479
3904,98.478
3903,98.477
3902,98.48
3901,98.484
3900,98.488
3899,98.488
3898,98.484
3897,98.479
3896,98.475
3895,98.474
3894,98.476
3893,98.482
3892,98.485
3891,98.483
3890,98.476
3889,98.47
3888,98.468
3887,98.47
3886,98.472
3885,98.474
3884,98.476
3883,98.481
3882,98.489
3881,98.494
3880,98.492
3879,98.485
3878,98.479
3877,98.476
3876,98.477
3875,98.477
3874,98.475
3873,98.473
3872,98.472
3871,98.473
3870,98.474
3869,98.473
3868,98.472
3867,98.472
3866,98.475
3865,98.479
3864,98.482
3863,98.484
3862,98.483
3861,98.48
3860,98.474
3859,98.467
3858,98.459
3857,98.454
3856,98.454
3855,98.455
3854,98.454
3853,98.452
3852,98.453
3851,98.46
