Wavenumber [cm-1],% Transmittance
4000,98.961
3999,98.961
3998,98.961
3997,98.96
3996,98.96
3995,98.959
3994,98.959
3993,98.959
3992,98.96
3991,98.962
3990,98.962
3989,98.963
3988,98.962
3987,98.962
3986,98.961
3985,98.961
3984,98.961
3983,98.96
3982,98.96
3981,98.96
3980,98.96
3979,98.96
3978,98.959
3977,98.957
3976,98.956
3975,98.954
3974,98.953
3973,98.953
3972,98.953
3971,98.953
3970,98.954
3969,98.954
3968,98.955
3967,98.955
3966,98.954
3965,98.954
3964,98.953
3963,98.952
3962,98.952
3961,98.952
3960,98.951
3959,98.95
3958,98.949
3957,98.949
3956,98.947
3955,98.945
3954,98.943
3953,98.941
3952,98.939
3951,98.94
3950,98.942
3949,98.945
3948,98.948
3947,98.948
3946,98.945
3945,98.941
3944,98.938
3943,98.939
3942,98.94
3941,98.94
3940,98.94
3939,98.94
3938,98.943
3937,98.945
3936,98.946
3935,98.946
3934,98.945
3933,98.943
3932,98.939
3931,98.935
3930,98.931
3929,98.927
3928,98.923
3927,98.92
3926,98.919
3925,98.922
3924,98.925
3923,98.928
3922,98.932
3921,98.936
3920,98.94
3919,98.941
3918,98.94
3917,98.938
3916,98.936
3915,98.932
3914,98.928
3913,98.926
3912,98.925
3911,98.926
3910,98.927
3909,98.928
3908,98.927
3907,98.926
3906,98.928
3905,98.935
3904,98.944
3903,98.948
3902,98.944
3901,98.935
3900,98.929
3899,98.926
3898,98.924
3897,98.921
3896,98.919
3895,98.917
3894,98.914
3893,98.912
3892,98.915
3891,98.925
3890,98.933
3889,98.932
3888,98.925
3887,98.922
3886,98.926
3885,98.926
3884,98.918
3883,98.905
3882,98.898
3881,98.901
3880,98.91
3879,98.914
3878,98.911
3877,98.903
3876,98.9
3875,98.906
3874,98.912
3873,98.91
3872,98.904
3871,98.907
3870,98.918
3869,98.924
3868,98.918
3867,98.906
3866,98.902
3865,98.907
3864,98.909
3863,98.906
3862,98.904
3861,98.907
3860,98.914
3859,98.925
3858,98.934
3857,98.932
3856,98.919
3855,98.913
3854,98.925
3853,98.935
3852,98.931
3851,98.917
3850,98.904
3849,98.899
3848,98.898
3847,98.896
3846,98.893
3845,98.89
3844,98.889
3843,98.889
3842,98.891
3841,98.891
3840,98.889
3839,98.886
3838,98.884
3837,98.884
3836,98.883
3835,98.878
3834,98.875
3833,98.875
3832,98.878
3831,98.88
3830,98.878
3829,98.872
3828,98.868
3827,98.871
3826,98.878
3825,98.879
3824,98.871
3823,98.865
3822,98.871
3821,98.879
3820,98.883
3819,98.877
3818,98.869
3817,98.871
3816,98.88
3815,98.883
3814,98.877
3813,98.87
3812,98.871
3811,98.878
3810,98.88
3809,98.876
3808,98.877
3807,98.885
3806,98.893
3805,98.889
3804,98.875
3803,98.866
3802,98.865
3801,98.863
3800,98.858
3799,98.849
3798,98.845
3797,98.849
3796,98.855
3795,98.857
3794,98.854
3793,98.852
3792,98.85
3791,98.849
3790,98.846
3789,98.842
3788,98.84
3787,98.838
3786,98.837
3785,98.838
